Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.113001,0.063605,0.527390,0.151491,0.020966,0.517711,0.092585,0.009968,0.528533
0.010000,0.113171,0.063639,0.527454,0.151579,0.020926,0.517727,0.092719,0.009994,0.528595
0.020000,0.113276,0.063622,0.527493,0.151678,0.020938,0.517745,0.092833,0.010035,0.528620
0.030000,0.113394,0.063600,0.527510,0.151450,0.019926,0.517823,0.093150,0.010223,0.528270
0.040000,0.113529,0.063608,0.527513,0.151548,0.019881,0.517841,0.093089,0.010081,0.528654
0.050000,0.113637,0.063619,0.527520,0.151637,0.019896,0.517829,0.093223,0.010053,0.528655
0.060000,0.113755,0.063614,0.527520,0.151738,0.019895,0.517827,0.093313,0.010161,0.528718
0.070000,0.113851,0.063623,0.527530,0.151860,0.019930,0.517841,0.093512,0.010057,0.528753
0.080000,0.113989,0.063621,0.527555,0.152007,0.019893,0.517839,0.093639,0.010076,0.528800
0.090000,0.114125,0.063635,0.527566,0.152208,0.019956,0.517825,0.093806,0.010080,0.528835
0.100000,0.114255,0.063646,0.527569,0.152409,0.019985,0.517799,0.093987,0.010093,0.528868
0.110000,0.114443,0.063684,0.527559,0.152576,0.019972,0.517741,0.094157,0.010113,0.528898
0.120000,0.114645,0.063712,0.527546,0.152750,0.019984,0.517677,0.094374,0.010080,0.528919
0.130000,0.114825,0.063701,0.527521,0.152949,0.020064,0.517585,0.094557,0.010119,0.528931
0.140000,0.115041,0.063793,0.527501,0.153158,0.020160,0.517548,0.094744,0.010120,0.528937
0.150000,0.115217,0.063848,0.527505,0.153302,0.020111,0.517441,0.094915,0.010157,0.528966
0.160000,0.115370,0.063876,0.527483,0.153439,0.020150,0.517396,0.095072,0.010098,0.528964
0.170000,0.115497,0.063922,0.527493,0.153552,0.020212,0.517344,0.095228,0.010164,0.528984
0.180000,0.115583,0.063927,0.527461,0.153649,0.020257,0.517318,0.095355,0.010174,0.528955
0.190000,0.115653,0.063957,0.527440,0.153711,0.020295,0.517283,0.095443,0.010211,0.528943
0.200000,0.115682,0.063987,0.527412,0.153722,0.020298,0.517242,0.095482,0.010224,0.528904
0.210000,0.115713,0.064025,0.527384,0.153768,0.020334,0.517216,0.095532,0.010263,0.528876
0.220000,0.115755,0.064039,0.527354,0.153819,0.020353,0.517160,0.095580,0.010271,0.528858
0.230000,0.115816,0.064098,0.527332,0.153871,0.020386,0.517126,0.095660,0.010301,0.528853
0.240000,0.115896,0.064105,0.527307,0.153943,0.020439,0.517062,0.095758,0.010345,0.528819
0.250000,0.115983,0.064140,0.527261,0.154027,0.020487,0.517000,0.095857,0.010384,0.528814
0.260000,0.116166,0.064246,0.527266,0.154104,0.020524,0.516934,0.095962,0.010407,0.528796
0.270000,0.116259,0.064244,0.527207,0.154197,0.020572,0.516871,0.096044,0.010481,0.528765
0.280000,0.116343,0.064291,0.527161,0.154239,0.020549,0.516781,0.096161,0.010490,0.528739
0.290000,0.116418,0.064301,0.527114,0.154322,0.020637,0.516702,0.096238,0.010564,0.528715
0.300000,0.116492,0.064331,0.527067,0.154402,0.020683,0.516588,0.096346,0.010573,0.528686
0.310000,0.116547,0.064369,0.527022,0.154468,0.020759,0.516549,0.096407,0.010606,0.528669
0.320000,0.116578,0.064385,0.526986,0.154509,0.020786,0.516512,0.096486,0.010613,0.528636
0.330000,0.116607,0.064424,0.526950,0.154581,0.020886,0.516492,0.096543,0.010612,0.528597
0.340000,0.116629,0.064452,0.526919,0.154613,0.020884,0.516447,0.096542,0.010674,0.528575
0.350000,0.116641,0.064477,0.526864,0.154605,0.020941,0.516444,0.096562,0.010655,0.528539
0.360000,0.116633,0.064494,0.526829,0.154620,0.020933,0.516394,0.096560,0.010703,0.528524
0.370000,0.116614,0.064525,0.526797,0.154606,0.020990,0.516383,0.096547,0.010715,0.528484
0.380000,0.116583,0.064534,0.526753,0.154578,0.020960,0.516303,0.096532,0.010709,0.528455
0.390000,0.116546,0.064564,0.526717,0.154558,0.020996,0.516280,0.096465,0.010786,0.528431
0.400000,0.116515,0.064592,0.526685,0.154523,0.021032,0.516271,0.096441,0.010804,0.528397
0.410000,0.116474,0.064619,0.526650,0.154474,0.021025,0.516244,0.096436,0.010774,0.528386
0.420000,0.116428,0.064662,0.526589,0.154442,0.021039,0.516206,0.096364,0.010797,0.528351
0.430000,0.116360,0.064663,0.526561,0.154401,0.021063,0.516193,0.096308,0.010826,0.528339
0.440000,0.116310,0.064672,0.526534,0.154374,0.021145,0.516226,0.096251,0.010818,0.528317
0.450000,0.116237,0.064679,0.526513,0.154312,0.021147,0.516200,0.096186,0.010846,0.528301
0.460000,0.116172,0.064712,0.526507,0.154222,0.021077,0.516194,0.096135,0.010800,0.528273
0.470000,0.116080,0.064711,0.526484,0.154143,0.021058,0.516174,0.096040,0.010811,0.528259
0.480000,0.115923,0.064644,0.526443,0.154085,0.021061,0.516162,0.095977,0.010769,0.528256
0.490000,0.115860,0.064656,0.526419,0.154011,0.021058,0.516151,0.095905,0.010742,0.528242
0.500000,0.115770,0.064614,0.526423,0.153954,0.021045,0.516144,0.095838,0.010724,0.528222
0.510000,0.115709,0.064597,0.526412,0.153894,0.021027,0.516123,0.095765,0.010651,0.528202
0.520000,0.115642,0.064566,0.526402,0.153836,0.020996,0.516095,0.095699,0.010696,0.528198
0.530000,0.115589,0.064546,0.526405,0.153779,0.020983,0.516077,0.095650,0.010624,0.528202
0.540000,0.115552,0.064527,0.526408,0.153741,0.020961,0.516085,0.095599,0.010609,0.528225
0.550000,0.115515,0.064504,0.526432,0.153708,0.020958,0.516116,0.095591,0.010561,0.528225
0.560000,0.115483,0.064467,0.526453,0.153683,0.020884,0.516103,0.095553,0.010518,0.528233
0.570000,0.115459,0.064431,0.526463,0.153666,0.020860,0.516132,0.095542,0.010493,0.528239
0.580000,0.115440,0.064395,0.526477,0.153686,0.021182,0.516046,0.095519,0.010439,0.528242
0.590000,0.115431,0.064373,0.526493,0.153654,0.021150,0.516038,0.095523,0.010422,0.528270
0.600000,0.115409,0.064357,0.526515,0.153649,0.021154,0.516076,0.095486,0.010416,0.528296
0.610000,0.115403,0.064351,0.526546,0.153652,0.021150,0.516103,0.095495,0.010386,0.528340
0.620000,0.115397,0.064313,0.526565,0.153667,0.021116,0.516155,0.095487,0.010374,0.528357
0.630000,0.115409,0.064284,0.526593,0.153645,0.020747,0.516277,0.095511,0.010346,0.528381
0.640000,0.115417,0.064268,0.526612,0.153656,0.020708,0.516279,0.095489,0.010382,0.528416
0.650000,0.115425,0.064234,0.526634,0.153681,0.021050,0.516204,0.095512,0.010298,0.528414
0.660000,0.115427,0.064208,0.526648,0.153687,0.021026,0.516214,0.095531,0.010267,0.528450
0.670000,0.115437,0.064192,0.526674,0.153692,0.021003,0.516223,0.095549,0.010249,0.528471
0.680000,0.115430,0.064155,0.526689,0.153689,0.020632,0.516361,0.095529,0.010274,0.528513
0.690000,0.115445,0.064150,0.526707,0.153668,0.020609,0.516373,0.095567,0.010234,0.528532
0.700000,0.115457,0.064144,0.526727,0.153708,0.020604,0.516391,0.095579,0.010238,0.528546
0.710000,0.115453,0.064119,0.526746,0.153705,0.020569,0.516400,0.095603,0.010165,0.528561
0.720000,0.115436,0.064073,0.526755,0.153683,0.020536,0.516375,0.095562,0.010161,0.528588
0.730000,0.115417,0.064050,0.526749,0.153681,0.020522,0.516391,0.095578,0.010128,0.528590
0.740000,0.115394,0.064011,0.526750,0.153657,0.020488,0.516413,0.095542,0.010134,0.528616
0.750000,0.115354,0.064004,0.526752,0.153624,0.020511,0.516390,0.095517,0.010075,0.528611
0.760000,0.115316,0.063984,0.526752,0.153593,0.020462,0.516390,0.095477,0.010065,0.528602
0.770000,0.115285,0.063955,0.526753,0.153563,0.020429,0.516396,0.095455,0.009997,0.528611
0.780000,0.115233,0.063919,0.526751,0.153529,0.020400,0.516391,0.095421,0.009971,0.528593
0.790000,0.115188,0.063884,0.526742,0.153489,0.020368,0.516376,0.095364,0.009940,0.528594
0.800000,0.115136,0.063861,0.526737,0.153437,0.020323,0.516376,0.095342,0.009913,0.528574
0.810000,0.115098,0.063822,0.526724,0.153346,0.020253,0.516332,0.095286,0.009855,0.528557
0.820000,0.115052,0.063779,0.526715,0.153317,0.020215,0.516328,0.095246,0.009826,0.528546
0.830000,0.115023,0.063741,0.526707,0.153282,0.020190,0.516316,0.095218,0.009786,0.528525
0.840000,0.114991,0.063686,0.526695,0.153261,0.020139,0.516305,0.095121,0.009802,0.528546
0.850000,0.114955,0.063624,0.526675,0.153185,0.019992,0.516268,0.095080,0.009751,0.528528
0.860000,0.114948,0.063593,0.526688,0.153193,0.019982,0.516253,0.095079,0.009725,0.528536
0.870000,0.114942,0.063540,0.526676,0.153168,0.019915,0.516231,0.095083,0.009646,0.528524
0.880000,0.114948,0.063480,0.526686,0.153164,0.019876,0.516214,0.095077,0.009634,0.528546
0.890000,0.114957,0.063448,0.526689,0.153188,0.019830,0.516196,0.095087,0.009585,0.528537
0.900000,0.114982,0.063408,0.526679,0.153192,0.019810,0.516180,0.094900,0.009742,0.529031
0.910000,0.114997,0.063369,0.526669,0.153211,0.019774,0.516169,0.095149,0.009488,0.528538
0.920000,0.115016,0.063349,0.526677,0.153212,0.019742,0.516155,0.095124,0.009513,0.528546
0.930000,0.115030,0.063316,0.526678,0.153227,0.019708,0.516149,0.094922,0.009650,0.529038
0.940000,0.115059,0.063277,0.526680,0.153231,0.019683,0.516143,0.094937,0.009624,0.529039
0.950000,0.115081,0.063267,0.526683,0.153251,0.019656,0.516121,0.094955,0.009542,0.529071
0.960000,0.115125,0.063231,0.526673,0.153285,0.019659,0.516112,0.094995,0.009600,0.529043
0.970000,0.115183,0.063231,0.526679,0.153328,0.019646,0.516097,0.095042,0.009612,0.529066
0.980000,0.115237,0.063219,0.526681,0.153429,0.019702,0.516076,0.095110,0.009617,0.529060
0.990000,0.115314,0.063225,0.526696,0.153507,0.019690,0.516077,0.095171,0.009561,0.529108
1.000000,0.115380,0.063217,0.526704,0.153525,0.019730,0.516045,0.095236,0.009566,0.529114
1.010000,0.115462,0.063203,0.526698,0.153623,0.019773,0.516067,0.095295,0.009693,0.529114
1.020000,0.115511,0.063229,0.526706,0.153676,0.019802,0.516062,0.095354,0.009623,0.529165
1.030000,0.115562,0.063241,0.526710,0.153718,0.019817,0.516060,0.095414,0.009646,0.529187
1.040000,0.115610,0.063259,0.526730,0.153772,0.019862,0.516063,0.095469,0.009740,0.529176
1.050000,0.115663,0.063274,0.526739,0.153828,0.019900,0.516070,0.095519,0.009753,0.529236
1.060000,0.115698,0.063314,0.526746,0.153892,0.020294,0.515944,0.095836,0.009528,0.528717
1.070000,0.115739,0.063326,0.526751,0.153895,0.019945,0.516072,0.095874,0.009578,0.528751
1.080000,0.115775,0.063368,0.526762,0.153977,0.020363,0.515955,0.095741,0.009541,0.529256
1.090000,0.115814,0.063410,0.526777,0.153950,0.019999,0.516075,0.095951,0.009597,0.528780
1.100000,0.115831,0.063398,0.526779,0.154024,0.020403,0.515960,0.095820,0.009590,0.529311
1.110000,0.115859,0.063434,0.526789,0.154000,0.020054,0.516071,0.095990,0.009667,0.528824
1.120000,0.115868,0.063421,0.526798,0.154059,0.020420,0.515979,0.096012,0.009673,0.528837
1.130000,0.115887,0.063431,0.526804,0.154022,0.020030,0.516104,0.096025,0.009663,0.528851
1.140000,0.115896,0.063431,0.526801,0.154041,0.019997,0.516092,0.095895,0.009675,0.529323
1.150000,0.115901,0.063416,0.526796,0.154038,0.019975,0.516075,0.096051,0.009625,0.528868
1.160000,0.115921,0.063388,0.526771,0.154098,0.020353,0.515950,0.095909,0.009598,0.529360
1.170000,0.115926,0.063347,0.526749,0.154109,0.020338,0.515923,0.095928,0.009545,0.529333
1.180000,0.115940,0.063330,0.526714,0.154123,0.020332,0.515883,0.095941,0.009516,0.529319
1.190000,0.115950,0.063321,0.526686,0.154137,0.020308,0.515838,0.095967,0.009486,0.529298
1.200000,0.115948,0.063296,0.526658,0.154144,0.020289,0.515800,0.096099,0.009555,0.528779
1.210000,0.115942,0.063268,0.526618,0.154097,0.019913,0.515864,0.096117,0.009512,0.528729
1.220000,0.115929,0.063245,0.526587,0.154125,0.020268,0.515708,0.096097,0.009460,0.528697
1.230000,0.115911,0.063229,0.526555,0.154114,0.020242,0.515658,0.096072,0.009447,0.528654
1.240000,0.115892,0.063220,0.526531,0.154108,0.020243,0.515634,0.096047,0.009470,0.528628
1.250000,0.115874,0.063187,0.526500,0.154097,0.020240,0.515616,0.096046,0.009442,0.528618
1.260000,0.115879,0.063200,0.526481,0.154081,0.020212,0.515588,0.096034,0.009396,0.528574
1.270000,0.115849,0.063161,0.526461,0.154076,0.020208,0.515549,0.096024,0.009413,0.528567
1.280000,0.115829,0.063129,0.526443,0.154054,0.020175,0.515508,0.096000,0.009377,0.528549
1.290000,0.115812,0.063121,0.526418,0.154023,0.020154,0.515483,0.095977,0.009368,0.528524
1.300000,0.115772,0.063115,0.526396,0.153980,0.020143,0.515441,0.095955,0.009311,0.528506
1.310000,0.115734,0.063099,0.526385,0.153939,0.020119,0.515429,0.095922,0.009316,0.528493
1.320000,0.115701,0.063120,0.526363,0.153910,0.020136,0.515432,0.095879,0.009302,0.528484
1.330000,0.115642,0.063112,0.526349,0.153872,0.020112,0.515431,0.095844,0.009267,0.528459
1.340000,0.115601,0.063103,0.526351,0.153825,0.020098,0.515453,0.095776,0.009314,0.528459
1.350000,0.115560,0.063088,0.526358,0.153769,0.020110,0.515481,0.095712,0.009328,0.528456
1.360000,0.115524,0.063086,0.526365,0.153746,0.020090,0.515500,0.095683,0.009262,0.528454
1.370000,0.115483,0.063074,0.526366,0.153634,0.020024,0.515514,0.095625,0.009313,0.528473
1.380000,0.115458,0.063076,0.526369,0.153606,0.020021,0.515521,0.095588,0.009305,0.528470
1.390000,0.115436,0.063068,0.526380,0.153594,0.020020,0.515538,0.095565,0.009304,0.528479
1.400000,0.115435,0.063070,0.526382,0.153570,0.020010,0.515538,0.095594,0.009248,0.528474
1.410000,0.115435,0.063099,0.526384,0.153583,0.020035,0.515555,0.095576,0.009318,0.528489
1.420000,0.115439,0.063084,0.526375,0.153600,0.020030,0.515557,0.095576,0.009304,0.528503
1.430000,0.115456,0.063095,0.526390,0.153626,0.020070,0.515572,0.095586,0.009359,0.528517
1.440000,0.115465,0.063110,0.526416,0.153609,0.020034,0.515572,0.095618,0.009294,0.528519
1.450000,0.115480,0.063112,0.526421,0.153677,0.020120,0.515608,0.095608,0.009330,0.528553
1.460000,0.115486,0.063096,0.526441,0.153680,0.020107,0.515621,0.095502,0.009249,0.529040
1.470000,0.115494,0.063101,0.526443,0.153683,0.020111,0.515624,0.095645,0.009304,0.528550
1.480000,0.115486,0.063072,0.526458,0.153683,0.020123,0.515649,0.095499,0.009234,0.529058
1.490000,0.115478,0.063076,0.526458,0.153669,0.020080,0.515672,0.095493,0.009224,0.529065
