Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.146456,0.417132,0.684063,-0.146301,0.368791,0.652083,-0.143415,0.367215,0.711145
0.010000,-0.146418,0.417098,0.683979,-0.146281,0.368735,0.651985,-0.143369,0.367199,0.711077
0.020000,-0.146352,0.417081,0.683865,-0.146254,0.368690,0.651914,-0.142982,0.367340,0.711238
0.030000,-0.146305,0.417068,0.683765,-0.146244,0.368640,0.651828,-0.143297,0.367126,0.710922
0.040000,-0.146255,0.417036,0.683664,-0.146230,0.368597,0.651745,-0.143256,0.367118,0.710840
0.050000,-0.146231,0.417017,0.683545,-0.146205,0.368564,0.651654,-0.143174,0.367150,0.710730
0.060000,-0.146215,0.416981,0.683439,-0.146185,0.368542,0.651559,-0.143166,0.367101,0.710638
0.070000,-0.146184,0.416962,0.683321,-0.146171,0.368506,0.651476,-0.143130,0.367057,0.710531
0.080000,-0.146142,0.416945,0.683208,-0.146158,0.368471,0.651384,-0.143112,0.366988,0.710415
0.090000,-0.146111,0.416922,0.683094,-0.146134,0.368435,0.651294,-0.143061,0.366994,0.710318
0.100000,-0.146069,0.416901,0.682995,-0.146114,0.368399,0.651211,-0.143084,0.366906,0.710187
0.110000,-0.146021,0.416903,0.682886,-0.146101,0.368376,0.651129,-0.143065,0.366871,0.710111
0.120000,-0.145989,0.416900,0.682814,-0.146084,0.368365,0.651060,-0.143021,0.366867,0.710038
0.130000,-0.145964,0.416876,0.682718,-0.146059,0.368339,0.651017,-0.143026,0.366824,0.709964
0.140000,-0.145930,0.416860,0.682665,-0.146044,0.368322,0.650966,-0.142981,0.366813,0.709931
0.150000,-0.145901,0.416848,0.682629,-0.146016,0.368304,0.650955,-0.142938,0.366823,0.709911
0.160000,-0.145865,0.416849,0.682626,-0.145983,0.368281,0.650931,-0.142913,0.366812,0.709896
0.170000,-0.145828,0.416839,0.682622,-0.145955,0.368262,0.650937,-0.142883,0.366784,0.709904
0.180000,-0.145799,0.416804,0.682651,-0.145949,0.368240,0.650975,-0.142870,0.366765,0.709923
0.190000,-0.145770,0.416783,0.682684,-0.145913,0.368222,0.651005,-0.142837,0.366756,0.709971
0.200000,-0.145733,0.416775,0.682766,-0.145892,0.368201,0.651051,-0.142779,0.366774,0.710034
0.210000,-0.145699,0.416749,0.682840,-0.145870,0.368177,0.651135,-0.142732,0.366756,0.710119
0.220000,-0.145655,0.416711,0.682959,-0.145852,0.368179,0.651219,-0.142696,0.366733,0.710204
0.230000,-0.145625,0.416654,0.683110,-0.145836,0.368160,0.651317,-0.142631,0.366766,0.710342
0.240000,-0.145597,0.416620,0.683252,-0.145813,0.368156,0.651429,-0.142586,0.366733,0.710479
0.250000,-0.145582,0.416577,0.683434,-0.145795,0.368138,0.651549,-0.142571,0.366684,0.710613
0.260000,-0.145550,0.416522,0.683597,-0.145784,0.368147,0.651679,-0.142552,0.366636,0.710749
0.270000,-0.145520,0.416487,0.683757,-0.145748,0.368122,0.651828,-0.142209,0.366722,0.711145
0.280000,-0.145470,0.416492,0.683945,-0.145725,0.368111,0.651989,-0.142303,0.367115,0.710820
0.290000,-0.145463,0.416440,0.684139,-0.145692,0.368094,0.652157,-0.142634,0.366335,0.711224
0.300000,-0.145442,0.416368,0.684327,-0.145672,0.368073,0.652322,-0.142673,0.366232,0.711379
0.310000,-0.145434,0.416329,0.684504,-0.145643,0.368074,0.652478,-0.142708,0.366160,0.711526
0.320000,-0.145442,0.416278,0.684670,-0.145608,0.368072,0.652621,-0.142705,0.366117,0.711670
0.330000,-0.145395,0.416293,0.684866,-0.145580,0.368047,0.652774,-0.142740,0.366067,0.711816
0.340000,-0.145371,0.416264,0.685013,-0.145567,0.368029,0.652902,-0.142741,0.366036,0.711944
0.350000,-0.145340,0.416280,0.685145,-0.145545,0.368014,0.653020,-0.142747,0.366029,0.712061
0.360000,-0.145320,0.416265,0.685252,-0.145544,0.368001,0.653129,-0.142760,0.366004,0.712174
0.370000,-0.145295,0.416284,0.685358,-0.145550,0.367961,0.653240,-0.142769,0.365993,0.712272
0.380000,-0.145298,0.416253,0.685439,-0.145560,0.367951,0.653320,-0.142766,0.365989,0.712355
0.390000,-0.145310,0.416261,0.685520,-0.145563,0.367954,0.653395,-0.142756,0.366007,0.712446
0.400000,-0.145321,0.416263,0.685584,-0.145582,0.367949,0.653468,-0.142781,0.365990,0.712520
0.410000,-0.145335,0.416259,0.685652,-0.145597,0.367946,0.653529,-0.142770,0.366013,0.712598
0.420000,-0.145366,0.416267,0.685712,-0.145619,0.367961,0.653600,-0.142774,0.366037,0.712672
0.430000,-0.145392,0.416263,0.685778,-0.145656,0.367941,0.653693,-0.142772,0.366060,0.712735
0.440000,-0.145426,0.416267,0.685863,-0.145684,0.367955,0.653772,-0.142838,0.366009,0.712833
0.450000,-0.145448,0.416270,0.685943,-0.145716,0.367968,0.653881,-0.142846,0.366012,0.712912
0.460000,-0.145483,0.416245,0.686047,-0.145741,0.367968,0.653983,-0.142871,0.366024,0.712995
0.470000,-0.145517,0.416248,0.686165,-0.145762,0.368014,0.654089,-0.142866,0.366056,0.713112
0.480000,-0.145576,0.416205,0.686320,-0.145779,0.368038,0.654204,-0.142459,0.366346,0.713527
0.490000,-0.145605,0.416257,0.686489,-0.145786,0.368070,0.654335,-0.142809,0.366216,0.713413
0.500000,-0.145617,0.416286,0.686689,-0.145787,0.368121,0.654473,-0.142799,0.366255,0.713545
0.510000,-0.145633,0.416312,0.686861,-0.145785,0.368148,0.654622,-0.142811,0.366259,0.713676
0.520000,-0.145639,0.416317,0.687065,-0.145784,0.368177,0.654769,-0.142800,0.366289,0.713825
0.530000,-0.145640,0.416342,0.687241,-0.145777,0.368205,0.654936,-0.142527,0.366367,0.714205
0.540000,-0.145632,0.416353,0.687409,-0.145771,0.368216,0.655088,-0.142554,0.366357,0.714335
0.550000,-0.145659,0.416367,0.687595,-0.145756,0.368239,0.655239,-0.142956,0.366101,0.714258
0.560000,-0.145659,0.416388,0.687736,-0.145738,0.368279,0.655372,-0.142965,0.366120,0.714398
0.570000,-0.145673,0.416428,0.687924,-0.145728,0.368294,0.655503,-0.142999,0.366103,0.714533
0.580000,-0.145671,0.416440,0.688056,-0.145720,0.368317,0.655631,-0.143035,0.366075,0.714661
0.590000,-0.145696,0.416447,0.688182,-0.145706,0.368346,0.655737,-0.143121,0.366042,0.714784
0.600000,-0.145726,0.416424,0.688301,-0.145711,0.368349,0.655855,-0.143195,0.365973,0.714910
0.610000,-0.145735,0.416445,0.688395,-0.145699,0.368378,0.655947,-0.143182,0.366006,0.715018
0.620000,-0.145754,0.416445,0.688472,-0.145709,0.368402,0.656014,-0.143227,0.365985,0.715096
0.630000,-0.145768,0.416458,0.688545,-0.145716,0.368423,0.656070,-0.143241,0.365992,0.715138
0.640000,-0.145797,0.416482,0.688599,-0.145717,0.368447,0.656105,-0.143258,0.365997,0.715185
0.650000,-0.145829,0.416492,0.688647,-0.145734,0.368476,0.656134,-0.143266,0.366028,0.715210
0.660000,-0.145854,0.416504,0.688663,-0.145750,0.368496,0.656142,-0.143270,0.366043,0.715225
0.670000,-0.145863,0.416527,0.688670,-0.145760,0.368516,0.656148,-0.143272,0.366072,0.715233
0.680000,-0.145883,0.416541,0.688667,-0.145771,0.368526,0.656143,-0.143280,0.366075,0.715226
0.690000,-0.145899,0.416552,0.688654,-0.145779,0.368542,0.656125,-0.143279,0.366107,0.715216
0.700000,-0.145914,0.416576,0.688637,-0.145794,0.368555,0.656109,-0.143303,0.366111,0.715186
0.710000,-0.145927,0.416584,0.688616,-0.145808,0.368576,0.656081,-0.143314,0.366119,0.715158
0.720000,-0.145924,0.416586,0.688564,-0.145829,0.368607,0.656038,-0.143307,0.366134,0.715127
0.730000,-0.145937,0.416577,0.688530,-0.145832,0.368603,0.656011,-0.143319,0.366137,0.715098
0.740000,-0.145939,0.416579,0.688496,-0.145837,0.368567,0.655988,-0.143326,0.366120,0.715065
0.750000,-0.145941,0.416587,0.688467,-0.145844,0.368586,0.655958,-0.143343,0.366119,0.715023
0.760000,-0.145948,0.416598,0.688428,-0.145844,0.368590,0.655929,-0.143313,0.366173,0.714989
0.770000,-0.145948,0.416603,0.688409,-0.145832,0.368588,0.655901,-0.143246,0.366239,0.714956
0.780000,-0.145946,0.416626,0.688389,-0.145832,0.368603,0.655885,-0.143341,0.366154,0.714932
0.790000,-0.145943,0.416620,0.688350,-0.145817,0.368619,0.655870,-0.143289,0.366221,0.714887
0.800000,-0.145943,0.416643,0.688335,-0.145805,0.368627,0.655839,-0.143286,0.366224,0.714869
0.810000,-0.145943,0.416653,0.688307,-0.145805,0.368630,0.655810,-0.143279,0.366241,0.714853
0.820000,-0.145931,0.416667,0.688278,-0.145792,0.368624,0.655787,-0.143283,0.366249,0.714809
0.830000,-0.145932,0.416662,0.688246,-0.145789,0.368626,0.655751,-0.143270,0.366258,0.714779
0.840000,-0.145917,0.416662,0.688198,-0.145778,0.368630,0.655693,-0.143292,0.366253,0.714734
0.850000,-0.145919,0.416669,0.688151,-0.145774,0.368623,0.655639,-0.143293,0.366257,0.714675
0.860000,-0.145913,0.416686,0.688081,-0.145774,0.368626,0.655582,-0.143297,0.366265,0.714623
0.870000,-0.145911,0.416686,0.688019,-0.145770,0.368615,0.655527,-0.143311,0.366239,0.714556
0.880000,-0.145906,0.416674,0.687948,-0.145790,0.368600,0.655452,-0.143258,0.366325,0.714454
0.890000,-0.145908,0.416678,0.687871,-0.145792,0.368590,0.655371,-0.143022,0.366901,0.714146
