Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.304737,0.412796,0.570481,-0.294736,0.365475,0.539909,-0.296967,0.364789,0.599152
0.010000,-0.304732,0.412798,0.570439,-0.294734,0.365467,0.539883,-0.296963,0.364797,0.599118
0.020000,-0.304718,0.412799,0.570403,-0.294739,0.365463,0.539852,-0.296959,0.364803,0.599093
0.030000,-0.304725,0.412792,0.570373,-0.294729,0.365482,0.539834,-0.296949,0.364811,0.599062
0.040000,-0.304726,0.412816,0.570310,-0.294732,0.365460,0.539803,-0.296945,0.364815,0.599039
0.050000,-0.304721,0.412790,0.570288,-0.294724,0.365464,0.539778,-0.296947,0.364829,0.599005
0.060000,-0.304710,0.412831,0.570241,-0.294725,0.365476,0.539746,-0.296940,0.364828,0.598978
0.070000,-0.304716,0.412829,0.570216,-0.294722,0.365485,0.539727,-0.296931,0.364843,0.598953
0.080000,-0.304709,0.412826,0.570198,-0.294724,0.365482,0.539700,-0.296910,0.364846,0.598919
0.090000,-0.304701,0.412828,0.570169,-0.294708,0.365498,0.539680,-0.296916,0.364830,0.598902
0.100000,-0.304693,0.412813,0.570147,-0.294699,0.365502,0.539662,-0.296900,0.364845,0.598887
0.110000,-0.304687,0.412808,0.570122,-0.294698,0.365472,0.539644,-0.296898,0.364842,0.598865
0.120000,-0.304670,0.412803,0.570101,-0.294698,0.365459,0.539638,-0.296890,0.364840,0.598851
0.130000,-0.304665,0.412806,0.570087,-0.294680,0.365459,0.539618,-0.296886,0.364840,0.598833
0.140000,-0.304646,0.412802,0.570074,-0.294663,0.365461,0.539616,-0.296876,0.364823,0.598833
0.150000,-0.304635,0.412786,0.570068,-0.294646,0.365453,0.539613,-0.296872,0.364817,0.598820
0.160000,-0.304617,0.412776,0.570051,-0.294642,0.365424,0.539608,-0.296865,0.364815,0.598826
0.170000,-0.304597,0.412761,0.570027,-0.294627,0.365412,0.539606,-0.296843,0.364830,0.598824
0.180000,-0.304581,0.412754,0.570023,-0.294609,0.365404,0.539601,-0.296833,0.364820,0.598818
0.190000,-0.304565,0.412730,0.570011,-0.294584,0.365390,0.539603,-0.296837,0.364811,0.598816
0.200000,-0.304553,0.412727,0.569984,-0.294571,0.365389,0.539596,-0.296831,0.364790,0.598807
0.210000,-0.304523,0.412718,0.569996,-0.294553,0.365366,0.539594,-0.296824,0.364789,0.598798
0.220000,-0.304518,0.412706,0.569971,-0.294549,0.365347,0.539586,-0.296812,0.364769,0.598800
0.230000,-0.304503,0.412695,0.569962,-0.294536,0.365334,0.539588,-0.296798,0.364774,0.598796
0.240000,-0.304489,0.412674,0.569980,-0.294526,0.365334,0.539584,-0.296808,0.364748,0.598786
0.250000,-0.304474,0.412669,0.569963,-0.294521,0.365309,0.539570,-0.296793,0.364744,0.598786
0.260000,-0.304467,0.412648,0.569969,-0.294515,0.365303,0.539577,-0.296789,0.364708,0.598774
0.270000,-0.304452,0.412633,0.569970,-0.294507,0.365299,0.539578,-0.296792,0.364706,0.598781
0.280000,-0.304435,0.412637,0.569967,-0.294500,0.365286,0.539566,-0.296775,0.364689,0.598776
0.290000,-0.304442,0.412620,0.569980,-0.294493,0.365278,0.539582,-0.296770,0.364692,0.598786
0.300000,-0.304420,0.412621,0.569975,-0.294482,0.365277,0.539577,-0.296791,0.364687,0.598775
0.310000,-0.304423,0.412620,0.569988,-0.294485,0.365263,0.539591,-0.296786,0.364684,0.598792
0.320000,-0.304416,0.412602,0.569995,-0.294474,0.365257,0.539599,-0.296800,0.364674,0.598799
0.330000,-0.304415,0.412603,0.569997,-0.294470,0.365245,0.539595,-0.296802,0.364662,0.598806
0.340000,-0.304415,0.412607,0.570011,-0.294472,0.365245,0.539616,-0.296805,0.364672,0.598827
0.350000,-0.304415,0.412601,0.570010,-0.294467,0.365231,0.539626,-0.296810,0.364677,0.598836
0.360000,-0.304417,0.412598,0.570011,-0.294456,0.365238,0.539634,-0.296839,0.364691,0.598841
0.370000,-0.304429,0.412598,0.570006,-0.294464,0.365236,0.539630,-0.296850,0.364676,0.598833
0.380000,-0.304433,0.412611,0.570002,-0.294458,0.365230,0.539638,-0.296866,0.364673,0.598835
0.390000,-0.304437,0.412604,0.569989,-0.294467,0.365235,0.539623,-0.296861,0.364689,0.598833
0.400000,-0.304437,0.412608,0.569963,-0.294455,0.365233,0.539618,-0.296872,0.364683,0.598825
0.410000,-0.304447,0.412602,0.569946,-0.294462,0.365236,0.539609,-0.296880,0.364686,0.598811
0.420000,-0.304454,0.412617,0.569916,-0.294456,0.365242,0.539590,-0.296878,0.364699,0.598794
0.430000,-0.304450,0.412618,0.569893,-0.294465,0.365223,0.539573,-0.296871,0.364702,0.598777
0.440000,-0.304439,0.412628,0.569872,-0.294453,0.365224,0.539554,-0.296859,0.364710,0.598765
0.450000,-0.304439,0.412632,0.569861,-0.294454,0.365225,0.539544,-0.296854,0.364701,0.598755
0.460000,-0.304429,0.412612,0.569854,-0.294446,0.365230,0.539540,-0.296850,0.364704,0.598750
0.470000,-0.304417,0.412610,0.569851,-0.294437,0.365207,0.539528,-0.296832,0.364706,0.598734
0.480000,-0.304412,0.412602,0.569847,-0.294427,0.365196,0.539532,-0.296836,0.364677,0.598737
0.490000,-0.304385,0.412595,0.569860,-0.294429,0.365197,0.539534,-0.296813,0.364685,0.598750
0.500000,-0.304378,0.412569,0.569879,-0.294400,0.365185,0.539550,-0.296793,0.364665,0.598759
0.510000,-0.304340,0.412565,0.569908,-0.294389,0.365165,0.539564,-0.296780,0.364658,0.598776
0.520000,-0.304329,0.412566,0.569938,-0.294369,0.365162,0.539586,-0.296771,0.364641,0.598799
0.530000,-0.304303,0.412561,0.569969,-0.294353,0.365161,0.539635,-0.296756,0.364640,0.598835
0.540000,-0.304287,0.412553,0.570010,-0.294333,0.365162,0.539666,-0.296737,0.364637,0.598875
0.550000,-0.304270,0.412532,0.570082,-0.294315,0.365156,0.539703,-0.296736,0.364614,0.598918
0.560000,-0.304257,0.412520,0.570141,-0.294282,0.365197,0.539761,-0.296723,0.364627,0.598966
0.570000,-0.304229,0.412513,0.570191,-0.294241,0.365184,0.539800,-0.296708,0.364611,0.599014
0.580000,-0.304212,0.412507,0.570249,-0.294239,0.365188,0.539849,-0.296724,0.364586,0.599056
0.590000,-0.304193,0.412484,0.570311,-0.294217,0.365167,0.539896,-0.296722,0.364564,0.599101
0.600000,-0.304174,0.412466,0.570374,-0.294208,0.365162,0.539933,-0.296731,0.364513,0.599164
0.610000,-0.304161,0.412453,0.570422,-0.294201,0.365127,0.539963,-0.296737,0.364483,0.599189
0.620000,-0.304156,0.412432,0.570474,-0.294197,0.365122,0.540004,-0.296765,0.364424,0.599250
0.630000,-0.304159,0.412413,0.570523,-0.294194,0.365111,0.540042,-0.296774,0.364407,0.599286
0.640000,-0.304162,0.412401,0.570563,-0.294202,0.365105,0.540070,-0.296788,0.364385,0.599313
0.650000,-0.304162,0.412399,0.570588,-0.294201,0.365103,0.540097,-0.296804,0.364388,0.599355
0.660000,-0.304175,0.412395,0.570613,-0.294194,0.365101,0.540125,-0.296822,0.364368,0.599382
0.670000,-0.304197,0.412399,0.570639,-0.294204,0.365110,0.540149,-0.296836,0.364380,0.599407
0.680000,-0.304212,0.412421,0.570647,-0.294216,0.365110,0.540162,-0.296845,0.364402,0.599414
0.690000,-0.304229,0.412446,0.570662,-0.294226,0.365131,0.540181,-0.296872,0.364419,0.599428
0.700000,-0.304253,0.412477,0.570668,-0.294236,0.365168,0.540189,-0.296887,0.364435,0.599423
0.710000,-0.304272,0.412507,0.570671,-0.294246,0.365204,0.540194,-0.296913,0.364461,0.599431
0.720000,-0.304305,0.412535,0.570668,-0.294256,0.365236,0.540198,-0.296931,0.364495,0.599443
0.730000,-0.304334,0.412569,0.570667,-0.294271,0.365257,0.540202,-0.296948,0.364528,0.599436
0.740000,-0.304367,0.412580,0.570675,-0.294281,0.365286,0.540202,-0.296960,0.364560,0.599443
0.750000,-0.304371,0.412614,0.570661,-0.294299,0.365294,0.540198,-0.297005,0.364583,0.599442
0.760000,-0.304405,0.412632,0.570672,-0.294302,0.365309,0.540204,-0.296995,0.364609,0.599445
0.770000,-0.304422,0.412636,0.570659,-0.294309,0.365317,0.540195,-0.297000,0.364632,0.599435
0.780000,-0.304433,0.412636,0.570653,-0.294332,0.365303,0.540194,-0.297015,0.364639,0.599428
0.790000,-0.304448,0.412638,0.570654,-0.294341,0.365326,0.540188,-0.297019,0.364650,0.599426
0.800000,-0.304459,0.412657,0.570650,-0.294353,0.365314,0.540189,-0.297028,0.364636,0.599429
0.810000,-0.304465,0.412666,0.570649,-0.294352,0.365334,0.540183,-0.297028,0.364641,0.599429
0.820000,-0.304466,0.412661,0.570630,-0.294352,0.365332,0.540178,-0.297024,0.364654,0.599418
0.830000,-0.304468,0.412663,0.570630,-0.294367,0.365326,0.540171,-0.297025,0.364662,0.599404
0.840000,-0.304473,0.412680,0.570614,-0.294374,0.365325,0.540164,-0.297031,0.364665,0.599407
0.850000,-0.304463,0.412678,0.570603,-0.294374,0.365343,0.540161,-0.297030,0.364663,0.599392
0.860000,-0.304479,0.412667,0.570620,-0.294382,0.365324,0.540155,-0.297031,0.364669,0.599401
0.870000,-0.304473,0.412688,0.570607,-0.294387,0.365340,0.540159,-0.297040,0.364660,0.599389
0.880000,-0.304483,0.412690,0.570622,-0.294390,0.365334,0.540157,-0.297046,0.364661,0.599395
0.890000,-0.304495,0.412686,0.570622,-0.294395,0.365350,0.540162,-0.297045,0.364671,0.599396
0.900000,-0.304506,0.412682,0.570629,-0.294398,0.365365,0.540160,-0.297047,0.364672,0.599403
0.910000,-0.304508,0.412685,0.570630,-0.294406,0.365355,0.540165,-0.297055,0.364671,0.599399
0.920000,-0.304524,0.412695,0.570637,-0.294409,0.365361,0.540170,-0.297060,0.364671,0.599405
0.930000,-0.304529,0.412697,0.570647,-0.294414,0.365374,0.540174,-0.297056,0.364684,0.599407
0.940000,-0.304533,0.412708,0.570671,-0.294414,0.365370,0.540189,-0.297075,0.364658,0.599423
0.950000,-0.304539,0.412704,0.570684,-0.294423,0.365369,0.540205,-0.297073,0.364670,0.599445
0.960000,-0.304547,0.412704,0.570707,-0.294426,0.365371,0.540215,-0.297076,0.364669,0.599468
0.970000,-0.304556,0.412712,0.570729,-0.294423,0.365393,0.540242,-0.297083,0.364675,0.599482
0.980000,-0.304569,0.412717,0.570752,-0.294427,0.365390,0.540253,-0.297107,0.364659,0.599497
0.990000,-0.304576,0.412725,0.570787,-0.294424,0.365412,0.540271,-0.297114,0.364679,0.599520
1.000000,-0.304589,0.412731,0.570807,-0.294429,0.365427,0.540295,-0.297122,0.364678,0.599531
1.010000,-0.304596,0.412738,0.570820,-0.294423,0.365451,0.540307,-0.297146,0.364680,0.599554
1.020000,-0.304609,0.412753,0.570839,-0.294423,0.365451,0.540319,-0.297143,0.364686,0.599563
1.030000,-0.304616,0.412761,0.570850,-0.294423,0.365455,0.540333,-0.297151,0.364705,0.599575
1.040000,-0.304617,0.412775,0.570860,-0.294427,0.365462,0.540348,-0.297155,0.364704,0.599588
1.050000,-0.304624,0.412771,0.570869,-0.294427,0.365458,0.540345,-0.297165,0.364694,0.599600
1.060000,-0.304626,0.412770,0.570881,-0.294424,0.365456,0.540354,-0.297166,0.364683,0.599599
1.070000,-0.304618,0.412756,0.570881,-0.294424,0.365452,0.540362,-0.297165,0.364695,0.599608
1.080000,-0.304618,0.412752,0.570889,-0.294417,0.365454,0.540362,-0.297170,0.364673,0.599610
1.090000,-0.304611,0.412744,0.570898,-0.294421,0.365442,0.540377,-0.297163,0.364678,0.599622
1.100000,-0.304610,0.412743,0.570894,-0.294428,0.365426,0.540371,-0.297162,0.364668,0.599624
1.110000,-0.304594,0.412727,0.570896,-0.294415,0.365427,0.540381,-0.297170,0.364670,0.599625
1.120000,-0.304598,0.412732,0.570898,-0.294411,0.365419,0.540386,-0.297160,0.364662,0.599624
1.130000,-0.304586,0.412707,0.570907,-0.294400,0.365415,0.540388,-0.297158,0.364653,0.599640
1.140000,-0.304571,0.412701,0.570908,-0.294394,0.365396,0.540396,-0.297154,0.364640,0.599643
1.150000,-0.304567,0.412686,0.570909,-0.294380,0.365400,0.540406,-0.297139,0.364659,0.599657
1.160000,-0.304555,0.412696,0.570931,-0.294378,0.365402,0.540421,-0.297135,0.364650,0.599652
1.170000,-0.304541,0.412682,0.570941,-0.294353,0.365405,0.540437,-0.297126,0.364647,0.599669
1.180000,-0.304530,0.412680,0.570967,-0.294370,0.365364,0.540475,-0.297121,0.364620,0.599683
1.190000,-0.304504,0.412688,0.570993,-0.294357,0.365357,0.540492,-0.297091,0.364627,0.599707
1.200000,-0.304500,0.412681,0.571021,-0.294342,0.365360,0.540515,-0.297078,0.364633,0.599724
1.210000,-0.304473,0.412677,0.571051,-0.294309,0.365372,0.540545,-0.297051,0.364603,0.599744
1.220000,-0.304450,0.412664,0.571073,-0.294297,0.365360,0.540560,-0.297065,0.364563,0.599760
1.230000,-0.304420,0.412653,0.571095,-0.294269,0.365377,0.540589,-0.297058,0.364571,0.599778
1.240000,-0.304399,0.412647,0.571123,-0.294229,0.365389,0.540588,-0.297036,0.364553,0.599793
1.250000,-0.304391,0.412620,0.571137,-0.294220,0.365386,0.540596,-0.297033,0.364525,0.599810
1.260000,-0.304379,0.412601,0.571154,-0.294241,0.365336,0.540627,-0.297039,0.364498,0.599824
1.270000,-0.304359,0.412608,0.571170,-0.294235,0.365310,0.540645,-0.297023,0.364489,0.599835
1.280000,-0.304350,0.412602,0.571185,-0.294234,0.365310,0.540649,-0.297023,0.364476,0.599841
1.290000,-0.304346,0.412571,0.571198,-0.294224,0.365288,0.540663,-0.297031,0.364446,0.599861
1.300000,-0.304343,0.412566,0.571202,-0.294220,0.365293,0.540668,-0.297032,0.364446,0.599859
