Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.334976,0.422365,0.826247,-0.335115,0.371747,0.796698,-0.329638,0.374630,0.854771
0.010000,-0.335009,0.422360,0.826262,-0.335132,0.371746,0.796699,-0.329662,0.374617,0.854779
0.020000,-0.335021,0.422365,0.826263,-0.335155,0.371732,0.796699,-0.329665,0.374624,0.854779
0.030000,-0.335022,0.422366,0.826273,-0.335149,0.371741,0.796707,-0.329676,0.374612,0.854784
0.040000,-0.335018,0.422365,0.826273,-0.335166,0.371733,0.796702,-0.329671,0.374623,0.854783
0.050000,-0.335022,0.422363,0.826278,-0.335166,0.371735,0.796699,-0.329693,0.374595,0.854784
0.060000,-0.335018,0.422354,0.826293,-0.335173,0.371720,0.796710,-0.329668,0.374605,0.854790
0.070000,-0.335012,0.422347,0.826303,-0.335181,0.371719,0.796722,-0.329688,0.374576,0.854806
0.080000,-0.335003,0.422332,0.826322,-0.335174,0.371738,0.796731,-0.329643,0.374591,0.854811
0.090000,-0.334997,0.422318,0.826344,-0.335188,0.371696,0.796747,-0.329677,0.374547,0.854840
0.100000,-0.334976,0.422313,0.826373,-0.335142,0.371716,0.796771,-0.329656,0.374544,0.854841
0.110000,-0.334979,0.422277,0.826400,-0.335159,0.371687,0.796798,-0.329653,0.374517,0.854868
0.120000,-0.334938,0.422275,0.826425,-0.335148,0.371680,0.796821,-0.329645,0.374504,0.854913
0.130000,-0.334949,0.422254,0.826465,-0.335120,0.371681,0.796874,-0.329640,0.374490,0.854951
0.140000,-0.334942,0.422235,0.826514,-0.335095,0.371678,0.796913,-0.329639,0.374457,0.854987
0.150000,-0.334927,0.422209,0.826556,-0.335047,0.371681,0.796958,-0.329614,0.374450,0.855046
0.160000,-0.334915,0.422202,0.826605,-0.335003,0.371689,0.797014,-0.329610,0.374441,0.855097
0.170000,-0.334879,0.422159,0.826682,-0.334964,0.371670,0.797092,-0.329603,0.374433,0.855158
0.180000,-0.334883,0.422134,0.826758,-0.334952,0.371638,0.797155,-0.329587,0.374436,0.855208
0.190000,-0.334873,0.422099,0.826824,-0.334872,0.371657,0.797233,-0.329602,0.374406,0.855290
0.200000,-0.334831,0.422092,0.826914,-0.334867,0.371632,0.797311,-0.329579,0.374391,0.855357
0.210000,-0.334806,0.422074,0.827006,-0.334808,0.371633,0.797381,-0.329535,0.374415,0.855434
0.220000,-0.334774,0.422074,0.827114,-0.334736,0.371652,0.797448,-0.329528,0.374388,0.855509
0.230000,-0.334752,0.422056,0.827198,-0.334679,0.371642,0.797537,-0.329893,0.374016,0.855743
0.240000,-0.334727,0.422040,0.827304,-0.334663,0.371627,0.797618,-0.329882,0.374005,0.855814
0.250000,-0.334707,0.422042,0.827396,-0.334654,0.371588,0.797710,-0.329907,0.373958,0.855892
0.260000,-0.334692,0.422033,0.827493,-0.334619,0.371577,0.797783,-0.329930,0.373924,0.855962
0.270000,-0.334659,0.422043,0.827585,-0.334602,0.371549,0.797855,-0.329909,0.373967,0.856038
0.280000,-0.334642,0.422041,0.827645,-0.334688,0.371458,0.797954,-0.329918,0.373957,0.856107
0.290000,-0.334634,0.422025,0.827699,-0.334676,0.371435,0.798022,-0.329922,0.373957,0.856175
0.300000,-0.334633,0.422021,0.827761,-0.334673,0.371428,0.798090,-0.329917,0.373968,0.856236
0.310000,-0.334621,0.422031,0.827810,-0.334668,0.371407,0.798143,-0.329946,0.373956,0.856303
0.320000,-0.334635,0.422033,0.827865,-0.334668,0.371401,0.798208,-0.329915,0.373986,0.856407
0.330000,-0.334634,0.422043,0.827935,-0.334684,0.371384,0.798274,-0.329904,0.374029,0.856476
0.340000,-0.334673,0.422013,0.828005,-0.334724,0.371349,0.798344,-0.329942,0.374016,0.856535
0.350000,-0.334700,0.422013,0.828065,-0.334684,0.371394,0.798388,-0.329992,0.374014,0.856596
0.360000,-0.334722,0.421997,0.828126,-0.334704,0.371384,0.798447,-0.329998,0.374052,0.856659
0.370000,-0.334767,0.422003,0.828180,-0.334718,0.371417,0.798487,-0.329981,0.374089,0.856719
0.380000,-0.334797,0.422022,0.828231,-0.334756,0.371385,0.798548,-0.330041,0.374060,0.856775
0.390000,-0.334841,0.422036,0.828288,-0.334785,0.371389,0.798585,-0.330088,0.374089,0.856807
0.400000,-0.334876,0.422045,0.828337,-0.334800,0.371408,0.798642,-0.330081,0.374121,0.856854
0.410000,-0.334899,0.422063,0.828377,-0.334838,0.371420,0.798667,-0.330116,0.374152,0.856889
0.420000,-0.334924,0.422076,0.828421,-0.334847,0.371460,0.798700,-0.330268,0.374034,0.856975
0.430000,-0.334954,0.422085,0.828455,-0.334935,0.371424,0.798744,-0.330328,0.374010,0.857016
0.440000,-0.334974,0.422091,0.828493,-0.334931,0.371471,0.798771,-0.330335,0.374045,0.857048
0.450000,-0.335012,0.422101,0.828526,-0.334972,0.371479,0.798795,-0.330341,0.374052,0.857078
0.460000,-0.335035,0.422113,0.828552,-0.335040,0.371448,0.798824,-0.330346,0.374083,0.857092
0.470000,-0.335070,0.422119,0.828594,-0.335079,0.371460,0.798854,-0.330404,0.374059,0.857117
0.480000,-0.335100,0.422132,0.828628,-0.335110,0.371488,0.798872,-0.330408,0.374080,0.857138
0.490000,-0.335146,0.422135,0.828654,-0.335159,0.371514,0.798889,-0.330444,0.374096,0.857165
0.500000,-0.335175,0.422152,0.828683,-0.335200,0.371523,0.798917,-0.330497,0.374106,0.857177
0.510000,-0.335218,0.422168,0.828718,-0.335249,0.371521,0.798944,-0.330542,0.374141,0.857195
0.520000,-0.335243,0.422191,0.828751,-0.335295,0.371535,0.798971,-0.330566,0.374168,0.857224
0.530000,-0.335273,0.422212,0.828784,-0.335306,0.371581,0.799000,-0.330604,0.374202,0.857253
0.540000,-0.335299,0.422241,0.828826,-0.335327,0.371601,0.799061,-0.330603,0.374238,0.857292
0.550000,-0.335335,0.422257,0.828857,-0.335323,0.371657,0.799088,-0.330664,0.374267,0.857330
0.560000,-0.335374,0.422274,0.828889,-0.335362,0.371660,0.799120,-0.330676,0.374297,0.857349
0.570000,-0.335420,0.422291,0.828921,-0.335383,0.371704,0.799151,-0.330725,0.374336,0.857391
0.580000,-0.335447,0.422327,0.828963,-0.335433,0.371704,0.799194,-0.330767,0.374357,0.857423
0.590000,-0.335484,0.422349,0.828998,-0.335395,0.371791,0.799232,-0.330792,0.374403,0.857457
0.600000,-0.335527,0.422364,0.829025,-0.333816,0.373108,0.798899,-0.330831,0.374431,0.857487
0.610000,-0.335577,0.422371,0.829051,-0.335445,0.371817,0.799300,-0.330853,0.374451,0.857515
0.620000,-0.335605,0.422383,0.829082,-0.335459,0.371839,0.799323,-0.330876,0.374483,0.857544
0.630000,-0.335657,0.422387,0.829106,-0.335472,0.371845,0.799354,-0.330916,0.374483,0.857563
0.640000,-0.335682,0.422396,0.829118,-0.335477,0.371860,0.799379,-0.330933,0.374518,0.857596
0.650000,-0.335717,0.422415,0.829148,-0.333900,0.373194,0.799048,-0.330972,0.374540,0.857632
0.660000,-0.335738,0.422453,0.829189,-0.333898,0.373241,0.799085,-0.330984,0.374560,0.857665
0.670000,-0.335758,0.422495,0.829235,-0.333923,0.373281,0.799150,-0.331161,0.374520,0.857745
0.680000,-0.335788,0.422514,0.829269,-0.335550,0.371994,0.799567,-0.331183,0.374547,0.857790
0.690000,-0.335792,0.422577,0.829319,-0.335530,0.372051,0.799622,-0.331174,0.374599,0.857835
0.700000,-0.335854,0.422574,0.829397,-0.333874,0.373438,0.799307,-0.331195,0.374603,0.857881
0.710000,-0.335868,0.422592,0.829456,-0.335505,0.372115,0.799737,-0.331207,0.374607,0.857918
0.720000,-0.335882,0.422612,0.829527,-0.335507,0.372139,0.799788,-0.331223,0.374621,0.857971
0.730000,-0.335871,0.422630,0.829589,-0.335517,0.372147,0.799835,-0.331231,0.374617,0.858015
0.740000,-0.335872,0.422628,0.829642,-0.335473,0.372181,0.799892,-0.331212,0.374628,0.858059
0.750000,-0.335854,0.422648,0.829726,-0.335491,0.372173,0.799943,-0.331228,0.374593,0.858106
0.760000,-0.335832,0.422650,0.829804,-0.333818,0.373536,0.799616,-0.331249,0.374561,0.858163
0.770000,-0.335797,0.422639,0.829884,-0.335446,0.372197,0.800046,-0.331203,0.374564,0.858205
0.780000,-0.335796,0.422617,0.829962,-0.335425,0.372190,0.800103,-0.331215,0.374531,0.858249
0.790000,-0.335772,0.422610,0.830024,-0.333888,0.373409,0.799817,-0.331203,0.374510,0.858304
0.800000,-0.335753,0.422587,0.830102,-0.333916,0.373367,0.799889,-0.331337,0.374356,0.858421
0.810000,-0.335758,0.422556,0.830200,-0.333877,0.373371,0.799953,-0.331297,0.374352,0.858501
0.820000,-0.335734,0.422549,0.830261,-0.335472,0.372037,0.800391,-0.331264,0.374348,0.858540
0.830000,-0.335708,0.422512,0.830326,-0.335454,0.372016,0.800451,-0.331229,0.374331,0.858594
0.840000,-0.335689,0.422480,0.830394,-0.335442,0.371951,0.800514,-0.331209,0.374290,0.858639
0.850000,-0.335677,0.422424,0.830471,-0.335406,0.371903,0.800554,-0.331192,0.374268,0.858690
0.860000,-0.335660,0.422367,0.830525,-0.335376,0.371878,0.800610,-0.331152,0.374242,0.858743
0.870000,-0.335629,0.422339,0.830556,-0.335345,0.371842,0.800637,-0.331123,0.374205,0.858779
0.880000,-0.335597,0.422311,0.830597,-0.335346,0.371791,0.800675,-0.331083,0.374171,0.858825
0.890000,-0.335547,0.422282,0.830626,-0.335329,0.371742,0.800702,-0.331059,0.374145,0.858849
0.900000,-0.335522,0.422244,0.830639,-0.335322,0.371681,0.800723,-0.331049,0.374106,0.858878
0.910000,-0.335495,0.422226,0.830648,-0.335285,0.371664,0.800749,-0.331138,0.373959,0.858950
0.920000,-0.335475,0.422178,0.830653,-0.335260,0.371620,0.800755,-0.331120,0.373931,0.858965
0.930000,-0.335447,0.422169,0.830667,-0.335204,0.371615,0.800748,-0.331106,0.373905,0.858968
0.940000,-0.335433,0.422135,0.830659,-0.335164,0.371611,0.800755,-0.331069,0.373915,0.858974
0.950000,-0.335427,0.422114,0.830646,-0.335180,0.371559,0.800755,-0.331062,0.373890,0.858967
0.960000,-0.335405,0.422104,0.830650,-0.335179,0.371531,0.800758,-0.331053,0.373866,0.858978
0.970000,-0.335376,0.422097,0.830619,-0.335179,0.371506,0.800759,-0.331071,0.373860,0.858973
0.980000,-0.335378,0.422082,0.830605,-0.335210,0.371482,0.800757,-0.331086,0.373850,0.858965
0.990000,-0.335416,0.422085,0.830614,-0.335176,0.371520,0.800756,-0.331079,0.373858,0.858961
1.000000,-0.335395,0.422087,0.830594,-0.335212,0.371485,0.800752,-0.331074,0.373873,0.858983
1.010000,-0.335415,0.422081,0.830590,-0.335218,0.371496,0.800773,-0.331097,0.373878,0.858986
1.020000,-0.335420,0.422102,0.830610,-0.335216,0.371504,0.800780,-0.331120,0.373875,0.859004
1.030000,-0.335487,0.422107,0.830651,-0.335296,0.371468,0.800834,-0.331104,0.373909,0.859056
1.040000,-0.335514,0.422124,0.830685,-0.335300,0.371500,0.800862,-0.331111,0.373956,0.859066
1.050000,-0.335535,0.422158,0.830728,-0.335333,0.371509,0.800906,-0.331098,0.373997,0.859132
1.060000,-0.335552,0.422192,0.830780,-0.335353,0.371526,0.800979,-0.331091,0.374064,0.859186
1.070000,-0.335587,0.422207,0.830849,-0.335390,0.371524,0.801040,-0.331117,0.374070,0.859254
1.080000,-0.335597,0.422234,0.830921,-0.335376,0.371557,0.801131,-0.331129,0.374094,0.859320
1.090000,-0.335615,0.422266,0.831002,-0.335357,0.371588,0.801201,-0.331114,0.374131,0.859404
1.100000,-0.335626,0.422277,0.831082,-0.335325,0.371627,0.801281,-0.331136,0.374138,0.859501
1.110000,-0.335629,0.422292,0.831166,-0.335282,0.371672,0.801369,-0.331111,0.374181,0.859587
1.120000,-0.335624,0.422295,0.831270,-0.335225,0.371701,0.801450,-0.331055,0.374229,0.859677
1.130000,-0.335611,0.422266,0.831395,-0.335202,0.371696,0.801530,-0.331034,0.374213,0.859778
1.140000,-0.335582,0.422245,0.831480,-0.335124,0.371728,0.801654,-0.330987,0.374210,0.859879
1.150000,-0.335543,0.422229,0.831574,-0.335072,0.371727,0.801731,-0.330955,0.374180,0.859981
1.160000,-0.335492,0.422222,0.831666,-0.334988,0.371699,0.801828,-0.330915,0.374152,0.860051
1.170000,-0.335446,0.422179,0.831743,-0.334953,0.371649,0.801915,-0.330859,0.374132,0.860133
1.180000,-0.335367,0.422142,0.831847,-0.334865,0.371676,0.801992,-0.330862,0.374059,0.860225
1.190000,-0.335318,0.422104,0.831937,-0.334795,0.371637,0.802069,-0.330926,0.373911,0.860337
1.200000,-0.335248,0.422066,0.832011,-0.334767,0.371567,0.802142,-0.330878,0.373868,0.860402
1.210000,-0.335169,0.422026,0.832089,-0.334676,0.371552,0.802199,-0.330837,0.373817,0.860463
1.220000,-0.335077,0.421990,0.832150,-0.334602,0.371533,0.802272,-0.330741,0.373786,0.860505
1.230000,-0.334979,0.421958,0.832217,-0.334595,0.371440,0.802336,-0.330691,0.373737,0.860548
1.240000,-0.334888,0.421919,0.832287,-0.334411,0.371510,0.802388,-0.330622,0.373719,0.860586
