Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.109002,0.020770,0.584187,-0.069205,-0.021717,0.575145,-0.124397,-0.033941,0.592842
0.010000,-0.108977,0.020764,0.584173,-0.069171,-0.021711,0.575134,-0.124377,-0.033945,0.592842
0.020000,-0.108989,0.020757,0.584181,-0.069184,-0.021750,0.575127,-0.124353,-0.033990,0.592834
0.030000,-0.108961,0.020735,0.584170,-0.069168,-0.021755,0.575112,-0.124350,-0.033987,0.592843
0.040000,-0.108951,0.020706,0.584176,-0.069169,-0.021779,0.575118,-0.124372,-0.033956,0.592844
0.050000,-0.108940,0.020704,0.584176,-0.069140,-0.021763,0.575115,-0.124354,-0.034003,0.592845
0.060000,-0.108942,0.020689,0.584184,-0.069165,-0.021814,0.575128,-0.124382,-0.034031,0.592856
0.070000,-0.108937,0.020682,0.584182,-0.069160,-0.021823,0.575128,-0.124369,-0.033992,0.592857
0.080000,-0.108938,0.020668,0.584178,-0.069165,-0.021831,0.575125,-0.124345,-0.034025,0.592844
0.090000,-0.108940,0.020652,0.584168,-0.069155,-0.021829,0.575112,-0.124350,-0.034032,0.592847
0.100000,-0.108939,0.020663,0.584163,-0.069132,-0.021812,0.575088,-0.124358,-0.034007,0.592848
0.110000,-0.108941,0.020660,0.584149,-0.069131,-0.021781,0.575089,-0.124338,-0.034050,0.592823
0.120000,-0.108941,0.020677,0.584140,-0.069170,-0.021811,0.575087,-0.124345,-0.034012,0.592809
0.130000,-0.108954,0.020701,0.584134,-0.069123,-0.021775,0.575066,-0.124344,-0.033990,0.592803
0.140000,-0.108942,0.020682,0.584128,-0.069131,-0.021771,0.575066,-0.124330,-0.033995,0.592804
0.150000,-0.108939,0.020692,0.584122,-0.069125,-0.021760,0.575062,-0.124324,-0.034024,0.592791
0.160000,-0.108935,0.020690,0.584125,-0.069134,-0.021755,0.575052,-0.124333,-0.034002,0.592792
0.170000,-0.108945,0.020680,0.584114,-0.069131,-0.021765,0.575048,-0.124332,-0.033997,0.592787
0.180000,-0.108943,0.020672,0.584112,-0.069119,-0.021765,0.575042,-0.124326,-0.034000,0.592785
0.190000,-0.108933,0.020682,0.584120,-0.069127,-0.021776,0.575036,-0.124333,-0.034006,0.592794
0.200000,-0.108950,0.020661,0.584112,-0.069128,-0.021794,0.575032,-0.124330,-0.034021,0.592794
0.210000,-0.108943,0.020676,0.584118,-0.069136,-0.021774,0.575042,-0.124333,-0.034025,0.592799
0.220000,-0.108941,0.020668,0.584121,-0.069137,-0.021801,0.575045,-0.124353,-0.034017,0.592810
0.230000,-0.108947,0.020677,0.584134,-0.069141,-0.021790,0.575065,-0.124357,-0.033984,0.592831
0.240000,-0.108964,0.020695,0.584164,-0.069143,-0.021791,0.575087,-0.124350,-0.033993,0.592840
0.250000,-0.108938,0.020701,0.584170,-0.069164,-0.021787,0.575110,-0.124364,-0.033958,0.592871
0.260000,-0.108948,0.020719,0.584189,-0.069173,-0.021765,0.575155,-0.124360,-0.033934,0.592917
0.270000,-0.108940,0.020746,0.584215,-0.069178,-0.021763,0.575190,-0.124361,-0.033926,0.592944
0.280000,-0.108944,0.020782,0.584230,-0.069162,-0.021725,0.575209,-0.124348,-0.033941,0.592958
0.290000,-0.108927,0.020782,0.584225,-0.069161,-0.021715,0.575221,-0.124329,-0.033917,0.592958
0.300000,-0.108864,0.020840,0.584241,-0.069135,-0.021688,0.575217,-0.124335,-0.033864,0.592955
0.310000,-0.108857,0.020852,0.584237,-0.069113,-0.021655,0.575212,-0.124312,-0.033887,0.592945
0.320000,-0.108830,0.020867,0.584239,-0.069088,-0.021660,0.575201,-0.124295,-0.033890,0.592929
0.330000,-0.108823,0.020867,0.584226,-0.069073,-0.021655,0.575198,-0.124289,-0.033861,0.592935
0.340000,-0.108809,0.020858,0.584225,-0.069062,-0.021681,0.575199,-0.124270,-0.033886,0.592915
0.350000,-0.108796,0.020865,0.584218,-0.069050,-0.021643,0.575192,-0.124268,-0.033876,0.592922
0.360000,-0.108793,0.020864,0.584222,-0.069050,-0.021665,0.575190,-0.124272,-0.033859,0.592914
0.370000,-0.108789,0.020857,0.584217,-0.069061,-0.021688,0.575168,-0.124264,-0.033876,0.592918
0.380000,-0.108792,0.020843,0.584205,-0.069060,-0.021706,0.575160,-0.124295,-0.033860,0.592913
0.390000,-0.108787,0.020829,0.584194,-0.069065,-0.021705,0.575147,-0.124310,-0.033849,0.592887
0.400000,-0.108807,0.020830,0.584190,-0.069093,-0.021725,0.575141,-0.124310,-0.033891,0.592877
0.410000,-0.108824,0.020824,0.584192,-0.069107,-0.021739,0.575126,-0.124324,-0.033906,0.592873
0.420000,-0.108831,0.020819,0.584182,-0.069108,-0.021726,0.575133,-0.124335,-0.033898,0.592861
0.430000,-0.108887,0.020765,0.584164,-0.069116,-0.021728,0.575123,-0.124345,-0.033912,0.592863
0.440000,-0.108848,0.020801,0.584166,-0.069128,-0.021742,0.575112,-0.124361,-0.033884,0.592852
0.450000,-0.108844,0.020811,0.584162,-0.069129,-0.021752,0.575095,-0.124367,-0.033914,0.592834
0.460000,-0.108847,0.020783,0.584153,-0.069120,-0.021764,0.575079,-0.124354,-0.033929,0.592829
0.470000,-0.108843,0.020799,0.584148,-0.069122,-0.021738,0.575076,-0.124342,-0.033925,0.592822
0.480000,-0.108835,0.020781,0.584143,-0.069117,-0.021771,0.575073,-0.124332,-0.033941,0.592814
0.490000,-0.108821,0.020773,0.584141,-0.069099,-0.021756,0.575074,-0.124329,-0.033930,0.592801
0.500000,-0.108808,0.020776,0.584139,-0.069098,-0.021765,0.575080,-0.124336,-0.033930,0.592803
0.510000,-0.108804,0.020777,0.584146,-0.069096,-0.021768,0.575075,-0.124318,-0.033953,0.592810
0.520000,-0.108799,0.020781,0.584149,-0.069090,-0.021772,0.575081,-0.124316,-0.033928,0.592820
0.530000,-0.108785,0.020778,0.584152,-0.069077,-0.021762,0.575087,-0.124309,-0.033937,0.592821
0.540000,-0.108781,0.020787,0.584158,-0.069061,-0.021755,0.575082,-0.124290,-0.033915,0.592827
0.550000,-0.108753,0.020797,0.584149,-0.069032,-0.021740,0.575090,-0.124248,-0.033928,0.592817
0.560000,-0.108729,0.020801,0.584148,-0.068986,-0.021694,0.575084,-0.124210,-0.033917,0.592812
0.570000,-0.108708,0.020822,0.584161,-0.068955,-0.021710,0.575106,-0.124156,-0.033944,0.592836
0.580000,-0.108684,0.020840,0.584180,-0.068924,-0.021663,0.575114,-0.124124,-0.033878,0.592835
0.590000,-0.108659,0.020857,0.584194,-0.068886,-0.021656,0.575118,-0.124088,-0.033841,0.592849
0.600000,-0.108641,0.020888,0.584201,-0.068877,-0.021620,0.575144,-0.124045,-0.033850,0.592870
0.610000,-0.108623,0.020909,0.584214,-0.068850,-0.021592,0.575159,-0.124039,-0.033784,0.592883
0.620000,-0.108614,0.020931,0.584236,-0.068834,-0.021574,0.575190,-0.124028,-0.033793,0.592902
0.630000,-0.108611,0.020964,0.584258,-0.068812,-0.021531,0.575206,-0.123980,-0.033769,0.592934
0.640000,-0.108599,0.021003,0.584270,-0.068808,-0.021487,0.575235,-0.123957,-0.033761,0.592951
0.650000,-0.108604,0.021015,0.584293,-0.068797,-0.021462,0.575263,-0.123950,-0.033703,0.592976
0.660000,-0.108610,0.021052,0.584319,-0.068787,-0.021411,0.575284,-0.123927,-0.033715,0.592993
0.670000,-0.108601,0.021075,0.584331,-0.068771,-0.021385,0.575322,-0.123923,-0.033661,0.593004
0.680000,-0.108600,0.021095,0.584339,-0.068757,-0.021345,0.575333,-0.123913,-0.033616,0.593024
0.690000,-0.108599,0.021117,0.584361,-0.068741,-0.021324,0.575360,-0.123889,-0.033634,0.593037
0.700000,-0.108589,0.021127,0.584372,-0.068735,-0.021295,0.575380,-0.123884,-0.033608,0.593061
0.710000,-0.108586,0.021145,0.584387,-0.068727,-0.021285,0.575404,-0.123882,-0.033574,0.593092
0.720000,-0.108581,0.021168,0.584393,-0.068716,-0.021255,0.575426,-0.123869,-0.033543,0.593096
0.730000,-0.108575,0.021186,0.584412,-0.068716,-0.021231,0.575442,-0.123865,-0.033562,0.593110
0.740000,-0.108572,0.021195,0.584420,-0.068715,-0.021212,0.575460,-0.123863,-0.033519,0.593128
0.750000,-0.108584,0.021211,0.584430,-0.068717,-0.021220,0.575469,-0.123866,-0.033545,0.593143
0.760000,-0.108589,0.021209,0.584444,-0.068731,-0.021208,0.575491,-0.123889,-0.033508,0.593157
0.770000,-0.108601,0.021206,0.584453,-0.068743,-0.021203,0.575506,-0.123905,-0.033539,0.593165
0.780000,-0.108613,0.021196,0.584456,-0.068766,-0.021216,0.575515,-0.123922,-0.033483,0.593175
0.790000,-0.108630,0.021200,0.584460,-0.068775,-0.021232,0.575524,-0.123931,-0.033536,0.593179
0.800000,-0.108632,0.021198,0.584461,-0.068774,-0.021229,0.575527,-0.123950,-0.033526,0.593166
0.810000,-0.108647,0.021181,0.584449,-0.068791,-0.021232,0.575537,-0.123964,-0.033513,0.593176
0.820000,-0.108657,0.021195,0.584458,-0.068790,-0.021217,0.575533,-0.123986,-0.033528,0.593154
0.830000,-0.108663,0.021208,0.584459,-0.068806,-0.021214,0.575539,-0.124002,-0.033546,0.593158
0.840000,-0.108686,0.021223,0.584459,-0.068827,-0.021199,0.575552,-0.124005,-0.033533,0.593128
0.850000,-0.108711,0.021223,0.584463,-0.068862,-0.021162,0.575580,-0.124056,-0.033520,0.593138
0.860000,-0.108758,0.021244,0.584472,-0.068874,-0.021176,0.575574,-0.124098,-0.033462,0.593148
0.870000,-0.108780,0.021260,0.584477,-0.068915,-0.021158,0.575592,-0.124125,-0.033484,0.593135
0.880000,-0.108793,0.021245,0.584483,-0.068939,-0.021152,0.575595,-0.124166,-0.033479,0.593132
0.890000,-0.108817,0.021238,0.584477,-0.068960,-0.021154,0.575598,-0.124188,-0.033493,0.593134
0.900000,-0.108840,0.021243,0.584479,-0.068984,-0.021171,0.575588,-0.124202,-0.033496,0.593127
0.910000,-0.108851,0.021239,0.584486,-0.069005,-0.021183,0.575586,-0.124238,-0.033504,0.593124
0.920000,-0.108877,0.021232,0.584481,-0.069020,-0.021175,0.575592,-0.124252,-0.033552,0.593105
0.930000,-0.108892,0.021235,0.584478,-0.069044,-0.021172,0.575590,-0.124262,-0.033566,0.593085
0.940000,-0.108913,0.021219,0.584469,-0.069056,-0.021181,0.575599,-0.124295,-0.033551,0.593086
0.950000,-0.108926,0.021239,0.584485,-0.069062,-0.021188,0.575600,-0.124300,-0.033586,0.593068
0.960000,-0.108933,0.021246,0.584489,-0.069077,-0.021182,0.575613,-0.124317,-0.033549,0.593067
0.970000,-0.108944,0.021231,0.584486,-0.069079,-0.021181,0.575619,-0.124324,-0.033567,0.593072
0.980000,-0.108985,0.021194,0.584485,-0.069078,-0.021164,0.575631,-0.124332,-0.033563,0.593082
0.990000,-0.108936,0.021251,0.584513,-0.069087,-0.021181,0.575633,-0.124337,-0.033536,0.593074
1.000000,-0.108950,0.021249,0.584520,-0.069076,-0.021178,0.575643,-0.124342,-0.033528,0.593083
1.010000,-0.108952,0.021261,0.584527,-0.069092,-0.021144,0.575661,-0.124347,-0.033525,0.593080
1.020000,-0.108953,0.021291,0.584555,-0.069088,-0.021112,0.575671,-0.124360,-0.033498,0.593088
1.030000,-0.108967,0.021299,0.584563,-0.069109,-0.021126,0.575696,-0.124367,-0.033510,0.593094
1.040000,-0.109010,0.021262,0.584555,-0.069101,-0.021098,0.575719,-0.124357,-0.033511,0.593094
1.050000,-0.109020,0.021266,0.584573,-0.069098,-0.021108,0.575716,-0.124358,-0.033545,0.593105
1.060000,-0.109022,0.021267,0.584578,-0.069094,-0.021075,0.575754,-0.124345,-0.033517,0.593121
1.070000,-0.109019,0.021262,0.584592,-0.069079,-0.021060,0.575767,-0.124342,-0.033520,0.593132
1.080000,-0.108997,0.021291,0.584605,-0.069075,-0.021044,0.575774,-0.124347,-0.033463,0.593147
1.090000,-0.108948,0.021347,0.584633,-0.069064,-0.021031,0.575792,-0.124322,-0.033459,0.593165
1.100000,-0.109008,0.021303,0.584635,-0.069052,-0.021001,0.575837,-0.124321,-0.033422,0.593184
1.110000,-0.108995,0.021334,0.584650,-0.069058,-0.021000,0.575850,-0.124327,-0.033417,0.593211
1.120000,-0.109004,0.021342,0.584663,-0.069054,-0.020986,0.575868,-0.124307,-0.033451,0.593217
1.130000,-0.108995,0.021345,0.584676,-0.069046,-0.020964,0.575887,-0.124318,-0.033400,0.593232
1.140000,-0.109008,0.021347,0.584688,-0.069046,-0.020969,0.575892,-0.124317,-0.033381,0.593243
