Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.099988,0.029255,0.586767,-0.062471,-0.015194,0.577263,-0.114637,-0.024377,0.603999
0.010000,-0.099987,0.029277,0.586776,-0.062475,-0.015176,0.577273,-0.114628,-0.024375,0.604008
0.020000,-0.099978,0.029284,0.586774,-0.062463,-0.015167,0.577279,-0.114617,-0.024337,0.604017
0.030000,-0.099968,0.029306,0.586784,-0.062454,-0.015141,0.577283,-0.114607,-0.024321,0.604029
0.040000,-0.099960,0.029301,0.586787,-0.062439,-0.015123,0.577295,-0.114601,-0.024319,0.604041
0.050000,-0.099942,0.029304,0.586794,-0.062431,-0.015140,0.577299,-0.114588,-0.024329,0.604053
0.060000,-0.099938,0.029297,0.586799,-0.062418,-0.015147,0.577313,-0.114561,-0.024300,0.604057
0.070000,-0.099927,0.029311,0.586804,-0.062405,-0.015122,0.577315,-0.114525,-0.024310,0.604077
0.080000,-0.099924,0.029333,0.586807,-0.062408,-0.015128,0.577319,-0.114546,-0.024266,0.604087
0.090000,-0.099910,0.029357,0.586812,-0.062399,-0.015105,0.577328,-0.114530,-0.024228,0.604104
0.100000,-0.099927,0.029370,0.586808,-0.062394,-0.015093,0.577337,-0.114532,-0.024221,0.604109
0.110000,-0.099949,0.029412,0.586822,-0.062417,-0.015039,0.577357,-0.114544,-0.024180,0.604133
0.120000,-0.099958,0.029435,0.586830,-0.062432,-0.015022,0.577378,-0.114573,-0.024173,0.604136
0.130000,-0.099959,0.029463,0.586843,-0.062443,-0.015017,0.577393,-0.114586,-0.024170,0.604160
0.140000,-0.100005,0.029472,0.586851,-0.062478,-0.015034,0.577411,-0.114619,-0.024131,0.604187
0.150000,-0.100027,0.029490,0.586864,-0.062485,-0.014994,0.577437,-0.114630,-0.024097,0.604216
0.160000,-0.100036,0.029495,0.586865,-0.062499,-0.014989,0.577445,-0.114661,-0.024100,0.604224
0.170000,-0.100037,0.029493,0.586863,-0.062512,-0.014990,0.577450,-0.114662,-0.024112,0.604218
0.180000,-0.100036,0.029497,0.586856,-0.062510,-0.014996,0.577437,-0.114651,-0.024103,0.604215
0.190000,-0.100033,0.029488,0.586849,-0.062508,-0.014994,0.577421,-0.114652,-0.024121,0.604210
0.200000,-0.100024,0.029494,0.586842,-0.062516,-0.015013,0.577406,-0.114646,-0.024115,0.604211
0.210000,-0.100023,0.029490,0.586843,-0.062508,-0.015023,0.577406,-0.114651,-0.024095,0.604218
0.220000,-0.100028,0.029493,0.586840,-0.062520,-0.015024,0.577406,-0.114651,-0.024116,0.604221
0.230000,-0.100023,0.029474,0.586849,-0.062535,-0.015032,0.577419,-0.114665,-0.024102,0.604232
0.240000,-0.100028,0.029480,0.586853,-0.062542,-0.015042,0.577423,-0.114677,-0.024104,0.604235
0.250000,-0.100036,0.029467,0.586847,-0.062541,-0.015056,0.577439,-0.114676,-0.024133,0.604229
0.260000,-0.100039,0.029426,0.586848,-0.062548,-0.015065,0.577426,-0.114685,-0.024148,0.604217
0.270000,-0.100027,0.029426,0.586845,-0.062553,-0.015098,0.577425,-0.114697,-0.024180,0.604209
0.280000,-0.100022,0.029411,0.586830,-0.062547,-0.015107,0.577406,-0.114696,-0.024189,0.604195
0.290000,-0.100020,0.029419,0.586818,-0.062544,-0.015129,0.577388,-0.114686,-0.024205,0.604176
0.300000,-0.099998,0.029377,0.586824,-0.062547,-0.015147,0.577363,-0.114690,-0.024223,0.604169
0.310000,-0.099983,0.029316,0.586813,-0.062558,-0.015190,0.577351,-0.114683,-0.024264,0.604152
0.320000,-0.099990,0.029287,0.586822,-0.062559,-0.015236,0.577337,-0.114695,-0.024280,0.604152
0.330000,-0.099991,0.029281,0.586805,-0.062562,-0.015273,0.577320,-0.114709,-0.024303,0.604125
0.340000,-0.099995,0.029253,0.586797,-0.062574,-0.015298,0.577306,-0.114724,-0.024348,0.604123
0.350000,-0.100005,0.029233,0.586793,-0.062591,-0.015324,0.577289,-0.114733,-0.024369,0.604106
0.360000,-0.100015,0.029205,0.586789,-0.062621,-0.015331,0.577287,-0.114753,-0.024412,0.604088
0.370000,-0.100019,0.029200,0.586785,-0.062623,-0.015394,0.577258,-0.114770,-0.024418,0.604078
0.380000,-0.100029,0.029171,0.586770,-0.062662,-0.015424,0.577237,-0.114783,-0.024446,0.604038
0.390000,-0.100041,0.029148,0.586757,-0.062674,-0.015444,0.577221,-0.114796,-0.024459,0.604029
0.400000,-0.100045,0.029126,0.586751,-0.062708,-0.015492,0.577183,-0.114802,-0.024502,0.604011
0.410000,-0.100062,0.029110,0.586734,-0.062708,-0.015508,0.577175,-0.114807,-0.024540,0.603990
0.420000,-0.100060,0.029052,0.586726,-0.062736,-0.015573,0.577136,-0.114823,-0.024557,0.603968
0.430000,-0.100060,0.029030,0.586710,-0.062744,-0.015609,0.577114,-0.114844,-0.024695,0.603975
0.440000,-0.100054,0.029025,0.586698,-0.062748,-0.015640,0.577081,-0.114837,-0.024627,0.603934
0.450000,-0.100065,0.028974,0.586688,-0.062752,-0.015671,0.577062,-0.114864,-0.024731,0.603944
0.460000,-0.100062,0.028955,0.586670,-0.062768,-0.015719,0.577039,-0.114860,-0.024738,0.603925
0.470000,-0.100062,0.028945,0.586663,-0.062761,-0.015730,0.577017,-0.114855,-0.024783,0.603908
0.480000,-0.100053,0.028921,0.586645,-0.062762,-0.015764,0.576995,-0.114848,-0.024723,0.603865
0.490000,-0.100048,0.028898,0.586634,-0.062784,-0.015827,0.576967,-0.114835,-0.024736,0.603842
0.500000,-0.100049,0.028870,0.586627,-0.062760,-0.015814,0.576948,-0.114842,-0.024833,0.603847
0.510000,-0.100041,0.028855,0.586611,-0.062765,-0.015842,0.576939,-0.114829,-0.024756,0.603821
0.520000,-0.100029,0.028846,0.586610,-0.062761,-0.015858,0.576918,-0.114850,-0.024853,0.603829
0.530000,-0.100029,0.028843,0.586607,-0.062762,-0.015878,0.576912,-0.114847,-0.024903,0.603826
0.540000,-0.100037,0.028817,0.586604,-0.062765,-0.015892,0.576904,-0.114861,-0.024918,0.603824
0.550000,-0.100038,0.028824,0.586598,-0.062755,-0.015894,0.576904,-0.114850,-0.024906,0.603806
0.560000,-0.100033,0.028818,0.586596,-0.062771,-0.015927,0.576895,-0.114832,-0.024843,0.603788
0.570000,-0.100018,0.028805,0.586596,-0.062777,-0.015946,0.576885,-0.114822,-0.024853,0.603786
0.580000,-0.100024,0.028799,0.586604,-0.062768,-0.015958,0.576880,-0.114828,-0.024950,0.603802
0.590000,-0.100023,0.028791,0.586599,-0.062776,-0.015948,0.576882,-0.114842,-0.024951,0.603810
0.600000,-0.100014,0.028765,0.586605,-0.062774,-0.015980,0.576889,-0.114840,-0.024957,0.603821
0.610000,-0.100018,0.028771,0.586624,-0.062787,-0.015977,0.576893,-0.114835,-0.024958,0.603821
0.620000,-0.100028,0.028741,0.586637,-0.062783,-0.015982,0.576899,-0.114839,-0.024959,0.603835
0.630000,-0.100019,0.028778,0.586631,-0.062781,-0.016001,0.576909,-0.114849,-0.024981,0.603840
0.640000,-0.100039,0.028770,0.586626,-0.062781,-0.015975,0.576917,-0.114842,-0.024983,0.603850
0.650000,-0.100050,0.028731,0.586641,-0.062787,-0.015978,0.576923,-0.114848,-0.024972,0.603857
0.660000,-0.100050,0.028741,0.586649,-0.062764,-0.015960,0.576942,-0.114845,-0.024967,0.603870
0.670000,-0.100050,0.028737,0.586655,-0.062772,-0.015960,0.576940,-0.114840,-0.024906,0.603877
0.680000,-0.100048,0.028737,0.586661,-0.062778,-0.015976,0.576941,-0.114835,-0.024955,0.603876
0.690000,-0.100046,0.028748,0.586666,-0.062767,-0.015951,0.576944,-0.114825,-0.024934,0.603897
0.700000,-0.100026,0.028774,0.586665,-0.062756,-0.015920,0.576958,-0.114824,-0.024943,0.603901
0.710000,-0.100018,0.028776,0.586671,-0.062749,-0.015920,0.576968,-0.114828,-0.024925,0.603903
0.720000,-0.100024,0.028772,0.586677,-0.062735,-0.015908,0.576968,-0.114821,-0.024921,0.603911
0.730000,-0.100015,0.028803,0.586677,-0.062739,-0.015896,0.576985,-0.114826,-0.024899,0.603928
0.740000,-0.100028,0.028771,0.586690,-0.062742,-0.015903,0.576999,-0.114819,-0.024903,0.603930
0.750000,-0.100014,0.028802,0.586688,-0.062752,-0.015919,0.577014,-0.114824,-0.024900,0.603946
0.760000,-0.100021,0.028774,0.586693,-0.062744,-0.015915,0.577019,-0.114828,-0.024909,0.603945
0.770000,-0.100031,0.028761,0.586697,-0.062742,-0.015895,0.577026,-0.114822,-0.024877,0.603949
0.780000,-0.100009,0.028786,0.586686,-0.062743,-0.015904,0.577011,-0.114817,-0.024914,0.603948
0.790000,-0.100018,0.028789,0.586684,-0.062745,-0.015887,0.577002,-0.114817,-0.024869,0.603956
0.800000,-0.100007,0.028833,0.586680,-0.062742,-0.015895,0.577005,-0.114809,-0.024857,0.603965
0.810000,-0.100002,0.028849,0.586671,-0.062763,-0.015910,0.577001,-0.114824,-0.024856,0.603968
0.820000,-0.100010,0.028868,0.586675,-0.062758,-0.015836,0.577001,-0.114843,-0.024814,0.603973
0.830000,-0.100025,0.028864,0.586677,-0.062759,-0.015833,0.577016,-0.114833,-0.024809,0.603956
0.840000,-0.100022,0.028906,0.586669,-0.062768,-0.015825,0.577025,-0.114853,-0.024803,0.603952
0.850000,-0.100031,0.028903,0.586659,-0.062776,-0.015820,0.577015,-0.114862,-0.024801,0.603957
0.860000,-0.100037,0.028909,0.586649,-0.062782,-0.015820,0.577008,-0.114868,-0.024803,0.603946
0.870000,-0.100042,0.028901,0.586640,-0.062784,-0.015796,0.576995,-0.114862,-0.024806,0.603928
0.880000,-0.100037,0.028906,0.586628,-0.062805,-0.015835,0.576981,-0.114878,-0.024789,0.603924
0.890000,-0.100038,0.028914,0.586631,-0.062790,-0.015804,0.576965,-0.114870,-0.024777,0.603917
0.900000,-0.100038,0.028912,0.586621,-0.062789,-0.015807,0.576961,-0.114868,-0.024763,0.603922
0.910000,-0.100040,0.028914,0.586619,-0.062812,-0.015841,0.576968,-0.114873,-0.024790,0.603924
0.920000,-0.100049,0.028912,0.586631,-0.062806,-0.015828,0.576975,-0.114882,-0.024781,0.603927
0.930000,-0.100054,0.028917,0.586630,-0.062818,-0.015835,0.576983,-0.114886,-0.024789,0.603923
0.940000,-0.100053,0.028904,0.586635,-0.062800,-0.015810,0.576981,-0.114892,-0.024790,0.603918
0.950000,-0.100057,0.028900,0.586622,-0.062821,-0.015850,0.576979,-0.114889,-0.024814,0.603915
0.960000,-0.100053,0.028896,0.586626,-0.062796,-0.015828,0.576971,-0.114879,-0.024781,0.603919
0.970000,-0.100039,0.028889,0.586627,-0.062797,-0.015840,0.576962,-0.114875,-0.024785,0.603907
0.980000,-0.100036,0.028900,0.586622,-0.062785,-0.015835,0.576962,-0.114867,-0.024808,0.603903
0.990000,-0.100036,0.028887,0.586619,-0.062806,-0.015855,0.576961,-0.114876,-0.024821,0.603906
1.000000,-0.100033,0.028890,0.586623,-0.062780,-0.015832,0.576964,-0.114862,-0.024825,0.603916
1.010000,-0.100027,0.028876,0.586633,-0.062789,-0.015858,0.576976,-0.114861,-0.024830,0.603915
1.020000,-0.100031,0.028873,0.586640,-0.062777,-0.015852,0.576987,-0.114860,-0.024840,0.603917
1.030000,-0.100022,0.028879,0.586632,-0.062797,-0.015864,0.576985,-0.114856,-0.024856,0.603915
1.040000,-0.100027,0.028857,0.586639,-0.062777,-0.015865,0.576987,-0.114864,-0.024834,0.603922
1.050000,-0.100035,0.028848,0.586638,-0.062771,-0.015850,0.576987,-0.114870,-0.024848,0.603920
1.060000,-0.100043,0.028841,0.586648,-0.062792,-0.015869,0.576986,-0.114860,-0.024852,0.603924
1.070000,-0.100043,0.028826,0.586652,-0.062812,-0.015892,0.576997,-0.114882,-0.024845,0.603935
1.080000,-0.100066,0.028814,0.586659,-0.062819,-0.015895,0.577002,-0.114895,-0.024855,0.603927
1.090000,-0.100068,0.028827,0.586668,-0.062825,-0.015905,0.577009,-0.114904,-0.024883,0.603929
1.100000,-0.100086,0.028796,0.586674,-0.062841,-0.015899,0.577021,-0.114908,-0.024879,0.603940
1.110000,-0.100095,0.028794,0.586680,-0.062841,-0.015916,0.577024,-0.114923,-0.024886,0.603938
