Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.535922,0.023608,0.248466,0.502941,0.017219,0.201770,0.561815,0.014376,0.199987
0.010000,0.535958,0.023657,0.248488,0.502967,0.017301,0.201786,0.561871,0.014507,0.200026
0.020000,0.535981,0.023713,0.248505,0.503014,0.017328,0.201783,0.561910,0.014576,0.200046
0.030000,0.536002,0.023780,0.248531,0.503045,0.017407,0.201796,0.561922,0.014635,0.200065
0.040000,0.536019,0.023803,0.248539,0.503069,0.017447,0.201808,0.561950,0.014683,0.200070
0.050000,0.536039,0.023839,0.248549,0.503076,0.017517,0.201828,0.561968,0.014730,0.200082
0.060000,0.536053,0.023866,0.248560,0.503114,0.017535,0.201823,0.561985,0.014777,0.200101
0.070000,0.536072,0.023889,0.248571,0.503126,0.017571,0.201829,0.562000,0.014814,0.200111
0.080000,0.536091,0.023903,0.248580,0.503141,0.017607,0.201844,0.562026,0.014869,0.200119
0.090000,0.536109,0.023943,0.248587,0.503147,0.017656,0.201862,0.562024,0.014937,0.200112
0.100000,0.536113,0.023973,0.248580,0.503150,0.017674,0.201847,0.562032,0.014937,0.200099
0.110000,0.536114,0.024004,0.248560,0.503145,0.017708,0.201834,0.562030,0.014993,0.200077
0.120000,0.536113,0.024014,0.248539,0.503142,0.017712,0.201809,0.562031,0.015010,0.200049
0.130000,0.536119,0.024073,0.248502,0.503142,0.017711,0.201777,0.562019,0.015045,0.200029
0.140000,0.536101,0.024080,0.248476,0.503136,0.017729,0.201759,0.562018,0.015043,0.199997
0.150000,0.536097,0.024088,0.248451,0.503128,0.017725,0.201734,0.562007,0.015067,0.199982
0.160000,0.536095,0.024094,0.248441,0.503124,0.017721,0.201723,0.561982,0.015045,0.199952
0.170000,0.536084,0.024097,0.248426,0.503101,0.017747,0.201701,0.561967,0.015042,0.199923
0.180000,0.536073,0.024105,0.248409,0.503082,0.017730,0.201677,0.561952,0.015038,0.199912
0.190000,0.536053,0.024103,0.248387,0.503083,0.017770,0.201657,0.561945,0.015050,0.199893
0.200000,0.536046,0.024092,0.248377,0.503068,0.017747,0.201635,0.561926,0.015036,0.199882
0.210000,0.536029,0.024077,0.248378,0.503054,0.017757,0.201632,0.561922,0.015024,0.199877
0.220000,0.536013,0.024060,0.248379,0.503037,0.017744,0.201633,0.561902,0.015016,0.199875
0.230000,0.535987,0.024028,0.248384,0.503018,0.017732,0.201650,0.561880,0.014969,0.199890
0.240000,0.535956,0.024006,0.248404,0.502967,0.017735,0.201679,0.561854,0.014976,0.199911
0.250000,0.535927,0.023965,0.248422,0.502935,0.017729,0.201699,0.561812,0.014952,0.199926
0.260000,0.535900,0.023923,0.248422,0.502902,0.017671,0.201722,0.561776,0.014903,0.199936
0.270000,0.535849,0.023900,0.248432,0.502861,0.017644,0.201720,0.561716,0.014902,0.199947
0.280000,0.535801,0.023852,0.248442,0.502825,0.017612,0.201733,0.561675,0.014864,0.199956
0.290000,0.535773,0.023830,0.248455,0.502782,0.017551,0.201743,0.561628,0.014801,0.199939
0.300000,0.535757,0.023782,0.248467,0.502759,0.017512,0.201757,0.561601,0.014782,0.199945
0.310000,0.535739,0.023760,0.248480,0.502748,0.017494,0.201773,0.561579,0.014705,0.199956
0.320000,0.535735,0.023723,0.248490,0.502741,0.017482,0.201789,0.561579,0.014649,0.199978
0.330000,0.535716,0.023685,0.248509,0.502726,0.017428,0.201799,0.561566,0.014600,0.199990
0.340000,0.535708,0.023670,0.248529,0.502709,0.017399,0.201815,0.561560,0.014574,0.199997
0.350000,0.535683,0.023618,0.248543,0.502707,0.017371,0.201845,0.561539,0.014537,0.200019
0.360000,0.535681,0.023520,0.248578,0.502687,0.017315,0.201855,0.561527,0.014489,0.200029
0.370000,0.535660,0.023480,0.248590,0.502661,0.017283,0.201863,0.561507,0.014475,0.200043
0.380000,0.535642,0.023452,0.248593,0.502662,0.017232,0.201877,0.561520,0.014409,0.200063
0.390000,0.535634,0.023419,0.248608,0.502652,0.017172,0.201885,0.561501,0.014382,0.200066
0.400000,0.535633,0.023399,0.248630,0.502650,0.017159,0.201900,0.561519,0.014338,0.200094
0.410000,0.535641,0.023371,0.248638,0.502663,0.017119,0.201912,0.561519,0.014320,0.200103
0.420000,0.535648,0.023342,0.248645,0.502669,0.017099,0.201928,0.561539,0.014275,0.200134
0.430000,0.535655,0.023318,0.248669,0.502682,0.017065,0.201939,0.561552,0.014251,0.200151
0.440000,0.535665,0.023311,0.248685,0.502698,0.017059,0.201970,0.561571,0.014233,0.200176
0.450000,0.535680,0.023287,0.248704,0.502710,0.017053,0.201977,0.561584,0.014186,0.200189
0.460000,0.535683,0.023266,0.248715,0.502722,0.017057,0.201989,0.561591,0.014188,0.200203
0.470000,0.535680,0.023255,0.248733,0.502722,0.017022,0.202003,0.561593,0.014175,0.200220
0.480000,0.535686,0.023243,0.248735,0.502723,0.017060,0.202018,0.561594,0.014174,0.200225
0.490000,0.535689,0.023256,0.248740,0.502728,0.017022,0.202022,0.561594,0.014177,0.200241
0.500000,0.535694,0.023269,0.248746,0.502716,0.017035,0.202034,0.561589,0.014194,0.200231
0.510000,0.535699,0.023282,0.248747,0.502722,0.017036,0.202033,0.561593,0.014193,0.200227
0.520000,0.535705,0.023301,0.248733,0.502723,0.017051,0.202026,0.561602,0.014185,0.200225
0.530000,0.535706,0.023296,0.248721,0.502739,0.017036,0.202005,0.561604,0.014210,0.200208
0.540000,0.535722,0.023314,0.248707,0.502745,0.017049,0.201998,0.561612,0.014218,0.200190
0.550000,0.535749,0.023348,0.248692,0.502752,0.017053,0.201975,0.561631,0.014212,0.200173
0.560000,0.535753,0.023348,0.248673,0.502773,0.017061,0.201958,0.561636,0.014233,0.200152
0.570000,0.535754,0.023368,0.248647,0.502779,0.017055,0.201932,0.561648,0.014230,0.200127
0.580000,0.535765,0.023361,0.248617,0.502798,0.017054,0.201887,0.561660,0.014228,0.200102
0.590000,0.535779,0.023380,0.248590,0.502806,0.017052,0.201871,0.561693,0.014223,0.200063
0.600000,0.535803,0.023401,0.248568,0.502815,0.017039,0.201843,0.561693,0.014186,0.200044
0.610000,0.535801,0.023366,0.248534,0.502821,0.017030,0.201831,0.561701,0.014188,0.200027
0.620000,0.535811,0.023356,0.248514,0.502823,0.017025,0.201825,0.561683,0.014200,0.200029
0.630000,0.535807,0.023338,0.248526,0.502813,0.016998,0.201813,0.561675,0.014169,0.200018
0.640000,0.535803,0.023333,0.248505,0.502812,0.016980,0.201812,0.561698,0.014132,0.200002
