Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.051355,0.446289,0.741676,-0.047577,0.398216,0.709773,-0.052663,0.396886,0.769643
0.010000,-0.051410,0.446301,0.741687,-0.047620,0.398242,0.709816,-0.052717,0.396888,0.769665
0.020000,-0.051439,0.446331,0.741689,-0.047647,0.398263,0.709818,-0.052778,0.396876,0.769658
0.030000,-0.051487,0.446357,0.741692,-0.047692,0.398254,0.709832,-0.052799,0.396904,0.769669
0.040000,-0.051528,0.446372,0.741685,-0.047690,0.398319,0.709822,-0.052836,0.396901,0.769669
0.050000,-0.051538,0.446406,0.741699,-0.047951,0.398656,0.709758,-0.052832,0.396956,0.769663
0.060000,-0.051573,0.446414,0.741706,-0.047727,0.398359,0.709812,-0.052858,0.396940,0.769666
0.070000,-0.051573,0.446418,0.741688,-0.047755,0.398306,0.709830,-0.052853,0.396965,0.769671
0.080000,-0.051597,0.446417,0.741703,-0.047730,0.398377,0.709817,-0.052854,0.396977,0.769661
0.090000,-0.051588,0.446435,0.741709,-0.047750,0.398341,0.709832,-0.052818,0.397021,0.769693
0.100000,-0.051570,0.446440,0.741703,-0.047724,0.398392,0.709826,-0.052808,0.397032,0.769692
0.110000,-0.051556,0.446446,0.741730,-0.047716,0.398352,0.709849,-0.052792,0.397009,0.769698
0.120000,-0.051527,0.446439,0.741718,-0.047684,0.398378,0.709841,-0.052759,0.397010,0.769711
0.130000,-0.051489,0.446444,0.741754,-0.047675,0.398345,0.709864,-0.052739,0.397005,0.769716
0.140000,-0.051464,0.446421,0.741763,-0.047644,0.398346,0.709857,-0.052701,0.396987,0.769725
0.150000,-0.051427,0.446401,0.741792,-0.047604,0.398321,0.709867,-0.052681,0.396964,0.769733
0.160000,-0.051380,0.446357,0.741778,-0.047575,0.398308,0.709884,-0.052592,0.396996,0.769738
0.170000,-0.051340,0.446337,0.741836,-0.047538,0.398277,0.709905,-0.052553,0.396961,0.769758
0.180000,-0.051289,0.446300,0.741853,-0.047511,0.398249,0.709903,-0.052555,0.396884,0.769780
0.190000,-0.051224,0.446294,0.741876,-0.047492,0.398194,0.709943,-0.052523,0.396854,0.769792
0.200000,-0.051183,0.446258,0.741894,-0.047434,0.398201,0.709916,-0.052483,0.396837,0.769808
0.210000,-0.051151,0.446232,0.741913,-0.047403,0.398163,0.709937,-0.052466,0.396770,0.769815
0.220000,-0.051121,0.446220,0.741927,-0.047375,0.398145,0.709951,-0.052375,0.396803,0.769819
0.230000,-0.051093,0.446211,0.741944,-0.047363,0.398136,0.709981,-0.052380,0.396763,0.769863
0.240000,-0.051072,0.446195,0.741951,-0.047333,0.398130,0.709974,-0.052370,0.396745,0.769880
0.250000,-0.051057,0.446194,0.741968,-0.047322,0.398133,0.710002,-0.052340,0.396741,0.769883
0.260000,-0.051041,0.446196,0.741979,-0.047303,0.398138,0.710018,-0.052324,0.396741,0.769898
0.270000,-0.051027,0.446197,0.741995,-0.047302,0.398134,0.710024,-0.052312,0.396760,0.769910
0.280000,-0.051033,0.446195,0.742012,-0.047297,0.398142,0.710018,-0.052308,0.396756,0.769919
0.290000,-0.051037,0.446221,0.742015,-0.047300,0.398154,0.710053,-0.052306,0.396761,0.769926
0.300000,-0.051044,0.446223,0.742027,-0.047306,0.398186,0.710056,-0.052312,0.396778,0.769940
0.310000,-0.051046,0.446233,0.742032,-0.047317,0.398184,0.710059,-0.052280,0.396845,0.769957
0.320000,-0.051054,0.446256,0.742045,-0.047337,0.398166,0.710087,-0.052295,0.396842,0.769967
0.330000,-0.051079,0.446265,0.742045,-0.047336,0.398203,0.710084,-0.052320,0.396851,0.769963
