Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.146138,0.029698,0.561267,0.180966,-0.016457,0.551587,0.126544,-0.024297,0.574825
0.010000,0.146142,0.029693,0.561288,0.180953,-0.016447,0.551629,0.126544,-0.024316,0.574825
0.020000,0.146143,0.029672,0.561284,0.180942,-0.016510,0.551640,0.126515,-0.024338,0.574834
0.030000,0.146129,0.029687,0.561303,0.180938,-0.016487,0.551655,0.126507,-0.024282,0.574871
0.040000,0.146104,0.029660,0.561309,0.180932,-0.016474,0.551679,0.126498,-0.024344,0.574895
0.050000,0.146098,0.029673,0.561335,0.180919,-0.016477,0.551705,0.126492,-0.024290,0.574935
0.060000,0.146081,0.029680,0.561347,0.180920,-0.016986,0.551851,0.126479,-0.024310,0.574935
0.070000,0.146065,0.029668,0.561344,0.180883,-0.016514,0.551743,0.126451,-0.024350,0.574938
0.080000,0.146048,0.029686,0.561361,0.180856,-0.016520,0.551735,0.126420,-0.024332,0.574934
0.090000,0.146042,0.029673,0.561383,0.180831,-0.016539,0.551748,0.126382,-0.024355,0.574924
0.100000,0.146009,0.029683,0.561375,0.180800,-0.016540,0.551764,0.126345,-0.024323,0.574919
0.110000,0.145980,0.029680,0.561372,0.180767,-0.016548,0.551758,0.126325,-0.024282,0.574945
0.120000,0.145961,0.029683,0.561373,0.180739,-0.016553,0.551766,0.126313,-0.024285,0.574981
0.130000,0.145933,0.029681,0.561380,0.180739,-0.017037,0.551896,0.126267,-0.024247,0.574962
0.140000,0.145915,0.029699,0.561378,0.180701,-0.016541,0.551795,0.126259,-0.024265,0.574946
0.150000,0.145888,0.029674,0.561388,0.180651,-0.016585,0.551787,0.126229,-0.024225,0.574975
0.160000,0.145870,0.029672,0.561387,0.180643,-0.016578,0.551771,0.126204,-0.024245,0.574953
0.170000,0.145844,0.029625,0.561380,0.180618,-0.016589,0.551764,0.126195,-0.024242,0.574931
0.180000,0.145877,0.029721,0.561377,0.180650,-0.017063,0.551888,0.126206,-0.024268,0.574929
0.190000,0.145876,0.029718,0.561375,0.180650,-0.016542,0.551777,0.126182,-0.024193,0.574939
0.200000,0.145878,0.029718,0.561353,0.180680,-0.016495,0.551786,0.126213,-0.024255,0.574904
0.210000,0.145903,0.029747,0.561354,0.180689,-0.016476,0.551771,0.126206,-0.024186,0.574928
0.220000,0.145911,0.029766,0.561351,0.180677,-0.016457,0.551744,0.126216,-0.024174,0.574920
0.230000,0.145906,0.029741,0.561344,0.180667,-0.016491,0.551732,0.126229,-0.024148,0.574915
0.240000,0.145924,0.029776,0.561338,0.180697,-0.016464,0.551731,0.126243,-0.024155,0.574900
0.250000,0.145923,0.029812,0.561333,0.180725,-0.016424,0.551738,0.126259,-0.024128,0.574885
0.260000,0.145948,0.029814,0.561315,0.180730,-0.016398,0.551724,0.126260,-0.024134,0.574840
0.270000,0.145959,0.029845,0.561326,0.180754,-0.016344,0.551721,0.126279,-0.024055,0.574879
0.280000,0.145963,0.029847,0.561321,0.180781,-0.016331,0.551762,0.126295,-0.024054,0.574877
0.290000,0.145978,0.029881,0.561337,0.180783,-0.016328,0.551757,0.126312,-0.024048,0.574856
0.300000,0.145980,0.029883,0.561345,0.180783,-0.016327,0.551773,0.126304,-0.024014,0.574888
0.310000,0.145981,0.029917,0.561362,0.180801,-0.016265,0.551791,0.126327,-0.024035,0.574908
0.320000,0.145983,0.029901,0.561366,0.180817,-0.016287,0.551812,0.126346,-0.024051,0.574901
0.330000,0.146003,0.029926,0.561383,0.180831,-0.016284,0.551806,0.126369,-0.024062,0.574908
0.340000,0.146020,0.029916,0.561392,0.180858,-0.016254,0.551831,0.126350,-0.024077,0.574896
0.350000,0.146029,0.029898,0.561392,0.180909,-0.016253,0.551851,0.126401,-0.024073,0.574901
0.360000,0.146062,0.029906,0.561406,0.180945,-0.016253,0.551861,0.126429,-0.024077,0.574924
0.370000,0.146082,0.029929,0.561424,0.180992,-0.016215,0.551873,0.126487,-0.024029,0.574947
0.380000,0.146137,0.029954,0.561436,0.181003,-0.016202,0.551868,0.126525,-0.024030,0.574954
0.390000,0.146155,0.029936,0.561409,0.181049,-0.016157,0.551863,0.126546,-0.024021,0.574957
0.400000,0.146203,0.029962,0.561421,0.181071,-0.016156,0.551877,0.126589,-0.023946,0.575003
0.410000,0.146240,0.029999,0.561446,0.181106,-0.016093,0.551898,0.126629,-0.023929,0.575031
0.420000,0.146248,0.030069,0.561484,0.181132,-0.016049,0.551916,0.126653,-0.023860,0.575073
0.430000,0.146267,0.030094,0.561492,0.181146,-0.016011,0.551925,0.126682,-0.023852,0.575051
0.440000,0.146269,0.030144,0.561488,0.181152,-0.015987,0.551929,0.126696,-0.023861,0.575056
0.450000,0.146285,0.030174,0.561514,0.181172,-0.015936,0.551953,0.126709,-0.023780,0.575069
0.460000,0.146259,0.030182,0.561534,0.181165,-0.015920,0.551975,0.126692,-0.023781,0.575086
0.470000,0.146260,0.030200,0.561543,0.181165,-0.015872,0.552000,0.126701,-0.023711,0.575117
0.480000,0.146241,0.030261,0.561558,0.181182,-0.015797,0.552027,0.126710,-0.023686,0.575137
0.490000,0.146240,0.030315,0.561587,0.181179,-0.015770,0.552046,0.126685,-0.023589,0.575192
0.500000,0.146232,0.030357,0.561603,0.181187,-0.015722,0.552074,0.126698,-0.023602,0.575200
0.510000,0.146227,0.030394,0.561625,0.181199,-0.015659,0.552099,0.126680,-0.023508,0.575238
0.520000,0.146211,0.030440,0.561640,0.181188,-0.015643,0.552122,0.126695,-0.023471,0.575260
0.530000,0.146222,0.030451,0.561658,0.181189,-0.015592,0.552149,0.126674,-0.023370,0.575324
0.540000,0.146205,0.030486,0.561675,0.181181,-0.015576,0.552158,0.126644,-0.023400,0.575305
0.550000,0.146211,0.030514,0.561687,0.181196,-0.015551,0.552194,0.126658,-0.023343,0.575354
0.560000,0.146240,0.030582,0.561729,0.181215,-0.015493,0.552219,0.126692,-0.023357,0.575360
0.570000,0.146230,0.030594,0.561755,0.181222,-0.015491,0.552249,0.126710,-0.023262,0.575402
0.580000,0.146259,0.030613,0.561771,0.181246,-0.015444,0.552272,0.126736,-0.023242,0.575423
0.590000,0.146258,0.030638,0.561789,0.181301,-0.015384,0.552309,0.126755,-0.023272,0.575443
0.600000,0.146282,0.030661,0.561804,0.181320,-0.015350,0.552333,0.126762,-0.023260,0.575466
0.610000,0.146296,0.030717,0.561856,0.181352,-0.015298,0.552365,0.126839,-0.023146,0.575556
0.620000,0.146329,0.030733,0.561858,0.181368,-0.015279,0.552380,0.126866,-0.023150,0.575560
0.630000,0.146349,0.030770,0.561868,0.181397,-0.015243,0.552400,0.126889,-0.023086,0.575576
0.640000,0.146361,0.030844,0.561929,0.181412,-0.015191,0.552430,0.126900,-0.023095,0.575605
0.650000,0.146385,0.030886,0.561941,0.181425,-0.015126,0.552463,0.126900,-0.023076,0.575613
0.660000,0.146385,0.030931,0.561962,0.181428,-0.015097,0.552486,0.126930,-0.023027,0.575651
0.670000,0.146397,0.030959,0.561963,0.181450,-0.015057,0.552499,0.126931,-0.022916,0.575633
0.680000,0.146416,0.031044,0.561982,0.181458,-0.015006,0.552525,0.126944,-0.022817,0.575754
0.690000,0.146417,0.031072,0.561996,0.181474,-0.014929,0.552530,0.126969,-0.022803,0.575731
0.700000,0.146429,0.031131,0.562010,0.181479,-0.014879,0.552562,0.126967,-0.022707,0.575804
0.710000,0.146403,0.031137,0.562018,0.181480,-0.014868,0.552561,0.126952,-0.022620,0.575821
0.720000,0.146406,0.031161,0.562031,0.181460,-0.014829,0.552600,0.126925,-0.022586,0.575824
0.730000,0.146370,0.031210,0.562041,0.181469,-0.014751,0.552648,0.126905,-0.022545,0.575833
0.740000,0.146359,0.031249,0.562050,0.181442,-0.014696,0.552673,0.126885,-0.022533,0.575837
0.750000,0.146334,0.031292,0.562064,0.181417,-0.014672,0.552699,0.126859,-0.022454,0.575765
0.760000,0.146319,0.031344,0.562069,0.181396,-0.014616,0.552716,0.126784,-0.022423,0.575825
0.770000,0.146287,0.031364,0.562089,0.181412,-0.015089,0.552872,0.126786,-0.022330,0.575906
0.780000,0.146274,0.031424,0.562105,0.181373,-0.014562,0.552778,0.126772,-0.022251,0.575840
0.790000,0.146270,0.031454,0.562127,0.181392,-0.014984,0.552914,0.126747,-0.022243,0.575824
0.800000,0.146256,0.031477,0.562120,0.181374,-0.014997,0.552935,0.126731,-0.022238,0.575821
0.810000,0.146244,0.031526,0.562128,0.181380,-0.014913,0.552944,0.126743,-0.022138,0.575850
0.820000,0.146246,0.031602,0.562129,0.181386,-0.014885,0.552953,0.126730,-0.022082,0.575852
0.830000,0.146248,0.031664,0.562128,0.181388,-0.014805,0.552975,0.126734,-0.021990,0.575851
0.840000,0.146277,0.031732,0.562125,0.181398,-0.014759,0.552958,0.126746,-0.021974,0.575859
0.850000,0.146286,0.031776,0.562126,0.181417,-0.014683,0.552980,0.126770,-0.021851,0.575898
0.860000,0.146292,0.031820,0.562127,0.181411,-0.014610,0.553018,0.126785,-0.021821,0.575898
0.870000,0.146297,0.031880,0.562137,0.181452,-0.014585,0.552990,0.126812,-0.021770,0.575893
0.880000,0.146323,0.031941,0.562127,0.181452,-0.014534,0.553010,0.126802,-0.021784,0.575880
0.890000,0.146441,0.032126,0.562207,0.181465,-0.014439,0.553033,0.126836,-0.021694,0.575907
0.900000,0.146446,0.032183,0.562209,0.181467,-0.014402,0.553044,0.126840,-0.021610,0.575919
0.910000,0.146463,0.032210,0.562228,0.181472,-0.014345,0.553061,0.126842,-0.021607,0.575932
0.920000,0.146455,0.032250,0.562242,0.181487,-0.014306,0.553076,0.126861,-0.021545,0.575926
0.930000,0.146469,0.032284,0.562251,0.181489,-0.014272,0.553096,0.126848,-0.021522,0.575954
0.940000,0.146469,0.032311,0.562262,0.181497,-0.014253,0.553121,0.126875,-0.021501,0.575988
0.950000,0.146484,0.032331,0.562277,0.181526,-0.014238,0.553126,0.126890,-0.021453,0.576003
0.960000,0.146503,0.032337,0.562276,0.181553,-0.014181,0.553160,0.126908,-0.021455,0.576012
0.970000,0.146542,0.032434,0.562304,0.181546,-0.014190,0.553147,0.126921,-0.021443,0.576001
0.980000,0.146546,0.032442,0.562278,0.181574,-0.014147,0.553155,0.126927,-0.021423,0.575996
0.990000,0.146567,0.032452,0.562284,0.181600,-0.014095,0.553148,0.126966,-0.021357,0.576007
1.000000,0.146585,0.032501,0.562285,0.181624,-0.014056,0.553153,0.126979,-0.021303,0.576012
1.010000,0.146608,0.032526,0.562282,0.181631,-0.014059,0.553157,0.127007,-0.021255,0.576027
1.020000,0.146616,0.032574,0.562279,0.181661,-0.013996,0.553154,0.127019,-0.021255,0.576000
1.030000,0.146631,0.032606,0.562279,0.181633,-0.013490,0.553041,0.127034,-0.021229,0.576013
1.040000,0.146612,0.032628,0.562277,0.181681,-0.013923,0.553171,0.127045,-0.021188,0.576006
1.050000,0.146604,0.032627,0.562282,0.181658,-0.013429,0.553052,0.127051,-0.021200,0.576000
1.060000,0.146632,0.032671,0.562306,0.181690,-0.013908,0.553167,0.127045,-0.021215,0.576004
1.070000,0.146611,0.032632,0.562285,0.181664,-0.013410,0.553060,0.127053,-0.021209,0.575992
