Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.456489,0.065553,0.490360,0.442436,0.066559,0.434871,0.498193,0.070444,0.453271
0.010000,0.456611,0.065433,0.490206,0.442473,0.066659,0.434905,0.498232,0.070536,0.453305
0.020000,0.456530,0.065606,0.490405,0.442531,0.066646,0.434905,0.498264,0.070567,0.453325
0.030000,0.456553,0.065635,0.490419,0.442524,0.066717,0.434936,0.498283,0.070603,0.453347
0.040000,0.456555,0.065692,0.490438,0.442540,0.066739,0.434954,0.498309,0.070652,0.453384
0.050000,0.456566,0.065745,0.490466,0.442596,0.066738,0.434967,0.498317,0.070677,0.453396
0.060000,0.456583,0.065750,0.490467,0.442611,0.066761,0.434968,0.498315,0.070705,0.453403
0.070000,0.456587,0.065764,0.490457,0.442628,0.066763,0.434977,0.498339,0.070716,0.453410
0.080000,0.456609,0.065791,0.490477,0.442642,0.066790,0.434975,0.498349,0.070723,0.453427
0.090000,0.456626,0.065834,0.490474,0.442655,0.066821,0.434988,0.498383,0.070763,0.453436
0.100000,0.456675,0.065880,0.490487,0.442667,0.066844,0.434997,0.498378,0.070764,0.453440
0.110000,0.456680,0.065923,0.490506,0.442676,0.066857,0.435008,0.498393,0.070795,0.453452
0.120000,0.456681,0.065937,0.490525,0.442668,0.066877,0.435028,0.498387,0.070828,0.453466
0.130000,0.456665,0.065933,0.490550,0.442663,0.066913,0.435052,0.498383,0.070851,0.453484
0.140000,0.456647,0.066030,0.490569,0.442627,0.066943,0.435079,0.498357,0.070892,0.453516
0.150000,0.456609,0.066072,0.490627,0.442615,0.066973,0.435108,0.498339,0.070903,0.453532
0.160000,0.456599,0.066063,0.490641,0.442563,0.067024,0.435130,0.498334,0.070946,0.453562
0.170000,0.456598,0.066075,0.490675,0.442560,0.067052,0.435170,0.498316,0.070964,0.453581
0.180000,0.456589,0.066109,0.490695,0.442543,0.067074,0.435192,0.498305,0.071011,0.453600
0.190000,0.456585,0.066117,0.490712,0.442567,0.067063,0.435205,0.498288,0.071019,0.453619
0.200000,0.456603,0.066127,0.490720,0.442546,0.067107,0.435211,0.498309,0.071031,0.453626
0.210000,0.456598,0.066148,0.490731,0.442573,0.067115,0.435235,0.498316,0.071049,0.453636
0.220000,0.456610,0.066169,0.490729,0.442564,0.067171,0.435236,0.498309,0.071084,0.453652
0.230000,0.456616,0.066205,0.490745,0.442571,0.067187,0.435240,0.498327,0.071125,0.453670
0.240000,0.456633,0.066234,0.490773,0.442608,0.067189,0.435261,0.498345,0.071138,0.453687
0.250000,0.456671,0.066294,0.490773,0.442617,0.067225,0.435265,0.498368,0.071176,0.453706
0.260000,0.456687,0.066310,0.490778,0.442647,0.067239,0.435291,0.498382,0.071193,0.453710
0.270000,0.456731,0.066333,0.490774,0.442641,0.067311,0.435279,0.498408,0.071224,0.453728
0.280000,0.456709,0.066353,0.490781,0.442664,0.067317,0.435297,0.498424,0.071269,0.453727
0.290000,0.456754,0.066398,0.490780,0.442673,0.067377,0.435297,0.498435,0.071301,0.453726
0.300000,0.456761,0.066434,0.490803,0.442700,0.067449,0.435302,0.498456,0.071364,0.453734
0.310000,0.456761,0.066500,0.490784,0.442747,0.067405,0.435293,0.498463,0.071368,0.453729
