Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.247144,0.461983,0.672516,-0.240540,0.412335,0.644390,-0.250458,0.414448,0.703123
0.010000,-0.247166,0.461991,0.672511,-0.240560,0.412348,0.644386,-0.250476,0.414469,0.703122
0.020000,-0.247191,0.462011,0.672500,-0.240578,0.412368,0.644383,-0.250511,0.414476,0.703104
0.030000,-0.247216,0.462010,0.672494,-0.240596,0.412382,0.644381,-0.250535,0.414492,0.703092
0.040000,-0.247236,0.462039,0.672480,-0.240605,0.412391,0.644381,-0.250553,0.414499,0.703089
0.050000,-0.247250,0.462052,0.672480,-0.240618,0.412412,0.644368,-0.250577,0.414527,0.703085
0.060000,-0.247283,0.462063,0.672460,-0.240626,0.412429,0.644357,-0.250583,0.414549,0.703084
0.070000,-0.247297,0.462076,0.672454,-0.240634,0.412453,0.644357,-0.250602,0.414564,0.703075
0.080000,-0.247301,0.462090,0.672434,-0.240635,0.412467,0.644362,-0.250601,0.414583,0.703075
0.090000,-0.247305,0.462095,0.672420,-0.240638,0.412463,0.644347,-0.250610,0.414581,0.703065
0.100000,-0.247302,0.462084,0.672413,-0.240640,0.412465,0.644342,-0.250605,0.414594,0.703061
0.110000,-0.247293,0.462074,0.672398,-0.240636,0.412448,0.644333,-0.250596,0.414591,0.703054
0.120000,-0.247283,0.462089,0.672387,-0.240625,0.412440,0.644326,-0.250583,0.414590,0.703043
0.130000,-0.247265,0.462071,0.672380,-0.240625,0.412423,0.644317,-0.250575,0.414581,0.703035
0.140000,-0.247256,0.462046,0.672369,-0.240611,0.412421,0.644315,-0.250563,0.414567,0.703023
0.150000,-0.247245,0.462043,0.672367,-0.240610,0.412388,0.644302,-0.250546,0.414559,0.703021
0.160000,-0.247226,0.462029,0.672359,-0.240591,0.412395,0.644300,-0.250533,0.414550,0.703018
0.170000,-0.247207,0.462017,0.672359,-0.240596,0.412362,0.644298,-0.250519,0.414527,0.703014
0.180000,-0.247193,0.462013,0.672360,-0.240580,0.412372,0.644294,-0.250499,0.414520,0.703009
0.190000,-0.247178,0.462004,0.672361,-0.240569,0.412352,0.644297,-0.250489,0.414511,0.703010
0.200000,-0.247146,0.462011,0.672364,-0.240560,0.412358,0.644306,-0.250463,0.414516,0.703022
0.210000,-0.247143,0.461993,0.672380,-0.240546,0.412345,0.644310,-0.250461,0.414497,0.703025
0.220000,-0.247130,0.461992,0.672388,-0.240547,0.412326,0.644336,-0.250445,0.414516,0.703049
0.230000,-0.247124,0.461996,0.672408,-0.240533,0.412331,0.644345,-0.250431,0.414511,0.703075
0.240000,-0.247114,0.461997,0.672445,-0.240529,0.412318,0.644375,-0.250427,0.414511,0.703101
0.250000,-0.247112,0.461994,0.672470,-0.240516,0.412331,0.644402,-0.250435,0.414500,0.703125
0.260000,-0.247102,0.462007,0.672506,-0.240517,0.412330,0.644439,-0.250429,0.414513,0.703173
0.270000,-0.247096,0.462007,0.672567,-0.240503,0.412341,0.644472,-0.250431,0.414521,0.703200
0.280000,-0.247096,0.462011,0.672609,-0.240493,0.412347,0.644512,-0.250432,0.414529,0.703247
0.290000,-0.247099,0.462015,0.672650,-0.240478,0.412378,0.644557,-0.250420,0.414562,0.703301
0.300000,-0.247096,0.462026,0.672690,-0.240469,0.412375,0.644601,-0.250424,0.414572,0.703337
0.310000,-0.247077,0.462025,0.672743,-0.240458,0.412365,0.644638,-0.250427,0.414568,0.703379
0.320000,-0.247071,0.462046,0.672787,-0.240433,0.412390,0.644697,-0.250424,0.414579,0.703438
0.330000,-0.247062,0.462033,0.672828,-0.240439,0.412378,0.644738,-0.250416,0.414580,0.703472
0.340000,-0.247052,0.462033,0.672857,-0.240428,0.412371,0.644774,-0.250416,0.414577,0.703499
0.350000,-0.247045,0.462024,0.672885,-0.240425,0.412360,0.644809,-0.250404,0.414580,0.703525
0.360000,-0.247025,0.462024,0.672920,-0.240411,0.412367,0.644832,-0.250395,0.414560,0.703550
0.370000,-0.247019,0.462019,0.672935,-0.240410,0.412344,0.644848,-0.250402,0.414563,0.703563
0.380000,-0.247007,0.462027,0.672948,-0.240405,0.412340,0.644865,-0.250382,0.414563,0.703586
0.390000,-0.247014,0.462020,0.672969,-0.240400,0.412361,0.644859,-0.250371,0.414551,0.703598
0.400000,-0.247005,0.462019,0.672979,-0.240405,0.412340,0.644875,-0.250375,0.414545,0.703596
0.410000,-0.247007,0.462040,0.672980,-0.240401,0.412359,0.644871,-0.250365,0.414559,0.703599
0.420000,-0.247009,0.462048,0.672976,-0.240406,0.412364,0.644868,-0.250364,0.414558,0.703593
0.430000,-0.247008,0.462053,0.672973,-0.240407,0.412374,0.644867,-0.250357,0.414571,0.703596
0.440000,-0.247016,0.462065,0.672968,-0.240404,0.412399,0.644853,-0.250354,0.414579,0.703583
0.450000,-0.247028,0.462077,0.672975,-0.240411,0.412421,0.644848,-0.250341,0.414593,0.703574
0.460000,-0.247028,0.462106,0.672965,-0.240412,0.412425,0.644842,-0.250330,0.414612,0.703572
0.470000,-0.247030,0.462109,0.672962,-0.240406,0.412448,0.644831,-0.250334,0.414626,0.703560
0.480000,-0.247022,0.462116,0.672969,-0.240406,0.412458,0.644817,-0.250313,0.414620,0.703564
0.490000,-0.247012,0.462119,0.672970,-0.240394,0.412466,0.644815,-0.250303,0.414614,0.703554
0.500000,-0.246994,0.462104,0.672962,-0.240392,0.412466,0.644817,-0.250284,0.414609,0.703557
0.510000,-0.246969,0.462107,0.672978,-0.240385,0.412449,0.644821,-0.250273,0.414605,0.703565
0.520000,-0.246978,0.462100,0.672982,-0.240384,0.412445,0.644823,-0.250266,0.414590,0.703565
0.530000,-0.246960,0.462077,0.672981,-0.240380,0.412442,0.644829,-0.250258,0.414595,0.703571
0.540000,-0.246950,0.462077,0.672999,-0.240375,0.412437,0.644834,-0.250264,0.414583,0.703570
0.550000,-0.246963,0.462077,0.673007,-0.240383,0.412426,0.644844,-0.250271,0.414571,0.703580
0.560000,-0.246972,0.462066,0.673008,-0.240389,0.412432,0.644846,-0.250283,0.414566,0.703583
0.570000,-0.246984,0.462060,0.673013,-0.240399,0.412416,0.644845,-0.250303,0.414549,0.703583
0.580000,-0.247013,0.462074,0.673025,-0.240410,0.412438,0.644849,-0.250322,0.414560,0.703584
0.590000,-0.247030,0.462092,0.673012,-0.240424,0.412432,0.644843,-0.250340,0.414574,0.703581
0.600000,-0.247056,0.462081,0.672999,-0.240450,0.412433,0.644835,-0.250365,0.414573,0.703572
0.610000,-0.247077,0.462089,0.672987,-0.240468,0.412437,0.644820,-0.250397,0.414590,0.703558
0.620000,-0.247102,0.462108,0.672965,-0.240479,0.412461,0.644798,-0.250421,0.414613,0.703540
0.630000,-0.247130,0.462119,0.672940,-0.240513,0.412473,0.644777,-0.250446,0.414613,0.703526
0.640000,-0.247174,0.462132,0.672897,-0.240534,0.412475,0.644750,-0.250479,0.414621,0.703497
0.650000,-0.247201,0.462138,0.672872,-0.240565,0.412488,0.644720,-0.250488,0.414636,0.703461
0.660000,-0.247230,0.462132,0.672817,-0.240591,0.412496,0.644656,-0.250525,0.414629,0.703410
0.670000,-0.247259,0.462133,0.672785,-0.240605,0.412526,0.644604,-0.250541,0.414633,0.703367
0.680000,-0.247280,0.462152,0.672736,-0.240642,0.412534,0.644564,-0.250564,0.414653,0.703346
0.690000,-0.247310,0.462165,0.672694,-0.240666,0.412536,0.644523,-0.250581,0.414665,0.703296
0.700000,-0.247348,0.462178,0.672631,-0.240690,0.412545,0.644486,-0.250618,0.414648,0.703232
0.710000,-0.247368,0.462200,0.672591,-0.240705,0.412569,0.644448,-0.250631,0.414667,0.703194
0.720000,-0.247386,0.462219,0.672549,-0.240732,0.412579,0.644410,-0.250643,0.414684,0.703153
0.730000,-0.247402,0.462234,0.672512,-0.240744,0.412587,0.644373,-0.250650,0.414685,0.703120
0.740000,-0.247418,0.462246,0.672478,-0.240754,0.412602,0.644344,-0.250647,0.414711,0.703085
0.750000,-0.247435,0.462239,0.672431,-0.240762,0.412613,0.644319,-0.250645,0.414727,0.703062
0.760000,-0.247440,0.462254,0.672399,-0.240775,0.412625,0.644287,-0.250658,0.414727,0.703017
0.770000,-0.247447,0.462259,0.672377,-0.240775,0.412629,0.644256,-0.250655,0.414737,0.702993
0.780000,-0.247435,0.462262,0.672330,-0.240775,0.412625,0.644235,-0.250646,0.414735,0.702965
0.790000,-0.247443,0.462270,0.672313,-0.240783,0.412641,0.644211,-0.250628,0.414755,0.702927
0.800000,-0.247430,0.462272,0.672284,-0.240776,0.412616,0.644193,-0.250628,0.414753,0.702912
0.810000,-0.247424,0.462270,0.672264,-0.240766,0.412634,0.644164,-0.250612,0.414759,0.702890
0.820000,-0.247413,0.462269,0.672248,-0.240765,0.412630,0.644160,-0.250595,0.414757,0.702876
0.830000,-0.247393,0.462255,0.672234,-0.240746,0.412624,0.644154,-0.250576,0.414760,0.702859
0.840000,-0.247373,0.462264,0.672224,-0.240728,0.412625,0.644133,-0.250561,0.414753,0.702854
0.850000,-0.247347,0.462254,0.672217,-0.240717,0.412599,0.644148,-0.250512,0.414765,0.702830
0.860000,-0.247330,0.462234,0.672218,-0.240697,0.412590,0.644139,-0.250523,0.414738,0.702847
0.870000,-0.247302,0.462229,0.672220,-0.240671,0.412578,0.644141,-0.250465,0.414748,0.702840
0.880000,-0.247285,0.462226,0.672225,-0.240659,0.412551,0.644148,-0.250442,0.414742,0.702843
0.890000,-0.247258,0.462208,0.672230,-0.240638,0.412545,0.644156,-0.250444,0.414719,0.702868
0.900000,-0.247232,0.462197,0.672241,-0.240613,0.412534,0.644159,-0.250396,0.414696,0.702865
0.910000,-0.247201,0.462177,0.672252,-0.240592,0.412522,0.644176,-0.250374,0.414701,0.702872
0.920000,-0.247168,0.462162,0.672273,-0.240565,0.412508,0.644188,-0.250344,0.414683,0.702875
0.930000,-0.247137,0.462140,0.672285,-0.240528,0.412494,0.644198,-0.250320,0.414657,0.702891
0.940000,-0.247114,0.462125,0.672305,-0.240520,0.412467,0.644216,-0.250314,0.414631,0.702926
0.950000,-0.247085,0.462108,0.672323,-0.240498,0.412457,0.644217,-0.250231,0.414645,0.702914
0.960000,-0.247065,0.462090,0.672344,-0.240472,0.412445,0.644239,-0.250227,0.414597,0.702950
0.970000,-0.247035,0.462081,0.672364,-0.240465,0.412406,0.644249,-0.250197,0.414571,0.702973
0.980000,-0.247003,0.462051,0.672383,-0.240439,0.412401,0.644256,-0.250170,0.414561,0.702986
0.990000,-0.246981,0.462033,0.672393,-0.240424,0.412374,0.644277,-0.250151,0.414532,0.702992
1.000000,-0.246963,0.462006,0.672409,-0.240405,0.412358,0.644285,-0.250141,0.414503,0.703012
1.010000,-0.246944,0.461993,0.672433,-0.240396,0.412329,0.644296,-0.250130,0.414476,0.703025
1.020000,-0.246935,0.461971,0.672444,-0.240388,0.412305,0.644316,-0.250121,0.414457,0.703034
1.030000,-0.246911,0.461969,0.672475,-0.240377,0.412309,0.644328,-0.250112,0.414452,0.703046
1.040000,-0.246898,0.461962,0.672508,-0.240373,0.412293,0.644342,-0.250123,0.414443,0.703069
1.050000,-0.246909,0.461963,0.672511,-0.240378,0.412314,0.644356,-0.250122,0.414446,0.703074
1.060000,-0.246909,0.461971,0.672538,-0.240372,0.412315,0.644381,-0.250125,0.414453,0.703097
1.070000,-0.246927,0.461970,0.672551,-0.240377,0.412324,0.644388,-0.250143,0.414468,0.703112
1.080000,-0.246954,0.461980,0.672548,-0.240404,0.412327,0.644396,-0.250164,0.414466,0.703121
1.090000,-0.246979,0.461991,0.672557,-0.240409,0.412342,0.644411,-0.250184,0.414476,0.703131
1.100000,-0.247000,0.462008,0.672563,-0.240419,0.412365,0.644419,-0.250206,0.414502,0.703137
1.110000,-0.247028,0.462040,0.672566,-0.240449,0.412381,0.644432,-0.250260,0.414510,0.703154
1.120000,-0.247056,0.462063,0.672570,-0.240468,0.412423,0.644432,-0.250290,0.414563,0.703177
1.130000,-0.247100,0.462097,0.672578,-0.240485,0.412448,0.644452,-0.250312,0.414591,0.703181
1.140000,-0.247126,0.462113,0.672604,-0.240516,0.412471,0.644448,-0.250342,0.414605,0.703192
1.150000,-0.247142,0.462137,0.672610,-0.240518,0.412497,0.644456,-0.250349,0.414622,0.703203
1.160000,-0.247173,0.462145,0.672614,-0.240533,0.412512,0.644468,-0.250357,0.414643,0.703216
1.170000,-0.247185,0.462151,0.672626,-0.240551,0.412522,0.644476,-0.250352,0.414666,0.703244
1.180000,-0.247187,0.462166,0.672661,-0.240558,0.412526,0.644493,-0.250386,0.414637,0.703238
1.190000,-0.247206,0.462172,0.672687,-0.240563,0.412529,0.644505,-0.250382,0.414661,0.703277
1.200000,-0.247199,0.462161,0.672697,-0.240570,0.412547,0.644520,-0.250383,0.414661,0.703295
1.210000,-0.247213,0.462169,0.672737,-0.240575,0.412539,0.644538,-0.250394,0.414656,0.703317
1.220000,-0.247225,0.462155,0.672750,-0.240584,0.412536,0.644565,-0.250402,0.414644,0.703329
1.230000,-0.247227,0.462144,0.672786,-0.240594,0.412528,0.644588,-0.250420,0.414630,0.703361
1.240000,-0.247243,0.462146,0.672811,-0.240597,0.412532,0.644602,-0.250438,0.414630,0.703403
1.250000,-0.247251,0.462144,0.672845,-0.240609,0.412530,0.644619,-0.250457,0.414621,0.703405
1.260000,-0.247263,0.462137,0.672860,-0.240617,0.412543,0.644670,-0.250463,0.414639,0.703447
1.270000,-0.247278,0.462151,0.672898,-0.240642,0.412540,0.644685,-0.250484,0.414619,0.703459
1.280000,-0.247307,0.462147,0.672915,-0.240659,0.412540,0.644719,-0.250506,0.414629,0.703475
1.290000,-0.247327,0.462162,0.672936,-0.240671,0.412545,0.644720,-0.250537,0.414630,0.703488
1.300000,-0.247347,0.462165,0.672953,-0.240694,0.412563,0.644739,-0.250540,0.414639,0.703499
1.310000,-0.247375,0.462179,0.672962,-0.240708,0.412576,0.644737,-0.250572,0.414633,0.703513
1.320000,-0.247390,0.462187,0.672970,-0.240722,0.412563,0.644752,-0.250589,0.414633,0.703513
1.330000,-0.247412,0.462183,0.672973,-0.240741,0.412567,0.644758,-0.250603,0.414644,0.703522
1.340000,-0.247426,0.462180,0.672971,-0.240748,0.412573,0.644751,-0.250613,0.414653,0.703515
1.350000,-0.247445,0.462180,0.672972,-0.240759,0.412576,0.644756,-0.250642,0.414646,0.703518
1.360000,-0.247457,0.462190,0.672966,-0.240766,0.412588,0.644758,-0.250652,0.414660,0.703515
1.370000,-0.247468,0.462208,0.672964,-0.240775,0.412588,0.644755,-0.250656,0.414665,0.703518
1.380000,-0.247470,0.462208,0.672965,-0.240782,0.412598,0.644750,-0.250669,0.414673,0.703513
1.390000,-0.247476,0.462216,0.672951,-0.240776,0.412607,0.644739,-0.250661,0.414689,0.703515
1.400000,-0.247480,0.462219,0.672944,-0.240782,0.412608,0.644740,-0.250660,0.414699,0.703502
