Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.243851,0.459343,0.682417,-0.236805,0.409734,0.654362,-0.249431,0.411783,0.712649
0.010000,-0.243862,0.459344,0.682413,-0.236808,0.409745,0.654369,-0.249436,0.411790,0.712660
0.020000,-0.243873,0.459364,0.682424,-0.236843,0.409737,0.654378,-0.249459,0.411798,0.712668
0.030000,-0.243895,0.459358,0.682413,-0.236839,0.409742,0.654369,-0.249475,0.411803,0.712664
0.040000,-0.243909,0.459370,0.682410,-0.236853,0.409763,0.654357,-0.249492,0.411808,0.712652
0.050000,-0.243925,0.459373,0.682400,-0.236872,0.409757,0.654345,-0.249503,0.411813,0.712641
0.060000,-0.243942,0.459380,0.682380,-0.236896,0.409760,0.654324,-0.249523,0.411836,0.712628
0.070000,-0.243962,0.459382,0.682359,-0.236915,0.409771,0.654315,-0.249531,0.411848,0.712598
0.080000,-0.243979,0.459401,0.682336,-0.236932,0.409779,0.654287,-0.249552,0.411861,0.712584
0.090000,-0.243998,0.459418,0.682316,-0.236959,0.409790,0.654265,-0.249560,0.411881,0.712570
0.100000,-0.244018,0.459424,0.682292,-0.236979,0.409815,0.654237,-0.249569,0.411901,0.712548
0.110000,-0.244024,0.459443,0.682272,-0.236983,0.409840,0.654223,-0.249585,0.411914,0.712530
0.120000,-0.244040,0.459461,0.682256,-0.236995,0.409848,0.654203,-0.249583,0.411934,0.712512
0.130000,-0.244041,0.459473,0.682240,-0.237008,0.409860,0.654188,-0.249582,0.411951,0.712495
0.140000,-0.244048,0.459490,0.682213,-0.237010,0.409871,0.654177,-0.249593,0.411944,0.712475
0.150000,-0.244048,0.459484,0.682208,-0.237013,0.409878,0.654165,-0.249594,0.411966,0.712471
0.160000,-0.244046,0.459479,0.682191,-0.237010,0.409864,0.654154,-0.249593,0.411957,0.712461
0.170000,-0.244042,0.459478,0.682182,-0.237010,0.409848,0.654147,-0.249589,0.411957,0.712458
0.180000,-0.244032,0.459473,0.682184,-0.237002,0.409845,0.654148,-0.249588,0.411945,0.712446
0.190000,-0.244015,0.459468,0.682187,-0.236989,0.409843,0.654143,-0.249579,0.411947,0.712454
0.200000,-0.244002,0.459461,0.682182,-0.236983,0.409827,0.654148,-0.249560,0.411944,0.712450
0.210000,-0.243997,0.459456,0.682189,-0.236974,0.409830,0.654156,-0.249558,0.411939,0.712453
0.220000,-0.243988,0.459450,0.682188,-0.236960,0.409823,0.654163,-0.249558,0.411932,0.712461
0.230000,-0.243973,0.459456,0.682199,-0.236957,0.409813,0.654170,-0.249553,0.411930,0.712471
0.240000,-0.243972,0.459445,0.682207,-0.236942,0.409816,0.654176,-0.249552,0.411931,0.712476
0.250000,-0.243960,0.459446,0.682220,-0.236935,0.409811,0.654188,-0.249537,0.411938,0.712489
