Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.430190,0.091561,0.388026,0.410022,0.104088,0.336278,0.466554,0.092045,0.346036
0.010000,0.430228,0.091591,0.388040,0.410058,0.104128,0.336292,0.466594,0.092113,0.346062
0.020000,0.430263,0.091629,0.388060,0.410091,0.104163,0.336305,0.466628,0.092144,0.346089
0.030000,0.430300,0.091681,0.388075,0.410127,0.104176,0.336320,0.466670,0.092215,0.346122
0.040000,0.430342,0.091723,0.388099,0.410161,0.104218,0.336337,0.466709,0.092228,0.346126
0.050000,0.430372,0.091749,0.388122,0.410190,0.104240,0.336358,0.466767,0.092307,0.346172
0.060000,0.430391,0.091791,0.388159,0.410213,0.104265,0.336388,0.466789,0.092322,0.346202
0.070000,0.430410,0.091797,0.388185,0.410230,0.104285,0.336411,0.466802,0.092349,0.346229
0.080000,0.430423,0.091796,0.388224,0.410242,0.104289,0.336444,0.466825,0.092333,0.346275
0.090000,0.430434,0.091795,0.388251,0.410233,0.104290,0.336478,0.466822,0.092351,0.346311
0.100000,0.430426,0.091775,0.388291,0.410221,0.104284,0.336524,0.466819,0.092307,0.346352
0.110000,0.430417,0.091765,0.388323,0.410449,0.104119,0.336898,0.466816,0.092302,0.346384
0.120000,0.430413,0.091748,0.388357,0.410429,0.104095,0.336941,0.466799,0.092279,0.346413
0.130000,0.430399,0.091726,0.388376,0.410411,0.104060,0.336968,0.466779,0.092254,0.346435
0.140000,0.430385,0.091703,0.388400,0.410160,0.104196,0.336655,0.466772,0.092236,0.346488
0.150000,0.430355,0.091682,0.388422,0.410140,0.104162,0.336673,0.466756,0.092181,0.346503
0.160000,0.430341,0.091623,0.388440,0.410124,0.104124,0.336694,0.466715,0.092069,0.346504
0.170000,0.430315,0.091597,0.388451,0.410346,0.103932,0.337053,0.466681,0.092002,0.346527
0.180000,0.430264,0.091538,0.388479,0.410317,0.103870,0.337074,0.466657,0.091960,0.346551
0.190000,0.430233,0.091501,0.388498,0.410284,0.103817,0.337092,0.466631,0.091913,0.346581
0.200000,0.430189,0.091464,0.388527,0.410242,0.103787,0.337115,0.466578,0.091863,0.346607
0.210000,0.430153,0.091425,0.388548,0.410201,0.103747,0.337139,0.466531,0.091850,0.346643
0.220000,0.430110,0.091407,0.388571,0.410163,0.103691,0.337166,0.466494,0.091804,0.346667
0.230000,0.430081,0.091368,0.388597,0.410139,0.103645,0.337206,0.466459,0.091773,0.346694
0.240000,0.430057,0.091284,0.388634,0.410057,0.103575,0.337206,0.466427,0.091720,0.346716
0.250000,0.430030,0.091258,0.388660,0.410035,0.103515,0.337234,0.466404,0.091679,0.346735
0.260000,0.430012,0.091221,0.388672,0.410004,0.103477,0.337253,0.466381,0.091636,0.346754
0.270000,0.429977,0.091204,0.388685,0.409854,0.103592,0.337107,0.466354,0.091597,0.346777
0.280000,0.429938,0.091170,0.388696,0.409718,0.103548,0.336954,0.466317,0.091583,0.346784
0.290000,0.429899,0.091141,0.388710,0.409677,0.103530,0.336971,0.466278,0.091574,0.346803
0.300000,0.429849,0.091149,0.388716,0.409628,0.103521,0.336985,0.466229,0.091559,0.346820
0.310000,0.429807,0.091119,0.388726,0.409586,0.103505,0.336986,0.466182,0.091555,0.346825
0.320000,0.429751,0.091113,0.388711,0.409535,0.103486,0.336975,0.466136,0.091558,0.346830
0.330000,0.429718,0.091122,0.388717,0.409498,0.103486,0.336968,0.466108,0.091576,0.346823
0.340000,0.429687,0.091114,0.388702,0.409475,0.103485,0.336957,0.466011,0.091471,0.346745
0.350000,0.429644,0.091127,0.388684,0.409443,0.103488,0.336940,0.465978,0.091489,0.346734
0.360000,0.429605,0.091168,0.388676,0.409408,0.103502,0.336932,0.465948,0.091504,0.346716
0.370000,0.429574,0.091193,0.388661,0.409382,0.103505,0.336920,0.465902,0.091545,0.346712
0.380000,0.429538,0.091204,0.388645,0.409337,0.103549,0.336905,0.465853,0.091599,0.346696
0.390000,0.429502,0.091255,0.388629,0.409406,0.103574,0.337061,0.465810,0.091647,0.346678
0.400000,0.429458,0.091303,0.388620,0.409348,0.103641,0.337051,0.465753,0.091698,0.346657
0.410000,0.429399,0.091365,0.388579,0.409305,0.103675,0.337031,0.465715,0.091773,0.346643
0.420000,0.429366,0.091415,0.388566,0.409263,0.103724,0.337021,0.465669,0.091813,0.346625
0.430000,0.429316,0.091454,0.388555,0.409229,0.103749,0.337014,0.465629,0.091866,0.346614
0.440000,0.429288,0.091494,0.388541,0.409277,0.103662,0.337155,0.465593,0.091919,0.346591
0.450000,0.429246,0.091552,0.388526,0.409244,0.103715,0.337154,0.465543,0.091976,0.346566
0.460000,0.429196,0.091602,0.388501,0.409079,0.103877,0.336987,0.465502,0.092021,0.346535
0.470000,0.429150,0.091679,0.388476,0.409125,0.103843,0.337118,0.465467,0.092098,0.346520
0.480000,0.429112,0.091765,0.388449,0.409090,0.103897,0.337102,0.465438,0.092212,0.346489
0.490000,0.429084,0.091835,0.388426,0.409004,0.103586,0.337211,0.465402,0.092275,0.346454
0.500000,0.429038,0.091926,0.388408,0.408970,0.103642,0.337189,0.465372,0.092351,0.346425
0.510000,0.429016,0.091980,0.388390,0.408748,0.104304,0.336682,0.465331,0.092416,0.346393
0.520000,0.428991,0.092070,0.388375,0.408915,0.103766,0.337157,0.465311,0.092510,0.346372
0.530000,0.428963,0.092125,0.388347,0.408906,0.104284,0.336984,0.465278,0.092559,0.346341
0.540000,0.428929,0.092182,0.388330,0.408844,0.104379,0.336950,0.465237,0.092635,0.346316
0.550000,0.428876,0.092242,0.388313,0.408784,0.104417,0.336932,0.465191,0.092704,0.346286
0.560000,0.428836,0.092311,0.388290,0.408739,0.104467,0.336913,0.465137,0.092779,0.346258
0.570000,0.428792,0.092346,0.388259,0.408693,0.104521,0.336883,0.465090,0.092827,0.346238
0.580000,0.428756,0.092395,0.388231,0.408382,0.104747,0.336526,0.465012,0.092893,0.346210
0.590000,0.428713,0.092430,0.388210,0.408563,0.104610,0.336842,0.464964,0.092956,0.346176
0.600000,0.428670,0.092460,0.388174,0.408503,0.104694,0.336799,0.464929,0.093010,0.346139
0.610000,0.428619,0.092530,0.388137,0.408468,0.104728,0.336780,0.464889,0.093022,0.346102
0.620000,0.428595,0.092556,0.388108,0.408400,0.104789,0.336726,0.464860,0.093061,0.346069
0.630000,0.428564,0.092580,0.388071,0.408367,0.104809,0.336693,0.464816,0.093097,0.346043
0.640000,0.428517,0.092602,0.388034,0.408329,0.104819,0.336668,0.464761,0.093110,0.346003
0.650000,0.428458,0.092622,0.387988,0.408263,0.104818,0.336619,0.464688,0.093086,0.345935
0.660000,0.428393,0.092645,0.387955,0.408199,0.104814,0.336585,0.464606,0.093079,0.345886
0.670000,0.428311,0.092679,0.387907,0.408126,0.104801,0.336546,0.464534,0.093118,0.345852
0.680000,0.428228,0.092691,0.387881,0.408061,0.104805,0.336513,0.464463,0.093126,0.345805
0.690000,0.428187,0.092711,0.387843,0.407968,0.104774,0.336476,0.464395,0.093129,0.345768
0.700000,0.428129,0.092733,0.387827,0.407905,0.104797,0.336454,0.464337,0.093157,0.345738
0.710000,0.428092,0.092757,0.387799,0.407826,0.104382,0.336572,0.464283,0.093190,0.345699
0.720000,0.428062,0.092780,0.387772,0.407787,0.104380,0.336541,0.464244,0.093229,0.345675
0.730000,0.428026,0.092818,0.387740,0.407752,0.104382,0.336498,0.464198,0.093236,0.345618
0.740000,0.428006,0.092821,0.387696,0.407739,0.104835,0.336324,0.464140,0.093259,0.345560
0.750000,0.427975,0.092877,0.387654,0.407686,0.104424,0.336423,0.464125,0.093337,0.345507
0.760000,0.427960,0.092895,0.387607,0.407687,0.104844,0.336224,0.464101,0.093340,0.345436
0.770000,0.427942,0.092952,0.387552,0.407663,0.104858,0.336163,0.464085,0.093361,0.345385
0.780000,0.427927,0.092972,0.387505,0.407655,0.104866,0.336093,0.464081,0.093384,0.345327
0.790000,0.427929,0.093031,0.387435,0.407653,0.104913,0.336032,0.464073,0.093401,0.345269
0.800000,0.427917,0.093033,0.387374,0.407640,0.104921,0.335976,0.464067,0.093426,0.345219
0.810000,0.427914,0.093056,0.387321,0.407637,0.104942,0.335925,0.464050,0.093428,0.345154
0.820000,0.427908,0.093087,0.387272,0.407613,0.104978,0.335868,0.464032,0.093470,0.345112
0.830000,0.427896,0.093099,0.387233,0.407594,0.104995,0.335824,0.463992,0.093472,0.345020
0.840000,0.427884,0.093132,0.387174,0.407568,0.105033,0.335786,0.463981,0.093538,0.344980
0.850000,0.427877,0.093150,0.387114,0.407290,0.105191,0.335409,0.463953,0.093565,0.344923
0.860000,0.427853,0.093222,0.387068,0.407239,0.105227,0.335360,0.463936,0.093622,0.344876
0.870000,0.427855,0.093255,0.387024,0.407194,0.105299,0.335318,0.463907,0.093660,0.344815
0.880000,0.427820,0.093345,0.386972,0.407404,0.105225,0.335608,0.463890,0.093725,0.344766
0.890000,0.427804,0.093401,0.386934,0.407136,0.105396,0.335229,0.463869,0.093806,0.344723
0.900000,0.427789,0.093475,0.386894,0.407114,0.105460,0.335191,0.463851,0.093841,0.344666
0.910000,0.427802,0.093506,0.386841,0.407097,0.105507,0.335167,0.463818,0.093954,0.344625
0.920000,0.427811,0.093553,0.386816,0.407097,0.105560,0.335148,0.463819,0.094006,0.344586
0.930000,0.427817,0.093629,0.386796,0.407051,0.105655,0.335127,0.463810,0.094074,0.344560
0.940000,0.427810,0.093681,0.386769,0.407051,0.105697,0.335107,0.463806,0.094108,0.344526
0.950000,0.427800,0.093758,0.386751,0.407027,0.105748,0.335097,0.463783,0.094175,0.344498
0.960000,0.427795,0.093778,0.386728,0.407011,0.105785,0.335080,0.463765,0.094217,0.344468
0.970000,0.427775,0.093824,0.386713,0.406995,0.105811,0.335070,0.463745,0.094279,0.344443
0.980000,0.427747,0.093855,0.386695,0.406963,0.105843,0.335061,0.463719,0.094316,0.344427
0.990000,0.427719,0.093887,0.386685,0.406936,0.105875,0.335060,0.463701,0.094347,0.344422
1.000000,0.427693,0.093894,0.386686,0.406900,0.105883,0.335068,0.463658,0.094387,0.344416
1.010000,0.427652,0.093905,0.386692,0.406845,0.105911,0.335093,0.463604,0.094439,0.344425
1.020000,0.427597,0.093960,0.386751,0.406791,0.105943,0.335122,0.463538,0.094474,0.344447
1.030000,0.427535,0.093967,0.386762,0.406729,0.105940,0.335159,0.463488,0.094498,0.344465
1.040000,0.427483,0.093984,0.386794,0.406641,0.105981,0.335205,0.463429,0.094541,0.344488
1.050000,0.427424,0.094006,0.386828,0.406573,0.105988,0.335239,0.463378,0.094544,0.344500
1.060000,0.427370,0.094006,0.386849,0.406517,0.105986,0.335262,0.463330,0.094589,0.344524
1.070000,0.427324,0.094015,0.386871,0.406473,0.106000,0.335295,0.463282,0.094585,0.344535
1.080000,0.427286,0.094002,0.386882,0.406662,0.105892,0.335639,0.463231,0.094599,0.344561
1.090000,0.427241,0.094004,0.386908,0.406617,0.105882,0.335659,0.463185,0.094592,0.344568
1.100000,0.427201,0.093984,0.386897,0.406578,0.105877,0.335678,0.463137,0.094584,0.344574
1.110000,0.427149,0.093994,0.386946,0.406533,0.105876,0.335685,0.463091,0.094588,0.344581
1.120000,0.427102,0.093978,0.386954,0.406221,0.106025,0.335361,0.463044,0.094572,0.344593
