Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.233195,0.483019,0.603646,-0.220716,0.435693,0.573109,-0.227955,0.434679,0.632265
0.010000,-0.233201,0.483028,0.603690,-0.220720,0.435697,0.573155,-0.227966,0.434681,0.632301
0.020000,-0.233198,0.483042,0.603743,-0.220718,0.435722,0.573190,-0.227975,0.434690,0.632336
0.030000,-0.233209,0.483062,0.603787,-0.220720,0.435741,0.573230,-0.227982,0.434690,0.632371
0.040000,-0.233219,0.483061,0.603824,-0.220725,0.435758,0.573269,-0.227996,0.434699,0.632404
0.050000,-0.233238,0.483082,0.603868,-0.220730,0.435772,0.573313,-0.228000,0.434712,0.632444
0.060000,-0.233247,0.483090,0.603913,-0.220729,0.435809,0.573362,-0.228017,0.434699,0.632482
0.070000,-0.233260,0.483101,0.603957,-0.220729,0.435837,0.573408,-0.228024,0.434705,0.632512
0.080000,-0.233285,0.483121,0.604009,-0.220728,0.435856,0.573447,-0.228031,0.434715,0.632540
0.090000,-0.233298,0.483129,0.604041,-0.220731,0.435873,0.573486,-0.228039,0.434716,0.632574
0.100000,-0.233302,0.483143,0.604080,-0.220732,0.435901,0.573515,-0.228043,0.434724,0.632597
0.110000,-0.233302,0.483160,0.604111,-0.220731,0.435912,0.573547,-0.228054,0.434723,0.632625
0.120000,-0.233309,0.483161,0.604141,-0.220737,0.435921,0.573574,-0.228054,0.434742,0.632657
0.130000,-0.233316,0.483177,0.604163,-0.220735,0.435934,0.573597,-0.228055,0.434747,0.632673
0.140000,-0.233313,0.483178,0.604186,-0.220740,0.435945,0.573620,-0.228061,0.434737,0.632697
0.150000,-0.233321,0.483189,0.604199,-0.220736,0.435946,0.573631,-0.228056,0.434760,0.632707
0.160000,-0.233312,0.483183,0.604212,-0.220730,0.435943,0.573645,-0.228059,0.434744,0.632715
0.170000,-0.233308,0.483187,0.604209,-0.220730,0.435942,0.573645,-0.228053,0.434744,0.632713
0.180000,-0.233293,0.483185,0.604210,-0.220720,0.435954,0.573644,-0.228039,0.434748,0.632720
0.190000,-0.233289,0.483188,0.604203,-0.220716,0.435932,0.573634,-0.228035,0.434738,0.632713
0.200000,-0.233276,0.483165,0.604186,-0.220715,0.435919,0.573624,-0.228033,0.434735,0.632701
0.210000,-0.233258,0.483166,0.604168,-0.220710,0.435908,0.573605,-0.228027,0.434720,0.632688
0.220000,-0.233255,0.483155,0.604148,-0.220709,0.435899,0.573582,-0.228016,0.434719,0.632660
0.230000,-0.233244,0.483147,0.604115,-0.220705,0.435885,0.573550,-0.228006,0.434715,0.632636
0.240000,-0.233228,0.483149,0.604087,-0.220701,0.435873,0.573523,-0.228006,0.434708,0.632605
0.250000,-0.233213,0.483129,0.604042,-0.220706,0.435867,0.573491,-0.227993,0.434712,0.632580
0.260000,-0.233227,0.483141,0.604020,-0.220710,0.435856,0.573460,-0.227994,0.434715,0.632547
0.270000,-0.233216,0.483141,0.603975,-0.220716,0.435851,0.573423,-0.227980,0.434736,0.632526
0.280000,-0.233209,0.483138,0.603940,-0.220721,0.435858,0.573381,-0.227984,0.434732,0.632491
0.290000,-0.233217,0.483145,0.603911,-0.220731,0.435851,0.573338,-0.227969,0.434757,0.632464
0.300000,-0.233219,0.483148,0.603875,-0.220741,0.435849,0.573301,-0.227974,0.434768,0.632430
0.310000,-0.233232,0.483160,0.603847,-0.220745,0.435849,0.573264,-0.227966,0.434779,0.632398
0.320000,-0.233228,0.483167,0.603807,-0.220752,0.435859,0.573237,-0.227965,0.434794,0.632379
0.330000,-0.233227,0.483180,0.603780,-0.220758,0.435894,0.573198,-0.227964,0.434803,0.632345
0.340000,-0.233240,0.483194,0.603750,-0.220763,0.435910,0.573169,-0.227957,0.434831,0.632319
0.350000,-0.233248,0.483219,0.603727,-0.220771,0.435954,0.573144,-0.227950,0.434847,0.632296
0.360000,-0.233249,0.483236,0.603707,-0.220759,0.435968,0.573113,-0.227955,0.434877,0.632279
0.370000,-0.233263,0.483259,0.603685,-0.220762,0.435997,0.573087,-0.227944,0.434901,0.632259
0.380000,-0.233253,0.483276,0.603663,-0.220743,0.436040,0.573051,-0.227934,0.434922,0.632214
0.390000,-0.233265,0.483287,0.603627,-0.220743,0.436058,0.573028,-0.227921,0.434939,0.632191
0.400000,-0.233259,0.483296,0.603604,-0.220739,0.436071,0.573006,-0.227917,0.434956,0.632171
0.410000,-0.233261,0.483304,0.603572,-0.220738,0.436061,0.572985,-0.227911,0.434969,0.632147
0.420000,-0.233241,0.483344,0.603531,-0.220734,0.436066,0.572952,-0.227910,0.434994,0.632123
0.430000,-0.233248,0.483346,0.603496,-0.220737,0.436071,0.572928,-0.227914,0.435008,0.632090
0.440000,-0.233246,0.483343,0.603463,-0.220737,0.436065,0.572898,-0.227921,0.435005,0.632071
0.450000,-0.233245,0.483343,0.603426,-0.220744,0.436061,0.572858,-0.227915,0.435014,0.632037
0.460000,-0.233259,0.483345,0.603386,-0.220762,0.436046,0.572828,-0.227919,0.435016,0.632002
0.470000,-0.233267,0.483333,0.603333,-0.220774,0.436037,0.572794,-0.227928,0.435025,0.631967
0.480000,-0.233283,0.483340,0.603280,-0.220793,0.436030,0.572746,-0.227943,0.435033,0.631910
0.490000,-0.233314,0.483344,0.603229,-0.220814,0.436030,0.572703,-0.227967,0.435042,0.631889
0.500000,-0.233337,0.483337,0.603184,-0.220841,0.436023,0.572659,-0.227975,0.435039,0.631829
0.510000,-0.233367,0.483342,0.603143,-0.220864,0.436038,0.572614,-0.227987,0.435047,0.631788
0.520000,-0.233391,0.483355,0.603100,-0.220895,0.436034,0.572552,-0.228015,0.435079,0.631753
0.530000,-0.233434,0.483357,0.603059,-0.220931,0.436044,0.572518,-0.228065,0.435046,0.631677
0.540000,-0.233476,0.483355,0.603018,-0.220974,0.436045,0.572483,-0.228109,0.435042,0.631643
0.550000,-0.233521,0.483375,0.602995,-0.221016,0.436063,0.572456,-0.228151,0.435066,0.631622
0.560000,-0.233580,0.483386,0.602968,-0.221072,0.436075,0.572436,-0.228208,0.435092,0.631603
0.570000,-0.233636,0.483397,0.602951,-0.221142,0.436077,0.572433,-0.228263,0.435108,0.631586
0.580000,-0.233714,0.483413,0.602942,-0.221198,0.436115,0.572422,-0.228324,0.435134,0.631580
0.590000,-0.233804,0.483440,0.602938,-0.221266,0.436147,0.572418,-0.228392,0.435155,0.631578
0.600000,-0.233887,0.483472,0.602946,-0.221328,0.436166,0.572427,-0.228466,0.435193,0.631585
0.610000,-0.233989,0.483507,0.602981,-0.221405,0.436219,0.572446,-0.228543,0.435217,0.631594
0.620000,-0.234081,0.483547,0.603002,-0.221476,0.436253,0.572468,-0.228629,0.435232,0.631609
0.630000,-0.234176,0.483588,0.603043,-0.221535,0.436299,0.572495,-0.228721,0.435268,0.631640
0.640000,-0.234267,0.483634,0.603072,-0.221615,0.436325,0.572547,-0.228820,0.435275,0.631670
0.650000,-0.234353,0.483662,0.603100,-0.221682,0.436369,0.572577,-0.228923,0.435308,0.631704
0.660000,-0.234444,0.483716,0.603117,-0.221760,0.436403,0.572609,-0.229019,0.435323,0.631727
0.670000,-0.234540,0.483735,0.603137,-0.221813,0.436439,0.572633,-0.229104,0.435371,0.631752
