Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.529568,0.050482,0.272385,0.488788,0.061551,0.233055,0.542021,0.038558,0.219474
0.010000,0.529571,0.050492,0.272371,0.488787,0.061535,0.233034,0.542028,0.038570,0.219466
0.020000,0.529577,0.050506,0.272370,0.488797,0.061557,0.233035,0.542044,0.038584,0.219465
0.030000,0.529661,0.050640,0.272297,0.488807,0.061562,0.233037,0.542048,0.038565,0.219464
0.040000,0.529659,0.050623,0.272304,0.488809,0.061554,0.233041,0.542047,0.038551,0.219475
0.050000,0.529668,0.050592,0.272321,0.488816,0.061557,0.233067,0.542032,0.038451,0.219483
0.060000,0.529660,0.050571,0.272344,0.488816,0.061523,0.233081,0.542042,0.038474,0.219511
0.070000,0.529650,0.050528,0.272369,0.488812,0.061530,0.233121,0.542029,0.038399,0.219533
0.080000,0.529644,0.050498,0.272394,0.488818,0.061497,0.233144,0.542020,0.038356,0.219559
0.090000,0.529641,0.050438,0.272444,0.488813,0.061479,0.233186,0.542011,0.038301,0.219587
0.100000,0.529634,0.050376,0.272463,0.488812,0.061443,0.233203,0.542005,0.038273,0.219623
0.110000,0.529627,0.050311,0.272504,0.488809,0.061412,0.233238,0.541983,0.038197,0.219664
0.120000,0.529607,0.050268,0.272543,0.488793,0.061352,0.233269,0.541966,0.038136,0.219699
0.130000,0.529594,0.050222,0.272582,0.488775,0.061311,0.233298,0.541934,0.038079,0.219736
0.140000,0.529570,0.050176,0.272633,0.488754,0.061294,0.233332,0.541924,0.038045,0.219779
0.150000,0.529543,0.050113,0.272687,0.488737,0.061218,0.233371,0.541901,0.037989,0.219820
0.160000,0.529519,0.050080,0.272735,0.488726,0.061177,0.233413,0.541876,0.037978,0.219876
0.170000,0.529514,0.050025,0.272786,0.488704,0.061145,0.233459,0.541865,0.037945,0.219923
0.180000,0.529494,0.049980,0.272836,0.488688,0.061109,0.233487,0.541854,0.037874,0.219947
0.190000,0.529491,0.049925,0.272851,0.488665,0.061036,0.233482,0.541842,0.037843,0.219969
0.200000,0.529480,0.049881,0.272870,0.488680,0.061025,0.233501,0.541846,0.037785,0.219975
0.210000,0.529474,0.049844,0.272869,0.488668,0.060967,0.233478,0.541841,0.037724,0.219980
0.220000,0.529483,0.049808,0.272862,0.488679,0.060876,0.233447,0.541865,0.037701,0.219990
0.230000,0.529479,0.049779,0.272854,0.488917,0.060648,0.233383,0.541848,0.037620,0.219980
0.240000,0.529471,0.049753,0.272843,0.488687,0.060849,0.233429,0.541856,0.037630,0.219987
0.250000,0.529469,0.049738,0.272833,0.488675,0.060830,0.233418,0.541846,0.037599,0.219985
0.260000,0.529446,0.049741,0.272835,0.488904,0.060603,0.233362,0.541841,0.037614,0.219987
0.270000,0.529436,0.049723,0.272818,0.488650,0.060818,0.233414,0.541831,0.037626,0.219997
0.280000,0.529420,0.049745,0.272827,0.488626,0.060806,0.233413,0.541808,0.037625,0.219986
0.290000,0.529411,0.049756,0.272831,0.488833,0.060568,0.233372,0.541804,0.037641,0.219995
0.300000,0.529416,0.049754,0.272825,0.488834,0.060589,0.233376,0.541799,0.037657,0.219997
0.310000,0.529420,0.049782,0.272824,0.488842,0.060611,0.233375,0.541802,0.037685,0.219987
0.320000,0.529424,0.049787,0.272811,0.488631,0.060920,0.233462,0.541796,0.037716,0.219978
0.330000,0.529442,0.049813,0.272814,0.488626,0.060910,0.233428,0.541795,0.037697,0.219971
0.340000,0.529448,0.049838,0.272802,0.488635,0.060969,0.233459,0.541812,0.037757,0.219962
0.350000,0.529457,0.049825,0.272795,0.488636,0.060983,0.233446,0.541823,0.037744,0.219952
0.360000,0.529458,0.049851,0.272785,0.488868,0.060684,0.233347,0.541823,0.037757,0.219941
0.370000,0.529458,0.049864,0.272769,0.488895,0.060734,0.233355,0.541835,0.037800,0.219933
0.380000,0.529468,0.049881,0.272771,0.488665,0.061019,0.233428,0.541847,0.037806,0.219922
0.390000,0.529475,0.049900,0.272762,0.488708,0.061073,0.233433,0.541856,0.037818,0.219915
0.400000,0.529483,0.049900,0.272755,0.488713,0.061085,0.233430,0.541868,0.037847,0.219912
0.410000,0.529488,0.049895,0.272748,0.488729,0.061106,0.233422,0.541877,0.037845,0.219904
0.420000,0.529502,0.049915,0.272752,0.488729,0.061127,0.233426,0.541884,0.037857,0.219906
0.430000,0.529503,0.049921,0.272758,0.488734,0.061140,0.233426,0.541904,0.037914,0.219919
0.440000,0.529503,0.049937,0.272761,0.488962,0.060907,0.233359,0.541889,0.037898,0.219910
0.450000,0.529506,0.049966,0.272758,0.488737,0.061160,0.233439,0.541899,0.037935,0.219922
0.460000,0.529502,0.049973,0.272763,0.488744,0.061164,0.233430,0.541902,0.037949,0.219922
0.470000,0.529512,0.049975,0.272772,0.488968,0.060916,0.233369,0.541918,0.037950,0.219932
0.480000,0.529531,0.049963,0.272765,0.488770,0.061154,0.233443,0.541930,0.037963,0.219931
0.490000,0.529555,0.049963,0.272761,0.488786,0.061161,0.233444,0.541946,0.037936,0.219938
0.500000,0.529564,0.049946,0.272781,0.489028,0.060895,0.233372,0.541957,0.037897,0.219933
0.510000,0.529580,0.049933,0.272790,0.488819,0.061148,0.233447,0.541982,0.037888,0.219952
0.520000,0.529572,0.049900,0.272805,0.488816,0.061117,0.233460,0.541991,0.037880,0.219968
0.530000,0.529575,0.049888,0.272816,0.488817,0.061104,0.233478,0.541992,0.037839,0.219979
0.540000,0.529568,0.049838,0.272838,0.489035,0.060820,0.233416,0.541982,0.037801,0.220009
0.550000,0.529561,0.049827,0.272856,0.488808,0.061049,0.233501,0.541987,0.037775,0.220034
0.560000,0.529545,0.049777,0.272879,0.489027,0.060748,0.233431,0.541979,0.037743,0.220054
0.570000,0.529545,0.049751,0.272899,0.488793,0.060951,0.233515,0.541974,0.037719,0.220076
0.580000,0.529526,0.049681,0.272918,0.488998,0.060649,0.233450,0.541959,0.037648,0.220085
0.590000,0.529524,0.049655,0.272935,0.489003,0.060603,0.233470,0.541947,0.037616,0.220111
0.600000,0.529504,0.049615,0.272960,0.488989,0.060574,0.233484,0.541954,0.037614,0.220131
0.610000,0.529504,0.049593,0.272973,0.488982,0.060558,0.233509,0.541939,0.037557,0.220143
0.620000,0.529499,0.049556,0.272968,0.488973,0.060535,0.233514,0.541944,0.037544,0.220146
0.630000,0.529495,0.049523,0.272983,0.488968,0.060494,0.233516,0.541930,0.037527,0.220155
0.640000,0.529487,0.049521,0.272988,0.488734,0.060693,0.233567,0.541924,0.037498,0.220155
0.650000,0.529482,0.049500,0.272987,0.488958,0.060457,0.233513,0.541906,0.037450,0.220145
0.660000,0.529471,0.049474,0.272979,0.488930,0.060399,0.233487,0.541899,0.037442,0.220145
0.670000,0.529462,0.049454,0.272966,0.488703,0.060595,0.233518,0.541900,0.037443,0.220131
0.680000,0.529449,0.049441,0.272951,0.488916,0.060372,0.233475,0.541887,0.037410,0.220126
0.690000,0.529447,0.049434,0.272950,0.488690,0.060565,0.233495,0.541883,0.037379,0.220113
0.700000,0.529442,0.049417,0.272944,0.488905,0.060300,0.233432,0.541881,0.037378,0.220102
0.710000,0.529444,0.049396,0.272930,0.488899,0.060287,0.233416,0.541876,0.037361,0.220087
0.720000,0.529432,0.049411,0.272918,0.488894,0.060312,0.233408,0.541868,0.037369,0.220077
0.730000,0.529431,0.049409,0.272899,0.488888,0.060298,0.233384,0.541863,0.037347,0.220058
0.740000,0.529423,0.049409,0.272887,0.488891,0.060289,0.233374,0.541857,0.037344,0.220035
0.750000,0.529427,0.049395,0.272859,0.488885,0.060292,0.233367,0.541851,0.037314,0.220016
0.760000,0.529435,0.049411,0.272836,0.488890,0.060299,0.233348,0.541849,0.037339,0.220002
0.770000,0.529434,0.049422,0.272820,0.488886,0.060321,0.233342,0.541839,0.037334,0.219976
0.780000,0.529427,0.049437,0.272808,0.488876,0.060318,0.233331,0.541834,0.037345,0.219966
0.790000,0.529419,0.049432,0.272795,0.488647,0.060592,0.233390,0.541818,0.037339,0.219953
0.800000,0.529415,0.049454,0.272789,0.488635,0.060583,0.233399,0.541816,0.037391,0.219950
0.810000,0.529411,0.049448,0.272786,0.488627,0.060576,0.233391,0.541808,0.037394,0.219952
0.820000,0.529402,0.049462,0.272791,0.488620,0.060591,0.233400,0.541802,0.037401,0.219954
0.830000,0.529413,0.049466,0.272790,0.488615,0.060571,0.233400,0.541792,0.037372,0.219948
0.840000,0.529421,0.049472,0.272790,0.488626,0.060573,0.233392,0.541811,0.037384,0.219955
0.850000,0.529429,0.049445,0.272799,0.488629,0.060581,0.233395,0.541814,0.037368,0.219953
