Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.092596,0.482959,0.716986,-0.089351,0.430980,0.691671,-0.094410,0.437161,0.750496
0.010000,-0.092615,0.482976,0.716924,-0.089366,0.430982,0.691622,-0.094400,0.437176,0.750448
0.020000,-0.092610,0.482981,0.716883,-0.089382,0.430971,0.691584,-0.094417,0.437173,0.750398
0.030000,-0.092640,0.482981,0.716807,-0.089384,0.430983,0.691530,-0.094420,0.437175,0.750353
0.040000,-0.092638,0.482977,0.716764,-0.089383,0.430986,0.691484,-0.094419,0.437173,0.750305
0.050000,-0.092641,0.482981,0.716717,-0.089361,0.431018,0.691413,-0.094421,0.437178,0.750268
0.060000,-0.092642,0.482979,0.716672,-0.089364,0.431007,0.691375,-0.094412,0.437199,0.750219
0.070000,-0.092639,0.482969,0.716602,-0.089372,0.431006,0.691323,-0.094426,0.437197,0.750180
0.080000,-0.092645,0.482968,0.716564,-0.089353,0.431014,0.691269,-0.094424,0.437192,0.750135
0.090000,-0.092649,0.482966,0.716517,-0.089360,0.431007,0.691226,-0.094423,0.437199,0.750100
0.100000,-0.092663,0.482949,0.716456,-0.089368,0.430996,0.691185,-0.094439,0.437180,0.750061
0.110000,-0.092662,0.482931,0.716404,-0.089381,0.430992,0.691133,-0.094418,0.437196,0.750015
0.120000,-0.092664,0.482924,0.716360,-0.089383,0.430976,0.691092,-0.094429,0.437197,0.749970
0.130000,-0.092668,0.482909,0.716306,-0.089396,0.430962,0.691043,-0.094423,0.437197,0.749926
0.140000,-0.092669,0.482903,0.716258,-0.089409,0.430951,0.690985,-0.094431,0.437178,0.749887
0.150000,-0.092672,0.482885,0.716204,-0.089422,0.430938,0.690935,-0.094412,0.437187,0.749842
0.160000,-0.092672,0.482880,0.716168,-0.089443,0.430918,0.690894,-0.094438,0.437172,0.749803
0.170000,-0.092681,0.482858,0.716100,-0.089459,0.430891,0.690838,-0.094430,0.437169,0.749756
0.180000,-0.092684,0.482848,0.716059,-0.089476,0.430874,0.690795,-0.094439,0.437160,0.749721
0.190000,-0.092697,0.482835,0.716026,-0.089506,0.430847,0.690760,-0.093972,0.437507,0.749891
0.200000,-0.092712,0.482829,0.715973,-0.089515,0.430862,0.690721,-0.093958,0.437525,0.749852
0.210000,-0.092723,0.482827,0.715949,-0.089516,0.430874,0.690679,-0.093972,0.437521,0.749821
0.220000,-0.092742,0.482820,0.715930,-0.089558,0.430844,0.690685,-0.093974,0.437558,0.749792
0.230000,-0.092760,0.482835,0.715917,-0.089557,0.430855,0.690654,-0.094011,0.437523,0.749787
0.240000,-0.092776,0.482823,0.715912,-0.089565,0.430870,0.690653,-0.094016,0.437558,0.749774
0.250000,-0.092790,0.482839,0.715912,-0.089583,0.430867,0.690646,-0.094027,0.437539,0.749788
0.260000,-0.092798,0.482835,0.715918,-0.089593,0.430871,0.690652,-0.094059,0.437525,0.749789
0.270000,-0.092818,0.482835,0.715925,-0.089602,0.430868,0.690663,-0.094102,0.437497,0.749806
0.280000,-0.092835,0.482841,0.715949,-0.089646,0.430845,0.690702,-0.094099,0.437539,0.749814
0.290000,-0.092851,0.482833,0.715991,-0.089650,0.430852,0.690725,-0.094138,0.437502,0.749845
0.300000,-0.092867,0.482838,0.716004,-0.089664,0.430847,0.690760,-0.094151,0.437535,0.749857
0.310000,-0.092882,0.482849,0.716051,-0.089669,0.430873,0.690789,-0.094181,0.437503,0.749901
0.320000,-0.092896,0.482869,0.716087,-0.089695,0.430894,0.690831,-0.094191,0.437530,0.749941
0.330000,-0.092925,0.482891,0.716135,-0.089713,0.430923,0.690879,-0.094223,0.437534,0.749971
0.340000,-0.092938,0.482924,0.716192,-0.089725,0.430943,0.690935,-0.094247,0.437546,0.750015
0.350000,-0.092966,0.482934,0.716238,-0.089738,0.430968,0.690987,-0.094278,0.437553,0.750057
0.360000,-0.092995,0.482953,0.716286,-0.089772,0.430984,0.691040,-0.094306,0.437571,0.750110
0.370000,-0.093019,0.482990,0.716349,-0.089785,0.431009,0.691101,-0.094336,0.437573,0.750155
0.380000,-0.093048,0.483012,0.716406,-0.089796,0.431036,0.691154,-0.094368,0.437601,0.750210
0.390000,-0.093080,0.483013,0.716474,-0.089809,0.431052,0.691210,-0.094393,0.437613,0.750264
0.400000,-0.093104,0.483048,0.716540,-0.089839,0.431053,0.691311,-0.094427,0.437624,0.750335
0.410000,-0.093118,0.483083,0.716625,-0.089847,0.431064,0.691366,-0.094444,0.437638,0.750397
0.420000,-0.093135,0.483110,0.716689,-0.089848,0.431087,0.691420,-0.094459,0.437660,0.750461
0.430000,-0.093143,0.483128,0.716751,-0.089840,0.431114,0.691481,-0.094480,0.437653,0.750524
0.440000,-0.093159,0.483139,0.716826,-0.089839,0.431133,0.691543,-0.094485,0.437677,0.750596
0.450000,-0.093176,0.483163,0.716900,-0.089823,0.431153,0.691597,-0.094506,0.437695,0.750657
0.460000,-0.093171,0.483177,0.716968,-0.089816,0.431159,0.691663,-0.094497,0.437706,0.750731
0.470000,-0.093163,0.483189,0.717047,-0.089804,0.431159,0.691724,-0.094490,0.437731,0.750816
0.480000,-0.093134,0.483176,0.717129,-0.089781,0.431182,0.691780,-0.094474,0.437719,0.750864
0.490000,-0.093114,0.483168,0.717187,-0.089756,0.431165,0.691849,-0.094463,0.437713,0.750936
0.500000,-0.093081,0.483174,0.717268,-0.089737,0.431153,0.691905,-0.094451,0.437712,0.750997
0.510000,-0.093062,0.483128,0.717340,-0.089716,0.431139,0.691956,-0.094419,0.437706,0.751056
0.520000,-0.093034,0.483115,0.717389,-0.089699,0.431127,0.691999,-0.094400,0.437687,0.751106
0.530000,-0.093009,0.483101,0.717439,-0.089671,0.431121,0.692048,-0.094368,0.437708,0.751174
0.540000,-0.092966,0.483078,0.717489,-0.089650,0.431111,0.692092,-0.094347,0.437694,0.751219
0.550000,-0.092941,0.483076,0.717538,-0.089621,0.431093,0.692131,-0.094328,0.437690,0.751281
0.560000,-0.092925,0.483054,0.717583,-0.089607,0.431088,0.692176,-0.094299,0.437691,0.751327
0.570000,-0.092904,0.483038,0.717624,-0.089591,0.431070,0.692220,-0.094283,0.437681,0.751372
0.580000,-0.092886,0.483035,0.717662,-0.089583,0.431061,0.692282,-0.094269,0.437678,0.751418
0.590000,-0.092879,0.483004,0.717704,-0.089563,0.431058,0.692313,-0.094244,0.437677,0.751469
0.600000,-0.092859,0.483005,0.717740,-0.089558,0.431042,0.692356,-0.094228,0.437659,0.751505
0.610000,-0.092849,0.482986,0.717783,-0.089554,0.431038,0.692402,-0.094220,0.437654,0.751560
0.620000,-0.092847,0.482974,0.717825,-0.089543,0.431029,0.692458,-0.094208,0.437649,0.751601
0.630000,-0.092838,0.482957,0.717869,-0.089534,0.431028,0.692501,-0.094196,0.437637,0.751652
0.640000,-0.092840,0.482946,0.717910,-0.089543,0.431001,0.692562,-0.094620,0.437323,0.751495
0.650000,-0.092832,0.482957,0.717967,-0.089545,0.430988,0.692620,-0.094181,0.437618,0.751779
0.660000,-0.092832,0.482957,0.718022,-0.089531,0.431013,0.692669,-0.094174,0.437623,0.751835
0.670000,-0.092838,0.482966,0.718082,-0.089523,0.431047,0.692721,-0.094596,0.437332,0.751681
0.680000,-0.092839,0.482998,0.718162,-0.089512,0.431079,0.692798,-0.094590,0.437342,0.751745
0.690000,-0.092844,0.483026,0.718251,-0.089515,0.431092,0.692857,-0.094582,0.437362,0.751810
0.700000,-0.092859,0.483049,0.718331,-0.089511,0.431138,0.692922,-0.094568,0.437375,0.751877
0.710000,-0.092861,0.483065,0.718407,-0.089520,0.431162,0.692999,-0.094574,0.437393,0.751942
0.720000,-0.092866,0.483082,0.718500,-0.089512,0.431183,0.693064,-0.094542,0.437418,0.752025
0.730000,-0.092860,0.483109,0.718598,-0.089511,0.431215,0.693151,-0.094559,0.437389,0.752099
0.740000,-0.092849,0.483098,0.718711,-0.089514,0.431225,0.693237,-0.094554,0.437383,0.752177
0.750000,-0.092843,0.483128,0.718819,-0.089532,0.431212,0.693342,-0.094558,0.437370,0.752252
0.760000,-0.092840,0.483122,0.718931,-0.089535,0.431223,0.693430,-0.094568,0.437364,0.752330
0.770000,-0.092827,0.483128,0.719021,-0.089542,0.431204,0.693524,-0.094568,0.437355,0.752402
0.780000,-0.092824,0.483129,0.719112,-0.089548,0.431210,0.693626,-0.094574,0.437349,0.752490
0.790000,-0.092823,0.483117,0.719194,-0.089553,0.431206,0.693708,-0.094623,0.437314,0.752579
0.800000,-0.092823,0.483110,0.719278,-0.089566,0.431204,0.693804,-0.094643,0.437294,0.752653
0.810000,-0.092822,0.483110,0.719366,-0.089602,0.431168,0.693920,-0.094651,0.437303,0.752734
0.820000,-0.092833,0.483112,0.719461,-0.089610,0.431151,0.694005,-0.094655,0.437310,0.752798
