Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.098452,0.075041,0.601887,0.134603,0.030582,0.588170,0.079376,0.020788,0.610621
0.010000,0.098750,0.075240,0.601896,0.134853,0.030730,0.588160,0.079653,0.021053,0.610616
0.020000,0.099049,0.075433,0.601889,0.135124,0.030891,0.588176,0.079916,0.021284,0.610639
0.030000,0.099343,0.075650,0.601875,0.135362,0.031070,0.588168,0.080211,0.021489,0.610676
0.040000,0.099616,0.075851,0.601870,0.135617,0.031192,0.588179,0.080521,0.021724,0.610720
0.050000,0.099891,0.076009,0.601883,0.135913,0.031408,0.588204,0.080794,0.021946,0.610753
0.060000,0.100116,0.076192,0.601911,0.136169,0.031607,0.588239,0.081043,0.022181,0.610808
0.070000,0.100379,0.076463,0.601888,0.136461,0.031810,0.588273,0.081295,0.022392,0.610828
0.080000,0.100726,0.076772,0.601973,0.136674,0.031961,0.588319,0.081557,0.022585,0.610884
0.090000,0.100971,0.076944,0.601981,0.136875,0.032054,0.588362,0.081805,0.022752,0.610919
0.100000,0.101175,0.077081,0.601991,0.137217,0.032327,0.588407,0.082044,0.022894,0.610953
0.110000,0.101421,0.077191,0.601988,0.137459,0.032463,0.588441,0.082293,0.023046,0.610990
0.120000,0.101647,0.077278,0.601997,0.137697,0.032568,0.588483,0.082537,0.023205,0.611017
0.130000,0.101866,0.077435,0.601999,0.137961,0.032773,0.588522,0.082781,0.023368,0.611070
0.140000,0.102105,0.077620,0.601987,0.138153,0.032827,0.588537,0.083044,0.023490,0.611094
0.150000,0.102326,0.077759,0.601976,0.138360,0.032951,0.588560,0.083299,0.023627,0.611100
0.160000,0.102588,0.077956,0.601948,0.138556,0.033091,0.588591,0.083532,0.023802,0.611113
0.170000,0.102792,0.078063,0.601918,0.138840,0.033316,0.588628,0.083781,0.023923,0.611115
0.180000,0.102985,0.078185,0.601964,0.139039,0.033472,0.588658,0.084010,0.024047,0.611107
0.190000,0.103299,0.078424,0.602008,0.139251,0.033616,0.588668,0.084232,0.024209,0.611095
0.200000,0.103504,0.078626,0.602020,0.139551,0.033828,0.588744,0.084449,0.024345,0.611091
0.210000,0.103684,0.078752,0.602037,0.139830,0.034062,0.588773,0.084649,0.024532,0.611085
0.220000,0.103850,0.078886,0.602036,0.140074,0.034274,0.588815,0.084857,0.024677,0.611098
0.230000,0.103997,0.079002,0.602049,0.140294,0.034459,0.588803,0.085048,0.024847,0.611088
