Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.540541,0.060671,0.495354,0.520879,0.079523,0.451357,0.578205,0.061443,0.465265
0.010000,0.540549,0.060704,0.495372,0.520882,0.079542,0.451365,0.578211,0.061459,0.465277
0.020000,0.540547,0.060723,0.495356,0.520879,0.079574,0.451364,0.578222,0.061473,0.465270
0.030000,0.540528,0.060768,0.495377,0.520878,0.079581,0.451371,0.578205,0.061531,0.465312
0.040000,0.540524,0.060795,0.495390,0.520885,0.079601,0.451364,0.578200,0.061545,0.465304
0.050000,0.540521,0.060822,0.495402,0.520877,0.079615,0.451384,0.578213,0.061547,0.465319
0.060000,0.540516,0.060819,0.495417,0.520887,0.079638,0.451395,0.578215,0.061558,0.465329
0.070000,0.540517,0.060844,0.495433,0.520885,0.079661,0.451417,0.578202,0.061590,0.465347
0.080000,0.540519,0.060875,0.495451,0.520890,0.079684,0.451420,0.578212,0.061598,0.465361
0.090000,0.540524,0.060874,0.495467,0.520885,0.079702,0.451436,0.578208,0.061624,0.465382
0.100000,0.540526,0.060895,0.495469,0.520879,0.079713,0.451450,0.578211,0.061648,0.465387
0.110000,0.540511,0.060916,0.495489,0.520878,0.079738,0.451460,0.578199,0.061689,0.465413
0.120000,0.540510,0.060970,0.495538,0.520874,0.079770,0.451467,0.578201,0.061692,0.465405
0.130000,0.540513,0.060959,0.495496,0.520871,0.079799,0.451489,0.578181,0.061725,0.465414
0.140000,0.540508,0.061030,0.495539,0.520862,0.079819,0.451491,0.578204,0.061735,0.465413
0.150000,0.540518,0.061002,0.495487,0.520877,0.079844,0.451489,0.578208,0.061766,0.465407
0.160000,0.540531,0.061072,0.495530,0.520888,0.079869,0.451479,0.578214,0.061813,0.465410
0.170000,0.540542,0.061115,0.495528,0.520897,0.079911,0.451466,0.578219,0.061849,0.465404
0.180000,0.540554,0.061094,0.495466,0.520915,0.079955,0.451467,0.578236,0.061868,0.465386
0.190000,0.540573,0.061134,0.495445,0.520917,0.079978,0.451439,0.578253,0.061880,0.465336
0.200000,0.540577,0.061185,0.495421,0.520931,0.080024,0.451432,0.578259,0.061943,0.465326
0.210000,0.540580,0.061217,0.495405,0.520926,0.080072,0.451414,0.578266,0.061990,0.465326
0.220000,0.540586,0.061276,0.495385,0.520943,0.080105,0.451399,0.578281,0.062006,0.465279
0.230000,0.540602,0.061328,0.495363,0.520935,0.080154,0.451379,0.578276,0.062091,0.465263
0.240000,0.540615,0.061364,0.495350,0.520938,0.080197,0.451367,0.578290,0.062117,0.465233
0.250000,0.540631,0.061419,0.495333,0.520954,0.080237,0.451354,0.578295,0.062180,0.465230
0.260000,0.540634,0.061460,0.495313,0.520938,0.080278,0.451330,0.578303,0.062216,0.465198
0.270000,0.540642,0.061483,0.495290,0.520951,0.080310,0.451317,0.578317,0.062263,0.465174
0.280000,0.540647,0.061545,0.495277,0.520956,0.080350,0.451292,0.578285,0.062370,0.465192
0.290000,0.540651,0.061596,0.495260,0.520952,0.080404,0.451275,0.578322,0.062331,0.465135
0.300000,0.540666,0.061649,0.495249,0.520979,0.080424,0.451291,0.578296,0.062438,0.465140
0.310000,0.540660,0.061696,0.495237,0.520971,0.080478,0.451273,0.578311,0.062461,0.465110
0.320000,0.540663,0.061715,0.495216,0.520978,0.080525,0.451269,0.578327,0.062481,0.465079
0.330000,0.540666,0.061774,0.495214,0.520979,0.080548,0.451254,0.578314,0.062571,0.465115
0.340000,0.540672,0.061798,0.495212,0.520979,0.080586,0.451249,0.578335,0.062562,0.465086
0.350000,0.540671,0.061847,0.495196,0.520986,0.080606,0.451247,0.578322,0.062625,0.465086
0.360000,0.540681,0.061882,0.495210,0.520996,0.080642,0.451254,0.578337,0.062655,0.465097
0.370000,0.540692,0.061894,0.495209,0.521005,0.080667,0.451267,0.578342,0.062674,0.465098
0.380000,0.540698,0.061932,0.495237,0.521002,0.080756,0.451327,0.578352,0.062688,0.465127
0.390000,0.540700,0.061957,0.495259,0.521022,0.080785,0.451368,0.578348,0.062715,0.465139
0.400000,0.540694,0.062025,0.495325,0.521014,0.080803,0.451376,0.578366,0.062712,0.465160
0.410000,0.540681,0.062020,0.495345,0.521005,0.080824,0.451412,0.578353,0.062751,0.465197
0.420000,0.540672,0.062031,0.495391,0.521000,0.080839,0.451441,0.578329,0.062789,0.465238
0.430000,0.540645,0.062022,0.495407,0.520985,0.080838,0.451462,0.578307,0.062816,0.465285
0.440000,0.540636,0.062032,0.495440,0.520977,0.080841,0.451489,0.578307,0.062793,0.465301
0.450000,0.540616,0.062031,0.495461,0.520977,0.080847,0.451511,0.578284,0.062823,0.465346
0.460000,0.540618,0.062044,0.495493,0.520959,0.080858,0.451537,0.578286,0.062781,0.465363
0.470000,0.540619,0.062015,0.495525,0.520974,0.080876,0.451564,0.578285,0.062821,0.465406
0.480000,0.540612,0.062035,0.495539,0.520985,0.080875,0.451582,0.578294,0.062795,0.465416
0.490000,0.540616,0.062001,0.495546,0.520989,0.080863,0.451591,0.578291,0.062761,0.465421
0.500000,0.540608,0.062006,0.495562,0.520985,0.080859,0.451600,0.578299,0.062767,0.465446
0.510000,0.540583,0.061977,0.495549,0.520980,0.080844,0.451598,0.578264,0.062792,0.465463
0.520000,0.540575,0.061971,0.495563,0.520959,0.080849,0.451600,0.578279,0.062761,0.465452
0.530000,0.540582,0.061956,0.495559,0.520970,0.080826,0.451584,0.578286,0.062724,0.465446
0.540000,0.540591,0.061959,0.495556,0.520974,0.080820,0.451593,0.578278,0.062743,0.465456
0.550000,0.540602,0.061919,0.495546,0.520991,0.080794,0.451569,0.578287,0.062717,0.465447
0.560000,0.540610,0.061906,0.495528,0.521000,0.080759,0.451557,0.578303,0.062684,0.465422
0.570000,0.540632,0.061885,0.495522,0.521012,0.080742,0.451559,0.578352,0.062599,0.465384
0.580000,0.540641,0.061851,0.495506,0.521012,0.080737,0.451540,0.578315,0.062641,0.465396
0.590000,0.540660,0.061837,0.495491,0.521028,0.080698,0.451519,0.578376,0.062531,0.465334
0.600000,0.540673,0.061792,0.495471,0.521037,0.080676,0.451510,0.578370,0.062562,0.465351
0.610000,0.540688,0.061763,0.495463,0.521053,0.080657,0.451490,0.578396,0.062481,0.465304
0.620000,0.540702,0.061734,0.495455,0.521069,0.080602,0.451486,0.578422,0.062461,0.465288
0.630000,0.540726,0.061703,0.495441,0.521088,0.080598,0.451472,0.578434,0.062455,0.465308
0.640000,0.540751,0.061695,0.495440,0.521119,0.080574,0.451484,0.578470,0.062390,0.465267
0.650000,0.540784,0.061670,0.495451,0.521142,0.080543,0.451480,0.578485,0.062377,0.465275
0.660000,0.540805,0.061641,0.495457,0.521177,0.080541,0.451495,0.578522,0.062329,0.465290
0.670000,0.540846,0.061617,0.495486,0.521238,0.080510,0.451518,0.578542,0.062323,0.465316
