Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.112401,0.059573,0.667384,-0.073493,0.016324,0.661919,-0.133207,0.017955,0.683301
0.010000,-0.112410,0.059521,0.667363,-0.073444,0.016350,0.661920,-0.133152,0.017979,0.683329
0.020000,-0.112304,0.059597,0.667398,-0.073388,0.016350,0.661918,-0.133084,0.017979,0.683339
0.030000,-0.112234,0.059638,0.667413,-0.073356,0.016343,0.661906,-0.133037,0.018007,0.683352
0.040000,-0.112185,0.059638,0.667420,-0.073320,0.016330,0.661884,-0.132987,0.017995,0.683359
0.050000,-0.112157,0.059628,0.667418,-0.073230,0.016394,0.661866,-0.132938,0.017978,0.683361
0.060000,-0.112134,0.059584,0.667415,-0.073204,0.016379,0.661843,-0.132924,0.017975,0.683354
0.070000,-0.112105,0.059578,0.667400,-0.073266,0.016230,0.661835,-0.132899,0.017922,0.683337
0.080000,-0.112085,0.059521,0.667391,-0.073186,0.016264,0.661802,-0.132905,0.017876,0.683330
0.090000,-0.112102,0.059458,0.667380,-0.073188,0.016200,0.661792,-0.132913,0.017818,0.683314
0.100000,-0.112112,0.059377,0.667350,-0.073200,0.016134,0.661771,-0.132921,0.017759,0.683282
0.110000,-0.112106,0.059316,0.667323,-0.073228,0.016039,0.661733,-0.132945,0.017651,0.683250
0.120000,-0.112126,0.059229,0.667299,-0.073224,0.015985,0.661700,-0.132960,0.017589,0.683209
0.130000,-0.112157,0.059144,0.667279,-0.073253,0.015886,0.661660,-0.132971,0.017511,0.683175
0.140000,-0.112153,0.059088,0.667232,-0.073283,0.015808,0.661608,-0.132976,0.017443,0.683134
0.150000,-0.112157,0.059061,0.667209,-0.073290,0.015742,0.661546,-0.132978,0.017407,0.683096
0.160000,-0.112146,0.059028,0.667176,-0.073277,0.015710,0.661499,-0.132961,0.017359,0.683057
0.170000,-0.112131,0.059005,0.667141,-0.073267,0.015678,0.661461,-0.132932,0.017353,0.683031
0.180000,-0.112102,0.058997,0.667114,-0.073239,0.015699,0.661420,-0.132897,0.017347,0.683006
0.190000,-0.112051,0.059058,0.667101,-0.073216,0.015692,0.661374,-0.132869,0.017405,0.682998
0.200000,-0.112023,0.059055,0.667099,-0.073204,0.015702,0.661344,-0.132841,0.017404,0.682994
0.210000,-0.111986,0.059090,0.667069,-0.073211,0.015673,0.661291,-0.132837,0.017388,0.682977
0.220000,-0.111994,0.059075,0.667052,-0.073210,0.015681,0.661268,-0.132830,0.017390,0.682964
0.230000,-0.112017,0.059063,0.667026,-0.073228,0.015683,0.661240,-0.132840,0.017392,0.682935
0.240000,-0.112048,0.059073,0.667010,-0.073239,0.015701,0.661216,-0.132872,0.017377,0.682906
0.250000,-0.112095,0.059050,0.666984,-0.073293,0.015662,0.661206,-0.132925,0.017343,0.682865
0.260000,-0.112140,0.059000,0.666971,-0.073334,0.015646,0.661189,-0.132970,0.017319,0.682828
0.270000,-0.112203,0.058947,0.666929,-0.073368,0.015614,0.661197,-0.133018,0.017309,0.682802
0.280000,-0.112226,0.058932,0.666908,-0.073408,0.015573,0.661195,-0.133053,0.017277,0.682778
0.290000,-0.112291,0.058828,0.666863,-0.073431,0.015512,0.661149,-0.133084,0.017228,0.682739
0.300000,-0.112231,0.058831,0.666854,-0.073441,0.015446,0.661105,-0.133079,0.017196,0.682710
0.310000,-0.112272,0.058732,0.666801,-0.073452,0.015370,0.661055,-0.133065,0.017146,0.682677
0.320000,-0.112254,0.058685,0.666765,-0.073439,0.015325,0.660993,-0.133043,0.017100,0.682661
0.330000,-0.112238,0.058707,0.666721,-0.073448,0.015245,0.660939,-0.133020,0.017061,0.682628
0.340000,-0.112214,0.058620,0.666720,-0.073398,0.015274,0.660906,-0.132983,0.017024,0.682608
0.350000,-0.112139,0.058655,0.666730,-0.073394,0.015231,0.660879,-0.132950,0.017029,0.682600
0.360000,-0.112118,0.058677,0.666736,-0.073358,0.015268,0.660888,-0.132945,0.017043,0.682612
0.370000,-0.112109,0.058706,0.666745,-0.073353,0.015285,0.660905,-0.132932,0.017049,0.682616
0.380000,-0.112087,0.058743,0.666771,-0.073338,0.015308,0.660927,-0.132928,0.017086,0.682630
0.390000,-0.112080,0.058755,0.666792,-0.073315,0.015373,0.660956,-0.132912,0.017116,0.682652
0.400000,-0.112067,0.058789,0.666818,-0.073297,0.015390,0.660973,-0.132900,0.017150,0.682666
0.410000,-0.112039,0.058852,0.666851,-0.073280,0.015423,0.660991,-0.132887,0.017152,0.682691
0.420000,-0.112042,0.058855,0.666861,-0.073265,0.015454,0.661010,-0.132877,0.017184,0.682728
0.430000,-0.112038,0.058877,0.666891,-0.073266,0.015452,0.661047,-0.132871,0.017173,0.682750
0.440000,-0.112053,0.058867,0.666916,-0.073265,0.015466,0.661091,-0.132873,0.017178,0.682777
0.450000,-0.112073,0.058900,0.666945,-0.073256,0.015506,0.661146,-0.132903,0.017200,0.682808
0.460000,-0.112102,0.058872,0.666973,-0.073272,0.015518,0.661199,-0.132917,0.017190,0.682839
0.470000,-0.112129,0.058882,0.667005,-0.073290,0.015536,0.661263,-0.132953,0.017207,0.682877
0.480000,-0.112158,0.058890,0.667036,-0.073311,0.015528,0.661313,-0.132970,0.017192,0.682914
0.490000,-0.112191,0.058890,0.667070,-0.073333,0.015545,0.661381,-0.133004,0.017232,0.682935
0.500000,-0.112221,0.058901,0.667101,-0.073339,0.015592,0.661419,-0.133043,0.017241,0.682967
0.510000,-0.112237,0.058911,0.667126,-0.073352,0.015623,0.661465,-0.133048,0.017269,0.683008
0.520000,-0.112249,0.058910,0.667151,-0.073370,0.015609,0.661496,-0.133060,0.017268,0.683031
0.530000,-0.112225,0.058946,0.667158,-0.073356,0.015631,0.661515,-0.133057,0.017296,0.683047
0.540000,-0.112214,0.058972,0.667167,-0.073331,0.015675,0.661541,-0.133032,0.017308,0.683066
0.550000,-0.112177,0.058988,0.667182,-0.073286,0.015685,0.661532,-0.132993,0.017330,0.683081
0.560000,-0.112115,0.058997,0.667192,-0.073222,0.015743,0.661542,-0.132930,0.017352,0.683082
0.570000,-0.112051,0.059047,0.667190,-0.073197,0.015707,0.661516,-0.132877,0.017383,0.683096
0.580000,-0.111998,0.059069,0.667192,-0.073155,0.015717,0.661512,-0.132828,0.017395,0.683101
0.590000,-0.111974,0.059065,0.667199,-0.073127,0.015727,0.661521,-0.132803,0.017407,0.683102
0.600000,-0.111962,0.059064,0.667213,-0.073109,0.015737,0.661530,-0.132789,0.017403,0.683118
0.610000,-0.111962,0.059057,0.667224,-0.073089,0.015752,0.661575,-0.132791,0.017377,0.683122
0.620000,-0.111969,0.059025,0.667232,-0.073102,0.015713,0.661596,-0.132805,0.017346,0.683127
0.630000,-0.111979,0.058956,0.667241,-0.073137,0.015632,0.661593,-0.132817,0.017304,0.683140
0.640000,-0.112000,0.058949,0.667246,-0.073141,0.015601,0.661598,-0.132852,0.017270,0.683142
0.650000,-0.112016,0.058884,0.667253,-0.073161,0.015575,0.661620,-0.132884,0.017188,0.683163
0.660000,-0.112083,0.058820,0.667246,-0.073200,0.015541,0.661623,-0.132924,0.017160,0.683158
0.670000,-0.112112,0.058773,0.667257,-0.073251,0.015471,0.661626,-0.132978,0.017136,0.683150
0.680000,-0.112153,0.058764,0.667253,-0.073281,0.015474,0.661623,-0.133023,0.017124,0.683158
0.690000,-0.112202,0.058792,0.667241,-0.073339,0.015475,0.661624,-0.133065,0.017131,0.683152
0.700000,-0.112247,0.058809,0.667235,-0.073378,0.015494,0.661614,-0.133107,0.017163,0.683169
0.710000,-0.112280,0.058859,0.667233,-0.073471,0.015451,0.661628,-0.133131,0.017198,0.683158
0.720000,-0.112310,0.058867,0.667227,-0.073424,0.015578,0.661599,-0.133148,0.017250,0.683141
0.730000,-0.112297,0.058905,0.667209,-0.073451,0.015595,0.661560,-0.133169,0.017307,0.683125
0.740000,-0.112312,0.058945,0.667191,-0.073495,0.015571,0.661499,-0.133177,0.017325,0.683080
0.750000,-0.112305,0.058950,0.667151,-0.073519,0.015574,0.661434,-0.133194,0.017350,0.683043
0.760000,-0.112375,0.058868,0.667099,-0.073564,0.015530,0.661364,-0.133211,0.017330,0.683004
0.770000,-0.112394,0.058848,0.667068,-0.073608,0.015479,0.661303,-0.133256,0.017291,0.682959
0.780000,-0.112427,0.058800,0.667035,-0.073646,0.015450,0.661228,-0.133287,0.017273,0.682911
