Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.111577,0.515858,0.640581,-0.091914,0.467428,0.613366,-0.096542,0.484556,0.674004
0.010000,-0.111569,0.515855,0.640588,-0.091910,0.467435,0.613365,-0.096526,0.484564,0.674013
0.020000,-0.111572,0.515848,0.640606,-0.091911,0.467441,0.613389,-0.096531,0.484560,0.674025
0.030000,-0.111585,0.515834,0.640622,-0.091901,0.467430,0.613402,-0.096532,0.484550,0.674038
0.040000,-0.111568,0.515849,0.640643,-0.091899,0.467440,0.613418,-0.096521,0.484537,0.674065
0.050000,-0.111565,0.515840,0.640669,-0.091891,0.467441,0.613437,-0.096517,0.484507,0.674086
0.060000,-0.111564,0.515830,0.640688,-0.091879,0.467435,0.613465,-0.096519,0.484498,0.674107
0.070000,-0.111559,0.515830,0.640700,-0.091881,0.467436,0.613481,-0.096532,0.484516,0.674117
0.080000,-0.111562,0.515842,0.640711,-0.091873,0.467447,0.613496,-0.096523,0.484498,0.674141
0.090000,-0.111560,0.515835,0.640733,-0.091874,0.467452,0.613511,-0.096526,0.484506,0.674141
0.100000,-0.111562,0.515850,0.640743,-0.091870,0.467456,0.613522,-0.096537,0.484524,0.674154
0.110000,-0.111566,0.515850,0.640743,-0.091872,0.467465,0.613523,-0.096532,0.484516,0.674159
0.120000,-0.111569,0.515855,0.640741,-0.091875,0.467476,0.613525,-0.096538,0.484549,0.674163
0.130000,-0.111576,0.515861,0.640732,-0.091875,0.467472,0.613516,-0.096531,0.484526,0.674155
0.140000,-0.111584,0.515859,0.640727,-0.091883,0.467473,0.613513,-0.096535,0.484545,0.674147
0.150000,-0.111585,0.515851,0.640718,-0.091895,0.467465,0.613502,-0.096537,0.484536,0.674136
0.160000,-0.111588,0.515848,0.640716,-0.091894,0.467457,0.613495,-0.096534,0.484544,0.674133
0.170000,-0.111581,0.515850,0.640724,-0.091894,0.467458,0.613492,-0.096511,0.484520,0.674130
0.180000,-0.111584,0.515844,0.640723,-0.091904,0.467455,0.613498,-0.096503,0.484511,0.674137
0.190000,-0.111572,0.515836,0.640748,-0.091892,0.467449,0.613502,-0.096485,0.484510,0.674147
0.200000,-0.111564,0.515825,0.640768,-0.091887,0.467458,0.613521,-0.096476,0.484505,0.674161
0.210000,-0.111544,0.515829,0.640799,-0.091867,0.467464,0.613546,-0.096454,0.484493,0.674192
0.220000,-0.111514,0.515821,0.640839,-0.091844,0.467449,0.613587,-0.096432,0.484489,0.674235
0.230000,-0.111484,0.515818,0.640883,-0.091808,0.467458,0.613625,-0.096408,0.484481,0.674274
0.240000,-0.111455,0.515807,0.640931,-0.091786,0.467455,0.613672,-0.096373,0.484474,0.674309
0.250000,-0.111404,0.515805,0.640969,-0.091750,0.467456,0.613706,-0.096351,0.484464,0.674356
0.260000,-0.111373,0.515802,0.641011,-0.091726,0.467442,0.613743,-0.096330,0.484444,0.674405
0.270000,-0.111348,0.515789,0.641044,-0.091699,0.467431,0.613783,-0.096321,0.484433,0.674442
0.280000,-0.111327,0.515788,0.641071,-0.091678,0.467429,0.613819,-0.096308,0.484413,0.674481
0.290000,-0.111310,0.515776,0.641111,-0.091653,0.467424,0.613847,-0.096297,0.484394,0.674510
0.300000,-0.111300,0.515767,0.641134,-0.091656,0.467391,0.613899,-0.096291,0.484394,0.674533
0.310000,-0.111278,0.515764,0.641166,-0.091643,0.467401,0.613931,-0.096273,0.484375,0.674553
0.320000,-0.111267,0.515739,0.641180,-0.091612,0.467422,0.613917,-0.096259,0.484364,0.674560
0.330000,-0.111260,0.515736,0.641184,-0.091633,0.467380,0.613946,-0.096260,0.484328,0.674579
0.340000,-0.111252,0.515731,0.641177,-0.091625,0.467317,0.613966,-0.096233,0.484344,0.674565
0.350000,-0.111246,0.515721,0.641179,-0.091625,0.467299,0.613943,-0.096229,0.484306,0.674563
0.360000,-0.111230,0.515713,0.641162,-0.091632,0.467344,0.613896,-0.096214,0.484304,0.674547
0.370000,-0.111221,0.515694,0.641146,-0.091607,0.467363,0.613849,-0.096197,0.484320,0.674518
0.380000,-0.111207,0.515701,0.641118,-0.091603,0.467347,0.613819,-0.096183,0.484298,0.674506
0.390000,-0.111207,0.515699,0.641094,-0.091609,0.467334,0.613795,-0.096167,0.484330,0.674468
0.400000,-0.111198,0.515688,0.641075,-0.091609,0.467329,0.613773,-0.096159,0.484326,0.674444
0.410000,-0.111189,0.515693,0.641044,-0.091600,0.467325,0.613746,-0.096126,0.484321,0.674421
0.420000,-0.111184,0.515695,0.641012,-0.091599,0.467321,0.613724,-0.096093,0.484325,0.674387
0.430000,-0.111171,0.515692,0.640987,-0.091593,0.467318,0.613703,-0.096076,0.484319,0.674368
0.440000,-0.111153,0.515709,0.640961,-0.091588,0.467313,0.613672,-0.096064,0.484339,0.674350
0.450000,-0.111141,0.515696,0.640942,-0.091579,0.467301,0.613657,-0.096046,0.484334,0.674327
0.460000,-0.111125,0.515713,0.640920,-0.091574,0.467307,0.613646,-0.096038,0.484335,0.674314
0.470000,-0.111118,0.515711,0.640920,-0.091566,0.467300,0.613642,-0.096040,0.484342,0.674311
0.480000,-0.111117,0.515698,0.640931,-0.091559,0.467299,0.613643,-0.096017,0.484319,0.674320
0.490000,-0.111103,0.515698,0.640942,-0.091553,0.467295,0.613653,-0.096016,0.484309,0.674327
0.500000,-0.111078,0.515685,0.640969,-0.091538,0.467286,0.613665,-0.096010,0.484302,0.674339
0.510000,-0.111071,0.515682,0.640977,-0.091524,0.467285,0.613673,-0.095994,0.484297,0.674355
0.520000,-0.111041,0.515682,0.640995,-0.091511,0.467286,0.613687,-0.095978,0.484293,0.674367
0.530000,-0.111027,0.515673,0.641015,-0.091488,0.467283,0.613696,-0.095960,0.484280,0.674379
