Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.090144,0.064617,0.525510,0.122477,0.015341,0.512860,0.066709,0.023305,0.540398
0.010000,0.090152,0.064587,0.525523,0.122503,0.015332,0.512891,0.066711,0.023285,0.540409
0.020000,0.090148,0.064554,0.525528,0.122511,0.015321,0.512915,0.066715,0.023262,0.540417
0.030000,0.090157,0.064541,0.525541,0.122529,0.015290,0.512920,0.066718,0.023251,0.540432
0.040000,0.090157,0.064509,0.525545,0.122544,0.015262,0.512929,0.066732,0.023208,0.540430
0.050000,0.090173,0.064501,0.525538,0.122573,0.015251,0.512934,0.066755,0.023185,0.540419
0.060000,0.090192,0.064481,0.525535,0.122585,0.015216,0.512921,0.066779,0.023159,0.540417
0.070000,0.090210,0.064452,0.525523,0.122610,0.015198,0.512910,0.066802,0.023148,0.540416
0.080000,0.090232,0.064455,0.525508,0.122640,0.015177,0.512885,0.066835,0.023139,0.540404
0.090000,0.090253,0.064441,0.525487,0.122676,0.015184,0.512869,0.066862,0.023126,0.540386
0.100000,0.090286,0.064420,0.525472,0.122692,0.015169,0.512849,0.066903,0.023090,0.540354
0.110000,0.090296,0.064418,0.525468,0.122717,0.015151,0.512812,0.066926,0.023083,0.540339
0.120000,0.090324,0.064426,0.525446,0.122732,0.015173,0.512785,0.066946,0.023092,0.540330
0.130000,0.090329,0.064416,0.525424,0.122737,0.015140,0.512746,0.066955,0.023081,0.540317
0.140000,0.090328,0.064398,0.525411,0.122734,0.015155,0.512722,0.066964,0.023062,0.540294
0.150000,0.090308,0.064386,0.525398,0.122727,0.015159,0.512700,0.066962,0.023037,0.540281
0.160000,0.090296,0.064365,0.525384,0.122698,0.015121,0.512672,0.066942,0.023029,0.540268
0.170000,0.090268,0.064362,0.525379,0.122674,0.015141,0.512661,0.066921,0.023037,0.540263
0.180000,0.090246,0.064363,0.525372,0.122638,0.015122,0.512649,0.066886,0.023021,0.540241
0.190000,0.090213,0.064373,0.525368,0.122599,0.015134,0.512649,0.066853,0.023016,0.540245
0.200000,0.090202,0.064360,0.525359,0.122579,0.015132,0.512638,0.066832,0.023039,0.540227
0.210000,0.090186,0.064366,0.525358,0.122557,0.015128,0.512624,0.066810,0.023030,0.540223
0.220000,0.090178,0.064387,0.525363,0.122539,0.015128,0.512617,0.066805,0.023046,0.540209
0.230000,0.090177,0.064383,0.525353,0.122510,0.015103,0.512600,0.066790,0.023060,0.540218
0.240000,0.090181,0.064381,0.525352,0.122534,0.015148,0.512596,0.066799,0.023060,0.540206
0.250000,0.090195,0.064385,0.525346,0.122544,0.015131,0.512584,0.066802,0.023064,0.540199
0.260000,0.090210,0.064396,0.525343,0.122553,0.015121,0.512585,0.066807,0.023079,0.540198
0.270000,0.090226,0.064384,0.525342,0.122566,0.015126,0.512573,0.066832,0.023062,0.540183
0.280000,0.090252,0.064365,0.525339,0.122588,0.015096,0.512562,0.066857,0.023074,0.540199
0.290000,0.090276,0.064381,0.525343,0.122606,0.015078,0.512567,0.066868,0.023062,0.540192
0.300000,0.090327,0.064406,0.525330,0.122637,0.015093,0.512555,0.066903,0.023060,0.540181
0.310000,0.090365,0.064423,0.525328,0.122662,0.015070,0.512562,0.066923,0.023047,0.540184
0.320000,0.090381,0.064420,0.525328,0.122680,0.015071,0.512556,0.066946,0.023053,0.540183
0.330000,0.090389,0.064402,0.525329,0.122696,0.015058,0.512550,0.066959,0.023039,0.540186
0.340000,0.090399,0.064393,0.525333,0.122701,0.015040,0.512563,0.066966,0.023011,0.540192
0.350000,0.090403,0.064362,0.525334,0.122700,0.015027,0.512563,0.066963,0.023009,0.540187
0.360000,0.090386,0.064338,0.525341,0.122694,0.014978,0.512576,0.066946,0.022974,0.540187
0.370000,0.090369,0.064322,0.525339,0.122680,0.014959,0.512584,0.066928,0.022968,0.540198
0.380000,0.090322,0.064264,0.525351,0.122655,0.014952,0.512598,0.066901,0.022951,0.540191
0.390000,0.090294,0.064258,0.525344,0.122637,0.014943,0.512607,0.066871,0.022957,0.540189
0.400000,0.090282,0.064262,0.525348,0.122593,0.014916,0.512612,0.066847,0.022929,0.540191
0.410000,0.090254,0.064248,0.525353,0.122585,0.014941,0.512621,0.066812,0.022936,0.540192
0.420000,0.090227,0.064248,0.525341,0.122538,0.014918,0.512616,0.066789,0.022920,0.540183
0.430000,0.090211,0.064241,0.525347,0.122507,0.014920,0.512621,0.066762,0.022924,0.540195
0.440000,0.090004,0.064207,0.525217,0.122482,0.014923,0.512635,0.066745,0.022931,0.540195
0.450000,0.089966,0.064206,0.525207,0.122446,0.014926,0.512628,0.066704,0.022947,0.540192
0.460000,0.089937,0.064217,0.525205,0.122406,0.014940,0.512632,0.066666,0.022952,0.540195
0.470000,0.089892,0.064213,0.525206,0.122366,0.014957,0.512644,0.066619,0.022978,0.540190
0.480000,0.089854,0.064227,0.525206,0.122329,0.014983,0.512645,0.066567,0.023013,0.540219
0.490000,0.089822,0.064246,0.525209,0.122282,0.014988,0.512655,0.066526,0.023007,0.540221
0.500000,0.089787,0.064249,0.525210,0.122246,0.015002,0.512659,0.066484,0.023052,0.540226
0.510000,0.089765,0.064249,0.525203,0.122217,0.015017,0.512674,0.066454,0.023061,0.540229
0.520000,0.089740,0.064265,0.525208,0.122194,0.015020,0.512675,0.066442,0.023070,0.540242
0.530000,0.089733,0.064280,0.525205,0.122183,0.015025,0.512673,0.066420,0.023084,0.540233
0.540000,0.089735,0.064273,0.525195,0.122173,0.015012,0.512670,0.066424,0.023077,0.540232
0.550000,0.089753,0.064294,0.525192,0.122183,0.015018,0.512658,0.066421,0.023091,0.540222
0.560000,0.089768,0.064308,0.525168,0.122202,0.015027,0.512646,0.066452,0.023122,0.540210
0.570000,0.089796,0.064318,0.525162,0.122217,0.015035,0.512619,0.066474,0.023143,0.540200
0.580000,0.089830,0.064329,0.525149,0.122243,0.015047,0.512593,0.066515,0.023119,0.540144
0.590000,0.089866,0.064347,0.525122,0.122272,0.015052,0.512568,0.066541,0.023145,0.540132
0.600000,0.089896,0.064349,0.525115,0.122301,0.015059,0.512536,0.066590,0.023181,0.540116
0.610000,0.089925,0.064370,0.525091,0.122322,0.015041,0.512510,0.066616,0.023168,0.540100
0.620000,0.089947,0.064366,0.525073,0.122350,0.015045,0.512490,0.066632,0.023180,0.540080
0.630000,0.089963,0.064374,0.525066,0.122353,0.015047,0.512473,0.066648,0.023162,0.540059
0.640000,0.089973,0.064363,0.525059,0.122368,0.015024,0.512465,0.066642,0.023144,0.540044
0.650000,0.089951,0.064323,0.525045,0.122355,0.014987,0.512456,0.066640,0.023124,0.540016
0.660000,0.089944,0.064313,0.525033,0.122355,0.014977,0.512445,0.066628,0.023096,0.540007
0.670000,0.089935,0.064280,0.525020,0.122348,0.014945,0.512435,0.066611,0.023085,0.539995
0.680000,0.089925,0.064266,0.525000,0.122335,0.014903,0.512407,0.066601,0.023038,0.539961
0.690000,0.089916,0.064234,0.524989,0.122327,0.014874,0.512387,0.066589,0.023015,0.539939
0.700000,0.089908,0.064198,0.524963,0.122324,0.014858,0.512368,0.066588,0.022990,0.539901
0.710000,0.089902,0.064196,0.524952,0.122326,0.014856,0.512346,0.066577,0.023015,0.539869
0.720000,0.089900,0.064188,0.524932,0.122315,0.014827,0.512325,0.066573,0.022958,0.539864
0.730000,0.089921,0.064025,0.524728,0.122313,0.014819,0.512294,0.066570,0.022941,0.539845
0.740000,0.089912,0.064013,0.524704,0.122302,0.014822,0.512279,0.066570,0.022982,0.539795
0.750000,0.089903,0.064012,0.524691,0.122298,0.014817,0.512254,0.066547,0.022982,0.539769
0.760000,0.089879,0.064023,0.524676,0.122281,0.014850,0.512206,0.066540,0.022977,0.539755
0.770000,0.089863,0.064013,0.524645,0.122280,0.014866,0.512205,0.066521,0.022980,0.539734
0.780000,0.089843,0.064037,0.524628,0.122259,0.014863,0.512167,0.066509,0.022964,0.539709
0.790000,0.089832,0.064045,0.524620,0.122238,0.014874,0.512141,0.066491,0.022972,0.539711
0.800000,0.089805,0.064038,0.524606,0.122217,0.014864,0.512131,0.066469,0.022978,0.539685
0.810000,0.089787,0.064035,0.524599,0.122200,0.014896,0.512117,0.066451,0.022965,0.539682
0.820000,0.089762,0.064017,0.524604,0.122092,0.014807,0.512043,0.066432,0.022959,0.539666
0.830000,0.089740,0.064010,0.524616,0.122060,0.014797,0.512037,0.066394,0.022941,0.539666
0.840000,0.089713,0.064004,0.524618,0.122029,0.014778,0.512043,0.066376,0.022956,0.539681
0.850000,0.089689,0.063997,0.524616,0.122007,0.014785,0.512056,0.066355,0.022932,0.539679
0.860000,0.089644,0.064024,0.524621,0.121991,0.014771,0.512060,0.066338,0.022921,0.539684
0.870000,0.089640,0.064022,0.524626,0.121972,0.014762,0.512070,0.066324,0.022916,0.539678
0.880000,0.089673,0.063971,0.524626,0.121970,0.014748,0.512063,0.066313,0.022923,0.539689
0.890000,0.089648,0.064008,0.524627,0.121980,0.014747,0.512060,0.066326,0.022904,0.539689
0.900000,0.089691,0.063979,0.524625,0.121990,0.014737,0.512054,0.066336,0.022930,0.539686
0.910000,0.089723,0.063988,0.524617,0.122013,0.014741,0.512039,0.066372,0.022941,0.539683
0.920000,0.089752,0.063986,0.524618,0.122037,0.014743,0.512024,0.066398,0.022940,0.539680
0.930000,0.089785,0.064000,0.524611,0.122072,0.014750,0.512020,0.066427,0.022956,0.539679
0.940000,0.089817,0.064011,0.524608,0.122096,0.014743,0.512009,0.066462,0.022950,0.539669
0.950000,0.089830,0.064022,0.524585,0.122211,0.014833,0.512078,0.066485,0.022976,0.539678
0.960000,0.089846,0.064016,0.524585,0.122227,0.014828,0.512078,0.066507,0.022962,0.539677
0.970000,0.089858,0.064006,0.524589,0.122236,0.014827,0.512079,0.066511,0.022947,0.539665
