Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.386320,0.014619,0.449410,0.360526,0.016399,0.398337,0.417422,0.003601,0.404993
0.010000,0.386321,0.014589,0.449413,0.360534,0.016370,0.398335,0.417426,0.003542,0.405008
0.020000,0.386314,0.014528,0.449433,0.360517,0.016334,0.398360,0.417420,0.003514,0.405027
0.030000,0.386301,0.014475,0.449465,0.360504,0.016298,0.398392,0.417408,0.003460,0.405056
0.040000,0.386292,0.014434,0.449495,0.360500,0.016267,0.398429,0.417357,0.003364,0.405071
0.050000,0.386286,0.014408,0.449530,0.360474,0.016247,0.398467,0.417364,0.003313,0.405120
0.060000,0.386279,0.014375,0.449545,0.360460,0.016243,0.398503,0.417368,0.003281,0.405145
0.070000,0.386280,0.014338,0.449579,0.360455,0.016219,0.398519,0.417343,0.003276,0.405163
0.080000,0.386276,0.014312,0.449602,0.360452,0.016205,0.398538,0.417349,0.003231,0.405187
0.090000,0.386260,0.014284,0.449629,0.360456,0.016196,0.398573,0.417351,0.003185,0.405211
0.100000,0.386233,0.014261,0.449667,0.360450,0.016187,0.398596,0.417323,0.003187,0.405255
0.110000,0.386230,0.014229,0.449692,0.360471,0.016123,0.398628,0.417315,0.003150,0.405285
0.120000,0.386084,0.014423,0.449946,0.360417,0.016149,0.398657,0.417306,0.003121,0.405320
0.130000,0.386057,0.014402,0.449969,0.360404,0.016133,0.398685,0.417283,0.003104,0.405347
0.140000,0.386026,0.014366,0.449984,0.360374,0.016080,0.398690,0.417275,0.003100,0.405366
0.150000,0.386004,0.014370,0.449997,0.360346,0.016069,0.398698,0.417255,0.003093,0.405386
0.160000,0.385975,0.014380,0.450035,0.360361,0.016016,0.398728,0.417219,0.003089,0.405395
0.170000,0.385962,0.014381,0.450043,0.360301,0.016041,0.398733,0.417213,0.003103,0.405406
0.180000,0.385947,0.014375,0.450066,0.360288,0.016018,0.398749,0.417198,0.003092,0.405427
0.190000,0.385947,0.014364,0.450089,0.360285,0.016011,0.398784,0.417203,0.003071,0.405457
0.200000,0.385965,0.014346,0.450105,0.360284,0.015992,0.398799,0.417209,0.003043,0.405475
0.210000,0.385984,0.014341,0.450117,0.360295,0.015984,0.398828,0.417213,0.003017,0.405477
0.220000,0.386007,0.014329,0.450122,0.360304,0.015968,0.398833,0.417235,0.002972,0.405502
0.230000,0.386016,0.014309,0.450125,0.360358,0.015895,0.398844,0.417245,0.002942,0.405498
0.240000,0.386022,0.014317,0.450120,0.360347,0.015878,0.398838,0.417244,0.002923,0.405499
0.250000,0.386024,0.014267,0.450111,0.360350,0.015834,0.398837,0.417234,0.002906,0.405481
0.260000,0.386020,0.014253,0.450110,0.360333,0.015813,0.398845,0.417220,0.002851,0.405470
0.270000,0.386021,0.014226,0.450114,0.360328,0.015759,0.398843,0.417228,0.002811,0.405466
0.280000,0.386032,0.014175,0.450106,0.360332,0.015713,0.398841,0.417213,0.002714,0.405457
0.290000,0.386041,0.014133,0.450098,0.360347,0.015646,0.398834,0.417213,0.002646,0.405455
0.300000,0.386049,0.014077,0.450083,0.360347,0.015595,0.398835,0.417229,0.002573,0.405444
0.310000,0.386060,0.014039,0.450093,0.360348,0.015542,0.398829,0.417238,0.002524,0.405450
0.320000,0.386071,0.013966,0.450072,0.360360,0.015498,0.398825,0.417241,0.002500,0.405444
0.330000,0.386084,0.013922,0.450070,0.360366,0.015467,0.398820,0.417244,0.002440,0.405425
0.340000,0.386087,0.013875,0.450034,0.360377,0.015416,0.398798,0.417255,0.002388,0.405408
0.350000,0.386097,0.013814,0.449996,0.360379,0.015389,0.398753,0.417271,0.002332,0.405362
0.360000,0.386093,0.013772,0.449969,0.360397,0.015347,0.398717,0.417151,0.002564,0.405309
0.370000,0.386088,0.013731,0.449924,0.360407,0.015290,0.398668,0.417147,0.002516,0.405261
0.380000,0.386104,0.013647,0.449880,0.360416,0.015275,0.398623,0.417159,0.002495,0.405230
0.390000,0.386116,0.013587,0.449818,0.360430,0.015256,0.398574,0.417161,0.002460,0.405183
0.400000,0.386149,0.013550,0.449754,0.360443,0.015239,0.398517,0.417160,0.002438,0.405133
0.410000,0.386250,0.013322,0.449498,0.360458,0.015217,0.398465,0.417163,0.002448,0.405053
0.420000,0.386260,0.013308,0.449423,0.360457,0.015186,0.398375,0.417173,0.002439,0.404976
0.430000,0.386273,0.013299,0.449361,0.360469,0.015223,0.398303,0.417308,0.002156,0.404928
0.440000,0.386289,0.013310,0.449281,0.360456,0.015235,0.398228,0.417314,0.002207,0.404850
0.450000,0.386294,0.013325,0.449204,0.360472,0.015252,0.398159,0.417301,0.002226,0.404740
0.460000,0.386308,0.013335,0.449136,0.360478,0.015272,0.398081,0.417329,0.002264,0.404671
0.470000,0.386328,0.013370,0.449054,0.360484,0.015301,0.398003,0.417337,0.002283,0.404582
0.480000,0.386347,0.013404,0.448976,0.360501,0.015329,0.397932,0.417354,0.002328,0.404496
0.490000,0.386389,0.013434,0.448898,0.360519,0.015330,0.397858,0.417372,0.002326,0.404408
0.500000,0.386425,0.013443,0.448793,0.360543,0.015374,0.397793,0.417382,0.002418,0.404330
0.510000,0.386444,0.013494,0.448738,0.360559,0.015401,0.397731,0.417413,0.002411,0.404235
0.520000,0.386479,0.013518,0.448672,0.360581,0.015423,0.397658,0.417436,0.002448,0.404169
0.530000,0.386492,0.013574,0.448617,0.360605,0.015455,0.397610,0.417463,0.002484,0.404103
0.540000,0.386524,0.013612,0.448552,0.360579,0.015516,0.397554,0.417473,0.002489,0.404046
0.550000,0.386564,0.013663,0.448498,0.360641,0.015485,0.397511,0.417525,0.002592,0.403996
0.560000,0.386593,0.013681,0.448448,0.360662,0.015494,0.397472,0.417544,0.002618,0.403913
0.570000,0.386628,0.013702,0.448409,0.360660,0.015499,0.397426,0.417571,0.002628,0.403883
0.580000,0.386630,0.013720,0.448375,0.360690,0.015502,0.397395,0.417573,0.002631,0.403853
