Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.133328,0.461836,0.606970,-0.100536,0.425626,0.578370,-0.108211,0.422547,0.636950
0.010000,-0.133291,0.461817,0.606995,-0.100497,0.425633,0.578399,-0.108198,0.422520,0.636978
0.020000,-0.133255,0.461817,0.607016,-0.100463,0.425613,0.578432,-0.108163,0.422523,0.636995
0.030000,-0.133231,0.461797,0.607019,-0.100426,0.425608,0.578444,-0.108148,0.422507,0.637008
0.040000,-0.133193,0.461809,0.607039,-0.100401,0.425589,0.578450,-0.108117,0.422484,0.637021
0.050000,-0.133163,0.461793,0.607043,-0.100382,0.425575,0.578465,-0.108093,0.422471,0.637036
0.060000,-0.133137,0.461792,0.607048,-0.100356,0.425566,0.578484,-0.108067,0.422483,0.637058
0.070000,-0.133102,0.461770,0.607069,-0.100322,0.425564,0.578502,-0.108043,0.422466,0.637068
0.080000,-0.133076,0.461775,0.607086,-0.100298,0.425572,0.578510,-0.108026,0.422483,0.637090
0.090000,-0.133052,0.461764,0.607104,-0.100278,0.425559,0.578526,-0.107998,0.422460,0.637090
0.100000,-0.133026,0.461763,0.607124,-0.100254,0.425562,0.578546,-0.107974,0.422454,0.637111
0.110000,-0.133009,0.461760,0.607138,-0.100230,0.425554,0.578562,-0.107953,0.422441,0.637125
0.120000,-0.132953,0.461754,0.607164,-0.100214,0.425551,0.578571,-0.107917,0.422445,0.637143
0.130000,-0.132937,0.461755,0.607189,-0.100184,0.425553,0.578590,-0.107893,0.422453,0.637183
0.140000,-0.132903,0.461753,0.607211,-0.100157,0.425538,0.578607,-0.107869,0.422454,0.637203
0.150000,-0.132878,0.461744,0.607232,-0.100138,0.425544,0.578628,-0.107842,0.422447,0.637229
0.160000,-0.132852,0.461741,0.607264,-0.100102,0.425540,0.578663,-0.107815,0.422437,0.637251
0.170000,-0.132823,0.461743,0.607290,-0.100070,0.425541,0.578683,-0.107776,0.422416,0.637283
0.180000,-0.132790,0.461739,0.607323,-0.100031,0.425550,0.578718,-0.107751,0.422422,0.637306
0.190000,-0.132762,0.461743,0.607356,-0.099999,0.425527,0.578739,-0.107717,0.422408,0.637343
0.200000,-0.132724,0.461733,0.607386,-0.099954,0.425545,0.578781,-0.107674,0.422410,0.637386
0.210000,-0.132686,0.461724,0.607421,-0.099914,0.425513,0.578819,-0.107640,0.422413,0.637420
0.220000,-0.132640,0.461724,0.607462,-0.099883,0.425497,0.578854,-0.107616,0.422371,0.637466
0.230000,-0.132595,0.461714,0.607500,-0.099831,0.425496,0.578893,-0.107581,0.422363,0.637498
0.240000,-0.132537,0.461698,0.607542,-0.099776,0.425459,0.578948,-0.107541,0.422346,0.637539
0.250000,-0.132484,0.461693,0.607579,-0.099503,0.425555,0.578577,-0.107498,0.422329,0.637565
0.260000,-0.132426,0.461688,0.607619,-0.099665,0.425447,0.579020,-0.107449,0.422301,0.637611
0.270000,-0.132376,0.461670,0.607653,-0.099601,0.425433,0.579070,-0.107391,0.422277,0.637643
0.280000,-0.132324,0.461663,0.607692,-0.099539,0.425403,0.579103,-0.107350,0.422257,0.637674
0.290000,-0.132265,0.461643,0.607734,-0.099483,0.425383,0.579143,-0.107304,0.422221,0.637709
0.300000,-0.132211,0.461612,0.607768,-0.099421,0.425346,0.579177,-0.107259,0.422179,0.637736
0.310000,-0.132147,0.461593,0.607809,-0.099369,0.425313,0.579218,-0.107208,0.422138,0.637796
0.320000,-0.132091,0.461570,0.607849,-0.099318,0.425280,0.579249,-0.107166,0.422105,0.637835
0.330000,-0.132033,0.461545,0.607889,-0.099255,0.425272,0.579293,-0.107111,0.422075,0.637868
0.340000,-0.131966,0.461506,0.607926,-0.099202,0.425218,0.579353,-0.107062,0.422041,0.637910
0.350000,-0.131909,0.461485,0.607964,-0.099145,0.425186,0.579389,-0.107020,0.421986,0.637938
0.360000,-0.131857,0.461452,0.608006,-0.099099,0.425178,0.579427,-0.106982,0.421959,0.637985
