Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.506815,0.023215,0.355747,0.490717,0.038870,0.302584,0.537788,0.004127,0.313807
0.010000,0.506796,0.023191,0.355709,0.490682,0.038852,0.302562,0.537755,0.004127,0.313770
0.020000,0.506753,0.023178,0.355682,0.490648,0.038852,0.302538,0.537731,0.004165,0.313736
0.030000,0.506715,0.023185,0.355658,0.490607,0.038852,0.302517,0.537709,0.004173,0.313705
0.040000,0.506689,0.023204,0.355617,0.490564,0.038855,0.302495,0.537670,0.004208,0.313657
0.050000,0.506677,0.023209,0.355584,0.490513,0.038848,0.302447,0.537632,0.004183,0.313631
0.060000,0.506657,0.023254,0.355534,0.490357,0.039122,0.302339,0.537637,0.004229,0.313581
0.070000,0.506651,0.023261,0.355484,0.490467,0.038833,0.302337,0.537609,0.004221,0.313508
0.080000,0.506650,0.023314,0.355431,0.490450,0.038828,0.302279,0.537574,0.004220,0.313466
0.090000,0.506643,0.023298,0.355384,0.490450,0.038846,0.302240,0.537592,0.004253,0.313439
0.100000,0.506645,0.023321,0.355350,0.490301,0.039136,0.302153,0.537590,0.004244,0.313386
0.110000,0.506672,0.023334,0.355310,0.490478,0.038844,0.302160,0.537591,0.004245,0.313356
0.120000,0.506691,0.023348,0.355284,0.490499,0.038836,0.302132,0.537582,0.004200,0.313315
0.130000,0.506698,0.023348,0.355252,0.490516,0.038859,0.302121,0.537607,0.004207,0.313297
0.140000,0.506733,0.023417,0.355236,0.490514,0.038870,0.302098,0.537619,0.004249,0.313257
0.150000,0.506722,0.023396,0.355204,0.490526,0.038884,0.302059,0.537616,0.004268,0.313227
0.160000,0.506746,0.023393,0.355167,0.490499,0.038905,0.302052,0.537606,0.004277,0.313201
0.170000,0.506733,0.023458,0.355153,0.490480,0.038933,0.302027,0.537271,0.004338,0.313025
0.180000,0.506720,0.023535,0.355136,0.490294,0.039219,0.301948,0.537264,0.004385,0.312999
0.190000,0.506704,0.023554,0.355109,0.490271,0.039218,0.301925,0.537262,0.004464,0.312982
0.200000,0.506703,0.023585,0.355087,0.490262,0.039250,0.301910,0.537265,0.004474,0.312958
0.210000,0.506731,0.023621,0.355073,0.490415,0.038972,0.301939,0.537261,0.004476,0.312943
0.220000,0.506740,0.023656,0.355058,0.490429,0.038984,0.301917,0.537289,0.004531,0.312928
0.230000,0.506794,0.023700,0.355058,0.490466,0.039025,0.301897,0.537322,0.004544,0.312918
0.240000,0.506824,0.023729,0.355062,0.490611,0.038984,0.302039,0.537334,0.004577,0.312910
0.250000,0.506850,0.023775,0.355063,0.490528,0.039129,0.301926,0.537375,0.004664,0.312905
0.260000,0.506875,0.023794,0.355076,0.490541,0.039137,0.301928,0.537390,0.004675,0.312910
0.270000,0.506879,0.023829,0.355073,0.490541,0.039125,0.301929,0.537727,0.004657,0.313071
0.280000,0.506900,0.023839,0.355090,0.490550,0.039152,0.301949,0.537758,0.004697,0.313090
0.290000,0.506911,0.023851,0.355103,0.490561,0.039130,0.301962,0.537769,0.004741,0.313100
0.300000,0.506935,0.023871,0.355116,0.490577,0.039121,0.301966,0.537800,0.004729,0.313116
0.310000,0.506962,0.023905,0.355115,0.490594,0.039124,0.301944,0.537822,0.004707,0.313103
0.320000,0.506990,0.023901,0.355115,0.490641,0.039107,0.301933,0.537832,0.004697,0.313121
0.330000,0.507008,0.023899,0.355111,0.490681,0.039072,0.301904,0.537853,0.004668,0.313128
0.340000,0.507032,0.023871,0.355114,0.490825,0.038973,0.302041,0.537881,0.004672,0.313167
0.350000,0.507034,0.023844,0.355134,0.490854,0.038956,0.302059,0.537897,0.004599,0.313179
0.360000,0.507062,0.023821,0.355162,0.490874,0.038893,0.302053,0.537930,0.004599,0.313204
0.370000,0.507064,0.023783,0.355183,0.490882,0.038857,0.302063,0.537945,0.004507,0.313234
0.380000,0.507040,0.023755,0.355201,0.490761,0.038921,0.301967,0.537914,0.004518,0.313249
0.390000,0.507028,0.023714,0.355207,0.490749,0.038891,0.301981,0.537908,0.004493,0.313270
0.400000,0.507037,0.023665,0.355207,0.490740,0.038839,0.301981,0.537911,0.004437,0.313278
0.410000,0.507007,0.023678,0.355220,0.490729,0.038815,0.301993,0.537878,0.004393,0.313287
0.420000,0.507009,0.023634,0.355238,0.490711,0.038805,0.302028,0.537849,0.004359,0.313298
0.430000,0.507009,0.023628,0.355254,0.490704,0.038767,0.302043,0.537874,0.004283,0.313316
0.440000,0.507004,0.023547,0.355274,0.490703,0.038756,0.302054,0.537871,0.004269,0.313333
0.450000,0.507001,0.023518,0.355277,0.490694,0.038739,0.302082,0.537847,0.004225,0.313343
0.460000,0.506992,0.023520,0.355295,0.490694,0.038748,0.302090,0.537879,0.004237,0.313347
0.470000,0.507029,0.023537,0.355292,0.490690,0.038721,0.302095,0.537841,0.004228,0.313351
0.480000,0.507034,0.023550,0.355276,0.490701,0.038725,0.302085,0.537881,0.004231,0.313346
0.490000,0.507052,0.023551,0.355264,0.490723,0.038718,0.302032,0.537882,0.004248,0.313338
0.500000,0.507061,0.023604,0.355246,0.490704,0.038698,0.302044,0.537892,0.004239,0.313303
0.510000,0.507070,0.023588,0.355222,0.490699,0.038706,0.302025,0.537889,0.004204,0.313279
0.520000,0.507088,0.023601,0.355234,0.490706,0.038710,0.302019,0.537899,0.004236,0.313275
0.530000,0.507085,0.023606,0.355223,0.490721,0.038738,0.302035,0.537896,0.004232,0.313270
0.540000,0.507107,0.023618,0.355226,0.490729,0.038730,0.302037,0.537892,0.004261,0.313274
0.550000,0.507128,0.023622,0.355244,0.490735,0.038735,0.302043,0.537914,0.004267,0.313284
0.560000,0.507128,0.023597,0.355238,0.490740,0.038763,0.302036,0.537919,0.004260,0.313279
0.570000,0.507135,0.023576,0.355240,0.490763,0.038755,0.302052,0.537924,0.004246,0.313289
0.580000,0.507130,0.023589,0.355241,0.490774,0.038753,0.302012,0.537929,0.004245,0.313286
0.590000,0.507130,0.023593,0.355238,0.490770,0.038732,0.302015,0.537926,0.004263,0.313278
0.600000,0.507113,0.023580,0.355240,0.490735,0.038776,0.302042,0.537906,0.004249,0.313266
0.610000,0.507108,0.023583,0.355247,0.490721,0.038782,0.302058,0.537909,0.004276,0.313272
0.620000,0.507101,0.023595,0.355241,0.490711,0.038756,0.302065,0.537911,0.004307,0.313268
0.630000,0.507119,0.023580,0.355246,0.490720,0.038771,0.302063,0.537913,0.004282,0.313273
0.640000,0.507127,0.023596,0.355248,0.490733,0.038791,0.302064,0.537911,0.004271,0.313276
