Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.501107,0.016165,0.334953,0.480688,0.031006,0.282937,0.527071,-0.005774,0.290564
0.010000,0.501116,0.016204,0.334928,0.480675,0.031020,0.282915,0.527058,-0.005762,0.290526
0.020000,0.501096,0.016188,0.334898,0.480645,0.031017,0.282892,0.527040,-0.005752,0.290495
0.030000,0.501082,0.016224,0.334874,0.480607,0.031042,0.282875,0.527012,-0.005746,0.290462
0.040000,0.501051,0.016220,0.334846,0.480574,0.031058,0.282850,0.526965,-0.005744,0.290427
0.050000,0.501016,0.016213,0.334819,0.480534,0.031061,0.282843,0.526948,-0.005690,0.290411
0.060000,0.501001,0.016228,0.334817,0.480521,0.031064,0.282835,0.526927,-0.005690,0.290407
0.070000,0.500986,0.016230,0.334814,0.480512,0.031052,0.282830,0.526917,-0.005723,0.290392
0.080000,0.500973,0.016196,0.334820,0.480510,0.031036,0.282818,0.526930,-0.005708,0.290404
0.090000,0.500983,0.016209,0.334824,0.480522,0.031058,0.282839,0.526945,-0.005701,0.290416
0.100000,0.500998,0.016201,0.334839,0.480536,0.031047,0.282848,0.526945,-0.005735,0.290413
0.110000,0.501023,0.016201,0.334855,0.480560,0.031049,0.282849,0.526966,-0.005717,0.290427
0.120000,0.501037,0.016230,0.334859,0.480592,0.031054,0.282861,0.526982,-0.005749,0.290431
0.130000,0.501063,0.016184,0.334865,0.480602,0.031050,0.282864,0.527021,-0.005729,0.290451
0.140000,0.501067,0.016179,0.334879,0.480614,0.031053,0.282872,0.527003,-0.005760,0.290459
0.150000,0.501055,0.016194,0.334896,0.480617,0.031049,0.282896,0.527024,-0.005753,0.290494
0.160000,0.501047,0.016223,0.334945,0.480607,0.031017,0.282923,0.527007,-0.005735,0.290535
0.170000,0.501029,0.016219,0.334976,0.480589,0.031050,0.282954,0.527020,-0.005698,0.290589
0.180000,0.501028,0.016230,0.335008,0.480594,0.031060,0.282997,0.527035,-0.005684,0.290624
0.190000,0.501031,0.016227,0.335045,0.480591,0.031052,0.283039,0.527032,-0.005696,0.290652
0.200000,0.501044,0.016237,0.335070,0.480608,0.031070,0.283073,0.527058,-0.005668,0.290695
0.210000,0.501062,0.016246,0.335097,0.480646,0.031102,0.283097,0.527073,-0.005668,0.290723
0.220000,0.501090,0.016258,0.335110,0.480666,0.031116,0.283128,0.527082,-0.005677,0.290755
0.230000,0.501104,0.016221,0.335171,0.480693,0.031111,0.283159,0.527123,-0.005632,0.290798
0.240000,0.501127,0.016270,0.335188,0.480715,0.031117,0.283175,0.527147,-0.005644,0.290823
0.250000,0.501141,0.016246,0.335214,0.480737,0.031101,0.283198,0.527183,-0.005605,0.290862
0.260000,0.501161,0.016273,0.335233,0.480767,0.031113,0.283199,0.527194,-0.005633,0.290872
0.270000,0.501181,0.016286,0.335259,0.480789,0.031129,0.283215,0.527222,-0.005645,0.290902
0.280000,0.501203,0.016303,0.335261,0.480814,0.031115,0.283216,0.527249,-0.005647,0.290921
0.290000,0.501216,0.016304,0.335287,0.480837,0.031112,0.283229,0.527258,-0.005655,0.290932
0.300000,0.501238,0.016318,0.335301,0.480857,0.031130,0.283250,0.527281,-0.005645,0.290949
0.310000,0.501236,0.016313,0.335332,0.480864,0.031145,0.283273,0.527295,-0.005619,0.290987
0.320000,0.501227,0.016311,0.335348,0.480866,0.031145,0.283306,0.527297,-0.005607,0.291014
0.330000,0.501248,0.016320,0.335369,0.480870,0.031145,0.283324,0.527301,-0.005588,0.291022
0.340000,0.501234,0.016319,0.335370,0.480861,0.031174,0.283318,0.527299,-0.005543,0.291036
0.350000,0.501217,0.016337,0.335376,0.480858,0.031191,0.283330,0.527299,-0.005562,0.291030
0.360000,0.501203,0.016311,0.335367,0.480842,0.031184,0.283319,0.527279,-0.005561,0.291014
