Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.102705,0.063368,0.499871,0.131913,0.012515,0.498847,0.074225,0.014892,0.514609
0.010000,0.102766,0.063267,0.499783,0.131963,0.012422,0.498663,0.074297,0.014787,0.514481
0.020000,0.102819,0.063171,0.499632,0.132004,0.012303,0.498498,0.074354,0.014710,0.514350
0.030000,0.102899,0.063099,0.499500,0.132048,0.012213,0.498318,0.074398,0.014575,0.514214
0.040000,0.102938,0.062989,0.499395,0.132084,0.012075,0.498154,0.074445,0.014477,0.514068
0.050000,0.102981,0.062877,0.499282,0.132133,0.012003,0.497999,0.074514,0.014340,0.513911
0.060000,0.103021,0.062776,0.499184,0.132182,0.011889,0.497826,0.074560,0.014232,0.513764
0.070000,0.103064,0.062630,0.499052,0.132220,0.011797,0.497675,0.074633,0.014080,0.513620
0.080000,0.103107,0.062503,0.498950,0.132310,0.011756,0.497487,0.074684,0.013936,0.513469
0.090000,0.103139,0.062390,0.498844,0.132368,0.011651,0.497325,0.074741,0.013815,0.513333
0.100000,0.103178,0.062276,0.498749,0.132424,0.011548,0.497161,0.074794,0.013666,0.513194
0.110000,0.103240,0.062122,0.498654,0.132477,0.011415,0.496990,0.074870,0.013545,0.513044
0.120000,0.103307,0.062030,0.498557,0.132541,0.011331,0.496824,0.074941,0.013383,0.512911
0.130000,0.103347,0.061907,0.498468,0.132601,0.011231,0.496659,0.075014,0.013238,0.512776
0.140000,0.103395,0.061775,0.498400,0.132660,0.011121,0.496469,0.075079,0.013108,0.512664
0.150000,0.103432,0.061658,0.498290,0.132757,0.011558,0.496189,0.075151,0.012945,0.512522
0.160000,0.103495,0.061545,0.498218,0.132821,0.011478,0.496040,0.075204,0.012825,0.512414
0.170000,0.103532,0.061455,0.498144,0.132862,0.011385,0.495904,0.075259,0.012679,0.512285
0.180000,0.103587,0.061378,0.498064,0.132913,0.011267,0.495763,0.075289,0.012585,0.512185
0.190000,0.103574,0.061246,0.497997,0.132941,0.011189,0.495636,0.075314,0.012481,0.512080
0.200000,0.103621,0.061205,0.497932,0.132969,0.011105,0.495509,0.075359,0.012389,0.511988
0.210000,0.103620,0.061130,0.497863,0.132990,0.011050,0.495403,0.075397,0.012279,0.511898
0.220000,0.103635,0.061037,0.497801,0.133022,0.010978,0.495305,0.075407,0.012217,0.511823
0.230000,0.103656,0.060980,0.497755,0.133059,0.010888,0.495227,0.075444,0.012087,0.511744
0.240000,0.103656,0.060881,0.497717,0.133070,0.010834,0.495141,0.075461,0.012047,0.511692
0.250000,0.103639,0.060831,0.497684,0.133079,0.010774,0.495077,0.075474,0.011988,0.511643
0.260000,0.103652,0.060796,0.497654,0.133105,0.010723,0.495028,0.075492,0.011904,0.511593
0.270000,0.103662,0.060747,0.497645,0.133124,0.010669,0.494970,0.075498,0.011872,0.511560
0.280000,0.103676,0.060699,0.497637,0.133138,0.010630,0.494928,0.075555,0.011777,0.511537
0.290000,0.103682,0.060661,0.497632,0.133157,0.010589,0.494893,0.075566,0.011739,0.511526
0.300000,0.103693,0.060645,0.497622,0.133182,0.010564,0.494883,0.075585,0.011702,0.511527
0.310000,0.103680,0.060595,0.497624,0.133199,0.010538,0.494866,0.075592,0.011654,0.511532
0.320000,0.103674,0.060545,0.497641,0.133201,0.010510,0.494868,0.075596,0.011627,0.511539
0.330000,0.103669,0.060530,0.497659,0.133182,0.010480,0.494878,0.075577,0.011573,0.511548
0.340000,0.103633,0.060517,0.497682,0.133162,0.010458,0.494911,0.075561,0.011561,0.511570
0.350000,0.103611,0.060511,0.497711,0.133141,0.010467,0.494938,0.075525,0.011542,0.511589
0.360000,0.103554,0.060484,0.497759,0.133118,0.010484,0.494991,0.075500,0.011528,0.511635
0.370000,0.103522,0.060489,0.497798,0.133092,0.010483,0.495035,0.075470,0.011501,0.511646
0.380000,0.103495,0.060494,0.497838,0.133067,0.010511,0.495088,0.075427,0.011500,0.511686
0.390000,0.103458,0.060497,0.497878,0.133039,0.010522,0.495151,0.075393,0.011497,0.511741
0.400000,0.103422,0.060516,0.497927,0.132996,0.010526,0.495202,0.075359,0.011469,0.511776
0.410000,0.103376,0.060522,0.497992,0.132953,0.010542,0.495278,0.075325,0.011481,0.511846
0.420000,0.103324,0.060546,0.498056,0.132912,0.010573,0.495376,0.075264,0.011485,0.511910
0.430000,0.103273,0.060584,0.498118,0.132871,0.010621,0.495463,0.075212,0.011505,0.511982
0.440000,0.103195,0.060582,0.498191,0.132799,0.010624,0.495568,0.075141,0.011530,0.512053
0.450000,0.103088,0.060561,0.498241,0.132738,0.010651,0.495679,0.075081,0.011534,0.512134
0.460000,0.103025,0.060541,0.498318,0.132645,0.010124,0.495896,0.075022,0.011556,0.512204
0.470000,0.102972,0.060558,0.498377,0.132572,0.010619,0.495875,0.074956,0.011571,0.512284
0.480000,0.102895,0.060537,0.498445,0.132499,0.010082,0.496060,0.074911,0.011562,0.512345
0.490000,0.102789,0.060476,0.498519,0.132448,0.010124,0.496144,0.074753,0.010401,0.511449
0.500000,0.102680,0.060527,0.498597,0.132324,0.010019,0.496245,0.074767,0.011579,0.512485
0.510000,0.102618,0.060522,0.498660,0.132272,0.010055,0.496333,0.074691,0.011613,0.512566
0.520000,0.102536,0.060543,0.498733,0.132209,0.010098,0.496432,0.074604,0.011629,0.512645
0.530000,0.102417,0.060550,0.498849,0.132131,0.010131,0.496543,0.074509,0.011641,0.512714
0.540000,0.102342,0.060584,0.498912,0.132031,0.010197,0.496636,0.074420,0.011651,0.512806
0.550000,0.102240,0.060618,0.498992,0.131977,0.010262,0.496733,0.074313,0.011709,0.512877
0.560000,0.102153,0.060650,0.499058,0.131831,0.010155,0.496808,0.074213,0.011732,0.512952
0.570000,0.102072,0.060705,0.499142,0.131760,0.010214,0.496895,0.074128,0.011708,0.512999
0.580000,0.101984,0.060727,0.499205,0.131684,0.010267,0.496974,0.074034,0.011750,0.513058
0.590000,0.101914,0.060748,0.499254,0.131614,0.010307,0.497037,0.073934,0.011787,0.513119
0.600000,0.101810,0.060765,0.499316,0.131542,0.010343,0.497112,0.073859,0.011789,0.513149
0.610000,0.101734,0.060791,0.499353,0.131450,0.010378,0.497184,0.073749,0.011842,0.513227
0.620000,0.101656,0.060818,0.499401,0.131381,0.010433,0.497247,0.073652,0.011867,0.513265
0.630000,0.101580,0.060817,0.499431,0.131295,0.010459,0.497314,0.073571,0.011886,0.513293
0.640000,0.101506,0.060851,0.499473,0.131213,0.010469,0.497366,0.073487,0.011870,0.513317
0.650000,0.101446,0.060876,0.499494,0.131143,0.010486,0.497414,0.073420,0.011909,0.513349
