Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.526616,0.047593,0.471255,0.478409,0.044702,0.439670,0.531138,0.045337,0.414122
0.010000,0.526606,0.047600,0.471213,0.478393,0.044694,0.439645,0.531119,0.045320,0.414090
0.020000,0.526612,0.047606,0.471178,0.478386,0.044707,0.439625,0.531110,0.045316,0.414050
0.030000,0.526615,0.047595,0.471131,0.478382,0.044721,0.439589,0.531101,0.045322,0.414015
0.040000,0.526625,0.047558,0.471053,0.478374,0.044724,0.439547,0.531086,0.045322,0.413970
0.050000,0.526607,0.047591,0.471017,0.478357,0.044753,0.439513,0.531079,0.045339,0.413937
0.060000,0.526610,0.047583,0.470989,0.478343,0.044766,0.439483,0.531054,0.045353,0.413898
0.070000,0.526596,0.047596,0.470954,0.478329,0.044769,0.439453,0.531039,0.045368,0.413863
0.080000,0.526578,0.047634,0.470914,0.478314,0.044785,0.439419,0.531025,0.045405,0.413829
0.090000,0.526578,0.047650,0.470884,0.478331,0.044786,0.439384,0.531025,0.045419,0.413793
0.100000,0.526610,0.047680,0.470866,0.478338,0.044800,0.439348,0.531036,0.045457,0.413767
0.110000,0.526611,0.047717,0.470819,0.478357,0.044846,0.439316,0.531060,0.045508,0.413724
0.120000,0.526644,0.047764,0.470798,0.478379,0.044886,0.439287,0.531078,0.045533,0.413696
0.130000,0.526659,0.047813,0.470772,0.478392,0.044928,0.439258,0.531101,0.045558,0.413677
0.140000,0.526685,0.047824,0.470742,0.478415,0.044959,0.439243,0.531116,0.045577,0.413647
0.150000,0.526702,0.047881,0.470756,0.478431,0.044985,0.439224,0.531157,0.045635,0.413640
0.160000,0.526715,0.047916,0.470734,0.478448,0.045021,0.439210,0.531162,0.045677,0.413623
0.170000,0.526718,0.047949,0.470736,0.478454,0.045039,0.439193,0.531169,0.045721,0.413623
0.180000,0.526724,0.047971,0.470734,0.478469,0.045061,0.439185,0.531184,0.045762,0.413620
0.190000,0.526738,0.048008,0.470743,0.478477,0.045100,0.439187,0.531198,0.045810,0.413625
0.200000,0.526750,0.048035,0.470738,0.478497,0.045128,0.439189,0.531230,0.045853,0.413620
0.210000,0.526778,0.048042,0.470764,0.478516,0.045158,0.439196,0.531251,0.045904,0.413631
0.220000,0.526795,0.048075,0.470770,0.478521,0.045200,0.439208,0.531266,0.045914,0.413637
0.230000,0.526794,0.048101,0.470770,0.478542,0.045228,0.439217,0.531288,0.045940,0.413646
0.240000,0.526830,0.048084,0.470785,0.478565,0.045243,0.439209,0.531303,0.045959,0.413660
0.250000,0.526846,0.048120,0.470800,0.478591,0.045296,0.439232,0.531332,0.045979,0.413672
0.260000,0.526864,0.048137,0.470820,0.478608,0.045334,0.439249,0.531349,0.046003,0.413690
0.270000,0.526880,0.048181,0.470848,0.478621,0.045354,0.439266,0.531374,0.046041,0.413713
0.280000,0.526898,0.048216,0.470874,0.478637,0.045379,0.439302,0.531388,0.046083,0.413739
0.290000,0.526905,0.048218,0.470903,0.478652,0.045404,0.439336,0.531391,0.046125,0.413778
0.300000,0.526922,0.048265,0.470948,0.478666,0.045436,0.439374,0.531413,0.046190,0.413814
0.310000,0.526942,0.048303,0.470998,0.478689,0.045475,0.439418,0.531430,0.046208,0.413848
0.320000,0.526968,0.048350,0.471028,0.478715,0.045484,0.439454,0.531449,0.046269,0.413885
0.330000,0.526990,0.048387,0.471057,0.478744,0.045541,0.439487,0.531478,0.046337,0.413924
0.340000,0.527025,0.048413,0.471079,0.478786,0.045594,0.439514,0.531534,0.046408,0.413949
0.350000,0.527075,0.048514,0.471134,0.478823,0.045628,0.439531,0.531570,0.046439,0.413980
