Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.334905,0.460784,0.605656,-0.323283,0.409853,0.580668,-0.326568,0.414630,0.639179
0.010000,-0.334916,0.460784,0.605593,-0.323300,0.409858,0.580620,-0.326581,0.414646,0.639130
0.020000,-0.334919,0.460805,0.605522,-0.323314,0.409871,0.580559,-0.326594,0.414660,0.639072
0.030000,-0.334949,0.460811,0.605450,-0.323336,0.409865,0.580514,-0.326577,0.414705,0.639022
0.040000,-0.334966,0.460813,0.605393,-0.323351,0.409865,0.580467,-0.326614,0.414691,0.638953
0.050000,-0.334986,0.460825,0.605345,-0.323377,0.409862,0.580421,-0.326616,0.414729,0.638924
0.060000,-0.335007,0.460844,0.605296,-0.323383,0.409874,0.580382,-0.326598,0.414779,0.638866
0.070000,-0.335040,0.460842,0.605249,-0.323399,0.409885,0.580347,-0.326628,0.414789,0.638830
0.080000,-0.335055,0.460842,0.605205,-0.323427,0.409882,0.580309,-0.326640,0.414812,0.638792
0.090000,-0.335070,0.460873,0.605175,-0.323436,0.409907,0.580288,-0.326696,0.414797,0.638752
0.100000,-0.335106,0.460874,0.605144,-0.323451,0.409906,0.580248,-0.326722,0.414815,0.638722
0.110000,-0.335116,0.460888,0.605117,-0.323462,0.409934,0.580228,-0.326753,0.414816,0.638705
0.120000,-0.335141,0.460900,0.605093,-0.323487,0.409908,0.580226,-0.326760,0.414859,0.638694
0.130000,-0.335147,0.460923,0.605083,-0.323489,0.409946,0.580207,-0.326781,0.414855,0.638680
0.140000,-0.335170,0.460926,0.605074,-0.323512,0.409937,0.580210,-0.326777,0.414894,0.638669
0.150000,-0.335185,0.460929,0.605072,-0.323519,0.409929,0.580216,-0.326817,0.414881,0.638672
0.160000,-0.335191,0.460941,0.605061,-0.323527,0.409962,0.580198,-0.326804,0.414914,0.638674
0.170000,-0.335204,0.460964,0.605070,-0.323529,0.409967,0.580205,-0.326839,0.414916,0.638669
0.180000,-0.335208,0.460967,0.605061,-0.323527,0.409962,0.580204,-0.326849,0.414920,0.638676
0.190000,-0.335209,0.461011,0.605061,-0.323533,0.409969,0.580214,-0.326855,0.414925,0.638677
0.200000,-0.335219,0.461019,0.605058,-0.323536,0.409981,0.580219,-0.326863,0.414941,0.638688
0.210000,-0.335232,0.460983,0.605080,-0.323541,0.409977,0.580233,-0.326866,0.414943,0.638684
0.220000,-0.335233,0.460985,0.605093,-0.323526,0.410003,0.580239,-0.326875,0.414948,0.638714
0.230000,-0.335235,0.460983,0.605113,-0.323514,0.409999,0.580250,-0.326870,0.414946,0.638723
0.240000,-0.335216,0.460977,0.605127,-0.323511,0.409980,0.580278,-0.326878,0.414935,0.638735
0.250000,-0.335187,0.461020,0.605129,-0.323497,0.409997,0.580281,-0.326880,0.414902,0.638743
0.260000,-0.335199,0.460957,0.605148,-0.323483,0.409993,0.580286,-0.326873,0.414901,0.638756
0.270000,-0.335193,0.460939,0.605153,-0.323480,0.409965,0.580303,-0.326840,0.414905,0.638754
0.280000,-0.335182,0.460923,0.605150,-0.323453,0.409961,0.580299,-0.326835,0.414886,0.638752
0.290000,-0.335155,0.460902,0.605146,-0.323444,0.409947,0.580296,-0.326829,0.414862,0.638757
0.300000,-0.335122,0.460915,0.605142,-0.323425,0.409918,0.580290,-0.326801,0.414847,0.638743
0.310000,-0.335119,0.460866,0.605138,-0.323419,0.409893,0.580289,-0.326792,0.414837,0.638742
0.320000,-0.335089,0.460863,0.605133,-0.323390,0.409892,0.580279,-0.326790,0.414806,0.638736
0.330000,-0.335081,0.460842,0.605115,-0.323385,0.409848,0.580263,-0.326757,0.414783,0.638723
0.340000,-0.335059,0.460818,0.605109,-0.323374,0.409832,0.580249,-0.326747,0.414771,0.638701
0.350000,-0.335044,0.460796,0.605095,-0.323349,0.409827,0.580228,-0.326708,0.414757,0.638688
0.360000,-0.335019,0.460792,0.605066,-0.323341,0.409805,0.580210,-0.326709,0.414739,0.638670
0.370000,-0.335007,0.460774,0.605038,-0.323336,0.409781,0.580189,-0.326671,0.414744,0.638648
0.380000,-0.334986,0.460778,0.605011,-0.323311,0.409775,0.580171,-0.326652,0.414747,0.638616
0.390000,-0.334964,0.460799,0.604980,-0.323285,0.409777,0.580135,-0.326642,0.414734,0.638594
0.400000,-0.334961,0.460768,0.604960,-0.323289,0.409783,0.580109,-0.326630,0.414744,0.638575
0.410000,-0.334932,0.460765,0.604918,-0.323270,0.409788,0.580074,-0.326603,0.414750,0.638553
0.420000,-0.334931,0.460770,0.604876,-0.323231,0.409793,0.580046,-0.326542,0.414795,0.638516
0.430000,-0.334913,0.460760,0.604853,-0.323192,0.409793,0.580004,-0.326536,0.414789,0.638503
0.440000,-0.334904,0.460762,0.604836,-0.323170,0.409776,0.579989,-0.326519,0.414775,0.638490
0.450000,-0.334886,0.460755,0.604824,-0.323189,0.409777,0.579994,-0.326513,0.414777,0.638466
0.460000,-0.334883,0.460747,0.604817,-0.323144,0.409778,0.579959,-0.326486,0.414777,0.638453
0.470000,-0.334860,0.460749,0.604798,-0.323117,0.409775,0.579954,-0.326488,0.414767,0.638440
0.480000,-0.334843,0.460748,0.604786,-0.323101,0.409787,0.579945,-0.326445,0.414799,0.638443
0.490000,-0.334830,0.460746,0.604786,-0.323095,0.409769,0.579939,-0.326442,0.414782,0.638430
0.500000,-0.334817,0.460740,0.604780,-0.323090,0.409751,0.579943,-0.326426,0.414771,0.638436
0.510000,-0.334796,0.460731,0.604774,-0.323059,0.409767,0.579934,-0.326420,0.414769,0.638425
0.520000,-0.334792,0.460731,0.604763,-0.323041,0.409747,0.579927,-0.326386,0.414762,0.638433
0.530000,-0.334760,0.460720,0.604773,-0.323034,0.409739,0.579932,-0.326358,0.414781,0.638421
0.540000,-0.334748,0.460715,0.604777,-0.323016,0.409730,0.579937,-0.326373,0.414736,0.638438
0.550000,-0.334722,0.460705,0.604805,-0.323001,0.409716,0.579941,-0.326331,0.414744,0.638444
0.560000,-0.334720,0.460691,0.604786,-0.322996,0.409710,0.579948,-0.326359,0.414704,0.638448
0.570000,-0.334689,0.460687,0.604820,-0.322980,0.409704,0.579960,-0.326324,0.414707,0.638461
0.580000,-0.334686,0.460682,0.604836,-0.322970,0.409709,0.579960,-0.326328,0.414693,0.638472
0.590000,-0.334670,0.460691,0.604848,-0.322963,0.409702,0.579975,-0.326305,0.414678,0.638487
0.600000,-0.334667,0.460678,0.604870,-0.322951,0.409696,0.579989,-0.326310,0.414681,0.638493
0.610000,-0.334664,0.460668,0.604880,-0.322961,0.409667,0.580020,-0.326291,0.414691,0.638507
0.620000,-0.334653,0.460667,0.604890,-0.322949,0.409668,0.580028,-0.326302,0.414672,0.638521
0.630000,-0.334654,0.460668,0.604917,-0.322949,0.409666,0.580048,-0.326297,0.414660,0.638551
0.640000,-0.334650,0.460666,0.604932,-0.322938,0.409671,0.580071,-0.326312,0.414623,0.638570
0.650000,-0.334644,0.460644,0.604967,-0.322931,0.409666,0.580080,-0.326299,0.414645,0.638603
0.660000,-0.334645,0.460658,0.604978,-0.322935,0.409668,0.580117,-0.326330,0.414615,0.638613
0.670000,-0.334654,0.460655,0.604997,-0.322931,0.409664,0.580140,-0.326324,0.414624,0.638627
0.680000,-0.334656,0.460652,0.605008,-0.322921,0.409663,0.580159,-0.326324,0.414625,0.638641
0.690000,-0.334655,0.460641,0.605031,-0.322921,0.409659,0.580175,-0.326318,0.414625,0.638670
0.700000,-0.334646,0.460635,0.605048,-0.322912,0.409660,0.580191,-0.326324,0.414630,0.638679
0.710000,-0.334650,0.460636,0.605062,-0.322915,0.409642,0.580204,-0.326316,0.414631,0.638690
0.720000,-0.334650,0.460624,0.605075,-0.322910,0.409643,0.580223,-0.326332,0.414616,0.638706
0.730000,-0.334648,0.460619,0.605080,-0.322906,0.409632,0.580238,-0.326357,0.414584,0.638729
0.740000,-0.334636,0.460613,0.605100,-0.322902,0.409629,0.580249,-0.326382,0.414566,0.638749
0.750000,-0.334628,0.460621,0.605102,-0.322883,0.409638,0.580259,-0.326333,0.414600,0.638752
0.760000,-0.334594,0.460620,0.605124,-0.322873,0.409612,0.580276,-0.326380,0.414557,0.638764
0.770000,-0.334582,0.460623,0.605126,-0.322865,0.409601,0.580282,-0.326372,0.414560,0.638765
0.780000,-0.334586,0.460610,0.605132,-0.322851,0.409610,0.580295,-0.326357,0.414568,0.638778
0.790000,-0.334567,0.460615,0.605143,-0.322839,0.409595,0.580307,-0.326367,0.414565,0.638791
0.800000,-0.334541,0.460624,0.605153,-0.322823,0.409603,0.580310,-0.326294,0.414610,0.638804
0.810000,-0.334534,0.460629,0.605171,-0.322815,0.409608,0.580327,-0.326336,0.414571,0.638815
0.820000,-0.334526,0.460610,0.605182,-0.322786,0.409608,0.580343,-0.326279,0.414611,0.638829
0.830000,-0.334499,0.460627,0.605207,-0.322768,0.409605,0.580356,-0.326301,0.414569,0.638841
0.840000,-0.334473,0.460630,0.605218,-0.322752,0.409609,0.580374,-0.326298,0.414546,0.638850
0.850000,-0.334460,0.460611,0.605228,-0.322749,0.409596,0.580378,-0.326232,0.414580,0.638854
0.860000,-0.334420,0.460623,0.605239,-0.322717,0.409600,0.580383,-0.326278,0.414523,0.638870
0.870000,-0.334407,0.460605,0.605256,-0.322715,0.409568,0.580396,-0.326206,0.414559,0.638876
0.880000,-0.334372,0.460593,0.605265,-0.322696,0.409560,0.580417,-0.326207,0.414534,0.638871
0.890000,-0.334367,0.460575,0.605275,-0.322676,0.409547,0.580419,-0.326212,0.414500,0.638888
0.900000,-0.334339,0.460573,0.605285,-0.322671,0.409531,0.580429,-0.326206,0.414491,0.638901
0.910000,-0.334342,0.460547,0.605293,-0.322663,0.409527,0.580439,-0.326209,0.414469,0.638897
0.920000,-0.334327,0.460541,0.605297,-0.322651,0.409499,0.580445,-0.326246,0.414420,0.638911
0.930000,-0.334316,0.460540,0.605298,-0.322643,0.409496,0.580451,-0.326239,0.414418,0.638914
0.940000,-0.334325,0.460518,0.605289,-0.322652,0.409474,0.580447,-0.326200,0.414457,0.638905
0.950000,-0.334327,0.460514,0.605281,-0.322650,0.409478,0.580440,-0.326205,0.414448,0.638901
0.960000,-0.334345,0.460507,0.605260,-0.322644,0.409470,0.580427,-0.326112,0.414526,0.638876
0.970000,-0.334353,0.460529,0.605248,-0.322663,0.409480,0.580415,-0.326258,0.414434,0.638875
0.980000,-0.334354,0.460537,0.605227,-0.322683,0.409477,0.580396,-0.326226,0.414462,0.638856
0.990000,-0.334369,0.460529,0.605201,-0.322677,0.409500,0.580375,-0.326277,0.414456,0.638852
1.000000,-0.334374,0.460554,0.605182,-0.322691,0.409493,0.580350,-0.326252,0.414475,0.638824
1.010000,-0.334390,0.460551,0.605150,-0.322707,0.409510,0.580330,-0.326223,0.414518,0.638797
1.020000,-0.334409,0.460570,0.605127,-0.322715,0.409531,0.580302,-0.326244,0.414537,0.638769
1.030000,-0.334430,0.460574,0.605095,-0.322737,0.409540,0.580279,-0.326253,0.414555,0.638742
1.040000,-0.334451,0.460583,0.605077,-0.322751,0.409548,0.580258,-0.326264,0.414572,0.638726
1.050000,-0.334458,0.460605,0.605059,-0.322764,0.409568,0.580244,-0.326279,0.414588,0.638718
1.060000,-0.334482,0.460602,0.605042,-0.322773,0.409588,0.580225,-0.326301,0.414591,0.638697
1.070000,-0.334527,0.460605,0.605018,-0.322793,0.409589,0.580212,-0.326310,0.414604,0.638694
