Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.338123,0.460652,0.603530,-0.327600,0.409779,0.577877,-0.329114,0.414244,0.636512
0.010000,-0.338147,0.460673,0.603551,-0.327613,0.409794,0.577894,-0.329137,0.414288,0.636519
0.020000,-0.338170,0.460675,0.603567,-0.327613,0.409814,0.577909,-0.329147,0.414304,0.636534
0.030000,-0.338195,0.460682,0.603580,-0.327640,0.409810,0.577923,-0.329192,0.414292,0.636547
0.040000,-0.338203,0.460691,0.603595,-0.327647,0.409822,0.577936,-0.329213,0.414294,0.636557
0.050000,-0.338208,0.460701,0.603610,-0.327664,0.409827,0.577965,-0.329195,0.414330,0.636564
0.060000,-0.338236,0.460703,0.603612,-0.327687,0.409826,0.577973,-0.329224,0.414322,0.636577
0.070000,-0.338251,0.460704,0.603619,-0.327696,0.409825,0.577978,-0.329236,0.414326,0.636579
0.080000,-0.338265,0.460713,0.603620,-0.327715,0.409830,0.577976,-0.329264,0.414326,0.636580
0.090000,-0.338285,0.460717,0.603616,-0.327742,0.409833,0.577973,-0.329268,0.414333,0.636582
0.100000,-0.338311,0.460741,0.603615,-0.327758,0.409836,0.577969,-0.329299,0.414337,0.636583
0.110000,-0.338345,0.460726,0.603613,-0.327772,0.409856,0.577975,-0.329283,0.414361,0.636580
0.120000,-0.338387,0.460729,0.603601,-0.327784,0.409874,0.577961,-0.329310,0.414374,0.636568
0.130000,-0.338413,0.460736,0.603593,-0.327809,0.409886,0.577958,-0.329325,0.414383,0.636571
0.140000,-0.338425,0.460756,0.603593,-0.327812,0.409904,0.577945,-0.329336,0.414394,0.636556
0.150000,-0.338459,0.460767,0.603578,-0.327825,0.409920,0.577941,-0.329318,0.414439,0.636558
0.160000,-0.338481,0.460776,0.603578,-0.327840,0.409945,0.577940,-0.329340,0.414444,0.636550
0.170000,-0.338500,0.460791,0.603580,-0.327846,0.409950,0.577941,-0.329337,0.414457,0.636548
0.180000,-0.338516,0.460793,0.603574,-0.327853,0.409974,0.577938,-0.329369,0.414459,0.636554
0.190000,-0.338524,0.460804,0.603587,-0.327877,0.409971,0.577947,-0.329378,0.414462,0.636544
0.200000,-0.338543,0.460802,0.603593,-0.327887,0.409972,0.577952,-0.329385,0.414472,0.636557
0.210000,-0.338551,0.460808,0.603611,-0.327879,0.409989,0.577968,-0.329393,0.414475,0.636566
0.220000,-0.338554,0.460813,0.603616,-0.327887,0.409981,0.577973,-0.329403,0.414473,0.636584
0.230000,-0.338559,0.460815,0.603626,-0.327892,0.409986,0.577998,-0.329422,0.414462,0.636593
