Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.478774,0.022132,0.572255,0.447235,0.017935,0.523827,0.505767,0.013049,0.522406
0.010000,0.478776,0.022118,0.572291,0.447252,0.017916,0.523853,0.505779,0.013032,0.522448
0.020000,0.478782,0.022092,0.572326,0.447271,0.017900,0.523889,0.505796,0.013011,0.522497
0.030000,0.478795,0.022095,0.572351,0.447287,0.017887,0.523910,0.505820,0.013001,0.522528
0.040000,0.478820,0.022047,0.572372,0.447307,0.017874,0.523930,0.505844,0.012958,0.522565
0.050000,0.478829,0.022029,0.572396,0.447337,0.017859,0.523950,0.505878,0.012909,0.522608
0.060000,0.478844,0.022000,0.572432,0.447360,0.017833,0.523963,0.505899,0.012880,0.522649
0.070000,0.478846,0.022030,0.572478,0.447381,0.017822,0.523992,0.505922,0.012869,0.522686
0.080000,0.478864,0.021966,0.572494,0.447399,0.017821,0.524014,0.505942,0.012849,0.522718
0.090000,0.478867,0.022002,0.572542,0.447410,0.017809,0.524054,0.505956,0.012831,0.522757
0.100000,0.478885,0.022005,0.572565,0.447431,0.017790,0.524079,0.505987,0.012843,0.522804
0.110000,0.478906,0.021996,0.572606,0.447456,0.017793,0.524116,0.506009,0.012830,0.522834
0.120000,0.478939,0.021973,0.572628,0.447477,0.017796,0.524153,0.506039,0.012810,0.522865
0.130000,0.478955,0.021969,0.572661,0.447539,0.017742,0.524182,0.506071,0.012787,0.522903
0.140000,0.478965,0.021946,0.572686,0.447556,0.017738,0.524209,0.506084,0.012760,0.522938
0.150000,0.478971,0.021927,0.572712,0.447563,0.017723,0.524238,0.506101,0.012748,0.522993
0.160000,0.478966,0.021896,0.572743,0.447563,0.017713,0.524268,0.506094,0.012726,0.523039
0.170000,0.478950,0.021890,0.572800,0.447561,0.017685,0.524300,0.506096,0.012702,0.523066
0.180000,0.478939,0.021861,0.572829,0.447717,0.017669,0.524430,0.506089,0.012686,0.523099
0.190000,0.478921,0.021850,0.572850,0.447717,0.017627,0.524460,0.506081,0.012658,0.523128
0.200000,0.478914,0.021818,0.572866,0.447708,0.017591,0.524477,0.506080,0.012641,0.523161
0.210000,0.478907,0.021794,0.572882,0.447717,0.017572,0.524486,0.506081,0.012603,0.523176
0.220000,0.478911,0.021752,0.572892,0.447564,0.017537,0.524383,0.506085,0.012569,0.523195
0.230000,0.478919,0.021715,0.572912,0.447725,0.017535,0.524501,0.506096,0.012530,0.523213
0.240000,0.478918,0.021683,0.572920,0.447736,0.017507,0.524511,0.506109,0.012511,0.523225
0.250000,0.478948,0.021650,0.572933,0.447750,0.017493,0.524510,0.506123,0.012479,0.523231
0.260000,0.478978,0.021618,0.572927,0.447777,0.017487,0.524502,0.506131,0.012450,0.523240
0.270000,0.478976,0.021603,0.572944,0.447624,0.017460,0.524398,0.506142,0.012424,0.523242
0.280000,0.478976,0.021591,0.572944,0.447780,0.017472,0.524502,0.506145,0.012409,0.523246
0.290000,0.478962,0.021612,0.572949,0.447767,0.017453,0.524515,0.506138,0.012385,0.523261
0.300000,0.478968,0.021586,0.572956,0.447772,0.017441,0.524509,0.506136,0.012405,0.523264
0.310000,0.478954,0.021590,0.572961,0.447771,0.017427,0.524509,0.506128,0.012376,0.523261
0.320000,0.478944,0.021600,0.572955,0.447746,0.017438,0.524513,0.506128,0.012418,0.523270
0.330000,0.478949,0.021611,0.572968,0.447764,0.017424,0.524515,0.506126,0.012416,0.523272
0.340000,0.478940,0.021623,0.572966,0.447772,0.017425,0.524517,0.506127,0.012406,0.523273
0.350000,0.478951,0.021644,0.572971,0.447781,0.017421,0.524526,0.506150,0.012411,0.523276
0.360000,0.478968,0.021639,0.572974,0.447790,0.017442,0.524532,0.506151,0.012427,0.523283
0.370000,0.478985,0.021613,0.572984,0.447799,0.017446,0.524549,0.506154,0.012411,0.523293
0.380000,0.478959,0.021639,0.572995,0.447788,0.017461,0.524562,0.506144,0.012397,0.523314
0.390000,0.478942,0.021623,0.573021,0.447777,0.017461,0.524579,0.506137,0.012402,0.523334
0.400000,0.478925,0.021654,0.573052,0.447753,0.017481,0.524597,0.506114,0.012442,0.523347
0.410000,0.478891,0.021665,0.573066,0.447735,0.017487,0.524611,0.506093,0.012430,0.523370
0.420000,0.478882,0.021691,0.573073,0.447726,0.017490,0.524619,0.506084,0.012471,0.523382
0.430000,0.478877,0.021696,0.573085,0.447727,0.017491,0.524624,0.506081,0.012485,0.523390
0.440000,0.478885,0.021705,0.573096,0.447730,0.017519,0.524636,0.506096,0.012492,0.523400
0.450000,0.478891,0.021701,0.573107,0.447749,0.017521,0.524636,0.506111,0.012500,0.523423
0.460000,0.478908,0.021710,0.573126,0.447762,0.017544,0.524661,0.506131,0.012531,0.523436
0.470000,0.478916,0.021713,0.573156,0.447778,0.017587,0.524694,0.506146,0.012532,0.523467
0.480000,0.478916,0.021711,0.573186,0.447791,0.017592,0.524723,0.506145,0.012544,0.523494
0.490000,0.478924,0.021704,0.573218,0.447797,0.017621,0.524745,0.506162,0.012511,0.523535
0.500000,0.478938,0.021654,0.573259,0.447805,0.017637,0.524765,0.506159,0.012511,0.523576
0.510000,0.478932,0.021639,0.573277,0.447820,0.017607,0.524776,0.506164,0.012518,0.523610
0.520000,0.478928,0.021623,0.573292,0.447816,0.017654,0.524806,0.506172,0.012493,0.523637
0.530000,0.478921,0.021614,0.573319,0.447827,0.017592,0.524799,0.506177,0.012507,0.523657
0.540000,0.478906,0.021608,0.573338,0.447819,0.017635,0.524833,0.506180,0.012494,0.523681
0.550000,0.478894,0.021584,0.573366,0.447814,0.017622,0.524843,0.506153,0.012496,0.523719
0.560000,0.478878,0.021577,0.573389,0.447813,0.017587,0.524855,0.506168,0.012527,0.523745
0.570000,0.478876,0.021579,0.573407,0.447800,0.017641,0.524892,0.506146,0.012512,0.523771
0.580000,0.478845,0.021602,0.573451,0.447820,0.017644,0.524909,0.506152,0.012510,0.523791
0.590000,0.478882,0.021595,0.573446,0.447818,0.017663,0.524920,0.506167,0.012521,0.523810
0.600000,0.478885,0.021599,0.573468,0.447833,0.017641,0.524932,0.506174,0.012512,0.523825
0.610000,0.478898,0.021620,0.573462,0.447861,0.017660,0.524927,0.506197,0.012491,0.523833
0.620000,0.478919,0.021605,0.573459,0.447879,0.017650,0.524926,0.506221,0.012476,0.523841
0.630000,0.478931,0.021583,0.573452,0.447889,0.017634,0.524929,0.506229,0.012464,0.523850
0.640000,0.478932,0.021591,0.573463,0.447887,0.017633,0.524936,0.506229,0.012454,0.523846
0.650000,0.478938,0.021571,0.573479,0.447889,0.017625,0.524940,0.506224,0.012441,0.523848
0.660000,0.478917,0.021586,0.573478,0.447876,0.017593,0.524939,0.506216,0.012425,0.523854
0.670000,0.478903,0.021574,0.573489,0.447846,0.017600,0.524956,0.506195,0.012425,0.523850
0.680000,0.478882,0.021571,0.573494,0.447823,0.017567,0.524958,0.506177,0.012422,0.523858
0.690000,0.478860,0.021563,0.573491,0.447793,0.017499,0.524952,0.506149,0.012400,0.523857
0.700000,0.478818,0.021552,0.573504,0.447774,0.017506,0.524975,0.506117,0.012382,0.523861
0.710000,0.478786,0.021551,0.573501,0.447748,0.017445,0.524964,0.506102,0.012375,0.523865
0.720000,0.478783,0.021547,0.573489,0.447729,0.017421,0.524961,0.506079,0.012358,0.523861
0.730000,0.478771,0.021528,0.573492,0.447717,0.017397,0.524957,0.506063,0.012332,0.523848
0.740000,0.478774,0.021523,0.573468,0.447712,0.017384,0.524957,0.506052,0.012314,0.523839
0.750000,0.478786,0.021517,0.573454,0.447709,0.017402,0.524942,0.506052,0.012294,0.523815
0.760000,0.478791,0.021480,0.573414,0.447702,0.017379,0.524912,0.506047,0.012239,0.523783
0.770000,0.478780,0.021471,0.573393,0.447695,0.017362,0.524884,0.506032,0.012205,0.523748
0.780000,0.478780,0.021439,0.573349,0.447683,0.017345,0.524849,0.506019,0.012171,0.523712
0.790000,0.478741,0.021417,0.573313,0.447663,0.017312,0.524811,0.505996,0.012130,0.523678
0.800000,0.478704,0.021396,0.573275,0.447633,0.017265,0.524764,0.505945,0.012085,0.523640
0.810000,0.478672,0.021385,0.573244,0.447598,0.017217,0.524721,0.505910,0.012043,0.523591
0.820000,0.478632,0.021367,0.573213,0.447566,0.017186,0.524676,0.505866,0.012003,0.523551
0.830000,0.478578,0.021406,0.573144,0.447541,0.017152,0.524634,0.505836,0.011970,0.523504
0.840000,0.478556,0.021397,0.573101,0.447522,0.017134,0.524605,0.505801,0.011933,0.523462
0.850000,0.478550,0.021363,0.573052,0.447466,0.017153,0.524571,0.505775,0.011885,0.523414
0.860000,0.478550,0.021343,0.573006,0.447324,0.017105,0.524436,0.505749,0.011867,0.523365
0.870000,0.478539,0.021345,0.572960,0.447267,0.017128,0.524396,0.505719,0.011876,0.523312
0.880000,0.478541,0.021371,0.572917,0.447247,0.017132,0.524363,0.505702,0.011890,0.523257
0.890000,0.478534,0.021410,0.572872,0.447220,0.017128,0.524332,0.505667,0.011899,0.523187
0.900000,0.478547,0.021454,0.572820,0.447202,0.017146,0.524280,0.505663,0.011946,0.523130
0.910000,0.478526,0.021508,0.572752,0.447188,0.017181,0.524249,0.505624,0.011974,0.523053
0.920000,0.478534,0.021537,0.572696,0.447161,0.017209,0.524207,0.505606,0.012021,0.522995
0.930000,0.478542,0.021577,0.572639,0.447152,0.017221,0.524175,0.505603,0.012035,0.522943
0.940000,0.478560,0.021570,0.572576,0.447155,0.017252,0.524140,0.505593,0.012079,0.522895
0.950000,0.478578,0.021609,0.572537,0.447142,0.017294,0.524100,0.505601,0.012107,0.522848
0.960000,0.478586,0.021652,0.572512,0.447147,0.017338,0.524056,0.505617,0.012124,0.522807
0.970000,0.478600,0.021684,0.572490,0.447145,0.017369,0.524046,0.505619,0.012179,0.522774
0.980000,0.478593,0.021725,0.572476,0.447150,0.017405,0.524027,0.505620,0.012200,0.522752
