Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.169002,0.449295,0.708423,-0.156555,0.399142,0.682162,-0.156809,0.403042,0.740836
0.010000,-0.168985,0.449299,0.708409,-0.156542,0.399133,0.682149,-0.156799,0.403047,0.740813
0.020000,-0.168980,0.449301,0.708406,-0.156539,0.399134,0.682133,-0.156792,0.403041,0.740805
0.030000,-0.168977,0.449306,0.708383,-0.156536,0.399136,0.682120,-0.156777,0.403043,0.740793
0.040000,-0.168971,0.449313,0.708367,-0.156524,0.399144,0.682111,-0.156770,0.403045,0.740776
0.050000,-0.168964,0.449321,0.708361,-0.156527,0.399146,0.682100,-0.156767,0.403054,0.740765
0.060000,-0.168962,0.449317,0.708341,-0.156519,0.399149,0.682087,-0.156763,0.403052,0.740763
0.070000,-0.168958,0.449312,0.708328,-0.156512,0.399153,0.682073,-0.156757,0.403059,0.740745
0.080000,-0.168955,0.449321,0.708312,-0.156504,0.399141,0.682064,-0.156752,0.403070,0.740733
0.090000,-0.168953,0.449322,0.708290,-0.156500,0.399138,0.682051,-0.156745,0.403071,0.740713
0.100000,-0.168937,0.449319,0.708275,-0.156499,0.399132,0.682031,-0.156743,0.403061,0.740703
0.110000,-0.168930,0.449318,0.708255,-0.156487,0.399129,0.682020,-0.156738,0.403060,0.740675
0.120000,-0.168908,0.449312,0.708228,-0.156496,0.399117,0.682005,-0.156741,0.403049,0.740652
0.130000,-0.168911,0.449307,0.708206,-0.156492,0.399109,0.681979,-0.156738,0.403055,0.740634
0.140000,-0.168906,0.449308,0.708182,-0.156489,0.399105,0.681960,-0.156728,0.403048,0.740612
0.150000,-0.168903,0.449322,0.708156,-0.156493,0.399094,0.681937,-0.156727,0.403056,0.740587
0.160000,-0.168915,0.449306,0.708132,-0.156487,0.399106,0.681910,-0.156710,0.403057,0.740555
0.170000,-0.168899,0.449309,0.708107,-0.156483,0.399120,0.681869,-0.156715,0.403067,0.740532
0.180000,-0.168901,0.449305,0.708074,-0.156476,0.399101,0.681844,-0.156705,0.403060,0.740504
0.190000,-0.168901,0.449306,0.708046,-0.156466,0.399100,0.681821,-0.156696,0.403063,0.740472
0.200000,-0.168905,0.449304,0.708013,-0.156469,0.399112,0.681785,-0.156692,0.403064,0.740435
0.210000,-0.168883,0.449314,0.707981,-0.156447,0.399140,0.681734,-0.156680,0.403077,0.740409
0.220000,-0.168876,0.449316,0.707945,-0.156437,0.399132,0.681702,-0.156669,0.403079,0.740374
0.230000,-0.168860,0.449314,0.707904,-0.156428,0.399112,0.681670,-0.156661,0.403074,0.740341
0.240000,-0.168857,0.449293,0.707856,-0.156423,0.399113,0.681642,-0.156644,0.403075,0.740307
0.250000,-0.168851,0.449298,0.707792,-0.156404,0.399115,0.681604,-0.156628,0.403080,0.740272
0.260000,-0.168839,0.449288,0.707765,-0.156395,0.399115,0.681571,-0.156620,0.403073,0.740248
0.270000,-0.168819,0.449291,0.707726,-0.156377,0.399105,0.681542,-0.156576,0.403090,0.740197
0.280000,-0.168802,0.449285,0.707698,-0.156366,0.399097,0.681506,-0.156555,0.403089,0.740170
0.290000,-0.168777,0.449279,0.707664,-0.156342,0.399102,0.681483,-0.156536,0.403077,0.740131
0.300000,-0.168759,0.449273,0.707629,-0.156327,0.399095,0.681447,-0.156510,0.403082,0.740098
