Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.574783,0.473958,0.543312,-0.562943,0.425149,0.513062,-0.570147,0.439939,0.571759
0.010000,-0.574773,0.473957,0.543330,-0.562957,0.425131,0.513063,-0.570132,0.439951,0.571782
0.020000,-0.574763,0.473948,0.543358,-0.562925,0.425155,0.513095,-0.570134,0.439923,0.571787
0.030000,-0.574756,0.473947,0.543372,-0.562933,0.425154,0.513094,-0.570116,0.439935,0.571820
0.040000,-0.574737,0.473951,0.543397,-0.562938,0.425140,0.513120,-0.570111,0.439926,0.571828
0.050000,-0.574735,0.473948,0.543428,-0.562907,0.425169,0.513138,-0.570102,0.439914,0.571856
0.060000,-0.574726,0.473959,0.543453,-0.562888,0.425168,0.513159,-0.570126,0.439903,0.571911
0.070000,-0.574709,0.473951,0.543489,-0.562885,0.425171,0.513185,-0.570094,0.439923,0.571906
0.080000,-0.574699,0.473951,0.543509,-0.562874,0.425169,0.513200,-0.570121,0.439886,0.571955
0.090000,-0.574679,0.473955,0.543529,-0.562859,0.425162,0.513216,-0.570122,0.439888,0.571959
0.100000,-0.574681,0.473930,0.543534,-0.562851,0.425163,0.513217,-0.570112,0.439885,0.571981
0.110000,-0.574662,0.473934,0.543527,-0.562805,0.425179,0.513243,-0.570096,0.439879,0.571979
0.120000,-0.574635,0.473918,0.543526,-0.562789,0.425164,0.513244,-0.570041,0.439903,0.571959
0.130000,-0.574632,0.473906,0.543520,-0.562819,0.425129,0.513224,-0.570087,0.439852,0.571970
0.140000,-0.574618,0.473894,0.543511,-0.562769,0.425143,0.513227,-0.570027,0.439877,0.571946
0.150000,-0.574596,0.473881,0.543498,-0.562770,0.425116,0.513211,-0.570017,0.439860,0.571933
0.160000,-0.574598,0.473839,0.543465,-0.562769,0.425097,0.513194,-0.570047,0.439829,0.571934
0.170000,-0.574569,0.473844,0.543453,-0.562761,0.425078,0.513177,-0.569983,0.439839,0.571883
0.180000,-0.574545,0.473846,0.543430,-0.562717,0.425076,0.513147,-0.569960,0.439842,0.571858
0.190000,-0.574490,0.473862,0.543389,-0.562745,0.425043,0.513120,-0.569956,0.439828,0.571833
0.200000,-0.574483,0.473856,0.543352,-0.562747,0.425025,0.513096,-0.569946,0.439817,0.571804
0.210000,-0.574493,0.473830,0.543315,-0.562742,0.425014,0.513060,-0.569929,0.439821,0.571772
0.220000,-0.574490,0.473837,0.543279,-0.562749,0.425013,0.513037,-0.569928,0.439823,0.571739
0.230000,-0.574479,0.473837,0.543253,-0.562763,0.425002,0.513008,-0.569930,0.439812,0.571718
0.240000,-0.574483,0.473829,0.543210,-0.562757,0.424999,0.512984,-0.569915,0.439812,0.571676
0.250000,-0.574488,0.473828,0.543189,-0.562749,0.425008,0.512960,-0.569916,0.439810,0.571646
0.260000,-0.574486,0.473832,0.543162,-0.562769,0.424989,0.512938,-0.569936,0.439798,0.571616
0.270000,-0.574482,0.473833,0.543150,-0.562788,0.424973,0.512917,-0.569923,0.439816,0.571601
0.280000,-0.574500,0.473838,0.543126,-0.562772,0.424989,0.512906,-0.569932,0.439812,0.571593
0.290000,-0.574498,0.473828,0.543117,-0.562791,0.424974,0.512896,-0.569929,0.439826,0.571586
0.300000,-0.574503,0.473835,0.543112,-0.562786,0.424990,0.512900,-0.569941,0.439812,0.571583
0.310000,-0.574522,0.473838,0.543107,-0.562790,0.424995,0.512891,-0.569937,0.439818,0.571580
0.320000,-0.574537,0.473827,0.543102,-0.562825,0.424967,0.512895,-0.569960,0.439818,0.571582
0.330000,-0.574533,0.473848,0.543123,-0.562821,0.424984,0.512899,-0.569976,0.439816,0.571584
0.340000,-0.574544,0.473864,0.543130,-0.562813,0.425005,0.512910,-0.569996,0.439819,0.571581
0.350000,-0.574549,0.473870,0.543136,-0.562849,0.424986,0.512916,-0.569998,0.439837,0.571604
0.360000,-0.574573,0.473883,0.543146,-0.562847,0.425012,0.512944,-0.570006,0.439866,0.571622
0.370000,-0.574586,0.473887,0.543145,-0.562843,0.425012,0.512940,-0.570031,0.439856,0.571617
0.380000,-0.574588,0.473885,0.543152,-0.562872,0.425016,0.512958,-0.570054,0.439862,0.571636
0.390000,-0.574612,0.473875,0.543155,-0.562869,0.425020,0.512961,-0.570071,0.439864,0.571645
0.400000,-0.574604,0.473892,0.543156,-0.562845,0.425036,0.512968,-0.570072,0.439864,0.571635
0.410000,-0.574634,0.473891,0.543127,-0.562828,0.425041,0.512960,-0.570082,0.439870,0.571635
0.420000,-0.574646,0.473884,0.543101,-0.562819,0.425054,0.512947,-0.570102,0.439885,0.571618
0.430000,-0.574666,0.473886,0.543080,-0.562867,0.425031,0.512932,-0.570113,0.439904,0.571603
0.440000,-0.574673,0.473906,0.543052,-0.562880,0.425025,0.512909,-0.570114,0.439914,0.571584
0.450000,-0.574678,0.473917,0.543018,-0.562920,0.425035,0.512896,-0.570131,0.439937,0.571554
0.460000,-0.574695,0.473919,0.542984,-0.562938,0.425034,0.512870,-0.570145,0.439945,0.571522
0.470000,-0.574713,0.473952,0.542936,-0.562907,0.425057,0.512828,-0.570154,0.439970,0.571486
0.480000,-0.574714,0.474003,0.542888,-0.562921,0.425070,0.512782,-0.570176,0.440004,0.571433
0.490000,-0.574737,0.473992,0.542800,-0.562999,0.425035,0.512728,-0.570191,0.440027,0.571376
0.500000,-0.574752,0.474010,0.542732,-0.563075,0.424965,0.512639,-0.570213,0.440039,0.571319
0.510000,-0.574785,0.474002,0.542651,-0.563079,0.424988,0.512581,-0.570220,0.440060,0.571242
0.520000,-0.574806,0.474021,0.542594,-0.563120,0.424978,0.512515,-0.570248,0.440067,0.571177
0.530000,-0.574855,0.474011,0.542505,-0.563157,0.424962,0.512451,-0.570257,0.440079,0.571122
0.540000,-0.574871,0.474016,0.542431,-0.563199,0.424955,0.512399,-0.570281,0.440089,0.571056
0.550000,-0.574907,0.474018,0.542352,-0.563136,0.425038,0.512336,-0.570302,0.440100,0.570990
