Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.530107,0.047515,0.341614,0.511803,0.076169,0.293083,0.559921,0.042879,0.310764
0.010000,0.530132,0.047415,0.341621,0.511841,0.076099,0.293090,0.559932,0.042781,0.310775
0.020000,0.530139,0.047323,0.341618,0.511871,0.076056,0.293102,0.559962,0.042689,0.310786
0.030000,0.530138,0.047221,0.341628,0.511888,0.075977,0.293118,0.559968,0.042616,0.310798
0.040000,0.530111,0.047097,0.341637,0.511906,0.075880,0.293115,0.559954,0.042501,0.310805
0.050000,0.530086,0.046981,0.341646,0.511919,0.075785,0.293136,0.559933,0.042387,0.310826
0.060000,0.530051,0.046839,0.341659,0.511912,0.075639,0.293175,0.559922,0.042317,0.310859
0.070000,0.530046,0.046682,0.341680,0.511903,0.075542,0.293200,0.559916,0.042211,0.310894
0.080000,0.530024,0.046563,0.341703,0.511890,0.075456,0.293220,0.559903,0.042067,0.310911
0.090000,0.530017,0.046402,0.341723,0.511905,0.075297,0.293260,0.559904,0.041955,0.310939
0.100000,0.530024,0.046262,0.341740,0.511895,0.075180,0.293279,0.559924,0.041779,0.310970
0.110000,0.530031,0.046087,0.341779,0.511927,0.075057,0.293319,0.559928,0.041678,0.310990
0.120000,0.530029,0.045967,0.341807,0.511915,0.074954,0.293343,0.559936,0.041557,0.311023
0.130000,0.530044,0.045878,0.341833,0.511941,0.074851,0.293380,0.559953,0.041433,0.311055
0.140000,0.530055,0.045803,0.341863,0.511949,0.074753,0.293402,0.559965,0.041369,0.311068
0.150000,0.530089,0.045748,0.341882,0.511995,0.074664,0.293422,0.559997,0.041337,0.311098
0.160000,0.530130,0.045698,0.341895,0.512040,0.074589,0.293396,0.560021,0.041260,0.311088
0.170000,0.530179,0.045657,0.341879,0.512085,0.074566,0.293392,0.560074,0.041232,0.311081
0.180000,0.530234,0.045596,0.341836,0.512155,0.074507,0.293350,0.560129,0.041165,0.311048
0.190000,0.530292,0.045574,0.341794,0.512208,0.074475,0.293303,0.560161,0.041119,0.310998
0.200000,0.530315,0.045560,0.341752,0.512269,0.074458,0.293260,0.560179,0.041073,0.310972
0.210000,0.530312,0.045555,0.341729,0.512257,0.074489,0.293225,0.560180,0.041080,0.310945
0.220000,0.530253,0.045578,0.341707,0.512246,0.074504,0.293209,0.560160,0.041073,0.310916
0.230000,0.530221,0.045562,0.341677,0.512238,0.074528,0.293199,0.560143,0.041086,0.310917
0.240000,0.530178,0.045543,0.341652,0.512227,0.074581,0.293195,0.560105,0.041063,0.310888
0.250000,0.530136,0.045511,0.341628,0.512220,0.074594,0.293196,0.560075,0.041094,0.310879
0.260000,0.530066,0.045472,0.341622,0.512197,0.074626,0.293202,0.560032,0.041055,0.310890
0.270000,0.529951,0.045433,0.341628,0.512144,0.074674,0.293235,0.559952,0.041020,0.310908
0.280000,0.529833,0.045371,0.341651,0.512072,0.074680,0.293298,0.559866,0.041068,0.310948
0.290000,0.529689,0.045314,0.341696,0.511939,0.074718,0.293366,0.559725,0.041094,0.311016
0.300000,0.529547,0.045261,0.341716,0.511832,0.074755,0.293451,0.559609,0.041087,0.311058
0.310000,0.529407,0.045167,0.341722,0.511757,0.074769,0.293499,0.559516,0.041061,0.311095
