Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.538751,0.020281,0.369328,0.523182,0.060580,0.328581,0.566281,0.017210,0.335690
0.010000,0.538741,0.020278,0.369366,0.523186,0.060552,0.328594,0.566289,0.017212,0.335709
0.020000,0.538747,0.020245,0.369364,0.523184,0.060553,0.328607,0.566287,0.017208,0.335723
0.030000,0.538744,0.020263,0.369398,0.523184,0.060557,0.328626,0.566284,0.017194,0.335745
0.040000,0.538738,0.020271,0.369412,0.523188,0.060548,0.328629,0.566282,0.017197,0.335754
0.050000,0.538747,0.020264,0.369412,0.523188,0.060560,0.328635,0.566302,0.017219,0.335759
0.060000,0.538764,0.020268,0.369413,0.523197,0.060559,0.328637,0.566311,0.017230,0.335754
0.070000,0.538773,0.020280,0.369413,0.523205,0.060568,0.328630,0.566326,0.017244,0.335760
0.080000,0.538784,0.020320,0.369416,0.523223,0.060602,0.328635,0.566335,0.017273,0.335755
0.090000,0.538807,0.020315,0.369409,0.523235,0.060597,0.328628,0.566345,0.017247,0.335748
0.100000,0.538818,0.020319,0.369398,0.523253,0.060610,0.328628,0.566341,0.017253,0.335743
0.110000,0.538813,0.020331,0.369387,0.523253,0.060607,0.328624,0.566357,0.017271,0.335737
0.120000,0.538821,0.020326,0.369384,0.523244,0.060585,0.328609,0.566354,0.017258,0.335721
0.130000,0.538812,0.020308,0.369378,0.523241,0.060595,0.328603,0.566351,0.017253,0.335711
0.140000,0.538814,0.020273,0.369351,0.523241,0.060570,0.328598,0.566340,0.017239,0.335707
0.150000,0.538783,0.020261,0.369344,0.523227,0.060569,0.328594,0.566322,0.017208,0.335697
0.160000,0.538764,0.020257,0.369344,0.523201,0.060547,0.328587,0.566306,0.017199,0.335692
0.170000,0.538732,0.020217,0.369321,0.523194,0.060541,0.328579,0.566286,0.017188,0.335687
0.180000,0.538724,0.020186,0.369316,0.523176,0.060515,0.328573,0.566276,0.017153,0.335673
0.190000,0.538699,0.020160,0.369301,0.523177,0.060492,0.328563,0.566257,0.017129,0.335652
0.200000,0.538690,0.020123,0.369285,0.523172,0.060458,0.328552,0.566233,0.017079,0.335640
0.210000,0.538676,0.020078,0.369278,0.523161,0.060423,0.328552,0.566214,0.017031,0.335628
0.220000,0.538648,0.020052,0.369275,0.523136,0.060398,0.328549,0.566184,0.016987,0.335627
0.230000,0.538623,0.019999,0.369264,0.523108,0.060358,0.328536,0.566152,0.016949,0.335614
0.240000,0.538584,0.019968,0.369266,0.523069,0.060311,0.328522,0.566109,0.016970,0.335619
0.250000,0.538552,0.019944,0.369267,0.523030,0.060280,0.328515,0.566085,0.016937,0.335613
0.260000,0.538526,0.019905,0.369260,0.523007,0.060252,0.328521,0.566050,0.016912,0.335617
0.270000,0.538492,0.019882,0.369264,0.522997,0.060236,0.328520,0.566039,0.016839,0.335615
0.280000,0.538472,0.019827,0.369254,0.522975,0.060187,0.328510,0.566013,0.016795,0.335615
0.290000,0.538467,0.019806,0.369255,0.522972,0.060167,0.328507,0.565999,0.016771,0.335601
0.300000,0.538457,0.019765,0.369249,0.522966,0.060125,0.328498,0.565978,0.016723,0.335601
0.310000,0.538446,0.019735,0.369251,0.522956,0.060100,0.328487,0.565958,0.016644,0.335585
0.320000,0.538432,0.019692,0.369244,0.522941,0.060057,0.328478,0.565945,0.016618,0.335591
0.330000,0.538402,0.019669,0.369248,0.522926,0.060041,0.328481,0.565918,0.016583,0.335584
0.340000,0.538378,0.019641,0.369243,0.522904,0.060003,0.328482,0.565907,0.016585,0.335600
0.350000,0.538356,0.019603,0.369251,0.522898,0.059974,0.328487,0.565887,0.016525,0.335610
0.360000,0.538340,0.019572,0.369269,0.522887,0.059949,0.328502,0.565863,0.016484,0.335615
0.370000,0.538328,0.019548,0.369267,0.522880,0.059940,0.328515,0.565871,0.016460,0.335632
0.380000,0.538327,0.019539,0.369278,0.522888,0.059934,0.328522,0.565846,0.016439,0.335626
0.390000,0.538332,0.019523,0.369280,0.522893,0.059935,0.328533,0.565863,0.016442,0.335639
0.400000,0.538333,0.019513,0.369291,0.522909,0.059932,0.328545,0.565865,0.016433,0.335650
0.410000,0.538341,0.019495,0.369310,0.522914,0.059941,0.328582,0.565862,0.016425,0.335659
0.420000,0.538339,0.019507,0.369319,0.522918,0.059942,0.328599,0.565863,0.016440,0.335674
0.430000,0.538325,0.019520,0.369348,0.522914,0.059952,0.328617,0.565877,0.016453,0.335706
0.440000,0.538331,0.019531,0.369353,0.522919,0.059978,0.328649,0.565880,0.016481,0.335718
0.450000,0.538341,0.019539,0.369370,0.522927,0.060001,0.328664,0.565900,0.016479,0.335725
0.460000,0.538347,0.019543,0.369379,0.522945,0.060026,0.328693,0.565906,0.016525,0.335754
0.470000,0.538360,0.019586,0.369398,0.522953,0.060043,0.328704,0.565915,0.016535,0.335765
0.480000,0.538384,0.019612,0.369430,0.522983,0.060069,0.328728,0.565949,0.016573,0.335777
0.490000,0.538406,0.019606,0.369433,0.523003,0.060087,0.328740,0.565980,0.016598,0.335808
0.500000,0.538426,0.019660,0.369466,0.523021,0.060121,0.328761,0.565993,0.016617,0.335827
0.510000,0.538433,0.019694,0.369490,0.523044,0.060146,0.328778,0.566027,0.016638,0.335852
0.520000,0.538456,0.019715,0.369513,0.523070,0.060177,0.328811,0.566046,0.016640,0.335866
0.530000,0.538484,0.019736,0.369532,0.523078,0.060213,0.328838,0.566076,0.016734,0.335905
0.540000,0.538488,0.019773,0.369559,0.523089,0.060221,0.328860,0.566083,0.016703,0.335939
0.550000,0.538493,0.019779,0.369585,0.523092,0.060237,0.328879,0.566090,0.016755,0.335981
0.560000,0.538504,0.019802,0.369612,0.523096,0.060244,0.328907,0.566098,0.016751,0.336005
0.570000,0.538499,0.019790,0.369647,0.523108,0.060260,0.328948,0.566101,0.016750,0.336038
0.580000,0.538485,0.019791,0.369690,0.523120,0.060279,0.328977,0.566101,0.016754,0.336064
0.590000,0.538477,0.019783,0.369712,0.523112,0.060217,0.328972,0.566092,0.016715,0.336089
0.600000,0.538468,0.019734,0.369738,0.523113,0.060235,0.329014,0.566075,0.016691,0.336121
0.610000,0.538453,0.019705,0.369753,0.523109,0.060198,0.329031,0.566073,0.016657,0.336158
0.620000,0.538435,0.019685,0.369774,0.523111,0.060187,0.329067,0.566043,0.016611,0.336180
0.630000,0.538429,0.019649,0.369795,0.523100,0.060123,0.329073,0.566025,0.016568,0.336195
0.640000,0.538391,0.019582,0.369802,0.523088,0.060103,0.329102,0.566012,0.016490,0.336216
0.650000,0.538379,0.019525,0.369823,0.523067,0.060004,0.329101,0.565994,0.016440,0.336232
0.660000,0.538353,0.019452,0.369844,0.523041,0.059975,0.329132,0.565964,0.016365,0.336247
0.670000,0.538326,0.019396,0.369851,0.523025,0.059887,0.329139,0.565934,0.016292,0.336262
0.680000,0.538295,0.019336,0.369865,0.523008,0.059818,0.329140,0.565934,0.016172,0.336287
0.690000,0.538266,0.019278,0.369871,0.522985,0.059759,0.329141,0.565899,0.016104,0.336292
0.700000,0.538237,0.019221,0.369876,0.522964,0.059703,0.329148,0.565862,0.016055,0.336306
0.710000,0.538197,0.019164,0.369886,0.522917,0.059619,0.329162,0.565834,0.015943,0.336306
0.720000,0.538166,0.019113,0.369902,0.522893,0.059541,0.329174,0.565795,0.015903,0.336316
0.730000,0.538136,0.019064,0.369912,0.522859,0.059504,0.329181,0.565766,0.015853,0.336332
0.740000,0.538106,0.019008,0.369908,0.522837,0.059423,0.329195,0.565739,0.015777,0.336337
0.750000,0.538071,0.018967,0.369924,0.522814,0.059372,0.329199,0.565703,0.015726,0.336336
0.760000,0.538040,0.018912,0.369933,0.522783,0.059323,0.329203,0.565652,0.015678,0.336343
0.770000,0.537999,0.018874,0.369950,0.522752,0.059272,0.329204,0.565606,0.015615,0.336353
0.780000,0.537972,0.018827,0.369967,0.522711,0.059218,0.329218,0.565577,0.015576,0.336370
0.790000,0.537947,0.018787,0.369980,0.522681,0.059158,0.329217,0.565550,0.015511,0.336380
0.800000,0.537917,0.018728,0.369983,0.522653,0.059094,0.329206,0.565516,0.015438,0.336377
0.810000,0.537899,0.018691,0.370005,0.522648,0.059050,0.329216,0.565490,0.015372,0.336382
0.820000,0.537885,0.018628,0.370012,0.522648,0.059001,0.329234,0.565474,0.015303,0.336394
0.830000,0.537865,0.018549,0.370021,0.522643,0.058955,0.329252,0.565465,0.015246,0.336411
0.840000,0.537843,0.018510,0.370045,0.522632,0.058919,0.329274,0.565436,0.015164,0.336421
0.850000,0.537803,0.018490,0.370092,0.522629,0.058875,0.329269,0.565409,0.015112,0.336433
0.860000,0.537762,0.018449,0.370111,0.522622,0.058812,0.329284,0.565379,0.015083,0.336451
0.870000,0.537740,0.018411,0.370120,0.522609,0.058782,0.329301,0.565357,0.015047,0.336464
0.880000,0.537720,0.018373,0.370134,0.522603,0.058753,0.329315,0.565352,0.015012,0.336486
0.890000,0.537701,0.018330,0.370140,0.522595,0.058720,0.329330,0.565332,0.014958,0.336495
0.900000,0.537695,0.018323,0.370147,0.522601,0.058715,0.329340,0.565341,0.014934,0.336524
0.910000,0.537703,0.018297,0.370169,0.522618,0.058670,0.329354,0.565340,0.014893,0.336533
0.920000,0.537722,0.018286,0.370177,0.522638,0.058675,0.329360,0.565367,0.014885,0.336548
0.930000,0.537746,0.018304,0.370185,0.522669,0.058710,0.329364,0.565381,0.014885,0.336544
0.940000,0.537767,0.018312,0.370183,0.522686,0.058720,0.329376,0.565398,0.014895,0.336546
0.950000,0.537809,0.018334,0.370190,0.522714,0.058736,0.329374,0.565428,0.014942,0.336554
0.960000,0.537828,0.018351,0.370186,0.522742,0.058761,0.329381,0.565469,0.014992,0.336563
0.970000,0.537865,0.018364,0.370196,0.522766,0.058795,0.329393,0.565498,0.015011,0.336568
