Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.491605,0.457741,0.742109,-0.478437,0.416080,0.706995,-0.490538,0.419733,0.766290
0.010000,-0.491580,0.457739,0.742123,-0.478428,0.416075,0.706988,-0.490513,0.419721,0.766307
0.020000,-0.491559,0.457734,0.742125,-0.478419,0.416055,0.706997,-0.490505,0.419711,0.766302
0.030000,-0.491193,0.457994,0.741894,-0.478403,0.416033,0.707006,-0.490485,0.419677,0.766294
0.040000,-0.491534,0.457675,0.742121,-0.478369,0.416049,0.706994,-0.490152,0.420038,0.766074
0.050000,-0.491510,0.457671,0.742119,-0.478346,0.416027,0.706988,-0.490434,0.419684,0.766296
0.060000,-0.491487,0.457658,0.742112,-0.478325,0.416026,0.706989,-0.490407,0.419691,0.766297
0.070000,-0.491463,0.457643,0.742108,-0.478308,0.416008,0.706975,-0.490370,0.419677,0.766283
0.080000,-0.491441,0.457623,0.742114,-0.478295,0.415972,0.706984,-0.490033,0.420029,0.766072
0.090000,-0.491405,0.457611,0.742118,-0.478234,0.415976,0.706989,-0.490010,0.420009,0.766071
0.100000,-0.491010,0.457917,0.741886,-0.478238,0.415946,0.706983,-0.489985,0.419983,0.766076
0.110000,-0.490978,0.457908,0.741879,-0.478208,0.415919,0.706985,-0.489953,0.419973,0.766072
0.120000,-0.491280,0.457574,0.742105,-0.478126,0.415959,0.706984,-0.490221,0.419604,0.766298
0.130000,-0.490913,0.457886,0.741876,-0.478157,0.415907,0.706990,-0.489893,0.419949,0.766079
0.140000,-0.490880,0.457870,0.741883,-0.478102,0.415923,0.707001,-0.490169,0.419583,0.766300
0.150000,-0.490849,0.457860,0.741905,-0.478075,0.415903,0.706999,-0.490138,0.419570,0.766317
0.160000,-0.491149,0.457533,0.742155,-0.478064,0.415878,0.707017,-0.490119,0.419542,0.766336
0.170000,-0.490794,0.457816,0.741937,-0.478052,0.415855,0.707031,-0.490076,0.419526,0.766350
0.180000,-0.490732,0.457794,0.741962,-0.477972,0.415846,0.707044,-0.490042,0.419483,0.766375
0.190000,-0.491052,0.457465,0.742225,-0.477940,0.415810,0.707066,-0.490031,0.419482,0.766406
0.200000,-0.490683,0.457739,0.742022,-0.477934,0.415778,0.707101,-0.490022,0.419448,0.766432
0.210000,-0.490643,0.457729,0.742062,-0.477966,0.415690,0.707140,-0.489987,0.419407,0.766486
0.220000,-0.490956,0.457389,0.742324,-0.477901,0.415706,0.707186,-0.489964,0.419399,0.766506
0.230000,-0.490628,0.457649,0.742157,-0.477895,0.415673,0.707219,-0.489959,0.419365,0.766536
0.240000,-0.490606,0.457626,0.742190,-0.477857,0.415676,0.707256,-0.489935,0.419367,0.766587
0.250000,-0.490588,0.457610,0.742226,-0.477818,0.415676,0.707294,-0.489898,0.419338,0.766619
0.260000,-0.490563,0.457599,0.742270,-0.477772,0.415651,0.707335,-0.489891,0.419305,0.766650
0.270000,-0.490536,0.457594,0.742300,-0.477754,0.415686,0.707353,-0.489883,0.419302,0.766690
0.280000,-0.490526,0.457591,0.742342,-0.477739,0.415630,0.707387,-0.489859,0.419298,0.766724
0.290000,-0.490500,0.457591,0.742369,-0.477699,0.415658,0.707424,-0.489840,0.419306,0.766759
0.300000,-0.490479,0.457574,0.742405,-0.477672,0.415666,0.707450,-0.489822,0.419291,0.766792
0.310000,-0.490452,0.457570,0.742432,-0.477643,0.415655,0.707469,-0.489806,0.419280,0.766818
0.320000,-0.490431,0.457561,0.742456,-0.477626,0.415656,0.707486,-0.489791,0.419255,0.766838
0.330000,-0.490776,0.457212,0.742723,-0.477577,0.415650,0.707524,-0.489768,0.419240,0.766859
0.340000,-0.490407,0.457469,0.742520,-0.477585,0.415628,0.707541,-0.489749,0.419235,0.766883
0.350000,-0.490411,0.457476,0.742556,-0.477560,0.415631,0.707563,-0.489717,0.419227,0.766899
0.360000,-0.490714,0.457173,0.742788,-0.477539,0.415638,0.707570,-0.489702,0.419211,0.766920
