Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.541070,0.433589,0.650723,-0.530263,0.389808,0.619217,-0.531898,0.384876,0.677978
0.010000,-0.541117,0.433601,0.650728,-0.530340,0.389782,0.619216,-0.532341,0.384216,0.678520
0.020000,-0.541135,0.433658,0.650722,-0.530315,0.389827,0.619218,-0.531912,0.384929,0.677977
0.030000,-0.541155,0.433684,0.650729,-0.530344,0.389848,0.619222,-0.532383,0.384266,0.678520
0.040000,-0.541180,0.433658,0.650739,-0.530360,0.389865,0.619221,-0.532405,0.384290,0.678523
0.050000,-0.541207,0.433699,0.650729,-0.530373,0.389890,0.619224,-0.532419,0.384296,0.678508
0.060000,-0.541211,0.433719,0.650723,-0.530411,0.389890,0.619218,-0.532421,0.384314,0.678518
0.070000,-0.541231,0.433709,0.650726,-0.530452,0.389868,0.619222,-0.532439,0.384312,0.678513
0.080000,-0.541240,0.433718,0.650723,-0.530436,0.389905,0.619212,-0.531993,0.384990,0.677967
0.090000,-0.541259,0.433713,0.650721,-0.530442,0.389894,0.619227,-0.532461,0.384315,0.678503
0.100000,-0.541265,0.433736,0.650716,-0.530455,0.389900,0.619213,-0.532467,0.384328,0.678500
0.110000,-0.541273,0.433736,0.650719,-0.530450,0.389924,0.619206,-0.532470,0.384340,0.678502
0.120000,-0.541281,0.433750,0.650718,-0.530431,0.389933,0.619208,-0.532471,0.384349,0.678503
0.130000,-0.541282,0.433756,0.650736,-0.530455,0.389941,0.619218,-0.532472,0.384353,0.678513
0.140000,-0.541279,0.433771,0.650741,-0.530448,0.389945,0.619226,-0.532462,0.384379,0.678520
0.150000,-0.541273,0.433773,0.650747,-0.530462,0.389934,0.619229,-0.532457,0.384364,0.678527
0.160000,-0.541262,0.433771,0.650749,-0.530423,0.389958,0.619239,-0.532443,0.384375,0.678526
0.170000,-0.541246,0.433772,0.650746,-0.530421,0.389958,0.619223,-0.532424,0.384369,0.678522
0.180000,-0.541235,0.433749,0.650751,-0.530410,0.389938,0.619233,-0.532401,0.384366,0.678536
0.190000,-0.541214,0.433747,0.650756,-0.530341,0.389934,0.619242,-0.532386,0.384360,0.678536
0.200000,-0.541174,0.433743,0.650767,-0.530333,0.389911,0.619249,-0.532372,0.384334,0.678539
0.210000,-0.541146,0.433678,0.650772,-0.530289,0.389902,0.619249,-0.531917,0.384967,0.678003
0.220000,-0.541111,0.433648,0.650778,-0.530265,0.389875,0.619257,-0.532320,0.384252,0.678551
0.230000,-0.541063,0.433633,0.650786,-0.530259,0.389829,0.619269,-0.532286,0.384235,0.678559
0.240000,-0.541025,0.433605,0.650797,-0.530233,0.389801,0.619258,-0.531836,0.384886,0.678023
0.250000,-0.541009,0.433578,0.650797,-0.530194,0.389795,0.619267,-0.531826,0.384863,0.678027
0.260000,-0.540991,0.433557,0.650804,-0.530177,0.389790,0.619273,-0.531805,0.384836,0.678035
0.270000,-0.540969,0.433542,0.650810,-0.530130,0.389806,0.619278,-0.532223,0.384147,0.678581
0.280000,-0.540961,0.433530,0.650819,-0.529891,0.389923,0.619244,-0.531790,0.384815,0.678040
0.290000,-0.540956,0.433526,0.650817,-0.529883,0.389926,0.619244,-0.531790,0.384806,0.678040
0.300000,-0.540952,0.433533,0.650815,-0.529900,0.389912,0.619247,-0.531787,0.384815,0.678035
0.310000,-0.540951,0.433525,0.650806,-0.529869,0.389916,0.619240,-0.532226,0.384123,0.678571
0.320000,-0.540964,0.433519,0.650791,-0.529905,0.389884,0.619231,-0.531769,0.384841,0.678025
0.330000,-0.540952,0.433545,0.650780,-0.529895,0.389885,0.619210,-0.532228,0.384152,0.678552
0.340000,-0.540956,0.433545,0.650741,-0.529907,0.389888,0.619183,-0.532230,0.384158,0.678535
0.350000,-0.540966,0.433544,0.650699,-0.529916,0.389896,0.619165,-0.532240,0.384160,0.678504
0.360000,-0.540971,0.433543,0.650658,-0.529913,0.389893,0.619131,-0.532233,0.384170,0.678467
0.370000,-0.540977,0.433546,0.650611,-0.529927,0.389870,0.619100,-0.532232,0.384161,0.678421
0.380000,-0.540973,0.433583,0.650555,-0.529948,0.389854,0.619052,-0.532235,0.384164,0.678381
0.390000,-0.540984,0.433569,0.650503,-0.529961,0.389855,0.619007,-0.532235,0.384171,0.678331
0.400000,-0.540979,0.433570,0.650449,-0.529968,0.389831,0.618959,-0.532224,0.384184,0.678297
0.410000,-0.540972,0.433571,0.650402,-0.529977,0.389829,0.618917,-0.532234,0.384169,0.678243
0.420000,-0.540973,0.433549,0.650360,-0.529978,0.389798,0.618871,-0.532229,0.384155,0.678209
0.430000,-0.540975,0.433527,0.650318,-0.529985,0.389774,0.618845,-0.532212,0.384158,0.678168
0.440000,-0.540942,0.433544,0.650262,-0.529990,0.389773,0.618802,-0.532223,0.384118,0.678116
0.450000,-0.540924,0.433531,0.650244,-0.530016,0.389711,0.618782,-0.532203,0.384145,0.678082
0.460000,-0.540909,0.433531,0.650211,-0.530018,0.389711,0.618742,-0.532218,0.384104,0.678031
0.470000,-0.540921,0.433500,0.650189,-0.530016,0.389692,0.618720,-0.532218,0.384078,0.678005
0.480000,-0.540903,0.433496,0.650173,-0.530023,0.389657,0.618704,-0.532192,0.384082,0.677991
0.490000,-0.540893,0.433480,0.650150,-0.530007,0.389665,0.618700,-0.532195,0.384065,0.677982
0.500000,-0.540878,0.433484,0.650137,-0.529985,0.389663,0.618689,-0.532180,0.384063,0.677961
0.510000,-0.540878,0.433462,0.650130,-0.529987,0.389659,0.618670,-0.532175,0.384056,0.677951
0.520000,-0.540866,0.433454,0.650118,-0.529989,0.389627,0.618665,-0.532181,0.384037,0.677942
0.530000,-0.540856,0.433463,0.650113,-0.529993,0.389626,0.618671,-0.532175,0.384043,0.677938
0.540000,-0.540855,0.433458,0.650113,-0.529984,0.389629,0.618659,-0.532171,0.384042,0.677923
0.550000,-0.540858,0.433446,0.650099,-0.529975,0.389624,0.618648,-0.532172,0.384024,0.677915
0.560000,-0.540849,0.433452,0.650094,-0.529948,0.389653,0.618649,-0.532171,0.384028,0.677910
0.570000,-0.540857,0.433453,0.650087,-0.529990,0.389622,0.618644,-0.532166,0.384035,0.677909
0.580000,-0.540851,0.433467,0.650076,-0.530002,0.389613,0.618622,-0.532166,0.384034,0.677893
0.590000,-0.540864,0.433456,0.650077,-0.529972,0.389648,0.618623,-0.532173,0.384035,0.677895
0.600000,-0.540864,0.433472,0.650071,-0.529988,0.389645,0.618626,-0.532150,0.384064,0.677895
0.610000,-0.540867,0.433483,0.650071,-0.529986,0.389654,0.618618,-0.532161,0.384054,0.677895
0.620000,-0.540879,0.433478,0.650069,-0.529980,0.389650,0.618616,-0.532162,0.384061,0.677892
0.630000,-0.540876,0.433481,0.650076,-0.529989,0.389656,0.618603,-0.532161,0.384061,0.677883
0.640000,-0.540870,0.433470,0.650057,-0.530010,0.389625,0.618609,-0.532154,0.384057,0.677873
0.650000,-0.540860,0.433487,0.650053,-0.529987,0.389632,0.618597,-0.532146,0.384056,0.677863
0.660000,-0.540852,0.433466,0.650038,-0.529989,0.389637,0.618591,-0.532138,0.384048,0.677846
0.670000,-0.540854,0.433463,0.650021,-0.529997,0.389604,0.618576,-0.532138,0.384040,0.677838
