Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.547589,0.437804,0.655864,-0.532116,0.392936,0.627570,-0.540335,0.389959,0.686510
0.010000,-0.547581,0.437835,0.655833,-0.532082,0.392958,0.627536,-0.540324,0.389978,0.686477
0.020000,-0.547567,0.437830,0.655813,-0.532114,0.392930,0.627504,-0.540318,0.389976,0.686449
0.030000,-0.547541,0.437834,0.655799,-0.532088,0.392947,0.627495,-0.540295,0.389966,0.686426
0.040000,-0.547521,0.437826,0.655785,-0.532103,0.392913,0.627473,-0.540284,0.389953,0.686410
0.050000,-0.547506,0.437815,0.655764,-0.532108,0.392891,0.627458,-0.540253,0.389959,0.686395
0.060000,-0.547503,0.437802,0.655742,-0.532098,0.392886,0.627439,-0.540259,0.389956,0.686379
0.070000,-0.547452,0.437806,0.655702,-0.532121,0.392873,0.627424,-0.540251,0.389959,0.686353
0.080000,-0.547443,0.437818,0.655669,-0.532107,0.392889,0.627390,-0.540265,0.389956,0.686317
0.090000,-0.547436,0.437814,0.655649,-0.532114,0.392869,0.627375,-0.540258,0.389963,0.686308
0.100000,-0.547449,0.437808,0.655625,-0.532125,0.392871,0.627342,-0.540257,0.389950,0.686292
0.110000,-0.547454,0.437814,0.655605,-0.532115,0.392885,0.627340,-0.540272,0.389944,0.686281
0.120000,-0.547466,0.437815,0.655600,-0.532127,0.392875,0.627312,-0.540252,0.389961,0.686257
0.130000,-0.547471,0.437819,0.655580,-0.532156,0.392860,0.627294,-0.540267,0.389960,0.686238
0.140000,-0.547498,0.437823,0.655538,-0.532190,0.392833,0.627266,-0.540281,0.389960,0.686209
0.150000,-0.547503,0.437835,0.655517,-0.532171,0.392873,0.627248,-0.540286,0.389974,0.686181
0.160000,-0.547518,0.437835,0.655490,-0.532202,0.392853,0.627220,-0.540284,0.389978,0.686166
0.170000,-0.547531,0.437823,0.655446,-0.532229,0.392840,0.627201,-0.540305,0.389964,0.686129
0.180000,-0.547520,0.437835,0.655426,-0.532222,0.392842,0.627170,-0.540300,0.389980,0.686108
0.190000,-0.547535,0.437821,0.655408,-0.532218,0.392843,0.627141,-0.540302,0.389966,0.686087
0.200000,-0.547520,0.437818,0.655380,-0.532213,0.392847,0.627109,-0.540314,0.389946,0.686053
0.210000,-0.547522,0.437794,0.655348,-0.532841,0.392243,0.627381,-0.540324,0.389926,0.686027
0.220000,-0.547509,0.437796,0.655323,-0.532829,0.392236,0.627354,-0.540308,0.389927,0.686010
0.230000,-0.547511,0.437795,0.655300,-0.532166,0.392900,0.627011,-0.540312,0.389934,0.685984
0.240000,-0.547521,0.437790,0.655262,-0.532246,0.392806,0.627009,-0.540293,0.389973,0.685946
0.250000,-0.547530,0.437805,0.655218,-0.532191,0.392899,0.626945,-0.540299,0.389994,0.685919
0.260000,-0.547553,0.437836,0.655179,-0.532212,0.392923,0.626911,-0.540605,0.389641,0.686071
0.270000,-0.547589,0.437863,0.655136,-0.532242,0.392961,0.626860,-0.540625,0.389675,0.686031
0.280000,-0.547623,0.437888,0.655082,-0.532076,0.393157,0.626773,-0.540633,0.389740,0.685998
0.290000,-0.547651,0.437946,0.655046,-0.532089,0.393207,0.626747,-0.540373,0.390150,0.685757
0.300000,-0.547678,0.437977,0.655023,-0.532145,0.393220,0.626711,-0.540361,0.390215,0.685731
0.310000,-0.547729,0.438009,0.654973,-0.532156,0.393258,0.626694,-0.540378,0.390272,0.685689
0.320000,-0.547758,0.438038,0.654940,-0.532207,0.393285,0.626660,-0.540404,0.390296,0.685652
0.330000,-0.547786,0.438060,0.654901,-0.532200,0.393332,0.626631,-0.540399,0.390352,0.685623
0.340000,-0.547804,0.438086,0.654863,-0.532242,0.393330,0.626586,-0.540391,0.390411,0.685581
0.350000,-0.547850,0.438085,0.654822,-0.532289,0.393320,0.626556,-0.540386,0.390407,0.685555
0.360000,-0.547861,0.438093,0.654781,-0.532311,0.393319,0.626522,-0.540393,0.390443,0.685513
0.370000,-0.547865,0.438103,0.654754,-0.532290,0.393342,0.626493,-0.540385,0.390423,0.685485
0.380000,-0.547870,0.438114,0.654725,-0.532292,0.393343,0.626471,-0.540408,0.390408,0.685456
