Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.538753,0.436414,0.657619,-0.524802,0.391947,0.628154,-0.530041,0.388242,0.687293
0.010000,-0.538776,0.436402,0.657582,-0.524846,0.391924,0.628122,-0.530083,0.388207,0.687264
0.020000,-0.538779,0.436412,0.657543,-0.524891,0.391909,0.628087,-0.530070,0.388224,0.687202
0.030000,-0.538800,0.436424,0.657495,-0.524898,0.391912,0.628042,-0.530079,0.388237,0.687177
0.040000,-0.538808,0.436421,0.657467,-0.524908,0.391933,0.628004,-0.530083,0.388245,0.687149
0.050000,-0.538825,0.436430,0.657436,-0.524919,0.391932,0.627981,-0.530072,0.388274,0.687128
0.060000,-0.538835,0.436436,0.657407,-0.524940,0.391939,0.627956,-0.530084,0.388271,0.687100
0.070000,-0.538841,0.436435,0.657381,-0.524945,0.391933,0.627928,-0.530089,0.388282,0.687079
0.080000,-0.538860,0.436433,0.657347,-0.524975,0.391909,0.627908,-0.530105,0.388281,0.687066
0.090000,-0.538852,0.436442,0.657335,-0.524978,0.391914,0.627894,-0.530106,0.388269,0.687034
0.100000,-0.538863,0.436428,0.657309,-0.524970,0.391923,0.627877,-0.530097,0.388292,0.687031
0.110000,-0.538857,0.436432,0.657290,-0.524952,0.391926,0.627872,-0.530111,0.388291,0.687010
0.120000,-0.538857,0.436450,0.657254,-0.524975,0.391914,0.627840,-0.530111,0.388297,0.686991
0.130000,-0.538851,0.436461,0.657247,-0.524776,0.392100,0.627778,-0.530113,0.388312,0.686979
0.140000,-0.538861,0.436465,0.657228,-0.524997,0.391906,0.627814,-0.530111,0.388316,0.686970
0.150000,-0.538856,0.436472,0.657219,-0.524787,0.392105,0.627761,-0.530107,0.388321,0.686963
0.160000,-0.538845,0.436465,0.657207,-0.524795,0.392079,0.627750,-0.530088,0.388327,0.686951
0.170000,-0.538822,0.436458,0.657202,-0.524769,0.392086,0.627740,-0.530052,0.388332,0.686941
0.180000,-0.538815,0.436448,0.657190,-0.524750,0.392063,0.627725,-0.530040,0.388307,0.686935
0.190000,-0.538777,0.436423,0.657171,-0.524730,0.392039,0.627721,-0.530018,0.388293,0.686929
0.200000,-0.538737,0.436422,0.657174,-0.524690,0.392029,0.627723,-0.529978,0.388278,0.686927
0.210000,-0.538692,0.436396,0.657174,-0.524651,0.392012,0.627735,-0.529954,0.388248,0.686926
0.220000,-0.538657,0.436364,0.657187,-0.524625,0.391994,0.627717,-0.529907,0.388247,0.686935
0.230000,-0.538618,0.436332,0.657194,-0.524595,0.391948,0.627744,-0.529877,0.388205,0.686940
0.240000,-0.538560,0.436323,0.657216,-0.524542,0.391923,0.627774,-0.529850,0.388174,0.686950
0.250000,-0.538531,0.436312,0.657239,-0.524497,0.391928,0.627792,-0.529826,0.388147,0.686974
0.260000,-0.538492,0.436284,0.657258,-0.524489,0.391887,0.627808,-0.529811,0.388120,0.686995
0.270000,-0.538470,0.436275,0.657294,-0.524459,0.391877,0.627828,-0.529797,0.388099,0.687008
0.280000,-0.538445,0.436281,0.657316,-0.524436,0.391882,0.627851,-0.529776,0.388103,0.687031
0.290000,-0.538441,0.436254,0.657335,-0.524434,0.391871,0.627872,-0.529766,0.388091,0.687051
