Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.117769,0.076503,0.581212,0.156385,0.036446,0.571284,0.101051,0.020831,0.588940
0.010000,0.117677,0.076472,0.581203,0.156354,0.036475,0.571293,0.101018,0.020767,0.588924
0.020000,0.117572,0.076410,0.581180,0.156303,0.036453,0.571295,0.100962,0.020718,0.588902
0.030000,0.117434,0.076368,0.581191,0.156193,0.036432,0.571301,0.100841,0.020629,0.588847
0.040000,0.117266,0.076278,0.581218,0.156056,0.036407,0.571326,0.100676,0.020586,0.588794
0.050000,0.117058,0.076280,0.581250,0.155869,0.036424,0.571374,0.100440,0.020585,0.588778
0.060000,0.116765,0.076263,0.581306,0.155609,0.036445,0.571468,0.100179,0.020618,0.588833
0.070000,0.116461,0.076316,0.581376,0.155335,0.036622,0.571596,0.099899,0.020668,0.588907
0.080000,0.116130,0.076425,0.581485,0.155019,0.036748,0.571783,0.099589,0.020749,0.589023
0.090000,0.115709,0.076510,0.581637,0.154670,0.036879,0.571971,0.099217,0.020812,0.589121
0.100000,0.115251,0.076559,0.581730,0.154286,0.036973,0.572163,0.098822,0.020786,0.589184
0.110000,0.114772,0.076595,0.581807,0.153931,0.037092,0.572291,0.098387,0.020848,0.589218
0.120000,0.114388,0.076680,0.581861,0.153547,0.037079,0.572397,0.097982,0.020889,0.589240
0.130000,0.114059,0.076690,0.581912,0.153194,0.037085,0.572496,0.097654,0.020955,0.589274
0.140000,0.113793,0.076735,0.582007,0.152902,0.037127,0.572629,0.097323,0.021012,0.589292
0.150000,0.113529,0.076797,0.582152,0.152584,0.037088,0.572751,0.097059,0.021006,0.589350
0.160000,0.113247,0.076806,0.582294,0.152310,0.037168,0.572941,0.096755,0.021051,0.589428
0.170000,0.112930,0.076801,0.582472,0.152009,0.037128,0.573110,0.096472,0.021081,0.589522
0.180000,0.112555,0.076863,0.582620,0.151729,0.037240,0.573299,0.096171,0.021148,0.589654
0.190000,0.112187,0.076947,0.582744,0.151426,0.037423,0.573512,0.095847,0.021209,0.589765
0.200000,0.111789,0.077028,0.582826,0.151130,0.037589,0.573718,0.095528,0.021268,0.589867
0.210000,0.111428,0.077029,0.582903,0.150846,0.037674,0.573882,0.095227,0.021266,0.589917
0.220000,0.111173,0.077068,0.582984,0.150621,0.037737,0.574010,0.094950,0.021250,0.589957
0.230000,0.110961,0.077080,0.583061,0.150422,0.037715,0.574098,0.094689,0.021224,0.589987
0.240000,0.110751,0.077065,0.583157,0.150217,0.037706,0.574168,0.094491,0.021161,0.590020
0.250000,0.110539,0.077062,0.583215,0.150023,0.037748,0.574241,0.094308,0.021156,0.590080
0.260000,0.110294,0.077084,0.583256,0.149783,0.037776,0.574307,0.094112,0.021127,0.590149
0.270000,0.110005,0.077095,0.583303,0.149503,0.037811,0.574351,0.093866,0.021164,0.590204
0.280000,0.109713,0.077076,0.583302,0.149251,0.037892,0.574401,0.093611,0.021260,0.590202
0.290000,0.109494,0.077090,0.583253,0.149042,0.037903,0.574421,0.093367,0.021310,0.590179
0.300000,0.109343,0.077068,0.583230,0.148882,0.037870,0.574425,0.093159,0.021312,0.590147
0.310000,0.109223,0.077044,0.583227,0.148789,0.037832,0.574405,0.093032,0.021260,0.590091
0.320000,0.109121,0.077041,0.583221,0.148688,0.037799,0.574359,0.092945,0.021216,0.590047
0.330000,0.109034,0.077028,0.583215,0.148571,0.037772,0.574333,0.092896,0.021182,0.590030
0.340000,0.108912,0.077043,0.583191,0.148501,0.037841,0.574325,0.092805,0.021209,0.590028
0.350000,0.108771,0.077050,0.583129,0.148389,0.037871,0.574313,0.092705,0.021230,0.590002
0.360000,0.108649,0.077110,0.583036,0.148305,0.037924,0.574306,0.092592,0.021263,0.589949
0.370000,0.108601,0.077110,0.582942,0.148235,0.037871,0.574258,0.092511,0.021249,0.589877
0.380000,0.108592,0.077019,0.582820,0.148239,0.037806,0.574177,0.092490,0.021251,0.589767
0.390000,0.108755,0.076967,0.582773,0.148331,0.037698,0.574070,0.092586,0.021148,0.589679
0.400000,0.108935,0.076873,0.582729,0.148470,0.037556,0.573925,0.092757,0.021058,0.589588
0.410000,0.109151,0.076815,0.582685,0.148659,0.037449,0.573802,0.092988,0.020970,0.589528
0.420000,0.109330,0.076727,0.582656,0.148884,0.037437,0.573681,0.093208,0.020895,0.589467
0.430000,0.109427,0.076669,0.582599,0.148996,0.037433,0.573559,0.093375,0.020823,0.589420
0.440000,0.109443,0.076622,0.582499,0.149018,0.037381,0.573428,0.093429,0.020771,0.589357
0.450000,0.109390,0.076548,0.582384,0.148971,0.037318,0.573320,0.093394,0.020712,0.589264
0.460000,0.109259,0.076501,0.582264,0.148796,0.037152,0.573197,0.093285,0.020639,0.589154
0.470000,0.109122,0.076393,0.582167,0.148708,0.037087,0.573133,0.093170,0.020521,0.589047
0.480000,0.108965,0.076217,0.582073,0.148629,0.037043,0.573084,0.093053,0.020410,0.588930
0.490000,0.108857,0.076107,0.582002,0.148551,0.036965,0.573034,0.092955,0.020306,0.588841
0.500000,0.108765,0.076036,0.581966,0.148473,0.036921,0.572970,0.092884,0.020229,0.588784
0.510000,0.108698,0.075979,0.581889,0.148414,0.036881,0.572900,0.092834,0.020117,0.588732
0.520000,0.108606,0.075966,0.581842,0.148362,0.036874,0.572840,0.092785,0.020056,0.588684
0.530000,0.108557,0.075925,0.581762,0.148313,0.036857,0.572776,0.092740,0.020031,0.588626
0.540000,0.108510,0.075881,0.581684,0.148292,0.036811,0.572729,0.092703,0.019986,0.588537
0.550000,0.108499,0.075816,0.581600,0.148284,0.036760,0.572654,0.092699,0.019904,0.588459
0.560000,0.108542,0.075749,0.581535,0.148324,0.036715,0.572584,0.092732,0.019874,0.588380
0.570000,0.108622,0.075677,0.581478,0.148398,0.036610,0.572494,0.092814,0.019801,0.588298
0.580000,0.108763,0.075608,0.581432,0.148499,0.036521,0.572415,0.092933,0.019764,0.588248
0.590000,0.108936,0.075565,0.581369,0.148639,0.036443,0.572326,0.093084,0.019658,0.588197
0.600000,0.109133,0.075460,0.581340,0.148803,0.036354,0.572248,0.093262,0.019591,0.588144
0.610000,0.109298,0.075357,0.581300,0.148959,0.036263,0.572180,0.093443,0.019502,0.588100
0.620000,0.109544,0.075319,0.581288,0.149120,0.036143,0.572117,0.093601,0.019404,0.588046
0.630000,0.109713,0.075274,0.581235,0.149263,0.036073,0.572050,0.093758,0.019314,0.587987
0.640000,0.109849,0.075227,0.581194,0.149377,0.035987,0.571996,0.093868,0.019247,0.587930
0.650000,0.109921,0.075183,0.581141,0.149521,0.036018,0.571959,0.093958,0.019214,0.587866
0.660000,0.109976,0.075145,0.581081,0.149592,0.035970,0.571913,0.094008,0.019155,0.587770
0.670000,0.110033,0.075118,0.581008,0.149647,0.035934,0.571864,0.094084,0.019102,0.587707
0.680000,0.110063,0.075087,0.580966,0.149682,0.035930,0.571812,0.094116,0.019075,0.587629
0.690000,0.110054,0.075060,0.580911,0.149683,0.035885,0.571743,0.094136,0.019026,0.587570
0.700000,0.110010,0.075053,0.580846,0.149667,0.035902,0.571673,0.094128,0.019000,0.587502
0.710000,0.109932,0.075054,0.580747,0.149561,0.035855,0.571580,0.094072,0.018982,0.587446
0.720000,0.109795,0.075069,0.580659,0.149453,0.035871,0.571493,0.093982,0.018993,0.587362
0.730000,0.109570,0.075056,0.580530,0.149306,0.035884,0.571432,0.093823,0.018975,0.587261
0.740000,0.109333,0.075029,0.580412,0.149102,0.035937,0.571364,0.093614,0.018980,0.587158
0.750000,0.109056,0.074981,0.580291,0.148906,0.035986,0.571312,0.093380,0.019035,0.587026
0.760000,0.108751,0.074975,0.580172,0.148708,0.036060,0.571270,0.093120,0.019033,0.586901
0.770000,0.108520,0.075019,0.580073,0.148506,0.036139,0.571243,0.092877,0.019082,0.586794
0.780000,0.108322,0.075068,0.579981,0.148332,0.036218,0.571214,0.092662,0.019139,0.586695
0.790000,0.108161,0.075192,0.579917,0.148172,0.036307,0.571182,0.092494,0.019232,0.586634
0.800000,0.108041,0.075272,0.579864,0.148099,0.036515,0.571122,0.092396,0.019285,0.586573
0.810000,0.107983,0.075362,0.579814,0.148051,0.036600,0.571104,0.092335,0.019393,0.586534
0.820000,0.107971,0.075482,0.579761,0.148015,0.036672,0.571035,0.092329,0.019474,0.586504
0.830000,0.107974,0.075563,0.579724,0.148012,0.036749,0.571005,0.092345,0.019553,0.586479
0.840000,0.107999,0.075640,0.579688,0.148037,0.036804,0.570957,0.092375,0.019632,0.586455
0.850000,0.108006,0.075675,0.579656,0.148030,0.036848,0.570923,0.092378,0.019699,0.586435
0.860000,0.108007,0.075703,0.579618,0.148019,0.036886,0.570893,0.092385,0.019762,0.586403
0.870000,0.107994,0.075782,0.579612,0.148009,0.036917,0.570881,0.092349,0.019776,0.586400
0.880000,0.107965,0.075780,0.579587,0.147964,0.036928,0.570868,0.092314,0.019786,0.586395
0.890000,0.107929,0.075783,0.579576,0.147928,0.036940,0.570893,0.092261,0.019818,0.586384
0.900000,0.107912,0.075795,0.579576,0.147905,0.036923,0.570894,0.092216,0.019817,0.586386
0.910000,0.107892,0.075801,0.579555,0.147865,0.036919,0.570896,0.092174,0.019844,0.586361
0.920000,0.107887,0.075794,0.579533,0.147873,0.036922,0.570888,0.092166,0.019801,0.586327
0.930000,0.107901,0.075786,0.579491,0.147875,0.036905,0.570849,0.092152,0.019845,0.586290
0.940000,0.107932,0.075789,0.579445,0.147892,0.036896,0.570781,0.092185,0.019829,0.586235
0.950000,0.107973,0.075801,0.579396,0.147913,0.036862,0.570691,0.092210,0.019832,0.586183
0.960000,0.108028,0.075792,0.579331,0.147950,0.036848,0.570599,0.092254,0.019837,0.586141
0.970000,0.108087,0.075834,0.579298,0.147976,0.036841,0.570532,0.092297,0.019880,0.586112
0.980000,0.108125,0.075855,0.579274,0.148007,0.036827,0.570487,0.092328,0.019887,0.586096
0.990000,0.108150,0.075868,0.579260,0.148011,0.036841,0.570455,0.092351,0.019921,0.586100
1.000000,0.108162,0.075889,0.579247,0.148022,0.036857,0.570424,0.092364,0.019932,0.586093
1.010000,0.108155,0.075907,0.579244,0.148011,0.036860,0.570402,0.092342,0.019970,0.586091
1.020000,0.108129,0.075918,0.579228,0.147974,0.036869,0.570392,0.092295,0.019993,0.586082
1.030000,0.108098,0.075909,0.579220,0.147931,0.036894,0.570376,0.092265,0.019968,0.586060
1.040000,0.108051,0.075907,0.579206,0.147851,0.036830,0.570330,0.092215,0.019967,0.586038
1.050000,0.108006,0.075909,0.579198,0.147796,0.036810,0.570325,0.092160,0.019979,0.586031
1.060000,0.107934,0.075900,0.579189,0.147743,0.036815,0.570321,0.092128,0.019949,0.586014
1.070000,0.107880,0.075908,0.579200,0.147686,0.036836,0.570340,0.092069,0.019933,0.586035
1.080000,0.107827,0.075890,0.579206,0.147644,0.036838,0.570367,0.092039,0.019916,0.586055
1.090000,0.107775,0.075893,0.579234,0.147584,0.036830,0.570377,0.091982,0.019905,0.586087
1.100000,0.107719,0.075887,0.579245,0.147530,0.036829,0.570405,0.091932,0.019883,0.586091
1.110000,0.107646,0.075832,0.579273,0.147474,0.036834,0.570426,0.091847,0.019867,0.586106
