Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.116268,0.075941,0.603229,0.156723,0.038878,0.590403,0.104222,0.019399,0.612103
0.010000,0.116270,0.075925,0.603219,0.156745,0.038864,0.590391,0.104251,0.019373,0.612078
0.020000,0.116294,0.075935,0.603202,0.156754,0.038863,0.590371,0.104247,0.019377,0.612059
0.030000,0.116305,0.075934,0.603191,0.156771,0.038869,0.590347,0.104265,0.019381,0.612046
0.040000,0.116322,0.075921,0.603175,0.156804,0.038916,0.590311,0.104283,0.019360,0.612030
0.050000,0.116341,0.075931,0.603167,0.156797,0.038832,0.590311,0.104296,0.019362,0.612027
0.060000,0.116368,0.075934,0.603142,0.156845,0.038912,0.590281,0.104327,0.019356,0.612010
0.070000,0.116384,0.075885,0.603123,0.156871,0.038916,0.590281,0.104340,0.019386,0.612000
0.080000,0.116402,0.075894,0.603101,0.156880,0.038902,0.590270,0.104358,0.019373,0.611982
0.090000,0.116419,0.075888,0.603088,0.156899,0.038895,0.590256,0.104384,0.019358,0.611975
0.100000,0.116456,0.075872,0.603065,0.156926,0.038882,0.590229,0.104399,0.019385,0.611958
0.110000,0.116465,0.075849,0.603041,0.156940,0.038872,0.590210,0.104414,0.019353,0.611929
0.120000,0.116484,0.075842,0.603020,0.156961,0.038867,0.590173,0.104451,0.019333,0.611902
0.130000,0.116521,0.075830,0.603003,0.156972,0.038835,0.590152,0.104483,0.019325,0.611885
0.140000,0.116540,0.075795,0.602984,0.157030,0.038852,0.590137,0.104526,0.019304,0.611875
0.150000,0.116560,0.075794,0.602963,0.157053,0.038837,0.590119,0.104536,0.019302,0.611849
0.160000,0.116602,0.075787,0.602942,0.157079,0.038828,0.590091,0.104569,0.019291,0.611834
0.170000,0.116621,0.075771,0.602928,0.157098,0.038812,0.590066,0.104596,0.019252,0.611822
0.180000,0.116640,0.075760,0.602900,0.157133,0.038823,0.590046,0.104620,0.019295,0.611810
0.190000,0.116666,0.075748,0.602900,0.157154,0.038799,0.590029,0.104651,0.019283,0.611793
0.200000,0.116700,0.075763,0.602879,0.157178,0.038786,0.590007,0.104690,0.019258,0.611776
0.210000,0.116726,0.075748,0.602864,0.157249,0.038834,0.589997,0.104719,0.019271,0.611758
0.220000,0.116776,0.075777,0.602840,0.157284,0.038845,0.589973,0.104742,0.019251,0.611733
0.230000,0.116808,0.075749,0.602816,0.157309,0.038816,0.589938,0.104794,0.019228,0.611722
0.240000,0.116864,0.075788,0.602798,0.157329,0.038805,0.589909,0.104830,0.019238,0.611711
0.250000,0.116889,0.075793,0.602779,0.157371,0.038796,0.589893,0.104857,0.019253,0.611707
0.260000,0.116916,0.075800,0.602767,0.157379,0.038775,0.589875,0.104879,0.019214,0.611694
0.270000,0.116925,0.075786,0.602776,0.157403,0.038774,0.589863,0.104889,0.019241,0.611693
0.280000,0.116935,0.075800,0.602768,0.157406,0.038744,0.589851,0.104902,0.019230,0.611688
0.290000,0.116945,0.075787,0.602757,0.157407,0.038747,0.589850,0.104912,0.019225,0.611680
0.300000,0.116949,0.075778,0.602751,0.157417,0.038756,0.589849,0.104912,0.019223,0.611671
0.310000,0.116960,0.075759,0.602744,0.157425,0.038753,0.589841,0.104930,0.019221,0.611671
0.320000,0.116973,0.075762,0.602736,0.157444,0.038741,0.589827,0.104945,0.019198,0.611662
0.330000,0.116979,0.075757,0.602728,0.157446,0.038722,0.589810,0.104954,0.019204,0.611650
0.340000,0.116991,0.075751,0.602721,0.157457,0.038723,0.589800,0.104969,0.019196,0.611636
0.350000,0.116989,0.075730,0.602721,0.157467,0.038713,0.589804,0.104973,0.019174,0.611641
0.360000,0.116994,0.075732,0.602731,0.157472,0.038716,0.589806,0.104976,0.019178,0.611653
0.370000,0.116998,0.075753,0.602727,0.157465,0.038704,0.589813,0.104982,0.019160,0.611659
0.380000,0.117000,0.075733,0.602734,0.157476,0.038714,0.589828,0.104974,0.019186,0.611661
0.390000,0.117003,0.075734,0.602737,0.157484,0.038699,0.589838,0.104985,0.019163,0.611667
