Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.416183,0.429568,0.708178,-0.409523,0.382944,0.681230,-0.400222,0.384691,0.739889
0.010000,-0.416204,0.429580,0.708176,-0.409554,0.382981,0.681233,-0.400243,0.384705,0.739876
0.020000,-0.416248,0.429581,0.708185,-0.409535,0.383044,0.681259,-0.400271,0.384695,0.739880
0.030000,-0.416275,0.429623,0.708192,-0.409628,0.383014,0.681262,-0.400302,0.384717,0.739878
0.040000,-0.416312,0.429622,0.708202,-0.409650,0.383038,0.681252,-0.400320,0.384749,0.739877
0.050000,-0.416327,0.429666,0.708216,-0.409650,0.383084,0.681255,-0.400367,0.384758,0.739870
0.060000,-0.416379,0.429650,0.708215,-0.409707,0.383085,0.681266,-0.400386,0.384776,0.739889
0.070000,-0.416403,0.429671,0.708229,-0.409726,0.383107,0.681277,-0.400408,0.384791,0.739895
0.080000,-0.416431,0.429678,0.708243,-0.409742,0.383128,0.681295,-0.400436,0.384800,0.739908
0.090000,-0.416458,0.429692,0.708255,-0.409753,0.383144,0.681295,-0.400455,0.384813,0.739919
0.100000,-0.416478,0.429694,0.708263,-0.409753,0.383180,0.681308,-0.400485,0.384813,0.739916
0.110000,-0.416517,0.429706,0.708258,-0.409795,0.383164,0.681294,-0.400513,0.384832,0.739928
0.120000,-0.416538,0.429737,0.708258,-0.409823,0.383176,0.681285,-0.400547,0.384844,0.739921
0.130000,-0.416593,0.429735,0.708243,-0.409873,0.383175,0.681283,-0.400580,0.384860,0.739906
0.140000,-0.416639,0.429742,0.708221,-0.409909,0.383190,0.681281,-0.400626,0.384893,0.739890
0.150000,-0.416672,0.429772,0.708204,-0.409936,0.383213,0.681274,-0.400655,0.384920,0.739891
0.160000,-0.416730,0.429764,0.708193,-0.409956,0.383256,0.681249,-0.400689,0.384942,0.739861
0.170000,-0.416767,0.429789,0.708187,-0.410002,0.383227,0.681239,-0.400721,0.384962,0.739864
0.180000,-0.416811,0.429800,0.708166,-0.410051,0.383230,0.681236,-0.400621,0.385189,0.739550
