Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.164563,0.447686,0.480422,-0.152937,0.397926,0.454470,-0.155688,0.403671,0.513675
0.010000,-0.164570,0.447704,0.480404,-0.152946,0.397934,0.454459,-0.155694,0.403687,0.513664
0.020000,-0.164582,0.447702,0.480401,-0.152953,0.397941,0.454443,-0.155701,0.403687,0.513653
0.030000,-0.164601,0.447719,0.480395,-0.152965,0.397960,0.454444,-0.155705,0.403704,0.513645
0.040000,-0.164612,0.447730,0.480393,-0.152978,0.397973,0.454442,-0.155714,0.403719,0.513645
0.050000,-0.164628,0.447746,0.480394,-0.152992,0.397979,0.454437,-0.155729,0.403730,0.513650
0.060000,-0.164649,0.447750,0.480394,-0.153005,0.397986,0.454438,-0.155743,0.403736,0.513648
0.070000,-0.164662,0.447749,0.480399,-0.153016,0.398004,0.454446,-0.155751,0.403740,0.513650
0.080000,-0.164670,0.447758,0.480400,-0.153017,0.398000,0.454449,-0.155759,0.403755,0.513655
0.090000,-0.164681,0.447745,0.480400,-0.153021,0.397995,0.454451,-0.155765,0.403748,0.513659
0.100000,-0.164672,0.447752,0.480407,-0.153022,0.397992,0.454459,-0.155772,0.403729,0.513661
0.110000,-0.164671,0.447741,0.480413,-0.153023,0.397980,0.454465,-0.155777,0.403725,0.513674
0.120000,-0.164671,0.447727,0.480412,-0.153019,0.397961,0.454467,-0.155771,0.403726,0.513677
0.130000,-0.164665,0.447713,0.480415,-0.153016,0.397961,0.454474,-0.155770,0.403715,0.513680
0.140000,-0.164656,0.447720,0.480419,-0.153016,0.397952,0.454484,-0.155764,0.403704,0.513687
0.150000,-0.164655,0.447707,0.480430,-0.153007,0.397949,0.454494,-0.155763,0.403710,0.513698
0.160000,-0.164655,0.447712,0.480464,-0.153005,0.397951,0.454515,-0.155758,0.403699,0.513719
0.170000,-0.164651,0.447705,0.480495,-0.152990,0.397954,0.454542,-0.155750,0.403698,0.513748
0.180000,-0.164637,0.447709,0.480550,-0.152971,0.397977,0.454572,-0.155749,0.403682,0.513781
0.190000,-0.164610,0.447696,0.480589,-0.152964,0.397963,0.454588,-0.155740,0.403685,0.513809
0.200000,-0.164587,0.447691,0.480592,-0.152948,0.397956,0.454613,-0.155725,0.403673,0.513825
0.210000,-0.164577,0.447699,0.480603,-0.152928,0.397954,0.454619,-0.155714,0.403666,0.513830
0.220000,-0.164560,0.447693,0.480609,-0.152921,0.397944,0.454628,-0.155709,0.403661,0.513836
0.230000,-0.164547,0.447692,0.480609,-0.152906,0.397941,0.454637,-0.155699,0.403660,0.513851
0.240000,-0.164539,0.447679,0.480623,-0.152907,0.397930,0.454649,-0.155704,0.403649,0.513857
0.250000,-0.164537,0.447678,0.480629,-0.152901,0.397916,0.454653,-0.155705,0.403641,0.513860
0.260000,-0.164532,0.447673,0.480619,-0.152903,0.397915,0.454647,-0.155707,0.403651,0.513857
0.270000,-0.164535,0.447669,0.480612,-0.152912,0.397930,0.454637,-0.155712,0.403643,0.513852
0.280000,-0.164546,0.447678,0.480602,-0.152926,0.397918,0.454628,-0.155719,0.403644,0.513834
0.290000,-0.164562,0.447672,0.480585,-0.152943,0.397925,0.454606,-0.155729,0.403657,0.513810
0.300000,-0.164578,0.447689,0.480568,-0.152965,0.397927,0.454582,-0.155742,0.403659,0.513796
0.310000,-0.164619,0.447697,0.480545,-0.152977,0.397956,0.454565,-0.155753,0.403681,0.513775
0.320000,-0.164646,0.447708,0.480531,-0.153004,0.397954,0.454558,-0.155765,0.403684,0.513758
0.330000,-0.164659,0.447727,0.480516,-0.153020,0.397953,0.454545,-0.155779,0.403688,0.513751
0.340000,-0.164680,0.447721,0.480509,-0.153032,0.397957,0.454537,-0.155792,0.403692,0.513747
0.350000,-0.164688,0.447708,0.480502,-0.153038,0.397961,0.454534,-0.155799,0.403682,0.513740
0.360000,-0.164684,0.447699,0.480496,-0.153043,0.397944,0.454528,-0.155803,0.403669,0.513733
0.370000,-0.164671,0.447675,0.480480,-0.153045,0.397932,0.454515,-0.155806,0.403654,0.513717
0.380000,-0.164663,0.447668,0.480458,-0.153048,0.397905,0.454504,-0.155804,0.403654,0.513709
0.390000,-0.164666,0.447672,0.480437,-0.153063,0.397898,0.454481,-0.155804,0.403642,0.513691
0.400000,-0.164672,0.447652,0.480426,-0.153075,0.397877,0.454475,-0.155812,0.403630,0.513683
0.410000,-0.164685,0.447644,0.480428,-0.153085,0.397878,0.454473,-0.155827,0.403617,0.513677
0.420000,-0.164700,0.447652,0.480431,-0.153104,0.397874,0.454478,-0.155839,0.403615,0.513679
0.430000,-0.164716,0.447640,0.480436,-0.153110,0.397877,0.454466,-0.155855,0.403604,0.513679
0.440000,-0.164734,0.447637,0.480438,-0.153130,0.397871,0.454464,-0.155881,0.403598,0.513671
0.450000,-0.164754,0.447640,0.480430,-0.153147,0.397873,0.454463,-0.155890,0.403599,0.513667
0.460000,-0.164776,0.447638,0.480433,-0.153172,0.397881,0.454461,-0.155910,0.403603,0.513664
0.470000,-0.164806,0.447637,0.480435,-0.153185,0.397890,0.454466,-0.155942,0.403617,0.513670
0.480000,-0.164840,0.447640,0.480455,-0.153198,0.397900,0.454473,-0.155949,0.403623,0.513680
0.490000,-0.164860,0.447641,0.480457,-0.153223,0.397895,0.454484,-0.155977,0.403632,0.513686
0.500000,-0.164881,0.447652,0.480467,-0.153238,0.397906,0.454496,-0.155999,0.403636,0.513698
0.510000,-0.164899,0.447650,0.480475,-0.153251,0.397923,0.454505,-0.156025,0.403638,0.513699
0.520000,-0.164925,0.447667,0.480490,-0.153274,0.397942,0.454516,-0.156047,0.403649,0.513710
0.530000,-0.164946,0.447659,0.480488,-0.153291,0.397944,0.454524,-0.156053,0.403654,0.513714
0.540000,-0.164951,0.447666,0.480497,-0.153295,0.397937,0.454524,-0.156068,0.403664,0.513717
0.550000,-0.164962,0.447668,0.480486,-0.153303,0.397955,0.454528,-0.156080,0.403666,0.513714
0.560000,-0.164966,0.447680,0.480481,-0.153298,0.397966,0.454504,-0.156088,0.403670,0.513707
0.570000,-0.164971,0.447682,0.480468,-0.153294,0.397957,0.454494,-0.156089,0.403685,0.513696
0.580000,-0.164967,0.447690,0.480453,-0.153305,0.397972,0.454494,-0.156093,0.403688,0.513672
0.590000,-0.164958,0.447688,0.480429,-0.153288,0.397975,0.454464,-0.156077,0.403687,0.513661
0.600000,-0.164949,0.447670,0.480401,-0.153267,0.397951,0.454434,-0.156070,0.403678,0.513630
0.610000,-0.164918,0.447657,0.480362,-0.153244,0.397924,0.454407,-0.156048,0.403669,0.513599
0.620000,-0.164887,0.447631,0.480333,-0.153224,0.397895,0.454376,-0.156015,0.403641,0.513578
0.630000,-0.164836,0.447596,0.480270,-0.153199,0.397858,0.454338,-0.155989,0.403605,0.513520
0.640000,-0.164787,0.447567,0.480224,-0.153163,0.397823,0.454299,-0.155940,0.403544,0.513482
0.650000,-0.164741,0.447547,0.480183,-0.153126,0.397781,0.454251,-0.155906,0.403506,0.513436
0.660000,-0.164700,0.447508,0.480119,-0.153080,0.397736,0.454201,-0.155860,0.403491,0.513388
0.670000,-0.164659,0.447489,0.480064,-0.153049,0.397713,0.454149,-0.155829,0.403473,0.513339
0.680000,-0.164618,0.447485,0.480011,-0.153028,0.397689,0.454106,-0.155774,0.403473,0.513294
0.690000,-0.164577,0.447478,0.479956,-0.152994,0.397695,0.454042,-0.155734,0.403460,0.513242
0.700000,-0.164544,0.447468,0.479891,-0.152960,0.397686,0.453991,-0.155689,0.403462,0.513183
0.710000,-0.164516,0.447458,0.479842,-0.152933,0.397675,0.453942,-0.155649,0.403447,0.513139
0.720000,-0.164468,0.447453,0.479788,-0.152905,0.397667,0.453905,-0.155599,0.403448,0.513084
0.730000,-0.164426,0.447443,0.479732,-0.152858,0.397655,0.453860,-0.155553,0.403446,0.513049
0.740000,-0.164383,0.447424,0.479698,-0.152832,0.397635,0.453818,-0.155501,0.403424,0.513006
0.750000,-0.164323,0.447410,0.479661,-0.152794,0.397597,0.453789,-0.155453,0.403423,0.512982
0.760000,-0.164284,0.447382,0.479639,-0.152754,0.397579,0.453775,-0.155416,0.403394,0.512948
0.770000,-0.164233,0.447365,0.479606,-0.152720,0.397548,0.453742,-0.155363,0.403364,0.512922
0.780000,-0.164192,0.447326,0.479588,-0.152681,0.397518,0.453733,-0.155319,0.403348,0.512913
0.790000,-0.164146,0.447300,0.479571,-0.152642,0.397496,0.453714,-0.155276,0.403336,0.512896
0.800000,-0.164097,0.447270,0.479550,-0.152582,0.397460,0.453688,-0.155237,0.403313,0.512878
0.810000,-0.164059,0.447239,0.479531,-0.152545,0.397426,0.453675,-0.155198,0.403284,0.512871
0.820000,-0.164023,0.447218,0.479525,-0.152512,0.397398,0.453671,-0.155162,0.403279,0.512858
0.830000,-0.163989,0.447199,0.479517,-0.152481,0.397374,0.453660,-0.155125,0.403251,0.512849
0.840000,-0.163933,0.447184,0.479506,-0.152439,0.397374,0.453645,-0.155086,0.403232,0.512840
0.850000,-0.163896,0.447169,0.479510,-0.152416,0.397347,0.453651,-0.155043,0.403223,0.512843
0.860000,-0.163861,0.447155,0.479509,-0.152380,0.397343,0.453650,-0.155011,0.403208,0.512831
0.870000,-0.163831,0.447154,0.479510,-0.152346,0.397347,0.453644,-0.154984,0.403199,0.512838
0.880000,-0.163806,0.447152,0.479507,-0.152329,0.397323,0.453645,-0.154960,0.403183,0.512833
0.890000,-0.163781,0.447131,0.479512,-0.152301,0.397308,0.453653,-0.154931,0.403185,0.512842
0.900000,-0.163757,0.447125,0.479526,-0.152276,0.397296,0.453661,-0.154907,0.403174,0.512854
0.910000,-0.163732,0.447138,0.479540,-0.152254,0.397308,0.453681,-0.154883,0.403170,0.512865
0.920000,-0.163699,0.447107,0.479574,-0.152215,0.397286,0.453722,-0.154857,0.403136,0.512898
0.930000,-0.163653,0.447080,0.479626,-0.152181,0.397273,0.453762,-0.154833,0.403142,0.512936
0.940000,-0.163604,0.447059,0.479681,-0.152151,0.397266,0.453790,-0.154808,0.403107,0.512963
