Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.528384,-0.008427,0.418968,0.498122,0.003440,0.371886,0.554580,-0.013666,0.370885
0.010000,0.528400,-0.008341,0.418954,0.498118,0.003499,0.371859,0.554580,-0.013594,0.370868
0.020000,0.528421,-0.008274,0.418938,0.498132,0.003557,0.371843,0.554601,-0.013514,0.370851
0.030000,0.528462,-0.008182,0.418930,0.498172,0.003629,0.371835,0.555109,-0.013299,0.370928
0.040000,0.528502,-0.008126,0.418919,0.498212,0.003715,0.371835,0.555131,-0.013241,0.370929
0.050000,0.528541,-0.008049,0.418915,0.498256,0.003784,0.371840,0.555179,-0.013142,0.370936
0.060000,0.528578,-0.007958,0.418930,0.498281,0.003859,0.371853,0.555213,-0.013091,0.370939
0.070000,0.528622,-0.007876,0.418944,0.498300,0.003934,0.371875,0.555226,-0.013031,0.370948
0.080000,0.528649,-0.007783,0.418959,0.498308,0.003997,0.371894,0.555239,-0.012910,0.370968
0.090000,0.528677,-0.007712,0.418976,0.498308,0.004068,0.371917,0.555248,-0.012849,0.370979
0.100000,0.528685,-0.007602,0.419001,0.498306,0.004109,0.371951,0.555253,-0.012787,0.371002
0.110000,0.528709,-0.007537,0.419029,0.498297,0.004151,0.371984,0.555260,-0.012719,0.371020
0.120000,0.528713,-0.007448,0.419071,0.498293,0.004162,0.372021,0.555261,-0.012680,0.371046
0.130000,0.528726,-0.007393,0.419110,0.498275,0.004176,0.372050,0.555254,-0.012669,0.371057
0.140000,0.528739,-0.007380,0.419132,0.498264,0.004163,0.372093,0.555230,-0.012650,0.371076
0.150000,0.528754,-0.007372,0.419158,0.498241,0.004125,0.372123,0.555223,-0.012632,0.371087
0.160000,0.528753,-0.007362,0.419171,0.498217,0.004099,0.372143,0.555217,-0.012676,0.371096
0.170000,0.528758,-0.007368,0.419184,0.498208,0.004059,0.372167,0.555213,-0.012681,0.371115
0.180000,0.528749,-0.007392,0.419188,0.498183,0.004002,0.372167,0.555191,-0.012709,0.371113
0.190000,0.528738,-0.007436,0.419190,0.498159,0.003957,0.372157,0.555161,-0.012740,0.371108
