Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.536543,0.128222,0.221381,0.496100,0.138062,0.179386,0.556037,0.125166,0.182113
0.010000,0.536547,0.128284,0.221361,0.496081,0.138103,0.179366,0.556020,0.125236,0.182075
0.020000,0.536529,0.128325,0.221342,0.496075,0.138183,0.179354,0.556005,0.125271,0.182060
0.030000,0.536510,0.128381,0.221342,0.496057,0.138189,0.179350,0.555988,0.125290,0.182044
0.040000,0.536481,0.128404,0.221349,0.496035,0.138239,0.179355,0.555963,0.125337,0.182061
0.050000,0.536440,0.128404,0.221367,0.495999,0.138237,0.179384,0.555929,0.125357,0.182089
0.060000,0.536410,0.128413,0.221395,0.495974,0.138266,0.179412,0.555906,0.125380,0.182118
0.070000,0.536391,0.128405,0.221431,0.495946,0.138271,0.179452,0.555880,0.125396,0.182158
0.080000,0.536380,0.128403,0.221460,0.495944,0.138294,0.179480,0.555877,0.125388,0.182190
0.090000,0.536384,0.128402,0.221486,0.495954,0.138302,0.179497,0.555877,0.125381,0.182204
0.100000,0.536395,0.128400,0.221484,0.495964,0.138324,0.179505,0.555880,0.125375,0.182201
0.110000,0.536413,0.128417,0.221475,0.495993,0.138348,0.179485,0.555892,0.125396,0.182203
0.120000,0.536438,0.128434,0.221463,0.496011,0.138373,0.179480,0.555914,0.125369,0.182197
0.130000,0.536436,0.128438,0.221458,0.496013,0.138379,0.179473,0.555925,0.125372,0.182186
0.140000,0.536425,0.128458,0.221450,0.496002,0.138380,0.179465,0.555904,0.125383,0.182173
0.150000,0.536407,0.128472,0.221434,0.495984,0.138399,0.179453,0.555900,0.125395,0.182169
0.160000,0.536368,0.128506,0.221429,0.495948,0.138414,0.179439,0.555868,0.125424,0.182161
0.170000,0.536324,0.128527,0.221404,0.495897,0.138433,0.179408,0.555833,0.125450,0.182133
0.180000,0.536288,0.128558,0.221366,0.495848,0.138424,0.179361,0.555790,0.125479,0.182091
0.190000,0.536259,0.128591,0.221314,0.495804,0.138442,0.179317,0.555770,0.125487,0.182048
0.200000,0.536245,0.128618,0.221260,0.495782,0.138462,0.179265,0.555742,0.125529,0.182001
0.210000,0.536229,0.128659,0.221211,0.495781,0.138497,0.179225,0.555718,0.125561,0.181951
0.220000,0.536219,0.128659,0.221168,0.495767,0.138481,0.179187,0.555694,0.125560,0.181912
0.230000,0.536199,0.128684,0.221128,0.495752,0.138554,0.179159,0.555679,0.125564,0.181865
0.240000,0.536182,0.128709,0.221086,0.495714,0.138549,0.179121,0.555652,0.125590,0.181820
0.250000,0.536147,0.128721,0.221043,0.495672,0.138588,0.179086,0.555620,0.125597,0.181776
0.260000,0.536112,0.128725,0.220997,0.495619,0.138595,0.179039,0.555568,0.125619,0.181724
0.270000,0.536072,0.128743,0.220953,0.495567,0.138620,0.178989,0.555517,0.125629,0.181678
0.280000,0.536027,0.128769,0.220907,0.495512,0.138657,0.178956,0.555467,0.125674,0.181646
0.290000,0.535977,0.128800,0.220878,0.495447,0.138681,0.178911,0.555425,0.125677,0.181615
0.300000,0.535932,0.128796,0.220849,0.495387,0.138685,0.178872,0.555366,0.125723,0.181568
0.310000,0.535896,0.128791,0.220815,0.495344,0.138718,0.178854,0.555312,0.125722,0.181527
0.320000,0.535839,0.128805,0.220759,0.495287,0.138751,0.178837,0.555263,0.125735,0.181509
0.330000,0.535820,0.128770,0.220713,0.495250,0.138767,0.178806,0.555188,0.125731,0.181442
0.340000,0.535786,0.128758,0.220693,0.495204,0.138772,0.178787,0.555159,0.125743,0.181407
0.350000,0.535763,0.128745,0.220657,0.495163,0.138797,0.178764,0.555129,0.125724,0.181381
0.360000,0.535727,0.128728,0.220605,0.495122,0.138800,0.178739,0.555083,0.125708,0.181330
0.370000,0.535681,0.128716,0.220576,0.495069,0.138799,0.178705,0.554936,0.125766,0.181227
0.380000,0.535622,0.128705,0.220543,0.494988,0.138782,0.178674,0.554849,0.125745,0.181168
0.390000,0.535558,0.128695,0.220506,0.494918,0.138775,0.178651,0.554796,0.125734,0.181140
0.400000,0.535498,0.128691,0.220470,0.494825,0.138784,0.178617,0.554698,0.125674,0.181094
0.410000,0.535440,0.128675,0.220415,0.494766,0.138770,0.178589,0.554647,0.125669,0.181057
0.420000,0.535400,0.128670,0.220358,0.494703,0.138756,0.178545,0.554591,0.125665,0.181025
0.430000,0.535347,0.128673,0.220317,0.494629,0.138818,0.178498,0.554546,0.125672,0.180993
0.440000,0.535295,0.128699,0.220272,0.494582,0.138777,0.178458,0.554501,0.125642,0.180950
0.450000,0.535250,0.128714,0.220234,0.494548,0.138757,0.178420,0.554460,0.125630,0.180924
0.460000,0.535220,0.128694,0.220212,0.494503,0.138763,0.178398,0.554420,0.125601,0.180902
0.470000,0.535172,0.128695,0.220200,0.494451,0.138728,0.178386,0.554379,0.125601,0.180889
0.480000,0.535138,0.128666,0.220198,0.494415,0.138681,0.178384,0.554323,0.125555,0.180884
0.490000,0.535104,0.128608,0.220195,0.494379,0.138654,0.178386,0.554306,0.125489,0.180899
0.500000,0.535051,0.128609,0.220208,0.494339,0.138626,0.178384,0.554266,0.125486,0.180890
0.510000,0.535018,0.128594,0.220205,0.494284,0.138598,0.178394,0.554234,0.125441,0.180900
0.520000,0.534984,0.128582,0.220210,0.494254,0.138581,0.178391,0.554196,0.125430,0.180893
0.530000,0.534950,0.128538,0.220214,0.494226,0.138574,0.178400,0.554172,0.125415,0.180905
0.540000,0.534901,0.128541,0.220217,0.494197,0.138555,0.178396,0.554130,0.125409,0.180906
0.550000,0.534883,0.128523,0.220236,0.494178,0.138544,0.178412,0.554102,0.125375,0.180918
0.560000,0.534844,0.128510,0.220238,0.494163,0.138537,0.178425,0.554086,0.125372,0.180932
0.570000,0.534849,0.128489,0.220250,0.494144,0.138509,0.178419,0.554070,0.125377,0.180945
0.580000,0.534832,0.128488,0.220251,0.494134,0.138503,0.178429,0.554043,0.125380,0.180941
0.590000,0.534823,0.128510,0.220261,0.494118,0.138515,0.178439,0.554046,0.125361,0.180950
0.600000,0.534803,0.128492,0.220265,0.494106,0.138518,0.178448,0.554037,0.125360,0.180955
0.610000,0.534789,0.128523,0.220273,0.494098,0.138538,0.178446,0.554015,0.125398,0.180952
0.620000,0.534780,0.128531,0.220274,0.494085,0.138556,0.178455,0.554018,0.125398,0.180961
0.630000,0.534772,0.128568,0.220271,0.494077,0.138594,0.178459,0.554007,0.125414,0.180958
0.640000,0.534763,0.128583,0.220278,0.494074,0.138634,0.178474,0.553990,0.125452,0.180962
0.650000,0.534763,0.128621,0.220275,0.494060,0.138640,0.178463,0.553979,0.125482,0.180958
0.660000,0.534746,0.128688,0.220255,0.494060,0.138721,0.178462,0.553986,0.125519,0.180944
0.670000,0.534750,0.128744,0.220238,0.494057,0.138766,0.178449,0.553977,0.125577,0.180925
0.680000,0.534748,0.128807,0.220228,0.494057,0.138817,0.178423,0.553983,0.125616,0.180913
0.690000,0.534755,0.128865,0.220201,0.494059,0.138904,0.178404,0.553980,0.125660,0.180885
0.700000,0.534749,0.128905,0.220178,0.494051,0.138949,0.178385,0.553965,0.125724,0.180864
0.710000,0.534756,0.128954,0.220182,0.494054,0.138979,0.178378,0.553976,0.125724,0.180876
0.720000,0.534753,0.128983,0.220176,0.494054,0.139011,0.178379,0.553951,0.125799,0.180855
0.730000,0.534751,0.128999,0.220173,0.494049,0.139032,0.178379,0.553962,0.125821,0.180854
0.740000,0.534753,0.129020,0.220172,0.494045,0.139041,0.178379,0.553948,0.125835,0.180845
0.750000,0.534747,0.129030,0.220163,0.494041,0.139074,0.178374,0.553949,0.125850,0.180839
0.760000,0.534738,0.129030,0.220163,0.494038,0.139065,0.178376,0.553936,0.125837,0.180841
0.770000,0.534732,0.129003,0.220166,0.494036,0.139071,0.178383,0.553939,0.125842,0.180840
0.780000,0.534728,0.128990,0.220177,0.494029,0.139048,0.178397,0.553932,0.125807,0.180853
0.790000,0.534724,0.128950,0.220203,0.494024,0.139030,0.178412,0.553924,0.125793,0.180864
