Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.005164,0.089743,0.394962,0.033366,0.037368,0.405660,-0.025233,0.054061,0.397075
0.010000,0.005265,0.089668,0.394934,0.033456,0.037296,0.405604,-0.025120,0.054022,0.397065
0.020000,0.005396,0.089573,0.394893,0.033577,0.037247,0.405549,-0.025008,0.053993,0.397056
0.030000,0.005534,0.089558,0.394883,0.033700,0.037209,0.405498,-0.024875,0.053977,0.397061
0.040000,0.005666,0.089524,0.394836,0.033823,0.037149,0.405438,-0.024709,0.053926,0.397050
0.050000,0.005800,0.089452,0.394800,0.033947,0.037093,0.405379,-0.024563,0.053898,0.397047
0.060000,0.005923,0.089355,0.394692,0.034095,0.037103,0.405321,-0.025363,0.055591,0.397471
0.070000,0.006068,0.089352,0.394665,0.034239,0.037031,0.405273,-0.025252,0.055578,0.397460
0.080000,0.006233,0.089271,0.394628,0.034356,0.036960,0.405230,-0.024017,0.052901,0.395862
0.090000,0.006335,0.089211,0.394562,0.034494,0.036945,0.405176,-0.023895,0.052901,0.395891
0.100000,0.006464,0.089217,0.394526,0.034622,0.036922,0.405114,-0.023787,0.052905,0.395893
0.110000,0.006569,0.089210,0.394477,0.034749,0.036881,0.405046,-0.023679,0.053561,0.396655
0.120000,0.006687,0.089116,0.394403,0.034862,0.036825,0.404973,-0.023570,0.053568,0.396636
0.130000,0.006790,0.089096,0.394355,0.034980,0.036800,0.404916,-0.023473,0.053517,0.396604
0.140000,0.006908,0.089026,0.394287,0.035082,0.036763,0.404849,-0.023410,0.053533,0.396618
0.150000,0.006984,0.089007,0.394262,0.035164,0.036694,0.404780,-0.023321,0.053503,0.396596
0.160000,0.007062,0.088968,0.394225,0.035261,0.036703,0.404730,-0.023254,0.053474,0.396574
0.170000,0.007122,0.088953,0.394194,0.035369,0.036680,0.404699,-0.023187,0.053469,0.396564
0.180000,0.007180,0.088939,0.394168,0.035417,0.036620,0.404642,-0.023150,0.053449,0.396547
