Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.558558,0.021394,0.295503,0.515961,0.021332,0.259366,0.574381,0.013070,0.256035
0.010000,0.558552,0.021519,0.295455,0.515961,0.021406,0.259311,0.574388,0.013172,0.255982
0.020000,0.558570,0.021601,0.295417,0.515973,0.021481,0.259273,0.574413,0.013264,0.255937
0.030000,0.558587,0.021711,0.295366,0.515998,0.021565,0.259230,0.574438,0.013343,0.255892
0.040000,0.558623,0.021810,0.295322,0.516025,0.021642,0.259179,0.574459,0.013443,0.255836
0.050000,0.558641,0.021923,0.295278,0.516081,0.021735,0.259113,0.574480,0.013517,0.255782
0.060000,0.558685,0.022024,0.295233,0.516146,0.021370,0.258714,0.574526,0.013630,0.255732
0.070000,0.558710,0.022120,0.295196,0.516137,0.021886,0.259001,0.574531,0.013735,0.255693
0.080000,0.558756,0.022230,0.295155,0.516163,0.021975,0.258991,0.574570,0.013844,0.255654
0.090000,0.558776,0.022346,0.295128,0.516211,0.021623,0.258603,0.574583,0.013950,0.255629
0.100000,0.558815,0.022429,0.295115,0.516252,0.021657,0.258570,0.574616,0.013997,0.255595
0.110000,0.558833,0.022523,0.295089,0.516261,0.021712,0.258541,0.574643,0.014106,0.255554
0.120000,0.558864,0.022597,0.295072,0.516308,0.021789,0.258518,0.574655,0.014208,0.255547
0.130000,0.558900,0.022673,0.295047,0.516338,0.021851,0.258494,0.574705,0.014276,0.255497
0.140000,0.558950,0.022752,0.295023,0.516379,0.021917,0.258484,0.574732,0.014333,0.255488
0.150000,0.558972,0.022810,0.295017,0.516420,0.021970,0.258469,0.574798,0.014471,0.255458
0.160000,0.559006,0.022871,0.294996,0.516442,0.022013,0.258459,0.574813,0.014536,0.255447
0.170000,0.559036,0.022920,0.294995,0.516462,0.022057,0.258452,0.574841,0.014578,0.255446
0.180000,0.559065,0.022985,0.294996,0.516487,0.022111,0.258451,0.574861,0.014645,0.255434
0.190000,0.559087,0.023057,0.294986,0.516507,0.022172,0.258457,0.574888,0.014698,0.255421
0.200000,0.559108,0.023109,0.294968,0.516522,0.022197,0.258443,0.574903,0.014774,0.255417
0.210000,0.559139,0.023130,0.294959,0.516572,0.022282,0.258453,0.574923,0.014877,0.255389
0.220000,0.559143,0.023208,0.294951,0.516579,0.022317,0.258449,0.574940,0.014936,0.255393
0.230000,0.559175,0.023248,0.294936,0.516631,0.021957,0.258516,0.574956,0.014963,0.255363
0.240000,0.559205,0.023330,0.294939,0.516625,0.022396,0.258415,0.574971,0.015042,0.255359
0.250000,0.559237,0.023396,0.294909,0.516659,0.022416,0.258408,0.574990,0.015090,0.255353
0.260000,0.559270,0.023498,0.294880,0.516692,0.022548,0.258389,0.575017,0.015143,0.255333
0.270000,0.559311,0.023539,0.294857,0.516732,0.022581,0.258371,0.575067,0.015226,0.255326
0.280000,0.559348,0.023611,0.294834,0.516775,0.022610,0.258349,0.575098,0.015293,0.255293
0.290000,0.559388,0.023715,0.294807,0.516799,0.022672,0.258323,0.575132,0.015349,0.255263
0.300000,0.559425,0.023819,0.294777,0.516828,0.022702,0.258282,0.575155,0.015430,0.255229
0.310000,0.559456,0.023881,0.294727,0.516857,0.022371,0.258334,0.575220,0.015605,0.255215
0.320000,0.559481,0.023955,0.294691,0.516881,0.022414,0.258311,0.575235,0.015675,0.255175
0.330000,0.559496,0.024044,0.294641,0.516895,0.022521,0.258285,0.575231,0.015752,0.255126
0.340000,0.559521,0.024144,0.294619,0.516904,0.022571,0.258239,0.575265,0.015823,0.255098
0.350000,0.559537,0.024209,0.294563,0.516912,0.022618,0.258219,0.575273,0.015959,0.255045
0.360000,0.559544,0.024300,0.294519,0.516982,0.022464,0.258324,0.575276,0.016015,0.255013
0.370000,0.559558,0.024393,0.294495,0.517075,0.023287,0.258664,0.575303,0.016067,0.254907
0.380000,0.559581,0.024459,0.294421,0.517072,0.023354,0.258628,0.575324,0.016152,0.254866
0.390000,0.559582,0.024625,0.294382,0.516970,0.023112,0.258110,0.575315,0.016253,0.254828
0.400000,0.559580,0.024686,0.294323,0.516956,0.023162,0.258069,0.575321,0.016299,0.254774
0.410000,0.559582,0.024762,0.294283,0.516954,0.023242,0.258035,0.575323,0.016398,0.254745
0.420000,0.559585,0.024840,0.294217,0.516907,0.023845,0.258326,0.575299,0.016450,0.254677
0.430000,0.559562,0.024944,0.294153,0.516922,0.023393,0.257910,0.575905,0.015660,0.254797
0.440000,0.559558,0.024990,0.294101,0.516902,0.023444,0.257862,0.575897,0.015733,0.254742
0.450000,0.559538,0.025098,0.294052,0.516870,0.023538,0.257823,0.575858,0.015830,0.254693
0.460000,0.559513,0.025165,0.293990,0.516845,0.023608,0.257771,0.575825,0.015907,0.254632
0.470000,0.559492,0.025241,0.293930,0.516740,0.024500,0.257961,0.575778,0.015958,0.254541
0.480000,0.559466,0.025329,0.293869,0.516779,0.023699,0.257657,0.575208,0.016868,0.254323
0.490000,0.559454,0.025390,0.293792,0.516735,0.023740,0.257579,0.575189,0.016934,0.254239
0.500000,0.559462,0.025432,0.293703,0.516726,0.023770,0.257515,0.575166,0.017011,0.254166
0.510000,0.559455,0.025489,0.293646,0.516725,0.023841,0.257465,0.575167,0.017087,0.254093
0.520000,0.559465,0.025570,0.293559,0.516707,0.023885,0.257410,0.575165,0.017146,0.254017
0.530000,0.559473,0.025628,0.293484,0.516666,0.024343,0.257266,0.575157,0.017222,0.253936
0.540000,0.559486,0.025687,0.293403,0.516678,0.024003,0.257263,0.575153,0.017263,0.253861
0.550000,0.559484,0.025750,0.293324,0.516664,0.024420,0.257119,0.575166,0.017344,0.253791
0.560000,0.559485,0.025825,0.293247,0.516634,0.024980,0.257403,0.575160,0.017455,0.253705
0.570000,0.559497,0.025908,0.293143,0.516655,0.024550,0.256993,0.575144,0.017505,0.253613
0.580000,0.559516,0.026016,0.293058,0.516638,0.025118,0.257266,0.575168,0.017599,0.253536
0.590000,0.559539,0.026104,0.292976,0.516679,0.024675,0.256828,0.575225,0.017710,0.253441
0.600000,0.559573,0.026183,0.292898,0.516712,0.024767,0.256752,0.575258,0.017827,0.253351
