Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.054833,0.095371,0.594132,0.092811,0.050344,0.594656,0.034697,0.041418,0.605063
0.010000,0.054859,0.095291,0.594104,0.092834,0.050242,0.594615,0.034727,0.041343,0.605053
0.020000,0.054878,0.095213,0.594086,0.092871,0.050148,0.594573,0.034749,0.041264,0.605033
0.030000,0.054943,0.094808,0.594194,0.092904,0.050057,0.594533,0.034785,0.041142,0.605002
0.040000,0.054985,0.094716,0.594159,0.092932,0.049952,0.594477,0.034817,0.041062,0.604994
0.050000,0.055022,0.094623,0.594131,0.092986,0.049836,0.594426,0.034858,0.040982,0.604972
0.060000,0.055065,0.094512,0.594107,0.093043,0.049731,0.594369,0.034914,0.040865,0.604960
0.070000,0.055108,0.094421,0.594081,0.093087,0.049603,0.594312,0.034955,0.040783,0.604949
0.080000,0.055157,0.094334,0.594063,0.093122,0.049516,0.594275,0.035000,0.040663,0.604946
0.090000,0.055209,0.094229,0.594068,0.093162,0.049422,0.594239,0.035034,0.040591,0.604946
0.100000,0.055247,0.094165,0.594042,0.093187,0.049301,0.594195,0.035074,0.040511,0.604937
0.110000,0.055277,0.094067,0.594029,0.093216,0.049218,0.594172,0.035097,0.040431,0.604928
0.120000,0.055309,0.093956,0.594009,0.093241,0.049110,0.594124,0.035122,0.040347,0.604897
0.130000,0.055331,0.093852,0.593969,0.093257,0.048993,0.594078,0.035144,0.040249,0.604871
0.140000,0.055351,0.093758,0.593945,0.093295,0.048891,0.594008,0.035156,0.040174,0.604841
0.150000,0.055401,0.093651,0.593902,0.093304,0.048789,0.593947,0.035184,0.040054,0.604805
0.160000,0.055425,0.093578,0.593866,0.093328,0.048703,0.593883,0.035206,0.039967,0.604772
0.170000,0.055440,0.093453,0.593831,0.093356,0.048612,0.593825,0.035222,0.039898,0.604744
0.180000,0.055463,0.093356,0.593815,0.093359,0.048533,0.593770,0.035250,0.039804,0.604700
0.190000,0.055467,0.093305,0.593770,0.093371,0.048452,0.593722,0.035261,0.039727,0.604681
