Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.193937,0.589242,0.611410,-0.169971,0.543367,0.585648,-0.170035,0.548918,0.644586
0.010000,-0.194026,0.589237,0.611597,-0.170025,0.543389,0.585817,-0.170117,0.548905,0.644765
0.020000,-0.194116,0.589248,0.611770,-0.170099,0.543405,0.586006,-0.170205,0.548893,0.644919
0.030000,-0.194209,0.589238,0.611950,-0.170180,0.543409,0.586180,-0.170284,0.548885,0.645080
0.040000,-0.194324,0.589243,0.612102,-0.170269,0.543434,0.586330,-0.170377,0.548884,0.645273
0.050000,-0.194445,0.589240,0.612252,-0.170375,0.543456,0.586473,-0.170472,0.548904,0.645406
0.060000,-0.194551,0.589274,0.612392,-0.170481,0.543490,0.586607,-0.170581,0.548932,0.645542
0.070000,-0.194704,0.589297,0.612522,-0.170615,0.543526,0.586750,-0.170676,0.548977,0.645672
0.080000,-0.194825,0.589345,0.612653,-0.170738,0.543582,0.586879,-0.170793,0.549049,0.645815
0.090000,-0.194958,0.589400,0.612790,-0.170852,0.543663,0.586997,-0.170918,0.549131,0.645949
0.100000,-0.195087,0.589462,0.612928,-0.170958,0.543761,0.587119,-0.171043,0.549199,0.646080
0.110000,-0.195231,0.589536,0.613071,-0.171063,0.543864,0.587254,-0.171145,0.549289,0.646212
0.120000,-0.195370,0.589628,0.613228,-0.171171,0.543966,0.587395,-0.171263,0.549385,0.646353
0.130000,-0.195513,0.589707,0.613392,-0.171277,0.544110,0.587550,-0.171410,0.549482,0.646513
0.140000,-0.195639,0.589805,0.613556,-0.171363,0.544221,0.587704,-0.171523,0.549579,0.646658
0.150000,-0.195753,0.589882,0.613726,-0.171448,0.544339,0.587863,-0.171625,0.549647,0.646815
0.160000,-0.195855,0.589945,0.613907,-0.171511,0.544416,0.588054,-0.171714,0.549684,0.647004
0.170000,-0.195936,0.589999,0.614083,-0.171546,0.544462,0.588219,-0.171796,0.549713,0.647160
0.180000,-0.195998,0.590032,0.614237,-0.171600,0.544470,0.588391,-0.171861,0.549738,0.647333
0.190000,-0.196049,0.590036,0.614407,-0.171641,0.544463,0.588561,-0.171901,0.549724,0.647489
0.200000,-0.196066,0.590031,0.614572,-0.171655,0.544455,0.588720,-0.171928,0.549714,0.647640
0.210000,-0.196081,0.590009,0.614745,-0.171658,0.544437,0.588870,-0.171936,0.549687,0.647783
0.220000,-0.196087,0.589951,0.614908,-0.171650,0.544407,0.589007,-0.171945,0.549662,0.647921
0.230000,-0.196080,0.589906,0.615059,-0.171637,0.544370,0.589139,-0.171946,0.549604,0.648068
0.240000,-0.196051,0.589859,0.615203,-0.171618,0.544306,0.589277,-0.171924,0.549575,0.648215
0.250000,-0.196020,0.589783,0.615354,-0.171579,0.544281,0.589396,-0.171907,0.549533,0.648335
0.260000,-0.195975,0.589755,0.615507,-0.171553,0.544250,0.589531,-0.171881,0.549470,0.648466
0.270000,-0.195939,0.589741,0.615637,-0.171508,0.544229,0.589652,-0.171874,0.549423,0.648593
0.280000,-0.195896,0.589739,0.615766,-0.171473,0.544235,0.589773,-0.171838,0.549399,0.648719
0.290000,-0.195867,0.589737,0.615873,-0.171427,0.544265,0.589877,-0.171807,0.549398,0.648813
0.300000,-0.195839,0.589774,0.615981,-0.171388,0.544305,0.589976,-0.171796,0.549410,0.648929
0.310000,-0.195815,0.589814,0.616081,-0.171354,0.544363,0.590075,-0.171781,0.549429,0.649014
0.320000,-0.195781,0.589855,0.616180,-0.171318,0.544420,0.590177,-0.171753,0.549470,0.649113
0.330000,-0.195767,0.589898,0.616266,-0.171293,0.544485,0.590260,-0.171738,0.549502,0.649184
0.340000,-0.195733,0.589936,0.616341,-0.171258,0.544535,0.590332,-0.171702,0.549542,0.649264
0.350000,-0.195686,0.589973,0.616414,-0.171203,0.544580,0.590398,-0.171666,0.549578,0.649342
0.360000,-0.195629,0.589999,0.616472,-0.171144,0.544604,0.590448,-0.171614,0.549597,0.649397
0.370000,-0.195572,0.590006,0.616517,-0.171065,0.544597,0.590497,-0.171562,0.549587,0.649435
0.380000,-0.195492,0.589993,0.616554,-0.170991,0.544576,0.590537,-0.171497,0.549575,0.649469
0.390000,-0.195406,0.589956,0.616575,-0.170912,0.544537,0.590564,-0.171416,0.549517,0.649499
0.400000,-0.195302,0.589906,0.616605,-0.170821,0.544465,0.590589,-0.171328,0.549437,0.649519
0.410000,-0.195176,0.589852,0.616627,-0.170738,0.544390,0.590610,-0.171245,0.549338,0.649549
0.420000,-0.195065,0.589764,0.616639,-0.170659,0.544306,0.590623,-0.171156,0.549221,0.649569
0.430000,-0.194923,0.589703,0.616654,-0.170580,0.544205,0.590636,-0.171071,0.549125,0.649585
0.440000,-0.194828,0.589621,0.616671,-0.170514,0.544118,0.590643,-0.170998,0.549018,0.649591
0.450000,-0.194731,0.589555,0.616691,-0.170452,0.544037,0.590657,-0.170935,0.548936,0.649605
0.460000,-0.194636,0.589510,0.616695,-0.170383,0.543978,0.590659,-0.170879,0.548877,0.649611
0.470000,-0.194575,0.589498,0.616697,-0.170334,0.543957,0.590660,-0.170833,0.548829,0.649622
0.480000,-0.194529,0.589501,0.616697,-0.170296,0.543959,0.590664,-0.170793,0.548850,0.649615
0.490000,-0.194502,0.589535,0.616694,-0.170267,0.543997,0.590657,-0.170768,0.548871,0.649621
0.500000,-0.194483,0.589581,0.616687,-0.170242,0.544044,0.590651,-0.170744,0.548936,0.649603
0.510000,-0.194459,0.589652,0.616687,-0.170229,0.544098,0.590647,-0.170727,0.548998,0.649597
0.520000,-0.194454,0.589723,0.616673,-0.170207,0.544186,0.590627,-0.170706,0.549069,0.649584
0.530000,-0.194442,0.589781,0.616663,-0.170188,0.544257,0.590619,-0.170685,0.549132,0.649580
0.540000,-0.194420,0.589839,0.616640,-0.170163,0.544303,0.590599,-0.170645,0.549204,0.649555
0.550000,-0.194382,0.589885,0.616616,-0.170115,0.544339,0.590582,-0.170618,0.549259,0.649516
0.560000,-0.194329,0.589901,0.616570,-0.170063,0.544354,0.590549,-0.170547,0.549298,0.649485
0.570000,-0.194270,0.589889,0.616527,-0.170020,0.544343,0.590511,-0.170466,0.549309,0.649427
0.580000,-0.194187,0.589875,0.616483,-0.169955,0.544298,0.590477,-0.170402,0.549280,0.649389
