Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.176400,0.582482,0.602439,-0.157054,0.533807,0.578038,-0.157670,0.540334,0.636885
0.010000,-0.176400,0.582483,0.602458,-0.157048,0.533803,0.578047,-0.157669,0.540321,0.636894
0.020000,-0.176394,0.582468,0.602466,-0.157027,0.533827,0.578031,-0.157678,0.540303,0.636889
0.030000,-0.176391,0.582465,0.602476,-0.157054,0.533790,0.578052,-0.157675,0.540295,0.636892
0.040000,-0.176390,0.582456,0.602479,-0.157042,0.533789,0.578053,-0.157673,0.540287,0.636901
0.050000,-0.176377,0.582446,0.602480,-0.157047,0.533777,0.578052,-0.157666,0.540277,0.636885
0.060000,-0.176374,0.582437,0.602472,-0.157041,0.533776,0.578045,-0.157665,0.540262,0.636897
0.070000,-0.176367,0.582431,0.602460,-0.157027,0.533768,0.578024,-0.157668,0.540253,0.636872
0.080000,-0.176352,0.582423,0.602447,-0.157009,0.533782,0.577993,-0.157665,0.540240,0.636857
0.090000,-0.176354,0.582422,0.602431,-0.157008,0.533758,0.577972,-0.157662,0.540237,0.636836
0.100000,-0.176347,0.582417,0.602404,-0.157025,0.533753,0.577964,-0.157663,0.540239,0.636817
0.110000,-0.176362,0.582435,0.602393,-0.157013,0.533785,0.577930,-0.157671,0.540245,0.636792
0.120000,-0.176372,0.582452,0.602367,-0.157025,0.533805,0.577897,-0.157672,0.540253,0.636760
0.130000,-0.176389,0.582470,0.602328,-0.157045,0.533810,0.577859,-0.157681,0.540257,0.636709
0.140000,-0.176407,0.582485,0.602283,-0.157056,0.533839,0.577801,-0.157680,0.540295,0.636658
0.150000,-0.176429,0.582492,0.602228,-0.157069,0.533858,0.577743,-0.157667,0.540335,0.636596
0.160000,-0.176455,0.582498,0.602165,-0.157095,0.533872,0.577678,-0.157662,0.540356,0.636536
0.170000,-0.176469,0.582512,0.602098,-0.157100,0.533883,0.577613,-0.157657,0.540366,0.636470
0.180000,-0.176478,0.582515,0.602033,-0.157110,0.533887,0.577534,-0.157651,0.540384,0.636392
0.190000,-0.176478,0.582510,0.601967,-0.157111,0.533880,0.577463,-0.157637,0.540403,0.636328
0.200000,-0.176480,0.582508,0.601915,-0.157117,0.533885,0.577410,-0.157627,0.540404,0.636275
0.210000,-0.176466,0.582503,0.601869,-0.157100,0.533876,0.577363,-0.157618,0.540398,0.636226
0.220000,-0.176458,0.582492,0.601822,-0.157098,0.533869,0.577316,-0.157608,0.540407,0.636181
0.230000,-0.176444,0.582491,0.601777,-0.157084,0.533867,0.577269,-0.157601,0.540404,0.636142
0.240000,-0.176433,0.582480,0.601730,-0.157071,0.533846,0.577232,-0.157594,0.540380,0.636085
0.250000,-0.176428,0.582473,0.601663,-0.157065,0.533832,0.577183,-0.157583,0.540385,0.636035
0.260000,-0.176414,0.582457,0.601611,-0.157058,0.533814,0.577127,-0.157587,0.540379,0.635987
0.270000,-0.176410,0.582450,0.601550,-0.157041,0.533807,0.577081,-0.157576,0.540376,0.635936
0.280000,-0.176402,0.582443,0.601496,-0.157042,0.533794,0.577021,-0.157570,0.540365,0.635882
0.290000,-0.176397,0.582438,0.601441,-0.157041,0.533774,0.576972,-0.157558,0.540373,0.635817
0.300000,-0.176396,0.582442,0.601380,-0.157060,0.533775,0.576917,-0.157561,0.540360,0.635770
0.310000,-0.176403,0.582471,0.601322,-0.157059,0.533761,0.576855,-0.157559,0.540364,0.635721
