Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.029838,0.123489,0.577142,0.060816,0.073785,0.574409,0.003221,0.072569,0.589670
0.010000,0.029872,0.123413,0.577090,0.060822,0.073701,0.574393,0.003167,0.072251,0.589904
0.020000,0.029941,0.123346,0.577063,0.060872,0.073622,0.574380,0.003214,0.072207,0.589924
0.030000,0.030038,0.123262,0.577045,0.060945,0.073485,0.574370,0.003308,0.072157,0.589964
0.040000,0.030175,0.123143,0.577019,0.061061,0.073396,0.574367,0.003428,0.072115,0.590030
0.050000,0.030368,0.123096,0.577023,0.061201,0.073263,0.574359,0.003662,0.072337,0.589847
0.060000,0.030541,0.123023,0.577035,0.061358,0.073160,0.574382,0.003844,0.072284,0.589922
0.070000,0.030716,0.122942,0.577056,0.061543,0.073048,0.574408,0.004018,0.072233,0.590006
0.080000,0.030895,0.123104,0.576941,0.061739,0.072953,0.574457,0.004214,0.072196,0.590103
0.090000,0.031096,0.122992,0.576971,0.061923,0.072854,0.574480,0.004414,0.072148,0.590187
0.100000,0.031364,0.122642,0.577156,0.062171,0.072774,0.574551,0.004627,0.072120,0.590264
0.110000,0.031599,0.122525,0.577210,0.062379,0.072679,0.574621,0.004851,0.072056,0.590353
0.120000,0.031830,0.122449,0.577289,0.062606,0.072607,0.574704,0.005092,0.071991,0.590439
0.130000,0.032090,0.122366,0.577358,0.062827,0.072498,0.574792,0.005316,0.071931,0.590534
0.140000,0.032488,0.122473,0.577487,0.063029,0.072410,0.574898,0.005548,0.071858,0.590666
0.150000,0.032693,0.122661,0.577421,0.063225,0.072299,0.574993,0.005758,0.071815,0.590788
0.160000,0.032861,0.122636,0.577516,0.063372,0.072230,0.575131,0.005950,0.071762,0.590920
0.170000,0.033006,0.122578,0.577613,0.063542,0.072233,0.575268,0.006085,0.071778,0.591048
0.180000,0.033089,0.122591,0.577688,0.063647,0.072260,0.575389,0.006201,0.071789,0.591126
0.190000,0.033147,0.122635,0.577755,0.063736,0.072315,0.575507,0.006261,0.071842,0.591170
