Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.512497,0.083346,0.529790,0.470558,0.061169,0.496700,0.525546,0.065109,0.476741
0.010000,0.512447,0.083218,0.529768,0.470464,0.061115,0.496630,0.525508,0.065002,0.476719
0.020000,0.512393,0.083100,0.529751,0.470394,0.061052,0.496577,0.525472,0.064891,0.476699
0.030000,0.512346,0.082965,0.529743,0.470360,0.060930,0.496538,0.525430,0.064758,0.476686
0.040000,0.512292,0.082799,0.529725,0.470305,0.060817,0.496512,0.525372,0.064637,0.476690
0.050000,0.512233,0.082633,0.529725,0.470220,0.060710,0.496505,0.525331,0.064494,0.476683
0.060000,0.512182,0.082490,0.529752,0.470158,0.060575,0.496499,0.525264,0.064368,0.476709
0.070000,0.512114,0.082366,0.529785,0.470091,0.060463,0.496525,0.525200,0.064250,0.476734
0.080000,0.512046,0.082219,0.529831,0.470018,0.060361,0.496572,0.525129,0.064131,0.476777
0.090000,0.511980,0.082089,0.529886,0.469918,0.060195,0.496616,0.525059,0.063987,0.476832
0.100000,0.511916,0.081970,0.529939,0.469850,0.060124,0.496667,0.524975,0.063881,0.476888
0.110000,0.511865,0.081827,0.530023,0.469781,0.060032,0.496722,0.524903,0.063754,0.476937
0.120000,0.511803,0.081734,0.530070,0.469706,0.059954,0.496783,0.524863,0.063611,0.477003
0.130000,0.511758,0.081630,0.530181,0.469665,0.059861,0.496829,0.524818,0.063490,0.477081
0.140000,0.511724,0.081534,0.530238,0.469608,0.059779,0.496880,0.524770,0.063343,0.477142
0.150000,0.511677,0.081402,0.530292,0.469578,0.059659,0.496929,0.524742,0.063227,0.477187
0.160000,0.511640,0.081293,0.530330,0.469524,0.059596,0.496982,0.524700,0.063102,0.477238
0.170000,0.511596,0.081211,0.530383,0.469480,0.059516,0.497019,0.524659,0.062965,0.477293
0.180000,0.511559,0.081116,0.530424,0.469434,0.059434,0.497070,0.524627,0.062842,0.477337
0.190000,0.511529,0.081042,0.530482,0.469396,0.059344,0.497124,0.524574,0.062784,0.477394
0.200000,0.511513,0.080929,0.530552,0.469371,0.059261,0.497191,0.524556,0.062626,0.477486
0.210000,0.511506,0.080861,0.530610,0.469366,0.059192,0.497256,0.524552,0.062552,0.477545
0.220000,0.511542,0.080793,0.530655,0.469377,0.059133,0.497327,0.524564,0.062481,0.477608
0.230000,0.511572,0.080723,0.530709,0.469399,0.059084,0.497391,0.524582,0.062408,0.477662
0.240000,0.511618,0.080659,0.530746,0.469442,0.059032,0.497447,0.524614,0.062356,0.477703
0.250000,0.511659,0.080621,0.530769,0.469472,0.058986,0.497492,0.524646,0.062291,0.477734
0.260000,0.511719,0.080586,0.530795,0.469509,0.058957,0.497527,0.524692,0.062244,0.477760
0.270000,0.511764,0.080572,0.530809,0.469544,0.058935,0.497559,0.524720,0.062221,0.477773
0.280000,0.511825,0.080564,0.530824,0.469642,0.058889,0.497605,0.524775,0.062189,0.477790
0.290000,0.511928,0.080551,0.530829,0.469697,0.058881,0.497644,0.524837,0.062198,0.477805
0.300000,0.512033,0.080581,0.530847,0.469816,0.058882,0.497676,0.524917,0.062204,0.477825
0.310000,0.512160,0.080599,0.530849,0.469932,0.058919,0.497719,0.525040,0.062231,0.477833
0.320000,0.512296,0.080683,0.530868,0.470087,0.058929,0.497742,0.525158,0.062282,0.477856
0.330000,0.512461,0.080768,0.530872,0.470233,0.059023,0.497781,0.525313,0.062350,0.477867
0.340000,0.512597,0.080846,0.530872,0.470378,0.059069,0.497801,0.525436,0.062443,0.477866
0.350000,0.512747,0.080926,0.530885,0.470530,0.059157,0.497817,0.525604,0.062593,0.477864
0.360000,0.512898,0.081033,0.530886,0.470705,0.059311,0.497837,0.525773,0.062740,0.477848
0.370000,0.513064,0.081162,0.530892,0.470884,0.059417,0.497842,0.525933,0.062904,0.477847
0.380000,0.513235,0.081284,0.530870,0.471061,0.059502,0.497843,0.526100,0.063047,0.477803
0.390000,0.513416,0.081409,0.530846,0.471249,0.059603,0.497838,0.526262,0.063164,0.477776
0.400000,0.513579,0.081540,0.530816,0.471428,0.059738,0.497802,0.526423,0.063271,0.477749
0.410000,0.513766,0.081687,0.530776,0.471584,0.059859,0.497762,0.526610,0.063413,0.477693
0.420000,0.513936,0.081782,0.530738,0.471747,0.059984,0.497689,0.526780,0.063547,0.477656
0.430000,0.514079,0.081886,0.530684,0.471892,0.060084,0.497623,0.526944,0.063667,0.477617
0.440000,0.514223,0.081988,0.530635,0.472039,0.060192,0.497540,0.527104,0.063758,0.477572
0.450000,0.514373,0.082080,0.530584,0.472194,0.060263,0.497459,0.527255,0.063821,0.477521
0.460000,0.514494,0.082140,0.530531,0.472320,0.060321,0.497394,0.527387,0.063892,0.477481
0.470000,0.514632,0.082191,0.530510,0.472466,0.060347,0.497344,0.527507,0.063945,0.477438
0.480000,0.514700,0.082196,0.530468,0.472558,0.060384,0.497270,0.527612,0.063977,0.477408
0.490000,0.514752,0.082112,0.530439,0.472638,0.060333,0.497209,0.527699,0.063919,0.477367
0.500000,0.514779,0.082037,0.530403,0.472680,0.060295,0.497140,0.527756,0.063888,0.477324
0.510000,0.514793,0.081913,0.530356,0.472705,0.060197,0.497079,0.527780,0.063739,0.477293
0.520000,0.514812,0.081734,0.530321,0.472727,0.060054,0.497003,0.527792,0.063605,0.477254
0.530000,0.514811,0.081562,0.530283,0.472721,0.059909,0.496947,0.527792,0.063434,0.477211
0.540000,0.514782,0.081356,0.530233,0.472690,0.059757,0.496882,0.527782,0.063244,0.477174
0.550000,0.514730,0.081153,0.530194,0.472649,0.059589,0.496829,0.527737,0.063042,0.477130
0.560000,0.514675,0.080936,0.530173,0.472574,0.059420,0.496777,0.527667,0.062822,0.477109
0.570000,0.514588,0.080692,0.530138,0.472489,0.059234,0.496751,0.527587,0.062605,0.477077
0.580000,0.514479,0.080437,0.530115,0.472352,0.058988,0.496718,0.527473,0.062373,0.477052
0.590000,0.514341,0.080175,0.530096,0.472216,0.058825,0.496710,0.527348,0.062148,0.477039
0.600000,0.514228,0.079938,0.530090,0.472070,0.058602,0.496711,0.527242,0.061871,0.477067
0.610000,0.514107,0.079733,0.530080,0.471907,0.058415,0.496702,0.527108,0.061672,0.477061
0.620000,0.514008,0.079515,0.530071,0.471776,0.058206,0.496708,0.526969,0.061390,0.477044
0.630000,0.513907,0.079286,0.530041,0.471630,0.057981,0.496711,0.526847,0.061186,0.477036
0.640000,0.513766,0.079147,0.530029,0.471511,0.057804,0.496722,0.526719,0.060975,0.477023
0.650000,0.513665,0.079007,0.530023,0.471381,0.057676,0.496749,0.526551,0.060770,0.477020
0.660000,0.513547,0.078846,0.530030,0.471248,0.057544,0.496766,0.526392,0.060603,0.477039
0.670000,0.513440,0.078748,0.530039,0.471122,0.057434,0.496796,0.526254,0.060471,0.477028
0.680000,0.513357,0.078701,0.530037,0.471001,0.057342,0.496834,0.526135,0.060362,0.477028
0.690000,0.513292,0.078635,0.530053,0.470891,0.057335,0.496883,0.526020,0.060303,0.477017
0.700000,0.513230,0.078614,0.530039,0.470818,0.057297,0.496906,0.525929,0.060252,0.477028
0.710000,0.513171,0.078638,0.530030,0.470739,0.057287,0.496924,0.525847,0.060255,0.477013
0.720000,0.513092,0.078731,0.530036,0.470668,0.057305,0.496937,0.525770,0.060266,0.477015
0.730000,0.512994,0.078782,0.530042,0.470581,0.057316,0.496960,0.525684,0.060284,0.477029
0.740000,0.512916,0.078859,0.530074,0.470508,0.057358,0.496980,0.525609,0.060326,0.477056
0.750000,0.512827,0.078934,0.530105,0.470439,0.057402,0.497023,0.525537,0.060403,0.477093
0.760000,0.512747,0.079027,0.530164,0.470381,0.057482,0.497078,0.525474,0.060484,0.477154
0.770000,0.512679,0.079127,0.530228,0.470317,0.057561,0.497145,0.525405,0.060577,0.477240
0.780000,0.512622,0.079199,0.530317,0.470281,0.057654,0.497229,0.525376,0.060692,0.477312
0.790000,0.512563,0.079304,0.530389,0.470243,0.057735,0.497298,0.525348,0.060785,0.477396
0.800000,0.512540,0.079381,0.530468,0.470228,0.057849,0.497379,0.525323,0.060847,0.477500
0.810000,0.512510,0.079516,0.530552,0.470210,0.057948,0.497459,0.525334,0.060960,0.477592
0.820000,0.512490,0.079564,0.530639,0.470196,0.058020,0.497533,0.525332,0.061048,0.477704
0.830000,0.512458,0.079683,0.530765,0.470187,0.058110,0.497623,0.525329,0.061085,0.477832
0.840000,0.512403,0.079745,0.530879,0.470169,0.058186,0.497727,0.525315,0.061185,0.477965
