Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.049317,0.118936,0.585243,0.084505,0.072737,0.576634,0.028323,0.065331,0.594180
0.010000,0.049355,0.118715,0.585334,0.084529,0.072783,0.576638,0.028359,0.065400,0.594205
0.020000,0.049353,0.118764,0.585322,0.084547,0.072856,0.576642,0.028380,0.065472,0.594217
0.030000,0.049371,0.118824,0.585302,0.084581,0.072918,0.576651,0.028418,0.065525,0.594235
0.040000,0.049388,0.118897,0.585298,0.084635,0.073008,0.576672,0.028457,0.065612,0.594247
0.050000,0.049411,0.118991,0.585271,0.084685,0.073111,0.576688,0.028504,0.065678,0.594267
0.060000,0.049503,0.119131,0.585304,0.084749,0.073194,0.576704,0.028576,0.065759,0.594287
0.070000,0.049571,0.119215,0.585282,0.085091,0.073683,0.576645,0.028670,0.065859,0.594318
0.080000,0.049659,0.119341,0.585258,0.085206,0.073801,0.576648,0.028769,0.065952,0.594341
0.090000,0.049742,0.119436,0.585244,0.085313,0.073895,0.576626,0.028889,0.066063,0.594379
0.100000,0.049841,0.119557,0.585217,0.085449,0.074043,0.576604,0.029033,0.066181,0.594411
0.110000,0.049926,0.119658,0.585172,0.085554,0.074182,0.576571,0.029178,0.065752,0.594966
0.120000,0.050010,0.119776,0.585130,0.085465,0.073978,0.576519,0.029358,0.066166,0.594730
0.130000,0.050134,0.119950,0.585051,0.085531,0.074083,0.576470,0.029418,0.065965,0.594960
0.140000,0.050177,0.120034,0.585005,0.085585,0.074150,0.576424,0.029492,0.066041,0.594939
0.150000,0.050206,0.120104,0.584972,0.085613,0.074232,0.576391,0.029537,0.066126,0.594900
0.160000,0.050224,0.120197,0.584922,0.085615,0.074287,0.576353,0.029572,0.066184,0.594850
0.170000,0.050201,0.120242,0.584862,0.085626,0.074358,0.576303,0.029566,0.066250,0.594780
0.180000,0.050182,0.120310,0.584789,0.085598,0.074397,0.576265,0.029564,0.066273,0.594716
0.190000,0.050148,0.120326,0.584726,0.085596,0.074445,0.576208,0.029547,0.066307,0.594644
0.200000,0.050116,0.120648,0.584497,0.085578,0.074475,0.576150,0.029546,0.066312,0.594580
0.210000,0.050085,0.120673,0.584425,0.085563,0.074520,0.576074,0.029546,0.066312,0.594509
0.220000,0.050032,0.120687,0.584347,0.085549,0.074523,0.575999,0.029594,0.066618,0.594199
0.230000,0.050003,0.120660,0.584274,0.085528,0.074532,0.575921,0.029545,0.066313,0.594390
0.240000,0.049967,0.120645,0.584198,0.085519,0.074533,0.575829,0.029601,0.066598,0.594074
0.250000,0.049911,0.120675,0.584089,0.085474,0.074506,0.575714,0.029581,0.066575,0.594005
0.260000,0.049846,0.120684,0.583990,0.085427,0.074503,0.575603,0.029562,0.066559,0.593931
0.270000,0.049786,0.120688,0.583885,0.085368,0.074523,0.575474,0.029455,0.066796,0.593557
