Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.207652,0.615874,0.684709,-0.183203,0.573878,0.653623,-0.175008,0.577017,0.712097
0.010000,-0.207698,0.615898,0.684710,-0.183252,0.573920,0.653628,-0.175049,0.577037,0.712099
0.020000,-0.207761,0.615930,0.684698,-0.183288,0.573945,0.653622,-0.175104,0.577086,0.712089
0.030000,-0.207821,0.615953,0.684686,-0.183316,0.574008,0.653601,-0.175145,0.577115,0.712085
0.040000,-0.207888,0.615991,0.684660,-0.183413,0.574033,0.653602,-0.175195,0.577150,0.712067
0.050000,-0.207964,0.616019,0.684641,-0.183468,0.574081,0.653577,-0.175243,0.577186,0.712044
0.060000,-0.208025,0.616055,0.684614,-0.183527,0.574102,0.653559,-0.175297,0.577213,0.712015
0.070000,-0.208098,0.616074,0.684588,-0.183575,0.574131,0.653531,-0.175343,0.577238,0.711992
0.080000,-0.208183,0.616063,0.684571,-0.183634,0.574156,0.653507,-0.175385,0.577262,0.711961
0.090000,-0.208257,0.616088,0.684557,-0.183664,0.574229,0.653463,-0.175424,0.577273,0.711933
0.100000,-0.208300,0.616097,0.684545,-0.183709,0.574253,0.653443,-0.175463,0.577298,0.711907
0.110000,-0.208345,0.616131,0.684523,-0.183755,0.574276,0.653418,-0.175497,0.577302,0.711869
0.120000,-0.208381,0.616139,0.684507,-0.183798,0.574279,0.653394,-0.175527,0.577314,0.711840
0.130000,-0.208422,0.616157,0.684485,-0.183823,0.574305,0.653352,-0.175552,0.577332,0.711815
0.140000,-0.208454,0.616172,0.684464,-0.183899,0.574328,0.653347,-0.175580,0.577337,0.711783
0.150000,-0.208487,0.616188,0.684450,-0.183928,0.574344,0.653325,-0.175601,0.577374,0.711755
0.160000,-0.208521,0.616197,0.684438,-0.183954,0.574386,0.653284,-0.175618,0.577378,0.711729
0.170000,-0.208549,0.616203,0.684425,-0.183984,0.574400,0.653267,-0.175637,0.577401,0.711706
0.180000,-0.208576,0.616215,0.684410,-0.184000,0.574412,0.653259,-0.175654,0.577419,0.711691
0.190000,-0.208587,0.616219,0.684404,-0.184018,0.574413,0.653249,-0.175667,0.577439,0.711683
0.200000,-0.208601,0.616229,0.684392,-0.184030,0.574414,0.653239,-0.175673,0.577432,0.711672
0.210000,-0.208610,0.616234,0.684377,-0.184041,0.574424,0.653233,-0.175682,0.577448,0.711666
0.220000,-0.208620,0.616238,0.684368,-0.184047,0.574423,0.653220,-0.175683,0.577441,0.711648
0.230000,-0.208625,0.616235,0.684357,-0.184044,0.574430,0.653205,-0.175693,0.577453,0.711642
0.240000,-0.208636,0.616248,0.684345,-0.184048,0.574435,0.653198,-0.175691,0.577472,0.711619
0.250000,-0.208636,0.616241,0.684330,-0.184051,0.574431,0.653185,-0.175690,0.577472,0.711603
0.260000,-0.208625,0.616235,0.684324,-0.184059,0.574423,0.653170,-0.175684,0.577473,0.711592
0.270000,-0.208629,0.616247,0.684303,-0.184046,0.574429,0.653152,-0.175676,0.577476,0.711581
0.280000,-0.208629,0.616231,0.684290,-0.184045,0.574425,0.653136,-0.175668,0.577499,0.711571
0.290000,-0.208619,0.616242,0.684270,-0.184049,0.574421,0.653112,-0.175668,0.577483,0.711541
0.300000,-0.208614,0.616245,0.684246,-0.184042,0.574429,0.653102,-0.175663,0.577488,0.711522
