Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.222583,0.618853,0.665923,-0.195306,0.576518,0.637964,-0.189993,0.582527,0.696572
0.010000,-0.222649,0.618858,0.665843,-0.195376,0.576542,0.637880,-0.190042,0.582551,0.696491
0.020000,-0.222706,0.618880,0.665758,-0.195462,0.576525,0.637828,-0.190091,0.582561,0.696417
0.030000,-0.222756,0.618889,0.665686,-0.195481,0.576575,0.637747,-0.190131,0.582581,0.696349
0.040000,-0.222808,0.618891,0.665623,-0.195528,0.576580,0.637688,-0.190189,0.582578,0.696274
0.050000,-0.222853,0.618907,0.665564,-0.195576,0.576589,0.637624,-0.190651,0.582701,0.695866
0.060000,-0.222896,0.618923,0.665510,-0.195614,0.576607,0.637579,-0.190505,0.582644,0.695977
0.070000,-0.222931,0.618938,0.665456,-0.195651,0.576613,0.637532,-0.190724,0.582737,0.695748
0.080000,-0.222959,0.618946,0.665405,-0.195679,0.576622,0.637478,-0.190758,0.582749,0.695701
0.090000,-0.222993,0.618980,0.665359,-0.195709,0.576632,0.637428,-0.190770,0.582757,0.695644
0.100000,-0.223030,0.618968,0.665296,-0.195735,0.576644,0.637378,-0.190789,0.582772,0.695585
0.110000,-0.223051,0.618975,0.665245,-0.195752,0.576652,0.637327,-0.190802,0.582781,0.695534
0.120000,-0.223071,0.618991,0.665183,-0.195771,0.576644,0.637267,-0.190805,0.582793,0.695480
0.130000,-0.223077,0.618988,0.665120,-0.195782,0.576649,0.637202,-0.190396,0.582702,0.695776
0.140000,-0.223086,0.618991,0.665057,-0.195804,0.576635,0.637141,-0.190388,0.582712,0.695719
0.150000,-0.223087,0.619012,0.664981,-0.195811,0.576639,0.637080,-0.190389,0.582732,0.695657
0.160000,-0.223091,0.619005,0.664913,-0.195827,0.576638,0.637010,-0.190385,0.582738,0.695596
0.170000,-0.223102,0.619011,0.664849,-0.195830,0.576631,0.636946,-0.190389,0.582754,0.695526
0.180000,-0.223112,0.619010,0.664779,-0.195844,0.576626,0.636882,-0.190384,0.582769,0.695472
0.190000,-0.223119,0.619017,0.664706,-0.195859,0.576620,0.636820,-0.190378,0.582781,0.695399
0.200000,-0.223123,0.619022,0.664631,-0.195870,0.576628,0.636747,-0.190382,0.582783,0.695330
0.210000,-0.223130,0.619014,0.664557,-0.195883,0.576611,0.636670,-0.190365,0.582804,0.695258
0.220000,-0.223132,0.619019,0.664469,-0.195893,0.576616,0.636591,-0.190368,0.582802,0.695174
0.230000,-0.223132,0.619014,0.664385,-0.195906,0.576599,0.636511,-0.190365,0.582809,0.695098
0.240000,-0.223132,0.619017,0.664302,-0.195897,0.576606,0.636405,-0.190354,0.582824,0.695015
0.250000,-0.223142,0.619026,0.664222,-0.195913,0.576595,0.636335,-0.190341,0.582828,0.694930
0.260000,-0.223147,0.619037,0.664137,-0.195927,0.576592,0.636259,-0.190356,0.582818,0.694840
0.270000,-0.223144,0.619040,0.664062,-0.195941,0.576590,0.636186,-0.190349,0.582830,0.694748
0.280000,-0.223154,0.619043,0.663980,-0.195949,0.576603,0.636094,-0.190359,0.582836,0.694672
0.290000,-0.223164,0.619049,0.663875,-0.195964,0.576604,0.636013,-0.190355,0.582834,0.694577
0.300000,-0.223176,0.619039,0.663777,-0.195982,0.576593,0.635931,-0.190355,0.582838,0.694492
0.310000,-0.223198,0.619035,0.663684,-0.196002,0.576590,0.635844,-0.190372,0.582859,0.694394
0.320000,-0.223200,0.619051,0.663593,-0.196022,0.576577,0.635777,-0.190348,0.582831,0.694292
0.330000,-0.223194,0.619055,0.663527,-0.196031,0.576581,0.635714,-0.190362,0.582866,0.694240
0.340000,-0.223202,0.619055,0.663482,-0.196019,0.576603,0.635626,-0.190345,0.582821,0.694169
0.350000,-0.223210,0.619065,0.663437,-0.196033,0.576611,0.635576,-0.190356,0.582865,0.694117
0.360000,-0.223213,0.619061,0.663400,-0.196041,0.576619,0.635534,-0.190359,0.582848,0.694064
0.370000,-0.223225,0.619070,0.663346,-0.196050,0.576621,0.635486,-0.190358,0.582856,0.694019
0.380000,-0.223227,0.619070,0.663295,-0.196055,0.576620,0.635437,-0.190363,0.582850,0.693967
0.390000,-0.223220,0.619072,0.663239,-0.196062,0.576609,0.635395,-0.190366,0.582854,0.693922
0.400000,-0.223219,0.619078,0.663190,-0.196072,0.576608,0.635334,-0.190340,0.582845,0.693845
0.410000,-0.223226,0.619073,0.663137,-0.196069,0.576602,0.635293,-0.190349,0.582865,0.693781
0.420000,-0.223224,0.619064,0.663089,-0.196074,0.576606,0.635243,-0.190340,0.582874,0.693749
0.430000,-0.223229,0.619053,0.663050,-0.196078,0.576594,0.635208,-0.190357,0.582859,0.693690
0.440000,-0.223231,0.619050,0.662995,-0.196088,0.576576,0.635164,-0.190364,0.582846,0.693660
0.450000,-0.223236,0.619043,0.662957,-0.196095,0.576564,0.635124,-0.190365,0.582847,0.693622
0.460000,-0.223244,0.619030,0.662912,-0.196104,0.576565,0.635071,-0.190380,0.582817,0.693566
0.470000,-0.223253,0.619022,0.662862,-0.196123,0.576553,0.635027,-0.190394,0.582813,0.693523
0.480000,-0.223267,0.619020,0.662810,-0.196138,0.576541,0.634982,-0.190409,0.582804,0.693473
0.490000,-0.223286,0.619014,0.662766,-0.196171,0.576506,0.634932,-0.190428,0.582795,0.693431
0.500000,-0.223299,0.619005,0.662718,-0.196182,0.576534,0.634870,-0.190441,0.582792,0.693390
0.510000,-0.223315,0.619003,0.662682,-0.196215,0.576480,0.634855,-0.190468,0.582768,0.693344
0.520000,-0.223332,0.619005,0.662650,-0.196221,0.576520,0.634804,-0.190485,0.582770,0.693300
0.530000,-0.223348,0.618996,0.662616,-0.196247,0.576508,0.634770,-0.190504,0.582761,0.693269
0.540000,-0.223382,0.619024,0.662567,-0.196283,0.576515,0.634738,-0.190552,0.582814,0.693224
0.550000,-0.223424,0.619024,0.662527,-0.196314,0.576515,0.634698,-0.190581,0.582812,0.693193
0.560000,-0.223481,0.619013,0.662475,-0.196352,0.576517,0.634669,-0.190610,0.582830,0.693154
0.570000,-0.223524,0.619026,0.662444,-0.196405,0.576510,0.634630,-0.190645,0.582843,0.693131
0.580000,-0.223582,0.619041,0.662423,-0.196444,0.576540,0.634601,-0.190704,0.582871,0.693112
0.590000,-0.223638,0.619051,0.662403,-0.196487,0.576557,0.634590,-0.190751,0.582897,0.693086
0.600000,-0.223687,0.619070,0.662377,-0.196535,0.576566,0.634578,-0.190793,0.582910,0.693070
0.610000,-0.223746,0.619074,0.662345,-0.196591,0.576585,0.634547,-0.190830,0.582941,0.693047
0.620000,-0.223803,0.619090,0.662312,-0.196624,0.576608,0.634521,-0.190886,0.582985,0.693027
0.630000,-0.223855,0.619118,0.662282,-0.196671,0.576633,0.634491,-0.190962,0.583022,0.693014
0.640000,-0.223910,0.619129,0.662256,-0.196714,0.576650,0.634472,-0.191005,0.583051,0.692988
0.650000,-0.223962,0.619145,0.662227,-0.196756,0.576667,0.634447,-0.191055,0.583078,0.692968
0.660000,-0.224003,0.619161,0.662210,-0.196810,0.576672,0.634425,-0.191090,0.583095,0.692946
0.670000,-0.224053,0.619169,0.662196,-0.196842,0.576699,0.634406,-0.191128,0.583110,0.692939
0.680000,-0.224097,0.619197,0.662181,-0.196874,0.576712,0.634405,-0.191159,0.583125,0.692921
0.690000,-0.224128,0.619202,0.662180,-0.196919,0.576734,0.634391,-0.191187,0.583127,0.692912
0.700000,-0.224156,0.619213,0.662170,-0.196948,0.576742,0.634388,-0.191219,0.583150,0.692904
0.710000,-0.224179,0.619213,0.662177,-0.196967,0.576752,0.634389,-0.191243,0.583158,0.692905
0.720000,-0.224200,0.619220,0.662176,-0.196983,0.576759,0.634392,-0.191266,0.583166,0.692903
0.730000,-0.224210,0.619236,0.662186,-0.196992,0.576776,0.634396,-0.191282,0.583178,0.692925
0.740000,-0.224229,0.619238,0.662192,-0.196999,0.576781,0.634403,-0.191299,0.583183,0.692933
0.750000,-0.224232,0.619238,0.662207,-0.197000,0.576781,0.634414,-0.191315,0.583187,0.692952
0.760000,-0.224242,0.619238,0.662219,-0.196997,0.576796,0.634432,-0.191329,0.583188,0.692971
0.770000,-0.224243,0.619234,0.662234,-0.196994,0.576798,0.634449,-0.191331,0.583192,0.692989
0.780000,-0.224240,0.619229,0.662252,-0.196997,0.576785,0.634464,-0.191337,0.583175,0.693016
0.790000,-0.224234,0.619235,0.662276,-0.196986,0.576791,0.634491,-0.191336,0.583175,0.693031
0.800000,-0.224234,0.619225,0.662299,-0.196981,0.576786,0.634508,-0.191340,0.583163,0.693060
0.810000,-0.224232,0.619225,0.662324,-0.196968,0.576793,0.634534,-0.191336,0.583154,0.693080
0.820000,-0.224226,0.619222,0.662360,-0.196967,0.576795,0.634563,-0.191329,0.583146,0.693109
0.830000,-0.224222,0.619223,0.662392,-0.196963,0.576797,0.634584,-0.191346,0.583154,0.693162
0.840000,-0.224228,0.619218,0.662415,-0.196953,0.576804,0.634624,-0.191348,0.583159,0.693188
0.850000,-0.224233,0.619223,0.662448,-0.196950,0.576822,0.634650,-0.191351,0.583155,0.693215
0.860000,-0.224234,0.619225,0.662481,-0.196959,0.576824,0.634674,-0.191374,0.583172,0.693251
0.870000,-0.224247,0.619227,0.662511,-0.196960,0.576830,0.634691,-0.191377,0.583176,0.693276
0.880000,-0.224268,0.619231,0.662532,-0.196964,0.576841,0.634715,-0.191390,0.583171,0.693296
0.890000,-0.224274,0.619235,0.662558,-0.196969,0.576843,0.634739,-0.191402,0.583171,0.693317
0.900000,-0.224286,0.619230,0.662578,-0.196971,0.576860,0.634759,-0.191416,0.583179,0.693340
0.910000,-0.224300,0.619226,0.662608,-0.196976,0.576861,0.634778,-0.191425,0.583180,0.693358
0.920000,-0.224301,0.619234,0.662616,-0.196982,0.576863,0.634798,-0.191434,0.583173,0.693369
0.930000,-0.224320,0.619228,0.662646,-0.196986,0.576867,0.634819,-0.191440,0.583182,0.693391
0.940000,-0.224326,0.619229,0.662658,-0.196987,0.576864,0.634828,-0.191442,0.583178,0.693402
0.950000,-0.224326,0.619234,0.662670,-0.196988,0.576869,0.634852,-0.191452,0.583186,0.693420
0.960000,-0.224333,0.619239,0.662689,-0.196994,0.576881,0.634862,-0.191451,0.583183,0.693431
0.970000,-0.224336,0.619237,0.662704,-0.196996,0.576885,0.634880,-0.191453,0.583196,0.693444
0.980000,-0.224344,0.619236,0.662721,-0.197001,0.576880,0.634893,-0.191462,0.583189,0.693461
0.990000,-0.224343,0.619237,0.662738,-0.196996,0.576883,0.634904,-0.191465,0.583182,0.693482
1.000000,-0.224339,0.619243,0.662760,-0.196994,0.576882,0.634923,-0.191464,0.583183,0.693493
1.010000,-0.224336,0.619236,0.662771,-0.196991,0.576886,0.634939,-0.191468,0.583179,0.693513
1.020000,-0.224330,0.619239,0.662782,-0.196981,0.576879,0.634956,-0.191465,0.583176,0.693527
1.030000,-0.224318,0.619240,0.662799,-0.196975,0.576871,0.634966,-0.191452,0.583174,0.693547
1.040000,-0.224298,0.619239,0.662814,-0.196952,0.576880,0.634987,-0.191443,0.583175,0.693561
