Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.259245,0.498125,0.532327,-0.234414,0.459317,0.501450,-0.236766,0.454319,0.560648
0.010000,-0.259263,0.498126,0.532320,-0.234443,0.459331,0.501447,-0.236796,0.454333,0.560644
0.020000,-0.259295,0.498141,0.532313,-0.234457,0.459322,0.501436,-0.236817,0.454344,0.560635
0.030000,-0.259322,0.498148,0.532316,-0.234490,0.459346,0.501443,-0.236838,0.454352,0.560641
0.040000,-0.259343,0.498143,0.532319,-0.234513,0.459342,0.501449,-0.236859,0.454362,0.560653
0.050000,-0.259360,0.498152,0.532319,-0.234539,0.459354,0.501450,-0.236872,0.454368,0.560660
0.060000,-0.259379,0.498149,0.532334,-0.234549,0.459369,0.501460,-0.236889,0.454368,0.560664
0.070000,-0.259404,0.498179,0.532335,-0.234555,0.459365,0.501472,-0.236905,0.454374,0.560671
0.080000,-0.259411,0.498167,0.532358,-0.234587,0.459382,0.501496,-0.236918,0.454373,0.560692
0.090000,-0.259428,0.498158,0.532371,-0.234595,0.459378,0.501504,-0.236929,0.454364,0.560709
0.100000,-0.259443,0.498158,0.532400,-0.234522,0.459621,0.501311,-0.236947,0.454356,0.560724
0.110000,-0.259453,0.498166,0.532412,-0.234616,0.459383,0.501539,-0.236952,0.454365,0.560737
0.120000,-0.259460,0.498164,0.532437,-0.234622,0.459384,0.501564,-0.236964,0.454362,0.560753
0.130000,-0.259435,0.498192,0.532462,-0.234542,0.459640,0.501380,-0.236972,0.454372,0.560778
0.140000,-0.259456,0.498188,0.532492,-0.234542,0.459639,0.501400,-0.236978,0.454353,0.560802
0.150000,-0.259493,0.498166,0.532522,-0.234538,0.459643,0.501430,-0.236980,0.454361,0.560824
0.160000,-0.259484,0.498175,0.532550,-0.234625,0.459416,0.501667,-0.236990,0.454353,0.560846
0.170000,-0.259480,0.498186,0.532587,-0.234620,0.459414,0.501702,-0.236992,0.454352,0.560867
0.180000,-0.259475,0.498176,0.532619,-0.234525,0.459634,0.501521,-0.237000,0.454348,0.560898
0.190000,-0.259470,0.498185,0.532641,-0.234529,0.459631,0.501561,-0.236995,0.454337,0.560922
0.200000,-0.259461,0.498183,0.532671,-0.234501,0.459647,0.501583,-0.236995,0.454334,0.560947
