Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.268782,0.503493,0.541877,-0.240213,0.465692,0.513092,-0.247650,0.460205,0.571823
0.010000,-0.268749,0.503481,0.541877,-0.240186,0.465680,0.513090,-0.247638,0.460186,0.571826
0.020000,-0.268710,0.503453,0.541893,-0.240167,0.465669,0.513099,-0.247610,0.460173,0.571827
0.030000,-0.268697,0.503448,0.541892,-0.240146,0.465657,0.513100,-0.247595,0.460167,0.571836
0.040000,-0.268669,0.503440,0.541895,-0.240124,0.465655,0.513104,-0.247578,0.460169,0.571833
0.050000,-0.268639,0.503437,0.541901,-0.240110,0.465644,0.513114,-0.247551,0.460166,0.571837
0.060000,-0.268625,0.503432,0.541902,-0.240093,0.465655,0.513119,-0.247528,0.460168,0.571842
0.070000,-0.268607,0.503427,0.541906,-0.240073,0.465653,0.513125,-0.247513,0.460172,0.571841
0.080000,-0.268592,0.503430,0.541916,-0.240056,0.465661,0.513127,-0.247498,0.460149,0.571852
0.090000,-0.268572,0.503426,0.541920,-0.240048,0.465659,0.513140,-0.247475,0.460164,0.571868
0.100000,-0.268560,0.503425,0.541939,-0.240028,0.465671,0.513149,-0.247463,0.460159,0.571875
0.110000,-0.268541,0.503399,0.541960,-0.240017,0.465667,0.513155,-0.247450,0.460158,0.571882
0.120000,-0.268531,0.503411,0.541971,-0.240012,0.465665,0.513162,-0.247436,0.460162,0.571891
0.130000,-0.268515,0.503395,0.541987,-0.239996,0.465665,0.513174,-0.247429,0.460162,0.571895
0.140000,-0.268505,0.503409,0.541987,-0.239982,0.465670,0.513181,-0.247418,0.460152,0.571893
0.150000,-0.268496,0.503403,0.542000,-0.239979,0.465678,0.513185,-0.247398,0.460162,0.571910
0.160000,-0.268495,0.503406,0.542008,-0.239976,0.465682,0.513189,-0.247399,0.460169,0.571916
0.170000,-0.268490,0.503403,0.542018,-0.239969,0.465676,0.513203,-0.247385,0.460181,0.571933
0.180000,-0.268489,0.503414,0.542029,-0.239965,0.465693,0.513207,-0.247383,0.460168,0.571930
0.190000,-0.268484,0.503425,0.542037,-0.239957,0.465703,0.513214,-0.247372,0.460187,0.571947
0.200000,-0.268486,0.503422,0.542045,-0.239954,0.465702,0.513222,-0.247370,0.460195,0.571955
0.210000,-0.268481,0.503437,0.542048,-0.239948,0.465714,0.513233,-0.247369,0.460203,0.571959
0.220000,-0.268474,0.503442,0.542052,-0.239941,0.465712,0.513242,-0.247361,0.460202,0.571970
0.230000,-0.268469,0.503428,0.542064,-0.239935,0.465706,0.513246,-0.247358,0.460202,0.571973
0.240000,-0.268458,0.503436,0.542067,-0.239921,0.465714,0.513255,-0.247353,0.460190,0.571975
0.250000,-0.268451,0.503428,0.542075,-0.239911,0.465706,0.513260,-0.247347,0.460193,0.571981
0.260000,-0.268446,0.503427,0.542073,-0.239906,0.465704,0.513259,-0.247339,0.460194,0.571988
