Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.353649,0.488654,0.529169,-0.327627,0.451204,0.498064,-0.330631,0.444920,0.556930
0.010000,-0.353626,0.488650,0.529194,-0.327607,0.451193,0.498074,-0.330620,0.444903,0.556944
0.020000,-0.353599,0.488641,0.529210,-0.327588,0.451190,0.498089,-0.330596,0.444889,0.556947
0.030000,-0.353585,0.488619,0.529216,-0.327573,0.451177,0.498102,-0.330584,0.444882,0.556959
0.040000,-0.353563,0.488616,0.529229,-0.327553,0.451162,0.498119,-0.330568,0.444870,0.556973
0.050000,-0.353542,0.488614,0.529243,-0.327538,0.451163,0.498125,-0.330560,0.444855,0.556982
0.060000,-0.353524,0.488609,0.529253,-0.327528,0.451152,0.498132,-0.330538,0.444850,0.556998
0.070000,-0.353503,0.488604,0.529272,-0.327512,0.451137,0.498143,-0.330526,0.444838,0.556998
0.080000,-0.353494,0.488593,0.529277,-0.327500,0.451123,0.498144,-0.330512,0.444834,0.557013
0.090000,-0.353476,0.488594,0.529277,-0.327492,0.451120,0.498155,-0.330499,0.444844,0.557024
0.100000,-0.353463,0.488599,0.529277,-0.327485,0.451126,0.498155,-0.330502,0.444822,0.557008
0.110000,-0.353468,0.488599,0.529281,-0.327495,0.451113,0.498163,-0.330485,0.444842,0.557023
0.120000,-0.353468,0.488593,0.529279,-0.327498,0.451119,0.498152,-0.330501,0.444851,0.557018
0.130000,-0.353473,0.488608,0.529285,-0.327501,0.451128,0.498156,-0.330505,0.444844,0.557009
0.140000,-0.353486,0.488609,0.529282,-0.327512,0.451129,0.498147,-0.330504,0.444843,0.557015
0.150000,-0.353495,0.488618,0.529289,-0.327520,0.451143,0.498153,-0.330514,0.444839,0.557014
0.160000,-0.353506,0.488615,0.529290,-0.327537,0.451147,0.498144,-0.330522,0.444849,0.557014
0.170000,-0.353525,0.488604,0.529301,-0.327549,0.451153,0.498163,-0.330528,0.444852,0.557020
0.180000,-0.353538,0.488617,0.529313,-0.327567,0.451148,0.498171,-0.330544,0.444857,0.557035
0.190000,-0.353564,0.488616,0.529332,-0.327582,0.451165,0.498178,-0.330560,0.444857,0.557052
0.200000,-0.353583,0.488626,0.529361,-0.327600,0.451162,0.498202,-0.330559,0.444896,0.557086
0.210000,-0.353600,0.488634,0.529386,-0.327622,0.451174,0.498226,-0.330589,0.444891,0.557119
0.220000,-0.353622,0.488646,0.529424,-0.327635,0.451195,0.498245,-0.330597,0.444910,0.557147
0.230000,-0.353645,0.488647,0.529464,-0.327647,0.451210,0.498294,-0.330586,0.444970,0.557224
0.240000,-0.353662,0.488657,0.529511,-0.327671,0.451219,0.498341,-0.330606,0.444963,0.557266
0.250000,-0.353670,0.488658,0.529562,-0.327667,0.451248,0.498394,-0.330636,0.444966,0.557305
0.260000,-0.353684,0.488674,0.529614,-0.327675,0.451252,0.498433,-0.330632,0.444973,0.557357
0.270000,-0.353686,0.488687,0.529668,-0.327678,0.451254,0.498480,-0.330647,0.444977,0.557420
0.280000,-0.353691,0.488684,0.529727,-0.327676,0.451267,0.498545,-0.330660,0.444964,0.557460
0.290000,-0.353720,0.488666,0.529795,-0.327676,0.451268,0.498589,-0.330686,0.444950,0.557531
0.300000,-0.353709,0.488678,0.529849,-0.327683,0.451269,0.498631,-0.330696,0.444936,0.557573
0.310000,-0.353712,0.488677,0.529892,-0.327677,0.451275,0.498674,-0.330715,0.444935,0.557615
0.320000,-0.353741,0.488674,0.529948,-0.327670,0.451284,0.498717,-0.330718,0.444923,0.557658
0.330000,-0.353753,0.488664,0.529986,-0.327672,0.451280,0.498751,-0.330733,0.444913,0.557691
0.340000,-0.353746,0.488667,0.530012,-0.327677,0.451270,0.498781,-0.330735,0.444912,0.557712
0.350000,-0.353744,0.488667,0.530032,-0.327688,0.451261,0.498819,-0.330749,0.444894,0.557736
0.360000,-0.353752,0.488658,0.530052,-0.327697,0.451256,0.498833,-0.330756,0.444880,0.557750
0.370000,-0.353751,0.488663,0.530066,-0.327688,0.451257,0.498853,-0.330750,0.444880,0.557766
0.380000,-0.353741,0.488655,0.530079,-0.327672,0.451254,0.498840,-0.330742,0.444877,0.557773
0.390000,-0.353741,0.488652,0.530082,-0.327683,0.451243,0.498869,-0.330743,0.444862,0.557777
0.400000,-0.353726,0.488648,0.530091,-0.327685,0.451239,0.498871,-0.330734,0.444856,0.557781
0.410000,-0.353730,0.488638,0.530093,-0.327684,0.451251,0.498859,-0.330723,0.444862,0.557785
0.420000,-0.353725,0.488650,0.530099,-0.327680,0.451242,0.498858,-0.330703,0.444872,0.557811
0.430000,-0.353718,0.488641,0.530101,-0.327674,0.451233,0.498867,-0.330697,0.444854,0.557779
0.440000,-0.353716,0.488631,0.530102,-0.327671,0.451223,0.498873,-0.330688,0.444860,0.557781
0.450000,-0.353704,0.488640,0.530110,-0.327670,0.451240,0.498863,-0.330692,0.444857,0.557780
0.460000,-0.353691,0.488649,0.530114,-0.327654,0.451231,0.498877,-0.330663,0.444884,0.557817
0.470000,-0.353687,0.488641,0.530117,-0.327651,0.451230,0.498884,-0.330661,0.444870,0.557820
0.480000,-0.353673,0.488643,0.530128,-0.327632,0.451227,0.498891,-0.330653,0.444847,0.557790
0.490000,-0.353647,0.488645,0.530137,-0.327618,0.451237,0.498900,-0.330636,0.444846,0.557804
0.500000,-0.353637,0.488641,0.530150,-0.327596,0.451227,0.498904,-0.330618,0.444850,0.557810
0.510000,-0.353585,0.488638,0.530149,-0.327575,0.451217,0.498917,-0.330590,0.444860,0.557849
0.520000,-0.353559,0.488621,0.530159,-0.327550,0.451207,0.498924,-0.330576,0.444819,0.557835
0.530000,-0.353537,0.488622,0.530170,-0.327523,0.451218,0.498935,-0.330549,0.444820,0.557837
0.540000,-0.353509,0.488622,0.530179,-0.327492,0.451177,0.498954,-0.330516,0.444825,0.557884
0.550000,-0.353477,0.488605,0.530187,-0.327469,0.451173,0.498957,-0.330492,0.444806,0.557886
0.560000,-0.353440,0.488603,0.530196,-0.327429,0.451158,0.498953,-0.330481,0.444768,0.557869
0.570000,-0.353416,0.488587,0.530204,-0.327416,0.451150,0.498983,-0.330421,0.444755,0.557886
0.580000,-0.353389,0.488579,0.530218,-0.327381,0.451154,0.498970,-0.330403,0.444741,0.557893
0.590000,-0.353355,0.488577,0.530226,-0.327267,0.451363,0.498773,-0.330384,0.444709,0.557903
0.600000,-0.353325,0.488564,0.530231,-0.327317,0.451113,0.498985,-0.330343,0.444722,0.557902
0.610000,-0.353302,0.488564,0.530247,-0.327302,0.451092,0.498984,-0.330327,0.444707,0.557904
0.620000,-0.353272,0.488548,0.530246,-0.327273,0.451099,0.498993,-0.330302,0.444684,0.557923
0.630000,-0.353269,0.488533,0.530249,-0.327260,0.451086,0.499002,-0.330300,0.444659,0.557924
0.640000,-0.353247,0.488533,0.530258,-0.327239,0.451084,0.499008,-0.330276,0.444665,0.557931
0.650000,-0.353228,0.488530,0.530268,-0.327225,0.451078,0.499015,-0.330258,0.444656,0.557934
0.660000,-0.353224,0.488524,0.530271,-0.327210,0.451068,0.499015,-0.330256,0.444650,0.557936
0.670000,-0.353217,0.488518,0.530268,-0.327206,0.451068,0.499021,-0.330236,0.444649,0.557939
0.680000,-0.353203,0.488521,0.530266,-0.327190,0.451059,0.499029,-0.330242,0.444640,0.557943
