Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.559121,0.056222,0.388342,0.512973,0.065854,0.357467,0.561667,0.039189,0.334996
0.010000,0.559123,0.056239,0.388331,0.512977,0.065855,0.357466,0.561654,0.039181,0.334982
0.020000,0.559121,0.056243,0.388326,0.512941,0.065885,0.357461,0.561652,0.039183,0.334971
0.030000,0.559120,0.056251,0.388321,0.512940,0.065876,0.357457,0.561645,0.039176,0.334959
0.040000,0.559113,0.056252,0.388317,0.512956,0.065862,0.357454,0.561648,0.039202,0.334961
0.050000,0.559114,0.056239,0.388323,0.512965,0.065858,0.357458,0.561652,0.039218,0.334965
0.060000,0.559114,0.056231,0.388334,0.512941,0.065890,0.357463,0.561651,0.039208,0.334969
0.070000,0.559111,0.056224,0.388334,0.512961,0.065854,0.357466,0.561658,0.039197,0.334973
0.080000,0.559104,0.056213,0.388353,0.512940,0.065877,0.357483,0.561653,0.039212,0.334996
0.090000,0.559102,0.056212,0.388371,0.512960,0.065847,0.357501,0.561648,0.039182,0.335007
0.100000,0.559094,0.056206,0.388389,0.512940,0.065884,0.357518,0.561666,0.039203,0.335027
0.110000,0.559099,0.056191,0.388413,0.512954,0.065846,0.357536,0.561651,0.039193,0.335057
0.120000,0.559081,0.056206,0.388471,0.512963,0.065840,0.357558,0.561660,0.039214,0.335079
0.130000,0.559081,0.056189,0.388496,0.512953,0.065842,0.357592,0.561653,0.039189,0.335117
0.140000,0.559081,0.056183,0.388529,0.512961,0.065836,0.357622,0.561648,0.039172,0.335141
0.150000,0.559079,0.056168,0.388562,0.512959,0.065823,0.357650,0.561651,0.039161,0.335170
0.160000,0.559082,0.056161,0.388605,0.512963,0.065833,0.357684,0.561650,0.039172,0.335214
0.170000,0.559072,0.056128,0.388627,0.512950,0.065789,0.357711,0.561655,0.039162,0.335241
0.180000,0.559065,0.056103,0.388663,0.512949,0.065783,0.357747,0.561645,0.039160,0.335281
0.190000,0.559050,0.056094,0.388691,0.512925,0.065797,0.357807,0.561641,0.039146,0.335313
0.200000,0.559040,0.056079,0.388734,0.512931,0.065743,0.357809,0.561632,0.039144,0.335349
0.210000,0.559020,0.056082,0.388756,0.512910,0.065769,0.357861,0.561635,0.039156,0.335379
0.220000,0.559017,0.056073,0.388797,0.512913,0.065755,0.357884,0.561640,0.039143,0.335404
0.230000,0.559017,0.056063,0.388824,0.512903,0.065750,0.357916,0.561641,0.039134,0.335432
0.240000,0.559012,0.056065,0.388850,0.512901,0.065747,0.357943,0.561643,0.039156,0.335472
0.250000,0.559018,0.056057,0.388886,0.512915,0.065724,0.357973,0.561648,0.039132,0.335488
0.260000,0.559015,0.056055,0.388928,0.512922,0.065731,0.358004,0.561660,0.039151,0.335539
0.270000,0.559030,0.056048,0.388956,0.512933,0.065705,0.358031,0.561685,0.039156,0.335567
0.280000,0.559035,0.056084,0.389007,0.512941,0.065706,0.358059,0.561693,0.039141,0.335605
0.290000,0.559038,0.056070,0.389040,0.512954,0.065714,0.358092,0.561704,0.039145,0.335637
0.300000,0.559041,0.056083,0.389073,0.512962,0.065704,0.358113,0.561726,0.039145,0.335667
0.310000,0.559048,0.056075,0.389104,0.512985,0.065704,0.358134,0.561730,0.039160,0.335703
0.320000,0.559059,0.056076,0.389132,0.512989,0.065702,0.358157,0.561754,0.039138,0.335719
0.330000,0.559071,0.056098,0.389143,0.512994,0.065728,0.358177,0.561770,0.039149,0.335739
0.340000,0.559073,0.056096,0.389170,0.513009,0.065734,0.358196,0.561769,0.039181,0.335768
0.350000,0.559079,0.056122,0.389194,0.513011,0.065734,0.358216,0.561789,0.039166,0.335771
0.360000,0.559083,0.056125,0.389205,0.513007,0.065746,0.358220,0.561800,0.039186,0.335791
0.370000,0.559090,0.056133,0.389214,0.513015,0.065763,0.358224,0.561804,0.039211,0.335809
0.380000,0.559087,0.056138,0.389226,0.513025,0.065753,0.358227,0.561809,0.039204,0.335819
0.390000,0.559089,0.056153,0.389233,0.513021,0.065751,0.358241,0.561809,0.039218,0.335824
0.400000,0.559088,0.056159,0.389233,0.513019,0.065766,0.358236,0.561816,0.039206,0.335824
0.410000,0.559093,0.056157,0.389235,0.513027,0.065760,0.358234,0.561815,0.039224,0.335828
0.420000,0.559097,0.056162,0.389239,0.513033,0.065777,0.358235,0.561822,0.039227,0.335826
0.430000,0.559099,0.056151,0.389237,0.513036,0.065767,0.358236,0.561815,0.039213,0.335829
0.440000,0.559093,0.056173,0.389238,0.513024,0.065778,0.358239,0.561806,0.039229,0.335834
0.450000,0.559085,0.056150,0.389236,0.513016,0.065780,0.358241,0.561791,0.039260,0.335833
0.460000,0.559067,0.056160,0.389236,0.513014,0.065787,0.358229,0.561785,0.039229,0.335816
0.470000,0.559063,0.056155,0.389222,0.512996,0.065776,0.358226,0.561786,0.039241,0.335800
0.480000,0.559057,0.056157,0.389214,0.512992,0.065762,0.358220,0.561772,0.039246,0.335801
0.490000,0.559048,0.056128,0.389201,0.512989,0.065750,0.358196,0.561764,0.039222,0.335792
0.500000,0.559043,0.056107,0.389180,0.512985,0.065758,0.358186,0.561755,0.039183,0.335765
0.510000,0.559038,0.056102,0.389167,0.512988,0.065752,0.358175,0.561748,0.039202,0.335762
0.520000,0.559033,0.056095,0.389153,0.512982,0.065746,0.358161,0.561762,0.039167,0.335746
0.530000,0.559027,0.056085,0.389143,0.512975,0.065731,0.358151,0.561738,0.039154,0.335729
0.540000,0.559020,0.056078,0.389137,0.512966,0.065748,0.358137,0.561747,0.039161,0.335718
0.550000,0.559016,0.056061,0.389118,0.512960,0.065730,0.358122,0.561721,0.039173,0.335708
0.560000,0.559008,0.056036,0.389091,0.512962,0.065726,0.358102,0.561707,0.039162,0.335693
0.570000,0.559007,0.056037,0.389077,0.512960,0.065738,0.358087,0.561707,0.039171,0.335667
0.580000,0.559003,0.056026,0.389055,0.512944,0.065731,0.358064,0.561697,0.039151,0.335651
0.590000,0.558998,0.056021,0.389035,0.512948,0.065721,0.358042,0.561705,0.039157,0.335628
0.600000,0.558997,0.056020,0.389022,0.512948,0.065737,0.358027,0.561691,0.039108,0.335595
0.610000,0.559002,0.055987,0.388980,0.512949,0.065715,0.358016,0.561687,0.039119,0.335581
0.620000,0.559002,0.055965,0.388963,0.512945,0.065711,0.357988,0.561682,0.039127,0.335558
0.630000,0.558993,0.055963,0.388935,0.512932,0.065747,0.357963,0.561675,0.039125,0.335532
0.640000,0.558974,0.055961,0.388912,0.512910,0.065707,0.357933,0.561658,0.039098,0.335504
0.650000,0.558961,0.055977,0.388878,0.512897,0.065735,0.357899,0.561656,0.039122,0.335478
0.660000,0.558947,0.055982,0.388851,0.512891,0.065735,0.357882,0.561637,0.039093,0.335451
0.670000,0.558940,0.056000,0.388831,0.512879,0.065703,0.357857,0.561631,0.039139,0.335436
0.680000,0.558933,0.055995,0.388821,0.512868,0.065722,0.357865,0.561620,0.039123,0.335423
0.690000,0.558922,0.056015,0.388818,0.512856,0.065719,0.357846,0.561608,0.039129,0.335405
0.700000,0.558918,0.056019,0.388799,0.512856,0.065740,0.357850,0.561593,0.039148,0.335404
0.710000,0.558918,0.056028,0.388814,0.512853,0.065757,0.357857,0.561594,0.039160,0.335410
0.720000,0.558912,0.056027,0.388819,0.512827,0.065787,0.357867,0.561569,0.039190,0.335411
0.730000,0.558905,0.056028,0.388833,0.512821,0.065805,0.357890,0.561560,0.039190,0.335419
0.740000,0.558905,0.056038,0.388848,0.512808,0.065815,0.357901,0.561571,0.039222,0.335431
0.750000,0.558895,0.056049,0.388854,0.512808,0.065819,0.357916,0.561554,0.039214,0.335444
0.760000,0.558911,0.056049,0.388875,0.512810,0.065844,0.357933,0.561559,0.039222,0.335451
0.770000,0.558900,0.056063,0.388885,0.512811,0.065837,0.357945,0.561562,0.039240,0.335472
0.780000,0.558912,0.056066,0.388905,0.512826,0.065852,0.357960,0.561577,0.039258,0.335487
0.790000,0.558917,0.056082,0.388929,0.512828,0.065863,0.357973,0.561587,0.039259,0.335507
0.800000,0.558917,0.056091,0.388959,0.512856,0.065840,0.358003,0.561616,0.039281,0.335548
0.810000,0.558927,0.056109,0.388999,0.512841,0.065862,0.358020,0.561612,0.039269,0.335565
0.820000,0.558919,0.056141,0.389050,0.512874,0.065842,0.358055,0.561619,0.039289,0.335595
0.830000,0.558929,0.056126,0.389078,0.512884,0.065840,0.358099,0.561626,0.039276,0.335639
0.840000,0.558935,0.056125,0.389118,0.512887,0.065836,0.358136,0.561643,0.039310,0.335681
0.850000,0.558946,0.056095,0.389161,0.512895,0.065813,0.358173,0.561660,0.039300,0.335733
0.860000,0.558945,0.056091,0.389203,0.512897,0.065797,0.358215,0.561660,0.039278,0.335767
0.870000,0.558933,0.056072,0.389257,0.512899,0.065770,0.358253,0.561680,0.039275,0.335840
0.880000,0.558933,0.056056,0.389306,0.512908,0.065774,0.358302,0.561685,0.039241,0.335880
0.890000,0.558938,0.056026,0.389364,0.512900,0.065715,0.358342,0.561684,0.039221,0.335934
0.900000,0.558928,0.056004,0.389426,0.512901,0.065696,0.358389,0.561704,0.039182,0.336011
0.910000,0.558929,0.055947,0.389474,0.512909,0.065662,0.358430,0.561725,0.039150,0.336071
0.920000,0.558932,0.055932,0.389545,0.512923,0.065625,0.358485,0.561742,0.039107,0.336133
0.930000,0.558933,0.055900,0.389596,0.512933,0.065593,0.358527,0.561754,0.039062,0.336195
0.940000,0.558936,0.055855,0.389657,0.512938,0.065561,0.358584,0.561776,0.039028,0.336258
0.950000,0.558934,0.055818,0.389709,0.512947,0.065526,0.358629,0.561787,0.038989,0.336322
0.960000,0.558933,0.055793,0.389765,0.512949,0.065484,0.358675,0.561801,0.038926,0.336384
0.970000,0.558941,0.055746,0.389814,0.512960,0.065439,0.358719,0.561826,0.038808,0.336451
0.980000,0.558931,0.055705,0.389866,0.512970,0.065401,0.358759,0.561827,0.038743,0.336498
0.990000,0.558923,0.055676,0.389914,0.512982,0.065402,0.358807,0.561807,0.038688,0.336555
1.000000,0.558929,0.055642,0.389953,0.512987,0.065327,0.358826,0.561799,0.038571,0.336607
1.010000,0.558925,0.055607,0.389989,0.513004,0.065323,0.358869,0.561807,0.038510,0.336640
1.020000,0.558931,0.055583,0.390015,0.513009,0.065285,0.358883,0.561825,0.038491,0.336680
1.030000,0.558934,0.055551,0.390045,0.513025,0.065230,0.358872,0.561834,0.038457,0.336692
1.040000,0.558948,0.055510,0.390056,0.513032,0.065191,0.358883,0.561845,0.038402,0.336717
1.050000,0.558953,0.055494,0.390071,0.513044,0.065181,0.358892,0.561856,0.038352,0.336734
1.060000,0.558961,0.055459,0.390078,0.513052,0.065152,0.358881,0.561883,0.038325,0.336737
1.070000,0.558968,0.055441,0.390076,0.513060,0.065139,0.358879,0.561870,0.038283,0.336739
1.080000,0.558962,0.055416,0.390083,0.513068,0.065095,0.358883,0.561898,0.038271,0.336753
1.090000,0.558960,0.055415,0.390080,0.513076,0.065094,0.358872,0.561884,0.038242,0.336750
1.100000,0.558966,0.055393,0.390072,0.513072,0.065069,0.358866,0.561885,0.038202,0.336734
1.110000,0.558966,0.055375,0.390063,0.513080,0.065053,0.358850,0.561894,0.038222,0.336729
1.120000,0.558961,0.055362,0.390052,0.513076,0.065044,0.358836,0.561887,0.038198,0.336717
1.130000,0.558961,0.055340,0.390029,0.513079,0.065036,0.358822,0.561889,0.038147,0.336705
1.140000,0.558957,0.055333,0.390014,0.513075,0.065006,0.358802,0.561883,0.038153,0.336688
1.150000,0.558952,0.055317,0.390003,0.513067,0.065004,0.358791,0.561853,0.038094,0.336669
1.160000,0.558954,0.055272,0.389977,0.513060,0.065004,0.358779,0.561865,0.038112,0.336649
1.170000,0.558940,0.055260,0.389953,0.513053,0.064977,0.358757,0.561838,0.038070,0.336632
1.180000,0.558935,0.055236,0.389928,0.513051,0.064954,0.358735,0.561837,0.038069,0.336603
1.190000,0.558929,0.055198,0.389907,0.513037,0.064924,0.358721,0.561830,0.038030,0.336576
1.200000,0.558922,0.055170,0.389881,0.513030,0.064923,0.358700,0.561820,0.038001,0.336554
1.210000,0.558918,0.055143,0.389858,0.513033,0.064896,0.358674,0.561806,0.037975,0.336521
1.220000,0.558912,0.055134,0.389835,0.513009,0.064816,0.358636,0.561800,0.037968,0.336492
1.230000,0.558906,0.055094,0.389797,0.513008,0.064787,0.358608,0.561794,0.037926,0.336463
1.240000,0.558911,0.055079,0.389780,0.513009,0.064775,0.358596,0.561794,0.037884,0.336439
1.250000,0.558906,0.055021,0.389745,0.513011,0.064737,0.358566,0.561786,0.037883,0.336413
1.260000,0.558901,0.054991,0.389723,0.513003,0.064722,0.358546,0.561785,0.037844,0.336391
1.270000,0.558888,0.054968,0.389701,0.513003,0.064682,0.358525,0.561782,0.037802,0.336375
1.280000,0.558902,0.054929,0.389689,0.513013,0.064675,0.358514,0.561772,0.037763,0.336354
1.290000,0.558890,0.054909,0.389666,0.513008,0.064657,0.358494,0.561794,0.037760,0.336311
1.300000,0.558895,0.054877,0.389653,0.513009,0.064644,0.358484,0.561769,0.037708,0.336322
1.310000,0.558889,0.054875,0.389640,0.512999,0.064615,0.358475,0.561767,0.037681,0.336310
1.320000,0.558879,0.054858,0.389631,0.512994,0.064603,0.358460,0.561729,0.037617,0.336295
1.330000,0.558881,0.054856,0.389616,0.512981,0.064588,0.358448,0.561720,0.037643,0.336297
1.340000,0.558866,0.054850,0.389612,0.512976,0.064590,0.358446,0.561729,0.037664,0.336286
1.350000,0.558865,0.054843,0.389607,0.512964,0.064584,0.358446,0.561719,0.037627,0.336280
1.360000,0.558852,0.054849,0.389602,0.512961,0.064578,0.358440,0.561705,0.037624,0.336281
1.370000,0.558852,0.054851,0.389608,0.512952,0.064579,0.358448,0.561698,0.037635,0.336285
1.380000,0.558844,0.054852,0.389614,0.512948,0.064591,0.358456,0.561684,0.037604,0.336282
1.390000,0.558840,0.054867,0.389625,0.512946,0.064599,0.358474,0.561692,0.037652,0.336286
1.400000,0.558852,0.054873,0.389631,0.512950,0.064617,0.358482,0.561694,0.037656,0.336308
1.410000,0.558860,0.054899,0.389647,0.512959,0.064632,0.358493,0.561701,0.037697,0.336312
1.420000,0.558870,0.054905,0.389671,0.512971,0.064645,0.358512,0.561712,0.037702,0.336336
1.430000,0.558873,0.054919,0.389693,0.512981,0.064684,0.358536,0.561713,0.037733,0.336352
1.440000,0.558874,0.054918,0.389708,0.512973,0.064699,0.358550,0.561714,0.037750,0.336373
1.450000,0.558889,0.054959,0.389738,0.512976,0.064702,0.358573,0.561729,0.037774,0.336387
1.460000,0.558880,0.054967,0.389754,0.512976,0.064729,0.358600,0.561715,0.037813,0.336430
1.470000,0.558891,0.054989,0.389788,0.512977,0.064753,0.358622,0.561723,0.037848,0.336447
1.480000,0.558892,0.055049,0.389823,0.512982,0.064779,0.358652,0.561718,0.037842,0.336463
1.490000,0.558900,0.055057,0.389852,0.512977,0.064798,0.358683,0.561730,0.037873,0.336504
1.500000,0.558912,0.055094,0.389874,0.512995,0.064817,0.358701,0.561737,0.037921,0.336530
1.510000,0.558923,0.055105,0.389894,0.513022,0.064890,0.358735,0.561749,0.037930,0.336548
1.520000,0.558947,0.055150,0.389906,0.513026,0.064895,0.358755,0.561770,0.037939,0.336557
1.530000,0.558951,0.055152,0.389914,0.513042,0.064910,0.358758,0.561798,0.037981,0.336572
1.540000,0.558969,0.055185,0.389931,0.513059,0.064910,0.358763,0.561800,0.037961,0.336601
1.550000,0.558981,0.055218,0.389950,0.513074,0.064927,0.358773,0.561841,0.037989,0.336611
1.560000,0.558994,0.055235,0.389956,0.513089,0.064931,0.358788,0.561869,0.038043,0.336640
1.570000,0.559020,0.055257,0.389971,0.513109,0.064950,0.358796,0.561879,0.038058,0.336651
1.580000,0.559035,0.055277,0.389986,0.513127,0.064961,0.358806,0.561907,0.038064,0.336663
1.590000,0.559050,0.055303,0.389992,0.513145,0.064987,0.358815,0.561925,0.038083,0.336670
1.600000,0.559075,0.055320,0.390005,0.513151,0.064985,0.358820,0.561956,0.038106,0.336691
1.610000,0.559075,0.055349,0.390010,0.513168,0.065005,0.358823,0.561965,0.038133,0.336700
1.620000,0.559088,0.055369,0.390018,0.513186,0.065014,0.358829,0.561992,0.038150,0.336699
1.630000,0.559103,0.055401,0.390026,0.513197,0.065044,0.358827,0.562034,0.038198,0.336690
1.640000,0.559112,0.055410,0.390027,0.513207,0.065057,0.358823,0.562045,0.038232,0.336691
1.650000,0.559129,0.055442,0.390029,0.513224,0.065071,0.358826,0.562064,0.038253,0.336697
1.660000,0.559131,0.055473,0.390024,0.513230,0.065097,0.358821,0.562077,0.038313,0.336693
1.670000,0.559137,0.055498,0.390014,0.513238,0.065121,0.358816,0.562088,0.038343,0.336686
1.680000,0.559145,0.055535,0.390008,0.513239,0.065144,0.358801,0.562097,0.038366,0.336679
1.690000,0.559149,0.055568,0.389999,0.513242,0.065170,0.358799,0.562100,0.038401,0.336673
1.700000,0.559158,0.055581,0.389983,0.513244,0.065200,0.358793,0.562106,0.038427,0.336650
1.710000,0.559154,0.055614,0.389967,0.513246,0.065222,0.358780,0.562108,0.038469,0.336639
1.720000,0.559163,0.055631,0.389943,0.513256,0.065239,0.358759,0.562113,0.038463,0.336626
1.730000,0.559164,0.055656,0.389922,0.513245,0.065255,0.358737,0.562099,0.038470,0.336593
1.740000,0.559165,0.055658,0.389899,0.513248,0.065255,0.358718,0.562128,0.038574,0.336581
1.750000,0.559161,0.055670,0.389876,0.513247,0.065278,0.358692,0.562127,0.038604,0.336557
1.760000,0.559165,0.055689,0.389859,0.513255,0.065289,0.358673,0.562135,0.038594,0.336530
1.770000,0.559165,0.055694,0.389834,0.513245,0.065282,0.358647,0.562129,0.038600,0.336502
1.780000,0.559169,0.055709,0.389802,0.513252,0.065308,0.358621,0.562121,0.038623,0.336470
1.790000,0.559170,0.055701,0.389776,0.513255,0.065314,0.358598,0.562124,0.038623,0.336436
1.800000,0.559169,0.055711,0.389745,0.513254,0.065312,0.358564,0.562120,0.038642,0.336423
1.810000,0.559166,0.055710,0.389713,0.513242,0.065329,0.358532,0.562114,0.038620,0.336391
1.820000,0.559173,0.055704,0.389672,0.513255,0.065316,0.358496,0.562103,0.038587,0.336349
1.830000,0.559189,0.055709,0.389643,0.513249,0.065305,0.358467,0.562116,0.038611,0.336316
1.840000,0.559189,0.055691,0.389591,0.513259,0.065316,0.358435,0.562116,0.038634,0.336287
1.850000,0.559199,0.055703,0.389561,0.513263,0.065322,0.358396,0.562115,0.038592,0.336241
1.860000,0.559204,0.055701,0.389527,0.513269,0.065310,0.358364,0.562117,0.038549,0.336195
1.870000,0.559220,0.055677,0.389493,0.513277,0.065293,0.358323,0.562119,0.038547,0.336156
1.880000,0.559226,0.055680,0.389452,0.513288,0.065302,0.358293,0.562122,0.038518,0.336118
1.890000,0.559226,0.055672,0.389425,0.513287,0.065280,0.358261,0.562122,0.038498,0.336083
1.900000,0.559235,0.055677,0.389385,0.513286,0.065302,0.358217,0.562134,0.038623,0.336039
1.910000,0.559246,0.055698,0.389346,0.513295,0.065295,0.358191,0.562136,0.038597,0.335988
1.920000,0.559251,0.055689,0.389315,0.513299,0.065299,0.358149,0.562134,0.038590,0.335952
1.930000,0.559258,0.055680,0.389272,0.513313,0.065303,0.358123,0.562138,0.038606,0.335917
1.940000,0.559268,0.055687,0.389249,0.513325,0.065290,0.358099,0.562137,0.038599,0.335877
1.950000,0.559280,0.055709,0.389219,0.513331,0.065297,0.358052,0.562149,0.038587,0.335853
