Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.189640,0.474112,0.497351,-0.166478,0.430258,0.469690,-0.170662,0.432076,0.528746
0.010000,-0.189656,0.474106,0.497326,-0.166486,0.430264,0.469659,-0.170681,0.432085,0.528723
0.020000,-0.189681,0.474090,0.497293,-0.166506,0.430264,0.469632,-0.170697,0.432092,0.528703
0.030000,-0.189691,0.474098,0.497254,-0.166521,0.430270,0.469607,-0.170722,0.432101,0.528660
0.040000,-0.189711,0.474118,0.497222,-0.166549,0.430262,0.469579,-0.170743,0.432109,0.528640
0.050000,-0.189739,0.474119,0.497191,-0.166567,0.430312,0.469532,-0.170766,0.432116,0.528598
0.060000,-0.189758,0.474123,0.497169,-0.166599,0.430310,0.469510,-0.170797,0.432130,0.528579
0.070000,-0.189789,0.474133,0.497126,-0.166635,0.430311,0.469482,-0.170815,0.432141,0.528546
0.080000,-0.189810,0.474142,0.497102,-0.166646,0.430337,0.469457,-0.170839,0.432159,0.528515
0.090000,-0.189839,0.474159,0.497069,-0.166685,0.430376,0.469422,-0.170867,0.432172,0.528475
0.100000,-0.189864,0.474176,0.497043,-0.166706,0.430386,0.469394,-0.170894,0.432179,0.528451
0.110000,-0.189898,0.474185,0.497014,-0.166741,0.430389,0.469373,-0.170920,0.432216,0.528422
0.120000,-0.189939,0.474202,0.496985,-0.166766,0.430410,0.469343,-0.170956,0.432220,0.528394
0.130000,-0.189981,0.474216,0.496960,-0.166794,0.430420,0.469323,-0.170970,0.432238,0.528365
0.140000,-0.190027,0.474210,0.496931,-0.166827,0.430426,0.469294,-0.170994,0.432263,0.528346
0.150000,-0.190051,0.474229,0.496906,-0.166851,0.430446,0.469280,-0.171028,0.432266,0.528321
0.160000,-0.190080,0.474242,0.496892,-0.166881,0.430458,0.469259,-0.171058,0.432262,0.528280
0.170000,-0.190108,0.474248,0.496870,-0.166894,0.430480,0.469245,-0.171079,0.432269,0.528261
0.180000,-0.190125,0.474281,0.496847,-0.166902,0.430523,0.469225,-0.171096,0.432291,0.528241
0.190000,-0.190148,0.474298,0.496825,-0.166925,0.430522,0.469204,-0.171113,0.432302,0.528217
0.200000,-0.190162,0.474323,0.496802,-0.166941,0.430527,0.469186,-0.171137,0.432339,0.528200
0.210000,-0.190186,0.474345,0.496776,-0.166944,0.430560,0.469153,-0.171151,0.432363,0.528179
0.220000,-0.190201,0.474352,0.496747,-0.166955,0.430562,0.469140,-0.171164,0.432367,0.528150
0.230000,-0.190228,0.474375,0.496713,-0.166974,0.430565,0.469109,-0.171175,0.432373,0.528134
0.240000,-0.190250,0.474379,0.496668,-0.166998,0.430561,0.469085,-0.171191,0.432379,0.528098
0.250000,-0.190267,0.474384,0.496642,-0.167010,0.430574,0.469059,-0.171201,0.432390,0.528072
0.260000,-0.190274,0.474379,0.496613,-0.167034,0.430571,0.469031,-0.171212,0.432406,0.528047
0.270000,-0.190280,0.474385,0.496589,-0.167040,0.430571,0.469008,-0.171214,0.432402,0.528028
0.280000,-0.190294,0.474388,0.496565,-0.167051,0.430576,0.468990,-0.171220,0.432412,0.528005
0.290000,-0.190307,0.474400,0.496553,-0.167068,0.430581,0.468972,-0.171231,0.432417,0.527990
0.300000,-0.190319,0.474400,0.496541,-0.167073,0.430589,0.468956,-0.171232,0.432425,0.527974
0.310000,-0.190328,0.474416,0.496534,-0.167086,0.430614,0.468952,-0.171242,0.432431,0.527966
0.320000,-0.190348,0.474427,0.496530,-0.167098,0.430615,0.468942,-0.171257,0.432429,0.527961
0.330000,-0.190361,0.474436,0.496533,-0.167124,0.430633,0.468944,-0.171276,0.432442,0.527949
0.340000,-0.190385,0.474440,0.496532,-0.167139,0.430643,0.468945,-0.171281,0.432457,0.527964
0.350000,-0.190398,0.474448,0.496532,-0.167152,0.430642,0.468942,-0.171302,0.432463,0.527959
0.360000,-0.190413,0.474445,0.496544,-0.167174,0.430647,0.468942,-0.171323,0.432466,0.527952
0.370000,-0.190431,0.474464,0.496547,-0.167183,0.430656,0.468953,-0.171334,0.432462,0.527972
0.380000,-0.190452,0.474466,0.496553,-0.167199,0.430648,0.468953,-0.171353,0.432479,0.527965
