Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.183715,0.471649,0.501007,-0.163191,0.427064,0.472258,-0.166951,0.427850,0.531390
0.010000,-0.183733,0.471616,0.500985,-0.163198,0.427051,0.472252,-0.166953,0.427828,0.531388
0.020000,-0.183737,0.471612,0.500968,-0.163265,0.426765,0.472026,-0.166953,0.427826,0.531369
0.030000,-0.183733,0.471615,0.500967,-0.163269,0.426756,0.472022,-0.166951,0.427819,0.531363
0.040000,-0.183743,0.471603,0.500961,-0.163228,0.427015,0.472220,-0.166955,0.427825,0.531365
0.050000,-0.183736,0.471610,0.500941,-0.163221,0.427015,0.472214,-0.166963,0.427812,0.531343
0.060000,-0.183745,0.471596,0.500934,-0.163232,0.427020,0.472196,-0.166966,0.427800,0.531335
0.070000,-0.183755,0.471583,0.500922,-0.163315,0.426720,0.471982,-0.166975,0.427803,0.531331
0.080000,-0.183755,0.471584,0.500924,-0.163254,0.427012,0.472183,-0.166986,0.427801,0.531324
0.090000,-0.183769,0.471583,0.500919,-0.163332,0.426726,0.471974,-0.166985,0.427803,0.531328
0.100000,-0.183787,0.471577,0.500918,-0.163278,0.426999,0.472190,-0.166988,0.427806,0.531327
0.110000,-0.183792,0.471581,0.500926,-0.163352,0.426714,0.471980,-0.167004,0.427804,0.531334
0.120000,-0.183892,0.471526,0.500944,-0.163358,0.426719,0.471987,-0.167017,0.427804,0.531340
0.130000,-0.183887,0.471537,0.500947,-0.163362,0.426716,0.471991,-0.167031,0.427793,0.531346
0.140000,-0.183905,0.471520,0.500963,-0.163310,0.426987,0.472209,-0.167029,0.427800,0.531351
0.150000,-0.183912,0.471521,0.500976,-0.163317,0.426996,0.472227,-0.167045,0.427795,0.531361
0.160000,-0.183922,0.471510,0.500987,-0.163384,0.426699,0.472024,-0.167054,0.427779,0.531377
0.170000,-0.183934,0.471507,0.500996,-0.163397,0.426698,0.472030,-0.167059,0.427788,0.531380
0.180000,-0.183942,0.471516,0.501011,-0.163396,0.426697,0.472046,-0.167070,0.427791,0.531394
0.190000,-0.183943,0.471510,0.501009,-0.163406,0.426698,0.472052,-0.167072,0.427789,0.531401
0.200000,-0.183947,0.471512,0.501029,-0.163337,0.426994,0.472275,-0.167083,0.427785,0.531412
0.210000,-0.183961,0.471503,0.501033,-0.163419,0.426695,0.472071,-0.167085,0.427791,0.531426
0.220000,-0.183959,0.471523,0.501049,-0.163349,0.426990,0.472301,-0.167093,0.427772,0.531440
0.230000,-0.183967,0.471513,0.501053,-0.163411,0.426695,0.472094,-0.167088,0.427781,0.531455
0.240000,-0.183969,0.471510,0.501060,-0.163349,0.426992,0.472322,-0.167101,0.427773,0.531470
0.250000,-0.183973,0.471508,0.501073,-0.163412,0.426708,0.472117,-0.167102,0.427802,0.531472
0.260000,-0.183958,0.471516,0.501102,-0.163344,0.426987,0.472351,-0.167099,0.427795,0.531491
0.270000,-0.183951,0.471513,0.501111,-0.163397,0.426698,0.472147,-0.167099,0.427763,0.531504
0.280000,-0.183940,0.471522,0.501119,-0.163325,0.426996,0.472379,-0.167100,0.427774,0.531513
0.290000,-0.183931,0.471514,0.501133,-0.163303,0.426983,0.472395,-0.167083,0.427773,0.531534
0.300000,-0.183913,0.471507,0.501141,-0.163284,0.426989,0.472404,-0.167083,0.427746,0.531545
0.310000,-0.183900,0.471497,0.501144,-0.163269,0.426979,0.472413,-0.167066,0.427750,0.531545
0.320000,-0.183870,0.471500,0.501135,-0.163245,0.426967,0.472418,-0.167050,0.427740,0.531560
0.330000,-0.183847,0.471494,0.501131,-0.163221,0.426950,0.472411,-0.167035,0.427730,0.531541
0.340000,-0.183825,0.471468,0.501131,-0.163277,0.426651,0.472198,-0.167029,0.427713,0.531543
0.350000,-0.183799,0.471457,0.501120,-0.163192,0.426930,0.472394,-0.167003,0.427705,0.531528
0.360000,-0.183781,0.471448,0.501104,-0.163231,0.426629,0.472172,-0.166981,0.427703,0.531510
0.370000,-0.183753,0.471447,0.501083,-0.163221,0.426611,0.472158,-0.166970,0.427688,0.531500
0.380000,-0.183736,0.471431,0.501057,-0.163203,0.426601,0.472134,-0.166944,0.427679,0.531480
0.390000,-0.183714,0.471432,0.501030,-0.163117,0.426887,0.472327,-0.166935,0.427669,0.531455
0.400000,-0.183691,0.471417,0.501002,-0.163182,0.426577,0.472092,-0.166915,0.427667,0.531431
0.410000,-0.183682,0.471417,0.500974,-0.163103,0.426861,0.472277,-0.166901,0.427666,0.531404
0.420000,-0.183674,0.471411,0.500953,-0.163179,0.426559,0.472040,-0.166897,0.427673,0.531387
0.430000,-0.183671,0.471414,0.500935,-0.163110,0.426861,0.472234,-0.166880,0.427663,0.531362
0.440000,-0.183666,0.471423,0.500926,-0.163174,0.426575,0.472009,-0.166875,0.427678,0.531348
0.450000,-0.183669,0.471434,0.500923,-0.163104,0.426880,0.472207,-0.166874,0.427673,0.531337
0.460000,-0.183678,0.471440,0.500917,-0.163171,0.426601,0.471993,-0.166875,0.427693,0.531337
0.470000,-0.183678,0.471452,0.500919,-0.163166,0.426617,0.471984,-0.166878,0.427688,0.531335
0.480000,-0.183683,0.471458,0.500915,-0.163098,0.426922,0.472197,-0.166876,0.427713,0.531334
0.490000,-0.183690,0.471468,0.500918,-0.163166,0.426637,0.471991,-0.166876,0.427717,0.531337
0.500000,-0.183695,0.471464,0.500915,-0.163167,0.426633,0.471989,-0.166880,0.427741,0.531328
0.510000,-0.183692,0.471475,0.500921,-0.163161,0.426654,0.471984,-0.166886,0.427753,0.531330
0.520000,-0.183699,0.471476,0.500920,-0.163101,0.426942,0.472202,-0.166886,0.427743,0.531337
0.530000,-0.183694,0.471479,0.500917,-0.163094,0.426933,0.472199,-0.166894,0.427727,0.531333
0.540000,-0.183699,0.471469,0.500905,-0.163093,0.426943,0.472192,-0.166898,0.427745,0.531318
0.550000,-0.183702,0.471472,0.500897,-0.163166,0.426646,0.471976,-0.166902,0.427749,0.531310
0.560000,-0.183700,0.471474,0.500880,-0.163159,0.426652,0.471958,-0.166901,0.427750,0.531298
0.570000,-0.183699,0.471465,0.500862,-0.163173,0.426628,0.471939,-0.166895,0.427745,0.531273
0.580000,-0.183695,0.471453,0.500843,-0.163165,0.426619,0.471920,-0.166895,0.427747,0.531260
0.590000,-0.183693,0.471451,0.500812,-0.163163,0.426596,0.471894,-0.166897,0.427728,0.531239
0.600000,-0.183686,0.471441,0.500786,-0.163156,0.426604,0.471851,-0.166901,0.427713,0.531205
0.610000,-0.183694,0.471433,0.500754,-0.163083,0.426878,0.472043,-0.166898,0.427718,0.531181
0.620000,-0.183686,0.471426,0.500734,-0.163166,0.426582,0.471795,-0.166903,0.427710,0.531146
0.630000,-0.183699,0.471424,0.500703,-0.163171,0.426563,0.471768,-0.166899,0.427698,0.531120
0.640000,-0.183704,0.471412,0.500672,-0.163111,0.426856,0.471959,-0.166905,0.427688,0.531093
0.650000,-0.183702,0.471407,0.500657,-0.163126,0.426862,0.471942,-0.166903,0.427687,0.531070
0.660000,-0.183737,0.471415,0.500615,-0.163133,0.426857,0.471912,-0.166918,0.427692,0.531052
0.670000,-0.183748,0.471414,0.500597,-0.163155,0.426867,0.471898,-0.166924,0.427699,0.531041
0.680000,-0.183758,0.471430,0.500588,-0.163237,0.426585,0.471669,-0.166938,0.427703,0.531024
0.690000,-0.183774,0.471436,0.500581,-0.163170,0.426885,0.471874,-0.166948,0.427707,0.531018
0.700000,-0.183799,0.471432,0.500572,-0.163257,0.426595,0.471654,-0.166963,0.427716,0.531015
0.710000,-0.183804,0.471441,0.500573,-0.163276,0.426603,0.471655,-0.166978,0.427721,0.531011
0.720000,-0.183825,0.471446,0.500561,-0.163282,0.426605,0.471645,-0.166988,0.427736,0.531009
0.730000,-0.183840,0.471456,0.500551,-0.163223,0.426908,0.471858,-0.167002,0.427742,0.530997
0.740000,-0.183849,0.471465,0.500547,-0.163240,0.426908,0.471853,-0.167013,0.427741,0.530998
0.750000,-0.183864,0.471477,0.500544,-0.163238,0.426928,0.471851,-0.167022,0.427759,0.530990
0.760000,-0.183875,0.471486,0.500535,-0.163256,0.426938,0.471852,-0.167033,0.427767,0.530989
0.770000,-0.183885,0.471490,0.500537,-0.163262,0.426947,0.471843,-0.167037,0.427775,0.530990
0.780000,-0.183891,0.471494,0.500533,-0.163270,0.426963,0.471842,-0.167041,0.427785,0.530985
0.790000,-0.183899,0.471495,0.500533,-0.163339,0.426677,0.471626,-0.167044,0.427787,0.530980
0.800000,-0.183903,0.471514,0.500526,-0.163271,0.426985,0.471834,-0.167056,0.427812,0.530976
0.810000,-0.183907,0.471519,0.500530,-0.163279,0.426993,0.471831,-0.167058,0.427813,0.530977
0.820000,-0.183903,0.471528,0.500533,-0.163263,0.427005,0.471840,-0.167051,0.427824,0.530974
0.830000,-0.183900,0.471529,0.500538,-0.163257,0.427011,0.471836,-0.167044,0.427834,0.530985
0.840000,-0.183897,0.471536,0.500543,-0.163259,0.427015,0.471844,-0.167039,0.427839,0.530984
0.850000,-0.183885,0.471543,0.500555,-0.163246,0.427015,0.471850,-0.167026,0.427828,0.530992
0.860000,-0.183871,0.471540,0.500566,-0.163231,0.427022,0.471860,-0.167024,0.427828,0.531008
0.870000,-0.183858,0.471534,0.500576,-0.163220,0.427007,0.471875,-0.167000,0.427821,0.531020
0.880000,-0.183843,0.471541,0.500591,-0.163192,0.427015,0.471890,-0.166998,0.427811,0.531030
0.890000,-0.183801,0.471541,0.500608,-0.163162,0.427010,0.471901,-0.166970,0.427808,0.531042
0.900000,-0.183775,0.471536,0.500618,-0.163203,0.426715,0.471699,-0.166945,0.427796,0.531055
0.910000,-0.183747,0.471530,0.500625,-0.163171,0.426708,0.471707,-0.166922,0.427800,0.531066
