Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.513820,0.060471,0.072631,0.462206,0.052238,0.047647,0.513002,0.030112,0.024606
0.010000,0.513814,0.060458,0.072618,0.462206,0.052224,0.047626,0.513009,0.030111,0.024584
0.020000,0.513818,0.060467,0.072583,0.462207,0.052254,0.047615,0.512998,0.030101,0.024563
0.030000,0.513814,0.060490,0.072563,0.462192,0.052254,0.047596,0.512987,0.030127,0.024541
0.040000,0.513857,0.060977,0.072839,0.462173,0.052247,0.047574,0.512983,0.030130,0.024519
0.050000,0.513797,0.060485,0.072506,0.462174,0.052250,0.047548,0.512981,0.030128,0.024482
0.060000,0.513801,0.060524,0.072471,0.462172,0.052255,0.047517,0.512973,0.030176,0.024454
0.070000,0.513812,0.060518,0.072449,0.462191,0.052292,0.047490,0.512969,0.030147,0.024411
0.080000,0.513825,0.060552,0.072412,0.462200,0.052288,0.047440,0.512987,0.030188,0.024389
0.090000,0.513846,0.060559,0.072379,0.462202,0.052282,0.047411,0.512997,0.030182,0.024351
0.100000,0.513844,0.060586,0.072338,0.462208,0.052297,0.047383,0.512998,0.030203,0.024324
0.110000,0.513852,0.060612,0.072315,0.462216,0.052343,0.047346,0.512989,0.030191,0.024294
0.120000,0.513850,0.060589,0.072296,0.462202,0.052360,0.047328,0.513006,0.030246,0.024268
0.130000,0.513863,0.060627,0.072256,0.462224,0.052354,0.047282,0.513022,0.030284,0.024255
0.140000,0.513867,0.060622,0.072234,0.462229,0.052367,0.047265,0.513021,0.030269,0.024224
0.150000,0.513869,0.060638,0.072220,0.462246,0.052377,0.047246,0.513034,0.030254,0.024200
0.160000,0.513882,0.060638,0.072192,0.462251,0.052386,0.047223,0.513018,0.030217,0.024172
0.170000,0.513889,0.060658,0.072179,0.462260,0.052373,0.047205,0.513065,0.030260,0.024151
0.180000,0.513886,0.060691,0.072174,0.462262,0.052426,0.047187,0.513049,0.030251,0.024131
0.190000,0.513941,0.061203,0.072467,0.462259,0.052426,0.047171,0.513050,0.030267,0.024122
0.200000,0.513892,0.060733,0.072133,0.462280,0.052454,0.047154,0.513073,0.030349,0.024111
0.210000,0.513894,0.060772,0.072122,0.462269,0.052448,0.047135,0.513078,0.030388,0.024092
0.220000,0.513898,0.060798,0.072103,0.462268,0.052487,0.047109,0.513081,0.030392,0.024071
0.230000,0.513929,0.061296,0.072397,0.462270,0.052537,0.047105,0.513059,0.030402,0.024050
0.240000,0.513881,0.060812,0.072065,0.462254,0.052529,0.047084,0.513048,0.030416,0.024039
0.250000,0.513864,0.060838,0.072063,0.462264,0.052555,0.047079,0.513065,0.030549,0.024045
0.260000,0.513866,0.060870,0.072051,0.462256,0.052561,0.047077,0.513046,0.030516,0.024020
0.270000,0.513870,0.060869,0.072048,0.462239,0.052575,0.047056,0.513051,0.030560,0.024012
0.280000,0.513868,0.060902,0.072027,0.462245,0.052621,0.047052,0.513043,0.030555,0.023986
0.290000,0.513858,0.060929,0.072024,0.462238,0.052624,0.047040,0.513065,0.030632,0.023990
0.300000,0.513863,0.060941,0.072021,0.462233,0.052655,0.047036,0.513051,0.030628,0.023975
0.310000,0.513867,0.060926,0.072018,0.462229,0.052678,0.047017,0.513032,0.030597,0.023959
0.320000,0.513857,0.060966,0.072017,0.462222,0.052693,0.047021,0.513038,0.030654,0.023965
0.330000,0.513831,0.060979,0.072007,0.462224,0.052710,0.047009,0.513027,0.030741,0.023966
0.340000,0.513829,0.060986,0.072008,0.462206,0.052715,0.047008,0.513012,0.030704,0.023962
0.350000,0.513816,0.060998,0.072028,0.462182,0.052741,0.047024,0.512999,0.030709,0.023953
0.360000,0.513801,0.061003,0.072035,0.462175,0.052739,0.047032,0.512979,0.030805,0.023964
0.370000,0.513840,0.061495,0.072327,0.462164,0.052762,0.047032,0.512959,0.030763,0.023952
0.380000,0.513782,0.061001,0.072025,0.462155,0.052733,0.047038,0.512942,0.030828,0.023961
0.390000,0.513765,0.061009,0.072032,0.462139,0.052746,0.047026,0.512941,0.030810,0.023967
0.400000,0.513758,0.060990,0.072028,0.462137,0.052738,0.047034,0.512934,0.030788,0.023972
