Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.514039,0.056230,0.082036,0.465746,0.056695,0.050080,0.516700,0.030880,0.031316
0.010000,0.514041,0.056244,0.082038,0.465748,0.056709,0.050084,0.516712,0.030852,0.031314
0.020000,0.514042,0.056257,0.082044,0.465768,0.056714,0.050078,0.516713,0.030875,0.031321
0.030000,0.514055,0.056266,0.082052,0.465775,0.056725,0.050086,0.516725,0.030874,0.031309
0.040000,0.514055,0.056260,0.082048,0.465768,0.056723,0.050086,0.516728,0.030885,0.031327
0.050000,0.514049,0.056277,0.082052,0.465759,0.056708,0.050084,0.516723,0.030852,0.031312
0.060000,0.514053,0.056277,0.082068,0.465769,0.056704,0.050082,0.516739,0.030866,0.031324
0.070000,0.514058,0.056260,0.082053,0.465769,0.056719,0.050095,0.516727,0.030888,0.031325
0.080000,0.514051,0.056280,0.082069,0.465754,0.056699,0.050092,0.516734,0.030891,0.031341
0.090000,0.514045,0.056273,0.082069,0.465756,0.056702,0.050093,0.516715,0.030840,0.031333
0.100000,0.514043,0.056252,0.082072,0.465754,0.056692,0.050102,0.516706,0.030827,0.031333
0.110000,0.514041,0.056239,0.082058,0.465754,0.056668,0.050102,0.516704,0.030823,0.031337
0.120000,0.514033,0.056244,0.082066,0.465740,0.056651,0.050105,0.516688,0.030804,0.031343
0.130000,0.514003,0.056248,0.082090,0.465722,0.056653,0.050118,0.516656,0.030788,0.031342
0.140000,0.513966,0.056234,0.082085,0.465674,0.056640,0.050118,0.516631,0.030770,0.031363
0.150000,0.513922,0.056203,0.082086,0.465437,0.056952,0.050310,0.516599,0.030774,0.031362
0.160000,0.513881,0.056203,0.082091,0.465603,0.056606,0.050115,0.516522,0.030721,0.031361
0.170000,0.513849,0.056188,0.082100,0.465576,0.056587,0.050126,0.516474,0.030683,0.031356
0.180000,0.513825,0.056163,0.082096,0.465546,0.056598,0.050139,0.516447,0.030655,0.031354
0.190000,0.513793,0.056158,0.082098,0.465311,0.056933,0.050347,0.516409,0.030658,0.031350
0.200000,0.513753,0.056147,0.082073,0.465462,0.056607,0.050147,0.516346,0.030623,0.031339
0.210000,0.513694,0.056159,0.082071,0.465406,0.056601,0.050151,0.516306,0.030675,0.031345
0.220000,0.513636,0.056175,0.082052,0.465122,0.056929,0.050357,0.516223,0.030676,0.031313
0.230000,0.513577,0.056180,0.082025,0.465053,0.056935,0.050377,0.516165,0.030713,0.031297
0.240000,0.513534,0.056184,0.082008,0.464990,0.056922,0.050364,0.516090,0.030685,0.031287
0.250000,0.513483,0.056154,0.081963,0.464921,0.056867,0.050359,0.516017,0.030666,0.031251
0.260000,0.513425,0.056134,0.081918,0.464861,0.056852,0.050339,0.515963,0.030672,0.031237
0.270000,0.513367,0.056167,0.081907,0.464816,0.056841,0.050322,0.515896,0.030644,0.031214
0.280000,0.513322,0.056169,0.081861,0.464755,0.056823,0.050307,0.515821,0.030667,0.031191
0.290000,0.513260,0.056141,0.081827,0.464689,0.056833,0.050303,0.515759,0.030678,0.031175
0.300000,0.513196,0.056135,0.081787,0.464637,0.056831,0.050309,0.515662,0.030620,0.031132
0.310000,0.513149,0.056143,0.081770,0.464589,0.056819,0.050312,0.515602,0.030622,0.031125
0.320000,0.513111,0.056152,0.081762,0.464536,0.056830,0.050315,0.515551,0.030636,0.031120
0.330000,0.513070,0.056139,0.081761,0.464483,0.056814,0.050315,0.515485,0.030627,0.031108
0.340000,0.513011,0.056135,0.081764,0.464411,0.056774,0.050307,0.515439,0.030606,0.031102
0.350000,0.512965,0.056129,0.081762,0.464363,0.056763,0.050311,0.515403,0.030626,0.031099
0.360000,0.512945,0.056124,0.081769,0.464335,0.056756,0.050309,0.515354,0.030604,0.031100
0.370000,0.512910,0.056089,0.081755,0.464303,0.056731,0.050310,0.515267,0.030477,0.031078
0.380000,0.512892,0.056070,0.081749,0.464276,0.056730,0.050305,0.515247,0.030429,0.031057
0.390000,0.512865,0.056063,0.081763,0.464251,0.056714,0.050301,0.515238,0.030469,0.031078
0.400000,0.512836,0.056070,0.081766,0.464227,0.056709,0.050302,0.515213,0.030440,0.031073
0.410000,0.512811,0.056046,0.081772,0.464215,0.056692,0.050303,0.515166,0.030367,0.031067
0.420000,0.512788,0.056009,0.081784,0.464183,0.056695,0.050314,0.515163,0.030415,0.031099
0.430000,0.512761,0.056001,0.081799,0.464352,0.056336,0.050119,0.515136,0.030398,0.031120
0.440000,0.512733,0.055977,0.081815,0.464142,0.056667,0.050347,0.515106,0.030352,0.031125
0.450000,0.512704,0.055926,0.081823,0.464088,0.056603,0.050340,0.515061,0.030308,0.031148
0.460000,0.512668,0.055908,0.081854,0.464058,0.056592,0.050355,0.515036,0.030291,0.031147
0.470000,0.512622,0.055878,0.081884,0.464227,0.056208,0.050166,0.515005,0.030265,0.031171
0.480000,0.512581,0.055841,0.081897,0.464177,0.056157,0.050174,0.514941,0.030180,0.031169
0.490000,0.512532,0.055785,0.081917,0.463918,0.056466,0.050405,0.514906,0.030114,0.031191
0.500000,0.512489,0.055739,0.081933,0.463883,0.056403,0.050425,0.514851,0.030060,0.031212
0.510000,0.512446,0.055693,0.081958,0.463824,0.056311,0.050430,0.514814,0.030008,0.031242
0.520000,0.512395,0.055622,0.081969,0.463781,0.056269,0.050465,0.514769,0.029953,0.031261
0.530000,0.512338,0.055562,0.081986,0.463717,0.056201,0.050485,0.514697,0.029841,0.031257
0.540000,0.512279,0.055496,0.082014,0.463648,0.056126,0.050512,0.514632,0.029757,0.031287
0.550000,0.512209,0.055422,0.082036,0.463781,0.055710,0.050343,0.514535,0.029614,0.031305
0.560000,0.512150,0.055331,0.082056,0.463697,0.055551,0.050348,0.514450,0.029533,0.031344
0.570000,0.512087,0.055234,0.082046,0.463617,0.055450,0.050392,0.514368,0.029394,0.031343
0.580000,0.512028,0.055161,0.082075,0.463326,0.055709,0.050642,0.514286,0.029307,0.031375
0.590000,0.511970,0.055074,0.082083,0.463244,0.055628,0.050687,0.514199,0.029185,0.031389
0.600000,0.511901,0.054961,0.082076,0.463169,0.055521,0.050724,0.514125,0.029062,0.031399
0.610000,0.511845,0.054866,0.082078,0.463103,0.055415,0.050754,0.514040,0.028976,0.031417
0.620000,0.511793,0.054828,0.082096,0.463011,0.055366,0.050795,0.515940,0.032646,0.031207
0.630000,0.511738,0.054726,0.082095,0.462930,0.055285,0.050811,0.515879,0.032568,0.031228
0.640000,0.511698,0.054651,0.082100,0.462882,0.055195,0.050826,0.515841,0.032472,0.031238
0.650000,0.511667,0.054598,0.082103,0.462850,0.055133,0.050845,0.515801,0.032379,0.031240
0.660000,0.511642,0.054539,0.082115,0.462825,0.055074,0.050854,0.515756,0.032348,0.031264
0.670000,0.511615,0.054498,0.082119,0.462803,0.055001,0.050856,0.515753,0.032256,0.031255
0.680000,0.511618,0.054441,0.082121,0.462805,0.054936,0.050842,0.515749,0.032220,0.031302
0.690000,0.511609,0.054407,0.082145,0.462801,0.054898,0.050861,0.515747,0.032210,0.031316
0.700000,0.511629,0.054354,0.082148,0.462827,0.054903,0.050895,0.515735,0.032143,0.031319
0.710000,0.511647,0.054320,0.082159,0.462828,0.054853,0.050872,0.515772,0.032115,0.031339
0.720000,0.511650,0.054316,0.082185,0.462869,0.054818,0.050881,0.515789,0.032121,0.031353
0.730000,0.511667,0.054355,0.082199,0.462892,0.054853,0.050908,0.513854,0.028406,0.031620
0.740000,0.511672,0.054352,0.082211,0.462918,0.054860,0.050933,0.515811,0.032137,0.031381
0.750000,0.511681,0.054365,0.082217,0.462939,0.054875,0.050937,0.515860,0.032162,0.031388
0.760000,0.511707,0.054426,0.082222,0.462958,0.054891,0.050924,0.513901,0.028389,0.031620
0.770000,0.511721,0.054445,0.082233,0.462985,0.054921,0.050927,0.515891,0.032218,0.031395
0.780000,0.511739,0.054481,0.082233,0.463006,0.054964,0.050935,0.515933,0.032268,0.031388
