Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.213555,0.479446,0.612586,-0.203732,0.431747,0.581298,-0.198827,0.432615,0.640351
0.010000,-0.213619,0.479427,0.612504,-0.203772,0.431761,0.581265,-0.198868,0.432641,0.640339
0.020000,-0.213685,0.479440,0.612461,-0.203820,0.431775,0.581234,-0.198901,0.432669,0.640304
0.030000,-0.213741,0.479458,0.612437,-0.203863,0.431790,0.581209,-0.198945,0.432707,0.640276
0.040000,-0.213801,0.479472,0.612393,-0.203905,0.431827,0.581177,-0.198975,0.432727,0.640248
0.050000,-0.213855,0.479493,0.612369,-0.203952,0.431837,0.581155,-0.199012,0.432759,0.640218
0.060000,-0.213908,0.479522,0.612347,-0.203994,0.431853,0.581128,-0.199059,0.432786,0.640195
0.070000,-0.213959,0.479569,0.612317,-0.204037,0.431879,0.581114,-0.199088,0.432821,0.640165
0.080000,-0.213996,0.479580,0.612298,-0.204077,0.431899,0.581097,-0.199123,0.432844,0.640153
0.090000,-0.214034,0.479607,0.612279,-0.204111,0.431931,0.581081,-0.199160,0.432855,0.640138
0.100000,-0.214076,0.479626,0.612266,-0.204144,0.431949,0.581060,-0.199196,0.432877,0.640121
0.110000,-0.214112,0.479630,0.612248,-0.204181,0.431976,0.581029,-0.199221,0.432909,0.640102
0.120000,-0.214143,0.479652,0.612234,-0.204206,0.431984,0.581020,-0.199232,0.432956,0.640071
0.130000,-0.214162,0.479661,0.612217,-0.204227,0.432002,0.581008,-0.199248,0.432978,0.640060
0.140000,-0.214184,0.479664,0.612204,-0.204249,0.432016,0.580989,-0.199264,0.432993,0.640052
0.150000,-0.214206,0.479666,0.612183,-0.204267,0.432014,0.580974,-0.199273,0.432998,0.640033
0.160000,-0.214225,0.479672,0.612163,-0.204277,0.432017,0.580958,-0.199285,0.433012,0.640021
0.170000,-0.214218,0.479678,0.612147,-0.204282,0.432021,0.580938,-0.199289,0.433008,0.639991
0.180000,-0.214240,0.479679,0.612124,-0.204305,0.432041,0.580922,-0.199295,0.433015,0.639978
0.190000,-0.214230,0.479676,0.612107,-0.204304,0.432046,0.580909,-0.199290,0.433008,0.639955
0.200000,-0.214233,0.479682,0.612089,-0.204307,0.432028,0.580889,-0.199291,0.433001,0.639942
0.210000,-0.214232,0.479670,0.612063,-0.204301,0.432033,0.580874,-0.199289,0.433010,0.639933
0.220000,-0.214227,0.479657,0.612043,-0.204304,0.432023,0.580851,-0.199275,0.433002,0.639916
0.230000,-0.214220,0.479660,0.612030,-0.204304,0.432013,0.580835,-0.199270,0.432998,0.639899
0.240000,-0.214210,0.479653,0.612016,-0.204298,0.431996,0.580826,-0.199262,0.432997,0.639883
0.250000,-0.214205,0.479658,0.612007,-0.204290,0.431989,0.580812,-0.199250,0.432983,0.639880
0.260000,-0.214183,0.479650,0.611998,-0.204273,0.431958,0.580813,-0.199252,0.432979,0.639865
0.270000,-0.214182,0.479663,0.611993,-0.204266,0.431959,0.580804,-0.199240,0.432985,0.639869
0.280000,-0.214180,0.479658,0.611977,-0.204265,0.431952,0.580794,-0.199236,0.432990,0.639848
0.290000,-0.214175,0.479651,0.611963,-0.204263,0.431948,0.580786,-0.199239,0.432997,0.639847
0.300000,-0.214188,0.479635,0.611939,-0.204262,0.431930,0.580785,-0.199236,0.432994,0.639848
0.310000,-0.214184,0.479641,0.611932,-0.204256,0.431932,0.580774,-0.199231,0.433010,0.639840
0.320000,-0.214179,0.479648,0.611935,-0.204251,0.431938,0.580779,-0.199227,0.433005,0.639836
0.330000,-0.214186,0.479653,0.611939,-0.204252,0.431959,0.580776,-0.199221,0.433017,0.639841
0.340000,-0.214164,0.479673,0.611959,-0.204252,0.431986,0.580781,-0.199217,0.433025,0.639845
0.350000,-0.214169,0.479678,0.611971,-0.204246,0.431975,0.580790,-0.199210,0.433026,0.639846
0.360000,-0.214167,0.479688,0.611980,-0.204248,0.432019,0.580787,-0.199207,0.433025,0.639848
0.370000,-0.214165,0.479685,0.611981,-0.204248,0.431991,0.580786,-0.199211,0.433026,0.639846
0.380000,-0.214168,0.479690,0.611981,-0.204257,0.432025,0.580783,-0.199209,0.433022,0.639849
0.390000,-0.214163,0.479687,0.611981,-0.204244,0.431994,0.580788,-0.199208,0.433020,0.639852
0.400000,-0.214161,0.479679,0.611980,-0.204251,0.431992,0.580780,-0.199217,0.433011,0.639846
0.410000,-0.214162,0.479678,0.611982,-0.204248,0.431980,0.580789,-0.199224,0.433006,0.639845
0.420000,-0.214168,0.479669,0.611977,-0.204254,0.431971,0.580785,-0.199223,0.432999,0.639852
0.430000,-0.214190,0.479656,0.611968,-0.204272,0.431986,0.580784,-0.199236,0.433007,0.639847
0.440000,-0.214195,0.479652,0.611958,-0.204280,0.431985,0.580774,-0.199255,0.432999,0.639844
0.450000,-0.214212,0.479654,0.611940,-0.204282,0.431959,0.580772,-0.199261,0.433010,0.639838
0.460000,-0.214230,0.479651,0.611919,-0.204309,0.431980,0.580750,-0.199277,0.433009,0.639822
0.470000,-0.214246,0.479659,0.611902,-0.204331,0.431993,0.580736,-0.199290,0.433025,0.639810
