Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.233560,0.497053,0.608980,-0.218076,0.450537,0.578952,-0.216499,0.452259,0.638365
0.010000,-0.233529,0.497049,0.608991,-0.218042,0.450525,0.578967,-0.216466,0.452250,0.638382
0.020000,-0.233494,0.497036,0.609004,-0.218014,0.450517,0.578978,-0.216443,0.452250,0.638393
0.030000,-0.233446,0.497025,0.609011,-0.217978,0.450498,0.578993,-0.216414,0.452234,0.638405
0.040000,-0.233417,0.496996,0.609033,-0.217953,0.450485,0.579000,-0.216385,0.452225,0.638414
0.050000,-0.233368,0.496974,0.609045,-0.217932,0.450462,0.579004,-0.216359,0.452213,0.638419
0.060000,-0.233340,0.496962,0.609048,-0.217898,0.450447,0.579009,-0.216328,0.452154,0.638443
0.070000,-0.233299,0.496955,0.609053,-0.217873,0.450438,0.579012,-0.216303,0.452134,0.638449
0.080000,-0.233263,0.496941,0.609055,-0.217855,0.450417,0.579011,-0.216274,0.452105,0.638453
0.090000,-0.233238,0.496932,0.609057,-0.217831,0.450408,0.579012,-0.216244,0.452095,0.638454
0.100000,-0.233214,0.496918,0.609059,-0.217806,0.450378,0.579018,-0.216218,0.452087,0.638458
0.110000,-0.233179,0.496893,0.609068,-0.217804,0.450385,0.579021,-0.216197,0.452085,0.638456
0.120000,-0.233169,0.496895,0.609076,-0.217777,0.450355,0.579021,-0.216169,0.452081,0.638441
0.130000,-0.233140,0.496881,0.609074,-0.217765,0.450349,0.579026,-0.216162,0.452062,0.638475
0.140000,-0.233141,0.496879,0.609091,-0.217748,0.450348,0.579036,-0.216148,0.452057,0.638476
0.150000,-0.233114,0.496876,0.609089,-0.217736,0.450342,0.579048,-0.216139,0.452063,0.638482
0.160000,-0.233111,0.496875,0.609097,-0.217724,0.450346,0.579054,-0.216139,0.452050,0.638488
0.170000,-0.233098,0.496872,0.609100,-0.217711,0.450348,0.579062,-0.216120,0.452059,0.638493
0.180000,-0.233095,0.496875,0.609112,-0.217699,0.450341,0.579071,-0.216118,0.452047,0.638501
0.190000,-0.233091,0.496868,0.609112,-0.217697,0.450351,0.579069,-0.216119,0.452056,0.638505
0.200000,-0.233087,0.496875,0.609113,-0.217685,0.450345,0.579081,-0.216117,0.452052,0.638509
0.210000,-0.233083,0.496862,0.609112,-0.217682,0.450348,0.579083,-0.216126,0.452049,0.638505
0.220000,-0.233086,0.496870,0.609110,-0.217679,0.450334,0.579085,-0.216141,0.452032,0.638524
0.230000,-0.233084,0.496871,0.609105,-0.217685,0.450348,0.579074,-0.216136,0.452043,0.638510
0.240000,-0.233096,0.496858,0.609100,-0.217690,0.450330,0.579085,-0.216131,0.452056,0.638502
0.250000,-0.233100,0.496875,0.609090,-0.217696,0.450347,0.579070,-0.216140,0.452055,0.638507
0.260000,-0.233097,0.496872,0.609085,-0.217711,0.450333,0.579060,-0.216138,0.452059,0.638489
